BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Elshaag_15_4752962;[55.295885563820441, 63.207704448232128, 55.210564312323868, 62.379617529354839];167.46812439;236.093771854;167.835877014;[12.599705741789997, 15.585789874213726, 13.802641078080967, 15.188791732076258];[12.599705741789997, 15.585789874213726, 13.802641078080967, 15.188791732076258];40455720.0158;44117282.5961;28506081.3361;7440709.98155;0.0001695059422;0.00308634752082;0.00020622513;0.00629110229909;0.000246326975644;3.73730166118e-05;0.00717914408177;0.00244377229761;825.232518343;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Elshaag_8_1574106;[33.652126076683295, 74.175679535875503, 25.804115288020842, 54.687074129987316];133.762332916;188.318995031;134.998292954;[7.3386903914598651, 18.543919883968876, 6.1125607261036405, 11.203687498514901];[7.3386903914598651, 18.543919883968876, 6.1125607261036405, 11.203687498514901];32269299.0874;35237933.5679;22737730.637;5984913.141030001;0.000212508022566;0.0038693251699;0.000258190291468;0.00787635113266;0.000308817837413;4.64637950779e-05;0.008925430957719999;0.00323451587847;691.671680944;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Elshaag_14_1572099;[42.585606114615985, 86.283555271291064, 39.71338377075638, 85.944985048714628];203.119812012;254.527530205;204.007612128;[10.646401528653996, 21.570888817822766, 8.8374863775497907, 21.486246262178657];[10.646401528653996, 21.570888817822766, 8.8374863775497907, 21.486246262178657];43614426.6638;53509252.4625;30731782.636;9044320.57606;0.000157229739405;0.00286282362797;0.000170028395463;0.005186884981520001;0.000228487129632;3.07465635926e-05;0.0059062401182;0.00223417186158;1041.29457284;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Elshaag_4_1572103;[32.991355563224786, 57.457859246575154, 33.645103725364329, 54.741796710397075];94.4785041809;285.635065441;94.74202275549999;[8.2478388908061966, 14.364464811643789, 3.810057961179401, 13.471091885727475];[8.2478388908061966, 14.364464811643789, 3.810057961179401, 13.471091885727475];30644365.3735;24889123.7266;27092097.23;4200221.8294;0.000223776373082;0.004074498187579999;0.000365544903812;0.0111513101473;0.00018597437549;6.62064502873e-05;0.0127178828162;0.00350251435557;442.549499006;2.7;1.7;2.32610000271;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Elshaag_7_1572061;[17.978188857682781, 51.510755039031892, 25.215563134050839, 38.759084518140583];135.196418762;133.463591549;135.785033071;[3.7151584052245314, 12.877688759757973, 4.9077460673794873, 9.1510629127197518];[3.7151584052245314, 12.877688759757973, 4.9077460673794873, 9.1510629127197518];22869581.2245;35615724.6894;16114461.4965;6019791.88772;0.000299851793146;0.00545967195236;0.000255451557366;0.00779280333028;0.000435746289412;4.61945832897e-05;0.00887371690326;0.0045585593512;474.112403249;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Elshaag_17_1572597;[27.037324124854436, 39.231605173600386, 30.364137688713296, 38.661705940497299];139.091461182;135.294772928;139.700647577;[6.759331031213609, 9.8079012934000964, 7.5910344221783239, 9.6654264851243248];[6.759331031213609, 9.8079012934000964, 7.5910344221783239, 9.6654264851243248];23183362.3149;36641822.5678;16335559.2617;6193383.80657;0.000295793373089;0.005385776639209999;0.000248298029438;0.00757457785993;0.0004298485708690001;4.48998134831e-05;0.00862499898223;0.0041310507635;508.145695559;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Elshaag_6_1572102;[28.174816401694386, 34.51436797662209, 21.725984650409583, 56.537516653159273];129.766220093;140.952685682;130.284014403;[5.9709030290878715, 8.5410295992698249, 5.004871620050559, 14.134379163289818];[5.9709030290878715, 8.5410295992698249, 5.004871620050559, 14.134379163289818];24152870.8811;34185210.0161;17018698.5071;5775913.848999999;0.000283920076102;0.00516958881568;0.000266141186037;0.008118901063919999;0.000412594229814;4.81450702026e-05;0.00924839435365;0.004152228230449999;516.350326466;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Elshaag_2_1572104;[27.781497487121829, 45.821707600258542, 22.462778636327943, 47.006111692345108];143.575881958;143.072095416;143.858601785;[6.9453743717804572, 11.455426900064635, 4.5616144882822054, 11.751527923086277];[6.9453743717804572, 11.455426900064635, 4.5616144882822054, 11.751527923086277];24516041.1847;37823184.4502;17274597.1096;6377719.432109999;0.000279714203732;0.00509300870531;0.000240542737764;0.00733799498916;0.000406482232751;4.36020713523e-05;0.008375710094619999;0.00402510861414;511.6257184580001;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Elshaag_16_1572098;[50.716615305787954, 66.885113691347627, 51.314826372087332, 67.086305101910582];165.885601044;567.7740625590001;178.833795697;[12.679153826446989, 16.721278422836907, 12.828706593021833, 16.771576275477646];[12.679153826446989, 16.721278422836907, 12.828706593021833, 16.771576275477646];40440141.9452;43700387.5605;52646511.0535;7928283.46572;0.000169571238102;0.00308753642217;0.000208192486302;0.00635111845599;8.77839688311e-05;3.50746512718e-05;0.0067376411627;0.00236823220653;1030.69592767;2.7;1.7;2.11566333518;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Elshaag_18_1572097;[44.777896402974903, 65.463774143547951, 43.335345468430745, 64.809798568663396];127.952079773;474.29097413;150.489701946;[11.194474100743726, 16.365943535886988, 10.833836367107686, 16.202449642165849];[11.194474100743726, 16.365943535886988, 10.833836367107686, 16.202449642165849];37421553.9723;33707298.5242;44192493.2;6671697.65673;0.000183249603791;0.00333659075907;0.000269914610097;0.00823401311055;0.0001066194938;4.16808122987e-05;0.00800664714989;0.00255926428556;844.5439890760001;2.7;1.7;2.16044902074;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Elshaag_9_1572063;[29.275664944691389, 43.551783833378977, 28.523497242922232, 44.814375490238746];142.334018707;146.165321511;142.405660908;[7.3189162361728473, 10.887945958344744, 7.1308743107305581, 11.203593872559686];[7.3189162361728473, 10.887945958344744, 7.1308743107305581, 11.203593872559686];25046079.2619;37496031.8522;17648074.7917;6313305.84022;0.000273794747153;0.00498522782222;0.000242641471355;0.00740201894066;0.000397880045607;4.40469359131e-05;0.008461166048360001;0.00382381791537;499.716778715;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Elshaag_5_1572062;[36.536214609594495, 30.86577611423181, 36.462459533852616, 39.250264182145806];153.904598236;143.11471444;154.103546169;[9.1340536523986238, 7.7163835938377749, 7.2977104601124276, 8.63326456230768];[9.1340536523986238, 7.7163835938377749, 7.2977104601124276, 8.63326456230768];24523344.1444;40544149.3894;17279742.9521;6831911.11803;0.000279630905894;0.00509149202647;0.000224399635351;0.00684553362568;0.000406361183871;4.07033658577e-05;0.00781888524388;0.00426239701343;517.363238982;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Elshaag_13_1572065;[77.607914766720455, 51.299706380124654, 62.697368719452768, 40.766349539667871];170.970317841;381.175683583;171.306031619;[16.143314412877267, 12.824926595031164, 15.674342179863192, 10.191587384916968];[16.143314412877267, 12.824926595031164, 15.674342179863192, 10.191587384916968];39817864.626;45039889.5623;36090480.4977;7594553.21501;0.000172221313299;0.00313578873068;0.000202000769252;0.006162233981189999;0.000138718875378;3.66159495985e-05;0.007033715811300001;0.00254818103913;896.3762513930001;2.7;1.7;2.30961742686;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Elshaag_11_1572064;[45.396581807319734, 89.198735314102692, 45.186454374618407, 87.803848917219028];138.058078766;506.322978507;144.127832144;[5.3246528379707865, 22.299683828525673, 11.296169042854935, 21.950962229304757];[5.3246528379707865, 22.299683828525673, 11.296169042854935, 21.950962229304757];45851988.6175;36369591.5135;47524715.2593;6389655.28904;0.00014955697987;0.00272311877715;0.000250156572015;0.00763127454612;0.000101995480348;4.35206228137e-05;0.00836006429327;0.00229544971531;952.4703021439999;2.7;1.7;2.22848800424;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
