BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Ijzersteenweg_25_1572129;[68.178322150218207, 53.107217643624857, 60.798895281685446, 54.111334995068901];166.301753998;559.931327627;183.594378762;[16.616427944892443, 12.334313120836962, 15.199228389211639, 13.527833748767225];[16.616427944892443, 12.334313120836962, 15.199228389211639, 13.527833748767225];40473197.8649;43810017.6023;51954097.4087;8139335.587339999;0.000169432743159;0.00308501471988;0.00020767150612;0.00633522543837;8.91940828631e-05;3.41651692279e-05;0.006562934831109999;0.00242255054785;967.297020419;2.7;1.7;2.12182988952;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Ijzersteenweg_2_1572624;[43.21191009886887, 49.705868894910537, 34.894182779632018, 43.78876266583071];106.210426331;320.419823866;140.921710417;[10.802977524717218, 5.7338164932535376, 8.7235456949080046, 10.947190666457677];[10.802977524717218, 5.7338164932535376, 8.7235456949080046, 10.947190666457677];29404548.9126;27979744.8628;30098234.3525;6247517.49135;0.000233211703368;0.004246295753249999;0.000325167094383;0.0099195449898;0.000161513220929;4.45107641762e-05;0.00855026482153;0.00385906998589;550.097068025;2.7;1.7;2.23554964973;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Ijzersteenweg_7_1574043;[56.629623691167822, 39.585519612825195, 6.7709510262897421, 39.943878670094392];95.17435073850001;268.117770547;95.1954483658;[9.7233779891114196, 9.8963799032062987, 1.6813942440267646, 9.985969667523598];[9.7233779891114196, 9.8963799032062987, 1.6813942440267646, 9.985969667523598];24491687.8754;25072435.3827;25178638.7233;4220323.660569999;0.000279992337545;0.00509807293841;0.0003628723017819999;0.0110697797694;0.000192877663096;6.58911022256e-05;0.0126573062458;0.00446597148264;474.59120427;2.7;1.7;2.23308653398;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Ijzersteenweg_8_1574040;[2.6999755229158851, 38.186571977495866, 51.215440395942963, 38.108668520170994];87.64852523799999;130.210656417;87.6498529861;[0.64131398932129569, 9.0972593501470005, 8.3110074383920711, 9.5271671300427485];[0.64131398932129569, 9.0972593501470005, 8.3110074383920711, 9.5271671300427485];22312176.2921;23089855.2853;15721700.4646;3885802.8903;0.000307342719459;0.005596066001779999;0.000394029855371;0.0120202718701;0.000446632145091;7.15635315519e-05;0.0137469476801;0.005066855389060001;437.951987925;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Ijzersteenweg_18_1573851;[67.433381675762149, 50.173594281057831, 67.592411896741652, 56.786654072945545];122.470783234;731.869174861;152.794236852;[16.858345418940537, 12.543398570264458, 16.898102974185413, 14.196663518236386];[16.858345418940537, 12.543398570264458, 16.898102974185413, 14.196663518236386];41465386.7531;32263322.7868;67235458.8519;6773865.18006;0.000165378535584;0.00301119610718;0.000281994895527;0.00860253420901;6.61528042521e-05;4.10521571292e-05;0.00788588606479;0.00230967691587;933.416519929;2.7;1.7;2.03064111762;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Ijzersteenweg_9_1574041;[51.267886728569501, 36.049976628979238, 3.1764062172686041, 37.503120002918941];84.6976013184;127.997389578;84.7011146952;[8.3775941394694033, 9.0124941572448094, 0.75318914070055565, 9.3757800007297352];[8.3775941394694033, 9.0124941572448094, 0.75318914070055565, 9.3757800007297352];21932923.1553;22312473.0523;15454469.5079;3755075.73693;0.000312657136037;0.00569283037604;0.000407758132291;0.0124390665848;0.000454355084748;7.40549052071e-05;0.0142255263996;0.00507747745591;421.681339901;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Ijzersteenweg_4_1571950;[5.2301218291198328, 38.74891924549631, 52.501241028649474, 39.150626982397306];84.6730690002;257.279903531;84.6740357705;[0.89317086792823563, 9.6872298113740776, 8.8213431321312701, 9.7876567455993264];[0.89317086792823563, 9.6872298113740776, 8.8213431321312701, 9.7876567455993264];23240960.7436;22306010.3347;24145505.3986;3753875.24018;0.000295060303845;0.00537242898653;0.000407876272005;0.0124426705541;0.000200646207859;7.40785881127e-05;0.0142300757512;0.00478692234453;442.5376228219999;2.7;1.7;2.2271725744;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Ijzersteenweg_2023_1573972;[79.954603589236058, 67.133632635737925, 79.997717626311001, 67.319707721997361];187.77324295;1045.49863338;225.330497538;[19.988650897309014, 16.783408158934481, 19.99942940657775, 16.82992693049934];[19.988650897309014, 16.783408158934481, 19.99942940657775, 16.82992693049934];50447722.2002;49466399.9696;95532140.7183;9989633.3967;0.000135932498824;0.00247504556654;0.000183924691188;0.005610805276709999;4.5494423875e-05;2.78370353246e-05;0.005347336274200001;0.00189843351522;1438.24059594;2.7;1.7;1.98159354032;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Ijzersteenweg_6_1574042;[3.2336680609851958, 36.919671872707184, 52.597029921494723, 38.912295858906418];84.4898033142;249.275336613;84.4912604541;[0.78142705204684848, 9.229917968176796, 8.7130084921665869, 9.7280739647266046];[0.78142705204684848, 9.229917968176796, 8.7130084921665869, 9.7280739647266046];22560984.5564;22257731.3915;23396822.9226;3745772.21629;0.000303953265936;0.00553435116545;0.000408760990893;0.012469659782;0.000207152069082;7.42388382653e-05;0.0142608588947;0.00491091292166;432.482242465;2.7;1.7;2.22818167855;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Ijzersteenweg_5_1574035;[51.259369040223746, 37.02814289805405, 2.9970298830743847, 37.73890520172975];84.4701080322;129.023447023;84.471683754;[8.4875722460512719, 9.2570357245135124, 0.74925747076859617, 9.4347263004324375];[8.4875722460512719, 9.2570357245135124, 0.74925747076859617, 9.4347263004324375];22108742.6714;22252542.9276;15578356.2024;3744904.31754;0.000310170733839;0.00564755820941;0.000408856298726;0.012472567242;0.000450741831279;7.42560434566e-05;0.0142641639141;0.00500302324736;425.827064471;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
