BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Plattewijerstraat_20_1572055;[70.537867054945522, 72.330236046732466, 70.832439744216884, 64.784705226764956];146.072433472;842.869662746;189.726264251;[17.634466763736381, 17.808505102781531, 15.573497924332358, 15.163843034921136];[17.634466763736381, 17.808505102781531, 15.573497924332358, 15.163843034921136];47719688.3937;38480868.2276;77430832.9149;8411182.0029;0.000143703472707;0.00261653869454;0.00023643157646;0.00721257993266;5.74360321628e-05;3.30609630903e-05;0.00635082310783;0.00211131358835;1057.29203737;2.7;1.7;2.03040131871;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Plattewijerstraat_21_1572604;[38.245408718472135, 46.793588719477086, 38.407142736617885, 46.450624668179941];98.2326126099;329.755720226;128.388480321;[5.008779082392766, 11.698397179869271, 9.6017856841544713, 11.612656167044985];[5.008779082392766, 11.698397179869271, 9.6017856841544713, 11.612656167044985];29112567.8416;25878094.3923;30907513.8814;5691878.66171;0.000235550672685;0.00428888347648;0.0003515750503369999;0.0107251458999;0.0001559824;4.88558864782e-05;0.00938493812027;0.003684636909;591.660533243;2.7;1.7;2.21522006874;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Plattewijerstraat_11_1572110;[44.102455247371672, 65.315332939617349, 42.903765255427011, 66.792001679517767];152.783557892;219.113555122;153.05909582;[11.025613811842918, 15.453690956077796, 10.725941313856753, 16.698000419879442];[11.025613811842918, 15.453690956077796, 10.725941313856753, 16.698000419879442];37546084.2024;40248826.0026;26455881.3861;6785607.239030001;0.000182641814302;0.00332552418784;0.00022604615444;0.006895762324880001;0.000265416097862;4.09811189991e-05;0.00787224004374;0.00259218883497;784.108549589;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Plattewijerstraat_15_1572112;[14.44115241523847, 29.196550358195939, 22.116714675914992, 45.39358911676139];125.427021027;111.148006566;126.214405704;[3.6102881038096175, 7.212647464706059, 4.2103004398844313, 11.348397279190348];[3.6102881038096175, 7.212647464706059, 4.2103004398844313, 11.348397279190348];19045706.2829;33042104.89;13420066.4873;5595494.86705;0.000360054115967;0.00655582992402;0.000275348449165;0.00839977776518;0.000523232638945;4.96974413079e-05;0.00954659602009;0.0052963890532;395.032335898;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Plattewijerstraat_19_1572114;[43.439668055309888, 52.242044297890281, 41.38234076616456, 51.225182799599544];143.979782104;188.289235919;144.997865453;[8.7034388710690234, 13.06051107447257, 10.34558519154114, 10.468176356932418];[8.7034388710690234, 13.06051107447257, 10.34558519154114, 10.468176356932418];32264199.731;37929586.6504;22734137.5068;6428226.69372;0.000212541609457;0.0038699367167;0.000239867953808;0.007317410034750001;0.000308866646068;4.3259485235e-05;0.00830990124856;0.00328170277;654.292088926;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Plattewijerstraat_9_1572109;[18.336406607769373, 73.995923204582624, 39.025422923888364, 67.701012089538864];153.949455261;199.058764826;159.986609196;[3.269636598047486, 18.498980801145656, 7.8226662220502785, 16.925253022384716];[3.269636598047486, 18.498980801145656, 7.8226662220502785, 16.925253022384716];34109606.5062;40555966.3848;24034455.87;7092726.42502;0.000201042628194;0.00366056439705;0.000224334250904;0.00684353900821;0.000292156262699;3.92066126734e-05;0.00753136746397;0.00300382194875;706.0235022060001;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Plattewijerstraat_3_1572106;[52.076450981912927, 42.024164846569668, 13.640781318491474, 102.12391336938474];110.363178253;375.752174225;113.027790932;[8.7035004757574264, 10.506041211642417, 3.4101953296228684, 25.530978342346184];[8.7035004757574264, 10.506041211642417, 3.4101953296228684, 25.530978342346184];35961356.2722;29073732.9324;35382973.5104;5010889.37088;0.000190690386835;0.00347207180476;0.000312931688537;0.009546291789049999;0.000138669003379;5.54954933469e-05;0.0106603688636;0.00290187576046;623.39988339;2.7;1.7;2.25852054868;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Plattewijerstraat_13_1572111;[42.181945482847425, 73.745559648030607, 41.875892624599565, 73.296457087157137];148.234870911;527.569596664;153.542147295;[10.545486370711856, 18.436389912007652, 10.468973156149891, 18.324114271789284];[10.545486370711856, 18.436389912007652, 10.468973156149891, 18.324114271789284];39599990.0794;39050534.0308;49037602.5256;6807022.48111;0.000173168854965;0.00315304147611;0.000232982533131;0.00710736344222;9.51664787951e-05;4.08521902955e-05;0.00784747357254;0.0024184765299;887.945580421;2.7;1.7;2.13804619581;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Plattewijerstraat_7_4753926;[47.594725274931349, 63.437157670425258, 45.83824181169836, 5.6335643369348904];108.633666992;349.714870735;109.041321775;[6.2461798021353072, 15.859289417606314, 11.45956045292459, 1.3972088368209903];[6.2461798021353072, 15.859289417606314, 11.45956045292459, 1.3972088368209903];27845731.363;28618115.857;32599905.7641;4834156.235069999;0.000246267007652;0.00448400544938;0.000317913743311;0.00969827431535;0.000144793499738;5.75243670709e-05;0.0110501039749;0.00399652309769;668.0112168859999;2.7;1.7;2.16467480423;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Plattewijerstraat_5_1572107;[42.273271025247276, 6.9729267841880089, 41.221020533410488, 62.020516444594968];103.316040039;321.450724595;104.015422333;[5.1884664597013845, 1.6995783144979899, 10.305255133352622, 15.505129111148742];[5.1884664597013845, 1.6995783144979899, 10.305255133352622, 15.505129111148742];26129452.9541;27217256.727;29996610.1024;4611341.77602;0.000262442728928;0.004778531391109999;0.00033427661097;0.0101974398358;0.000158006969683;6.03038749351e-05;0.0115840316383;0.004273214277969999;612.504344518;2.7;1.7;2.17437359172;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
