BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Schoorbosstraat_9_1573876;[45.907518819814911, 92.923361873339559, 48.209972320237462, 90.778412145758921];163.031036377;552.437963279;194.306508007;[11.062754956565071, 23.215273970111717, 12.052493080059365, 22.69460303643973];[11.062754956565071, 23.215273970111717, 12.052493080059365, 22.69460303643973];47605569.2534;42948389.9099;51710480.2755;8614239.09673;0.000144047955863;0.00262281100997;0.000211837797824;0.00646232230246;9.27579142758e-05;3.22816414336e-05;0.00620111984685;0.0020242975824;1102.68470185;2.7;1.7;2.20289676602;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Schoorbosstraat_11_1572282;[57.884123348856029, 83.473926331552434, 56.908914360054951, 83.043875898323563];205.357303619;281.310839939;205.395184846;[14.21201672758381, 20.377265818006762, 14.227228590013738, 20.760968974580891];[14.21201672758381, 20.377265818006762, 14.227228590013738, 20.760968974580891];48203866.1529;54098690.3028;33965612.9896;9105836.18495;0.000142260060986;0.00259025719592;0.000168175833605;0.005130370743109999;0.0002067331099;3.05388513582e-05;0.00586633977849;0.00200822728171;1000.8473084;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Schoorbosstraat_10_1572269;[36.576595923756088, 62.227992257985576, 33.772025310581078, 62.370610107601713];159.370616913;194.9472236;161.707505103;[7.3970917939976655, 15.556998064496394, 8.4430063276452696, 15.592652526900428];[7.3970917939976655, 15.556998064496394, 8.4430063276452696, 15.592652526900428];33405075.593;41984100.3742;23538026.3044;7169019.334369999;0.000205282724763;0.00373776765827;0.000216703281898;0.00661074872383;0.000298317994558;3.87893747769e-05;0.00745121843543;0.00297357184443;741.19128891;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Schoorbosstraat_1_1572290;[114.82493054859388, 46.529786660040017, 111.31532380666449, 38.674523285644611];102.844482422;722.722493988;122.834000401;[28.706232637148471, 11.632446665010004, 27.828830951666124, 9.6686308214111527];[28.706232637148471, 11.632446665010004, 27.828830951666124, 9.6686308214111527];53350278.6749;27093031.0529;67124230.5608;5445630.51189;0.000128537003161;0.00234038910902;0.000335809320148;0.0102441966507;6.93059550975e-05;5.106512039999999e-05;0.00980931940049;0.00179514800991;948.4952270169999;2.7;1.7;2.1307940695;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Schoorbosstraat_14_1574109;[55.365921386214048, 99.434735172247485, 50.920293990836051, 91.491917604034484];228.721866608;297.212868153;230.312028085;[13.841480346553512, 24.645900559034569, 12.076437978355882, 22.106627793363444];[13.841480346553512, 24.645900559034569, 12.076437978355882, 22.106627793363444];50928749.5587;60253778.2148;35885631.9131;10210480.8384;0.000134648602176;0.00245166850268;0.000150996213153;0.00460628936795;0.000195672095729;2.72349345878e-05;0.005231676144709999;0.00192275402366;1094.90287571;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Schoorbosstraat_4_1574233;[43.208330489070946, 61.69211883717054, 43.178768249442896, 61.861994379589312];142.489761353;494.92073466;158.949179104;[10.802082622267736, 15.423029709292635, 10.794692062360724, 15.465498594897328];[10.802082622267736, 15.423029709292635, 10.794692062360724, 15.465498594897328];35974362.322;37537060.211;45933769.6244;7046733.77685;0.000190621445275;0.00347081652361;0.000242376261952;0.00739392846455;0.000100988289782;3.94625065385e-05;0.007580523221079999;0.00266221943655;854.073071793;2.7;1.7;2.12419158716;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Schoorbosstraat_18_1572267;[33.900838757137599, 10.498075340707789, 34.044119801167163, 40.841064912266887];159.745342255;119.284098811;160.478705523;[8.4752096892843998, 2.1240398566016987, 7.4958670826548577, 10.210266228066722];[8.4752096892843998, 2.1240398566016987, 7.4958670826548577, 10.210266228066722];20439861.9496;42082816.8545;14402422.377;7114542.65476;0.000335495658218;0.00610867194121;0.000216194946504;0.006595241448060001;0.000487544151891;3.90863884354e-05;0.007508273071140001;0.00493642479446;609.39076198;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Schoorbosstraat_16_1572268;[38.28466326726064, 77.395406188137443, 37.591224120720618, 84.591063893295541];162.498649597;237.862357469;163.029516145;[9.5711658168151601, 19.348851547034361, 7.7026265501725506, 21.147765973323885];[9.5711658168151601, 19.348851547034361, 7.7026265501725506, 21.147765973323885];40758775.0432;42808139.5901;28719621.2572;7227628.381089999;0.000168245609231;0.00306339950211;0.000212531832164;0.00648349450893;0.000244495452781;3.84748306196e-05;0.00739079629052;0.00241866716927;833.7729000060001;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Schoorbosstraat_13_1572283;[64.915522237482321, 71.352640002903044, 61.735342508879725, 71.583449926450371];112.82831192;483.649378382;112.830683926;[13.52903422725112, 17.838160000725761, 15.433835627219931, 17.895862481612593];[13.52903422725112, 17.838160000725761, 15.433835627219931, 17.895862481612593];46194926.1628;29723140.0899;45537725.4269;5002150.97662;0.000148446712838;0.00270290314425;0.00030609458863;0.009337719269590001;0.000107698002872;5.55924399411e-05;0.0106789917533;0.00215972342261;857.3973083530001;2.7;1.7;2.25740163582;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Schoorbosstraat_5_1572288;[52.697288703888908, 55.249980730203077, 53.964445461494279, 54.741346031816128];139.390270233;216.653060927;139.394965738;[13.174322175972227, 13.812495182550769, 13.49111136537357, 13.685336507954032];[13.174322175972227, 13.812495182550769, 13.49111136537357, 13.685336507954032];37124467.5564;36720539.8964;26158800.0735;6179831.93699;0.000184716048203;0.00336329163466;0.000247765756285;0.00755834033903;0.000268430386075;4.49982751278e-05;0.00864391290457;0.00257974465077;768.4045096839999;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Schoorbosstraat_6_1572271;[52.190734484791932, 16.164980423813951, 46.343948310544619, 85.258084602461324];97.72950744629999;365.016936664;98.1684609014;[13.047683621197983, 3.9921648666034071, 9.2243609125693862, 21.314521150615331];[13.047683621197983, 3.9921648666034071, 9.2243609125693862, 21.314521150615331];34263651.249;25745557.9305;34332575.8765;4352126.97011;0.000200138767723;0.0036441069945;0.0003533849358859999;0.0107803582552;0.000142297332132;6.38956031508e-05;0.0122739822149;0.0029367617028;729.665162864;2.7;1.7;2.24780402698;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Schoorbosstraat_12_1574234;[3.3288306642316625, 110.44778322953863, 39.232673433275437, 74.835156352953589];156.157779694;227.84444368;156.219361985;[0.0, 27.611945807384657, 9.8081683583188592, 18.708789088238397];[0.0, 27.611945807384657, 9.8081683583188592, 18.708789088238397];39042160.8681;41137720.515;27510053.2832;6925712.11064;0.000175643068575;0.00319809171412;0.000221161800525;0.00674676026029;0.000255245481741;4.0152084479e-05;0.007712987224250001;0.00248940181706;817.312438443;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Schoorbosstraat_8_1572270;[53.724183005852296, 67.979782387534371, 48.171401834469123, 0];85.4586448669;340.792656962;85.7458156196;[13.431045751463074, 16.994945596883593, 12.042850458617281, 0.0];[13.431045751463074, 16.994945596883593, 12.042850458617281, 0.0];29108901.2649;22512960.0013;31884384.0847;3801390.72473;0.000235580342805;0.00428942370711;0.0004041268823869999;0.0123282917019;0.000150159804139;7.31526427775e-05;0.0140522069149;0.00329011547772;683.3388556230001;2.7;1.7;2.19847132489;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
