BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Schurfstraat_23_1572132;[58.36025691963269, 89.692694646868873, 70.734650123554374, 87.90931317615572];423.165054321;696.095649913;502.820457756;[13.517283440112084, 21.532522788591432, 14.404568809479427, 21.632917549888827];[13.517283440112084, 21.532522788591432, 14.404568809479427, 21.632917549888827];52553883.2309;111477287.719;64719995.5527;22291665.3193;0.000130484837981;0.00237585509381;8.16138652528e-05;0.00248971197317;7.21859343595e-05;1.24746973257e-05;0.00239631845639;0.00196557483993;1272.39320133;2.7;1.7;2.14059593664;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Schurfstraat_55_1573901;[51.769809908050973, 100.25068954130211, 49.231137391881305, 97.967340759620797];121.429916382;733.8028322760001;156.770767567;[9.5144401757122239, 24.011009522695161, 11.007406056382049, 24.491835189905199];[9.5144401757122239, 24.011009522695161, 11.007406056382049, 24.491835189905199];51272505.3532;31989120.0559;67983022.0356;6950157.712439999;0.000133745852507;0.00243523132551;0.000284412085194;0.008676272979219999;6.77450467262e-05;4.001085863800001e-05;0.00768585854284;0.00202431031328;1101.75736859;2.7;1.7;2.10776481698;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Schurfstraat_35_1572167;[71.572653867260755, 53.397182486190516, 74.115240393254595, 53.921287554040561];148.131034851;845.530503705;180.074773598;[17.893163466815189, 13.349295621547629, 18.528810098313649, 13.48032188851014];[17.893163466815189, 13.349295621547629, 18.528810098313649, 13.48032188851014];43353768.1066;39023179.7818;77410071.0256;7983300.0499;0.000158175061549;0.00288003596058;0.000233145847916;0.00711234552186;5.66185084446e-05;3.48329357541e-05;0.00669120898555;0.00220907318496;1080.98814172;2.7;1.7;1.99922795593;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Schurfstraat_41_1572169;[65.500010425065355, 30.473679575136003, 67.264714764311336, 36.667917731733766];164.846473694;495.884090441;194.161896529;[16.375002606266339, 7.6184198937840009, 16.816178691077834, 6.8050084184196571];[16.375002606266339, 7.6184198937840009, 16.816178691077834, 6.8050084184196571];34254839.2903;43426643.0786;45917933.09100001;8607827.99985;0.000200190252844;0.00364504443052;0.000209504849871;0.00639115340938;0.000100094016118;3.23056847498e-05;0.00620573843124;0.00293454876341;789.9900294;2.7;1.7;2.10313114768;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Schurfstraat_18_1572259;[45.059230163061152, 80.481624144945428, 45.137790802814479, 80.659239056040391];227.011856079;705.361596325;251.840838723;[11.264807540765288, 20.120406036236357, 11.28444770070362, 20.164809764010098];[11.264807540765288, 20.120406036236357, 11.28444770070362, 20.164809764010098];43067866.5997;59803298.3519;64982620.4156;11164922.9938;0.000159225090075;0.00289915477667;0.000152133621211;0.00464098712979;6.92587615068e-05;2.49067349501e-05;0.00478444222661;0.00222373788517;1385.36376621;2.7;1.7;2.05632487716;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Schurfstraat_59_1573904;[51.291948158512994, 95.812357340844216, 49.51775274372541, 88.625429327467756];198.481491089;685.0814414280001;173.417464365;[8.4744796795518127, 15.862659432280065, 12.243638131937807, 22.156357331866939];[8.4744796795518127, 15.862659432280065, 12.243638131937807, 22.156357331866939];48878428.2692;52287347.6034;63528648.0148;7688159.8919;0.000140296756289;0.00255450953713;0.000174001794997;0.00530809747847;7.27695457552e-05;3.61701345516e-05;0.00694807727458;0.00237885955383;1980.20305348;2.7;1.7;2.11637018655;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Schurfstraat_42_1572154;[33.924932513460064, 84.678569622808055, 37.267685383126292, 106.86604570435078];318.003456116;555.2585039759999;269.42747911;[8.481233128365016, 20.037385254458634, 4.8969853677073587, 26.716511426087695];[8.481233128365016, 20.037385254458634, 4.8969853677073587, 26.716511426087695];45021195.8646;83773842.8797;51808014.8314;11944595.9278;0.000152316810049;0.00277336949355;0.000108603020058;0.00331304293117;9.14392459194e-05;2.32809698565e-05;0.00447214199216;0.00232367335391;910.7831602489999;2.7;1.7;2.17318002578;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Schurfstraat_16_1574237;[70.720568759011755, 69.700691805744455, 75.423907994073858, 69.723865518959499];351.987064362;730.483737447;257.430307191;[17.680142189752939, 17.425172951436114, 9.9141226220235765, 17.430966379739875];[17.680142189752939, 17.425172951436114, 9.9141226220235765, 17.430966379739875];48933526.6963;92726379.0957;67551633.6846;11412722.2996;0.000140138784217;0.00255163319719;9.81176276626e-05;0.00299317562787;6.76713579219e-05;2.43659462172e-05;0.00468055978458;0.00223741376325;1037.56455226;2.7;1.7;2.09093140537;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Schurfstraat_20_1574236;[62.355944992365686, 69.276012677753499, 61.455367062561287, 68.694230091768503];161.041488647;863.306426651;213.820814596;[14.992615087185046, 17.319003169438375, 12.227794827743432, 15.56117106510481];[14.992615087185046, 17.319003169438375, 12.227794827743432, 15.56117106510481];44857436.1116;42424269.6349;79072259.8769;9479371.73947;0.00015287286865;0.00278349415386;0.000214454896146;0.00654215948462;5.55333430571e-05;2.93354649851e-05;0.005635176095670001;0.00232489244035;1198.49494709;2.7;1.7;2.0032313287;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Schurfstraat_50_1574127;[29.990506966162801, 85.625321421211851, 40.294035126633212, 85.801535340678583];117.909416199;636.068652883;135.882713798;[7.4976267415407003, 20.731510618637969, 6.45919765939413, 20.797679188616485];[7.4976267415407003, 20.731510618637969, 6.45919765939413, 20.797679188616485];41418325.4387;31061690.421;58750593.4831;6024122.39185;0.000165566445916;0.00301461756001;0.000292903966761;0.00893532625585;7.74298984319e-05;4.61613758247e-05;0.00886733793797;0.00251824528656;762.077769846;2.7;1.7;2.08000834935;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
