BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Volmolen_19_4752780;[87.933499054194698, 75.989081778936821, 91.958349558095676, 81.237730639819546];495.606361389;955.337914571;366.345247734;[17.587592999475966, 18.997270444734205, 19.269431024243843, 12.302422388747896];[17.587592999475966, 18.997270444734205, 19.269431024243843, 12.302422388747896];57766785.0181;130561000.677;87978964.0043;16241275.6439;0.000118709824972;0.00216145681527;6.96846094273e-05;0.00212579818269;5.10752569792e-05;1.71219172583e-05;0.003289022993;0.00205008985457;1372.70073414;2.7;1.7;2.05287897182;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Volmolen_27_1572405;[66.591476304880018, 107.78685550730088, 61.243913715634278, 100.73320555955314];172.108913422;967.668698768;211.906437134;[11.225254755739201, 26.946713876825221, 15.301002361497691, 25.117313963621296];[11.225254755739201, 26.946713876825221, 15.301002361497691, 25.117313963621296];57636005.5928;45339837.6461;89063041.0823;9394501.16383;0.00011897918442;0.00216636128562;0.000200664422524;0.00612146739775;5.03317399871e-05;2.96004836121e-05;0.005686084667680001;0.00177792196358;1443.50496307;2.7;1.7;2.04759360462;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Volmolen_46_1572175;[114.3714007683942, 76.263121220130287, 92.35578320498189, 78.374249274858329];285.411987305;932.188529078;354.126036047;[28.545036828204896, 18.89289058640253, 21.987927853155586, 19.593562318714582];[28.545036828204896, 18.89289058640253, 21.987927853155586, 19.593562318714582];61921426.9162;75188047.553;86173528.2538;15699558.271;0.000110744943716;0.0020164330409;0.000121004503172;0.00369136248383;5.29702480348e-05;1.77127135008e-05;0.00340251159339;0.00156962826244;1867.12499839;2.7;1.7;2.08765179274;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Volmolen_17_1574114;[37.647105799083121, 89.314727231211208, 33.453386296822025, 8.1327929235206131];168.995986938;487.229782575;189.243667853;[8.056209720636776, 22.328681807802802, 8.3633465742055062, 2.0176198946426069];[8.056209720636776, 22.328681807802802, 8.3633465742055062, 2.0176198946426069];28881453.0739;44519777.961;44835878.5197;8389786.93586;0.0002374355930470001;0.004323203921020001;0.000204360685415;0.00623422556629;9.99039793885e-05;3.31452729217e-05;0.00636701854727;0.00342755925214;980.123772515;2.7;1.7;2.04593125929;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Volmolen_41_1572536;[46.41006421858124, 68.725484394648845, 45.730820858355926, 72.332956088644792];244.974784851;466.402053832;263.062529268;[9.8455180010941312, 17.181371098662211, 11.432705214588982, 17.575762855603696];[9.8455180010941312, 17.181371098662211, 11.432705214588982, 17.575762855603696];39959743.7436;64535396.5214;43643511.64;11662417.0119;0.000171609832702;0.00312465495211;0.000140978328623;0.004300683856149999;0.000109770898449;2.38442663694e-05;0.00458034805079;0.00249355765372;795.460049398;2.7;1.7;2.19999635217;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Volmolen_38_1574097;[37.253612618467599, 110.6681154693585, 37.288707556432293, 108.32136049546403];174.404308319;427.741360349;200.231836264;[8.292297669803844, 27.667028867339624, 8.1478015022184671, 26.768449027455702];[8.292297669803844, 27.667028867339624, 8.1478015022184671, 26.768449027455702];50297981.4636;45944529.3493;40830874.1171;8876928.158780001;0.000136337179726;0.00248241395659;0.000198023409261;0.006040900666539999;0.000126235228153;3.13263521761e-05;0.00601761420986;0.00197144629409;791.848719878;2.7;1.7;2.3862366452;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Volmolen_23_1574096;[58.425763784733164, 75.89600718132364, 66.663642675960531, 73.821308076410233];198.479404449;671.765530617;235.444987666;[14.578794607238123, 18.972908502526778, 16.657393617356782, 18.442818360623185];[14.578794607238123, 18.972908502526778, 16.657393617356782, 18.442818360623185];47089356.5087;52286797.9056;62244499.8022;10438041.6214;0.000145627068346;0.00265156333471;0.0001740036243;0.005308153283180001;7.40335737892e-05;2.66411830715e-05;0.00511761985301;0.00203530219909;1220.56465942;2.7;1.7;2.10908130768;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Volmolen_11_1572404;[47.006538161518691, 75.340791564122881, 42.249756773948661, 75.796071430903964];194.218547821;628.830253573;262.676895749;[11.751634540379673, 18.83519789103072, 10.562439193487165, 18.949017857725991];[11.751634540379673, 18.83519789103072, 10.562439193487165, 18.949017857725991];41192438.9813;51164331.0681;58096445.2397;11645320.6245;0.000166474360544;0.00303114878025;0.000177820996555;0.00542460601313;7.83817054297e-05;2.38792719162e-05;0.00458707241738;0.00232498120916;1196.28662321;2.7;1.7;2.08228624746;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Volmolen_43_1572537;[32.851245183359822, 58.446871602093807, 37.039156654892942, 58.49796790174954];144.337837219;475.510915781;193.244761856;[8.2128112958399555, 14.611717900523452, 8.8993795769328017, 14.624491975437385];[8.2128112958399555, 14.611717900523452, 8.8993795769328017, 14.624491975437385];32015051.2802;38023911.5779;43982470.4306;8567168.43865;0.000214195656869;0.00390005344927;0.00023927291962;0.00729925792619;0.000104026598384;3.24590066993e-05;0.00623519070633;0.00301471877115;813.396781013;2.7;1.7;2.09291472633;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Volmolen_8_4753386;[70.733310333533538, 69.484620651606576, 71.906314401239086, 69.841615286411667];265.186279297;619.396654435;220.319650443;[16.30721723008228, 11.380493831747499, 11.312805295347117, 12.998797073607003];[16.30721723008228, 11.380493831747499, 11.312805295347117, 12.998797073607003];48316106.875;69859849.8489;57680226.0122;9767486.257110002;0.000141929583781;0.00258423989948;0.000130233494035;0.00397290201124;8.15062592883e-05;2.84701478378e-05;0.005468953589699999;0.0026871007429;858.475783233;2.7;1.7;2.1552266446;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Volmolen_29_1574222;[38.833844621830465, 71.388556786166959, 46.732685500496608, 71.213588424680509];186.597560883;601.3637970980001;205.263799305;[9.6582769340416892, 17.846760030797057, 11.645723721509771, 17.738387219284199];[9.6582769340416892, 17.846760030797057, 11.645723721509771, 17.738387219284199];39097719.4069;49156681.9369;55541501.8803;9100011.43685;0.000175393476722;0.00319354717021;0.000185083532495;0.00564615688109;8.18820043797e-05;3.0558398709e-05;0.0058700947135;0.00245613441041;1098.6618367;2.7;1.7;2.07941870867;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Volmolen_42_4752661;[64.42993204852273, 128.30415240696502, 60.338090133972997, 116.47499211451147];210.883464813;1213.08102596;264.119639162;[15.581889518165788, 32.076038101741254, 14.106741840436456, 28.337734542978193];[15.581889518165788, 32.076038101741254, 14.106741840436456, 28.337734542978193];63323553.9906;55554485.0455;111126067.236;11709282.1297;0.000108292799543;0.00197178464103;0.000163768817786;0.004995930350939999;3.95411931035e-05;2.37488323079e-05;0.00456201570998;0.00155076210558;1345.90130699;2.7;1.7;2.00463518825;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Volmolen_9_1572594;[46.592757262976804, 89.623996878316603, 52.077134779376799, 89.692086143456152];327.443183899;585.875074185;340.920336069;[11.150061459646331, 22.405999219579151, 13.0192836948442, 22.423021535864038];[11.150061459646331, 22.405999219579151, 13.0192836948442, 22.423021535864038];47634135.7386;86260615.4507;54672355.2756;15114106.6656;0.000143961569415;0.00262123809402;0.000105472147295;0.0032175325497;8.669621366399998e-05;1.83988232912e-05;0.00353430938461;0.00202508265098;1164.01006862;2.7;1.7;2.17447994856;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Volmolen_68_1572541;[49.395475123153624, 92.958613882310644, 53.128285285462979, 81.340819214060701];153.100322723;717.55788894;161.996032054;[12.348868780788406, 23.239653470577661, 6.8933707691953376, 20.335204803515175];[12.348868780788406, 23.239653470577661, 6.8933707691953376, 20.335204803515175];47434887.9362;40332273.5461;66319114.4069;7181810.67195;0.000144566272569;0.00263224846956;0.000225578464557;0.00688149498075;6.87709799292e-05;3.87202880229e-05;0.00743794726264;0.00222435290056;1019.93600651;2.7;1.7;2.08578517186;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
