BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Weienhout_29_1572487;[92.933827164816776, 44.635568391158117, 92.523566766794673, 29.08204629994065];374.933837891;748.5435388960001;296.834668422;[22.704666337190453, 10.159874814360693, 22.559281901057801, 6.4226672486649559];[22.704666337190453, 10.159874814360693, 22.559281901057801, 6.4226672486649559];44410792.8033;98771405.8501;68884822.8015;13159645.7176;0.000154410324739;0.00281148800308;9.21126135677e-05;0.00280998671205;6.50348644877e-05;2.11314030569e-05;0.004059222427;0.00225926148872;979.884867072;2.7;1.7;2.04623905645;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Weienhout_18_1572545;[86.486213422927051, 40.177390480956049, 82.614731947139077, 43.323821366103672];166.077846527;383.03143273;190.243224614;[21.621553355731763, 5.3501538217320803, 20.653682986784769, 10.541947806773017];[21.621553355731763, 5.3501538217320803, 20.653682986784769, 10.541947806773017];43284505.4214;43751032.1136;36459317.2682;8434100.536139999;0.000158428168969;0.00288464451559;0.000207951490492;0.00634376663958;0.000139962144803;3.29711243721e-05;0.006333565600659999;0.00240216242696;773.1249973710001;2.7;1.7;2.35948153502;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Weienhout_8_1573831;[56.876244849565261, 49.247136047088262, 58.235259985551764, 44.837425116709433];99.10019302370002;442.526937581;126.809039079;[14.219061212391315, 6.3727417623406524, 14.558814996387941, 11.209356279177358];[14.219061212391315, 6.3727417623406524, 14.558814996387941, 11.209356279177358];35846678.2415;26106647.0822;41287667.4328;5621856.89743;0.000191300429358;0.00348317939901;0.000348497158979;0.0106312517688;0.000114716744439;4.9464399898e-05;0.00950183008974;0.00301396616391;608.788853109;2.7;1.7;2.17273069328;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Weienhout_21_1572483;[117.74113611478256, 66.923929864877181, 121.09362127146176, 63.979477875462628];250.628791809;820.527776943;331.904719483;[15.199709554085423, 13.187986696452404, 15.123224340237144, 10.487901825729526];[15.199709554085423, 13.187986696452404, 15.123224340237144, 10.487901825729526];63356282.4215;66024870.5552;76372011.5904;14714415.0769;0.000108236857918;0.00197076606142;0.000137797957983;0.0042036634928;6.14364367096e-05;1.88985954447e-05;0.00363031277484;0.00258760075678;1395.20137106;2.7;1.7;2.15061017496;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Weienhout_19_1572500;[56.049464153249033, 66.905745917058198, 60.205324923632979, 62.117781324389739];203.914180756;791.6471365089999;269.85099474;[10.159887026656406, 16.726436479264549, 13.421092299751335, 15.529445331097435];[10.159887026656406, 16.726436479264549, 13.421092299751335, 15.529445331097435];42029532.643;53718518.4973;72561392.8833;11963371.7523;0.000163158724531;0.00297077800589;0.000169366032294;0.00516667893556;6.07048038833e-05;2.32444317121e-05;0.004465123222289999;0.00250242207218;1029.82145076;2.7;1.7;2.00983288514;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Weienhout_26_5213849;[67.892849993800382, 48.322489239129339, 54.794081892816131, 49.582037323111265];106.188121796;432.96770204;124.22652623;[16.972701328805599, 12.080622309782335, 13.698488525175001, 12.395509330777816];[16.972701328805599, 12.080622309782335, 13.698488525175001, 12.395509330777816];37799329.5241;27973869.0254;40556366.4289;5507365.708319999;0.000181418163364;0.00330324407194;0.000325235394873;0.00992162856406;0.000118591770825;5.04927024047e-05;0.00969936115692;0.00253371133834;754.45890956;2.7;1.7;2.20948709894;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Weienhout_20_1572596;[53.228764087046642, 70.831367156677217, 53.811229890983483, 69.86522471241544];169.18693924;586.1104643259999;197.468997553;[13.30719102176166, 17.707841789169304, 13.452807472745871, 17.46630617810386];[13.30719102176166, 17.707841789169304, 13.452807472745871, 17.46630617810386];42450768.0826;44570081.8421;54388185.2901;8754442.53805;0.000161539714083;0.00294129922292;0.000204130034377;0.00622718932743;8.52338611923e-05;3.17646470961e-05;0.006101808172939999;0.0022560639281;1132.55787513;2.7;1.7;2.12267900153;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Weienhout_15_1573832;[50.667743596906035, 44.816383424590953, 53.131307230934524, 39.975843395496092];144.603038788;477.797355224;169.622095035;[12.666935899226509, 11.204095856147738, 13.282826807733631, 9.993960848874023];[12.666935899226509, 11.204095856147738, 13.282826807733631, 9.993960848874023];32315955.9274;38093775.4555;44202595.5076;7519898.83257;0.000212201209646;0.00386373875043;0.000238834093755;0.00728587110758;0.000103591160766;3.69794572953e-05;0.00710354357386;0.00296360246333;792.5722156439999;2.7;1.7;2.09470975631;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Weienhout_25_1572485;[64.630495303711029, 54.84799707248591, 77.382551819295855, 45.031402680190112];171.680671692;562.457876563;190.62723298;[16.157623825927757, 13.711999268121478, 17.261410847544347, 11.257850670047528];[16.157623825927757, 13.711999268121478, 17.261410847544347, 11.257850670047528];41449348.824;45227022.9748;52235204.7243;8451124.875260001;0.000165442525232;0.00301236122439;0.000201164961569;0.00613673683816;8.90325525393e-05;3.29047058053e-05;0.00632080697146;0.00239304783229;1038.25147929;2.7;1.7;2.13006322243;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Weienhout_11C11D_1573947;[82.476355376184941, 61.388913316289646, 81.493295816640654, 62.443158606391634];173.841930389;983.169444673;210.047219154;[20.619088844046235, 15.347228329072411, 20.373323954160163, 15.610789651597909];[20.619088844046235, 15.347228329072411, 20.373323954160163, 15.610789651597909];49316107.9134;45796378.25399999;89946927.6915;9312075.98735;0.000139051624891;0.00253183830713;0.000198664014175;0.006060442955350001;4.85769339204e-05;2.98624901817e-05;0.005736414640600001;0.00194199523529;1332.38277339;2.7;1.7;1.99272850644;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
