BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Zavelputstraat_9_1572274;[38.428524531436281, 69.190888623323531, 38.930836732944719, 69.345424270145713];154.938446045;378.312765527;157.93835089;[7.0229281031296029, 17.297722155830883, 8.3325295171353293, 17.336356067536428];[7.0229281031296029, 17.297722155830883, 8.3325295171353293, 17.336356067536428];36994685.9579;40816503.0454;35670561.3466;7001920.4764;0.000185364053271;0.0033750904472;0.00022290229833;0.006799855873520001;0.000138220227165;3.97150722693e-05;0.007629039662510001;0.00279513284914;759.2161408789999;2.7;1.7;2.27068038362;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Zavelputstraat_12_4752800;[41.025715138829177, 46.586678579327355, 42.463069742178575, 51.665656095092004];184.612270355;181.741119555;186.648357261;[10.109014870341472, 10.970984623474218, 10.227227256256446, 12.916414023773001];[10.109014870341472, 10.970984623474218, 10.227227256256446, 12.916414023773001];31142150.8088;48633683.166;21943514.6276;8274728.38121;0.000220199464731;0.00400937019219;0.000187073890899;0.00570687473993;0.000319995083839;3.36061517591e-05;0.00645555075252;0.00315956333095;623.402821356;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Zavelputstraat_17_1572277;[25.909925626863707, 42.430529316809952, 25.872319570363391, 42.273309188700011];135.845668793;136.486083703;150.450217336;[6.4774814067159268, 10.607632329202488, 6.4680798925908478, 10.568327297175003];[6.4774814067159268, 10.607632329202488, 6.4680798925908478, 10.568327297175003];23387498.7255;35786761.1011;16479398.7267;6669947.17565;0.000293211557984;0.005338767203760001;0.000254230672424;0.007755559023229999;0.000426096662834;4.1691751137e-05;0.00800874843855;0.00409499312924;598.103270897;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Zavelputstraat_15_1571915;[43.437925185137615, 67.090987268993544, 40.520524640072608, 19.146254688189316];114.262374878;313.935956675;118.345631246;[4.9854703211889602, 16.772746817248386, 10.130131160018152, 3.89861691882912];[4.9854703211889602, 16.772746817248386, 10.130131160018152, 3.89861691882912];29163790.3049;30100925.1818;29510055.5435;5246646.51775;0.000235136958089;0.00428135060183;0.000302252913612;0.00922052515973;0.000165172844502;5.30018130253e-05;0.0101813470466;0.00390442142556;664.600206201;2.7;1.7;2.24213506979;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Zavelputstraat_5_1572273;[51.500283901638042, 18.157392355126088, 53.918204836549457, 82.650456874177976];102.725021362;366.161419449;102.796184089;[9.3241438918879389, 4.5347691445759306, 13.479551209137364, 20.662614218544494];[9.3241438918879389, 4.5347691445759306, 13.479551209137364, 20.662614218544494];35337802.108;27061560.6023;34497202.7142;4557288.98152;0.000194055219329;0.0035333383438;0.000336199839777;0.0102561098396;0.000142496708268;6.1019123183e-05;0.0117214267616;0.00291092196719;763.5846918210001;2.7;1.7;2.26321154282;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Zavelputstraat_11_1572275;[34.802072672887412, 42.389958933401253, 34.678774404915941, 41.917853308728063];152.391239166;153.78865932;169.950901302;[8.7005181682218531, 10.597489733350313, 8.6696936012289854, 9.7036388612722071];[8.7005181682218531, 10.597489733350313, 8.6696936012289854, 9.7036388612722071];26352372.1706;40145474.776;18568520.4515;7534475.88318;0.000260222681065;0.00473810897802;0.000226628091694;0.00691351489847;0.0003781570438690001;3.69079126479e-05;0.007089800253720001;0.00370911659632;660.235594657;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Zavelputstraat_14_1571949;[41.264557941800533, 57.942849110712871, 40.298680660849968, 54.453911362345906];128.429611206;193.959999076;128.451698588;[10.316139485450133, 14.485712277678218, 10.074670165212492, 13.613477840586476];[10.316139485450133, 14.485712277678218, 10.074670165212492, 13.613477840586476];33235910.271;33833097.922;23418828.3164;5694681.33296;0.000206327580101;0.00375679228147;0.000268911004236;0.00820339711752;0.000299836384132;4.88318417634e-05;0.00938031926722;0.00288157134287;649.285420703;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Zavelputstraat_10_1572144;[56.282031349502788, 75.233491424693568, 54.975430847082777, 76.709248172475654];116.84381485;443.770438;117.120634289;[14.070507837375697, 18.808372856173392, 7.8737418781702848, 18.603471456677102];[14.070507837375697, 18.808372856173392, 7.8737418781702848, 18.603471456677102];45100527.5924;30780971.711;41942994.8449;5192338.42075;0.000152048885118;0.00276849114277;0.000295575215235;0.00901681534214;0.000118595469373;5.35561735792e-05;0.0102878365583;0.00235405304269;814.0583159560001;2.7;1.7;2.29309989863;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Zavelputstraat_3_1574231;[54.484077310994017, 79.884883649643413, 51.312270542878892, 80.835124241998585];129.738071442;441.170934908;129.789267382;[8.0503766368863552, 19.971220912410853, 12.828067635719723, 20.208781060499646];[8.0503766368863552, 19.971220912410853, 12.828067635719723, 20.208781060499646];45668765.3512;34177794.6228;41746398.7286;5753980.10539;0.000150157003062;0.00273404394039;0.000266198929422;0.0081206625832;0.000119668172638;4.83285956243e-05;0.0092836485441;0.00228842039622;835.758355795;2.7;1.7;2.3041113198;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Zavelputstraat_7_1571914;[50.764921226652824, 97.109978980587798, 58.805363177917812, 30.871961802532432];127.621013641;404.148004607;128.253309722;[9.1151599752350005, 24.277494745146949, 14.701340794479453, 7.6872528698793534];[9.1151599752350005, 24.277494745146949, 14.701340794479453, 7.6872528698793534];40705632.4945;33620083.4907;38176372.6533;5685886.10965;0.000168465259435;0.00306739887141;0.00027061480502;0.00825537325172;0.000130024692728;4.8907377387e-05;0.00939482923119;0.00250491693528;894.3514138219999;2.7;1.7;2.28778522343;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Zavelputstraat_4_1572147;[44.156572560664117, 37.791231146596495, 44.44638416238503, 42.418208489418276];154.948097229;168.812396359;168.284971877;[11.039143140166029, 9.4478077866491237, 11.111596040596257, 10.60385008213577];[11.039143140166029, 9.4478077866491237, 11.111596040596257, 10.60385008213577];28926756.4692;40819045.5234;20382494.0547;7460619.81665;0.000237063735299;0.00431643317172;0.000222888414512;0.00679943233388;0.0003445023353930001;3.72732808504e-05;0.007159985408850001;0.00331088761584;730.4579642919999;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Zavelputstraat_6_1572146;[20.592822471329711, 37.109702670975643, 19.954008631594373, 36.710212835718607];117.481342316;114.36674661;117.484679103;[5.1482056178324278, 9.2774256677439109, 4.9885021578985933, 9.1775532089296519];[5.1482056178324278, 9.2774256677439109, 4.9885021578985933, 9.1775532089296519];19597251.7345;30948919.9667;13808698.7869;5208477.71071;0.000349920745601;0.006371322513249999;0.000293971238686;0.00896788444536;0.000508506768909;5.33902213256e-05;0.0102559580736;0.00488699374223;370.620536798;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Zavelputstraat_16_1571948;[37.4034086649919, 73.890095206344014, 37.501594581158926, 76.284206118975789];162.289775848;225.079304571;162.374856521;[9.3508521662479751, 18.472523801586004, 7.5094521662807363, 18.457598682067569];[9.3508521662479751, 18.472523801586004, 7.5094521662807363, 18.457598682067569];38568341.9584;42753114.5384;27176188.9897;7198605.19196;0.000177800874771;0.00323738083707;0.000212805369547;0.00649183903832;0.000258381217677;3.86299526545e-05;0.00742059435179;0.00259762567469;814.6103968860001;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
