BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Binnenlaan_124126_1597867;[47.835232606982657, 45.356981904474537, 42.528557203792531, 39.939288485373339];225.899116516;403.749507222;193.827745913;[11.958808151745664, 7.6392634047030832, 6.6477952864793126, 9.8801305788603013];[11.958808151745664, 7.6392634047030832, 6.6477952864793126, 9.8801305788603013];46817633.8205;60091858.1405;16184574.9226;9425655.35785;0.000352652551478;0.00127324954761;0.000139916541947;0.000987851944671;0.000179718975709;6.01933480345e-05;0.00220193481838;0.0006623573464919999;585.833907331;2.7;1.7;2.13507188754;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Binnenlaan_106_1599757;[46.752376974316675, 57.917264455675671, 40.033066657025543, 42.714090599985823];175.513286591;339.013562298;194.198129456;[11.688094243579169, 14.479316113918918, 5.5105697308628407, 10.678522649996456];[11.688094243579169, 14.479316113918918, 5.5105697308628407, 10.678522649996456];49951087.5876;46688626.6854;16068229.5464;9443666.7504;0.000330530501302;0.00119337804162;0.000180083364775;0.0012714415295;0.000191496041987;6.00785445319e-05;0.00219773518772;0.0005649267112409999;570.168302745;2.7;1.7;2.25282979659;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Binnenlaan_22_1597826;[42.81036629664888, 111.71416946425056, 39.906319069606212, 128.86303360122395];349.45357132;623.714741093;297.861911567;[10.478447594396819, 27.056419765833194, 4.4874745915479686, 32.067281143836354];[10.478447594396819, 27.056419765833194, 4.4874745915479686, 32.067281143836354];86165602.2872;92958816.1224;28226412.6954;14484735.9671;0.000191611937742;0.0006918135485599999;9.04469886874e-05;0.000638582346454;0.000107463940401;3.91696303402e-05;0.00143286551896;0.000322964523126;975.31615349;2.7;1.7;2.21833613531;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Binnenlaan_3_1599101;[73.455599954756707, 136.49598704197038, 64.477757754463042, 146.75213587886449];527.682659149;1271.40555595;428.595015626;[9.6773303238511907, 34.097399717317963, 16.11943943861576, 35.093024746428803];[9.6773303238511907, 34.097399717317963, 16.11943943861576, 35.093024746428803];112255001.561;140369878.315;42772065.0633;20842160.0651;0.00014707904139;0.000531027840657;5.98977864137e-05;0.0004228959919009999;6.31189774326e-05;2.72218307333e-05;0.0009958026736989999;0.000251911007443;1443.15719955;2.7;1.7;2.03127232979;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Binnenlaan_78_1599557;[49.426590728458073, 40.076696284519215, 49.293726843091683, 69.244727507506866];249.514087677;470.429024689;220.489132472;[12.329194463718546, 10.00234438350188, 4.5032529114536652, 17.311181876876717];[12.329194463718546, 10.00234438350188, 4.5032529114536652, 17.311181876876717];55448131.211;66373722.0047;19066777.8094;10722172.7366;0.000297762208759;0.00107506835271;0.000126674303267;0.000894357844191;0.000153180169047;5.29148118899e-05;0.00193567845141;0.00054202722969;675.394923974;2.7;1.7;2.14223831959;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Binnenlaan_21_1595222;[107.24599577932175, 49.699438657101467, 51.487898483811009, 52.183195654213812];395.22460556;826.802556101;238.328766065;[26.068743051578132, 12.424859664275367, 11.564750376585391, 6.5093053359422894];[26.068743051578132, 12.424859664275367, 11.564750376585391, 6.5093053359422894];69460577.3699;105134456.908;26990511.7416;11589696.8218;0.000237693935843;0.000858192277393;7.99723062968e-05;0.000564628007494;9.85545417512e-05;4.89539771517e-05;0.00179078702727;0.000423003540476;1006.49071896;2.7;1.7;2.01521011474;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Binnenlaan_4_1596333;[36.497143645257211, 25.349150541462741, 36.700838261876044, 16.443368024414994];188.130592346;303.213217758;165.267484493;[9.1242859113143027, 5.9868271145437619, 2.9906598450720483, 3.9226381495800702];[9.1242859113143027, 5.9868271145437619, 2.9906598450720483, 3.9226381495800702];30647735.9613;50044980.4386;11103487.8349;8036797.5356;0.0005387137908580001;0.00194502233892;0.000168005760348;0.00118617008944;0.000252660517398;7.05955016155e-05;0.00258245633619;0.00108644538868;509.713461379;2.7;1.7;2.0792397354;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Binnenlaan_72_1599559;[52.784825782071479, 60.542878644087565, 56.94573402520475, 38.646738351483549];214.915103912;458.857264816;182.53655544;[13.19620644551787, 14.683697264246426, 5.3506407337438811, 9.6244331065655473];[13.19620644551787, 14.683697264246426, 5.3506407337438811, 9.6244331065655473];55682255.3977;57169979.8376;18970029.4966;8876575.71251;0.000296510224003;0.00107054807059;0.000147067482166;0.00103833968617;0.000155077674515;6.39167367894e-05;0.00233814022329;0.000558355672074;619.7055185180001;2.7;1.7;2.15530537015;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Binnenlaan_68_4753663;[61.73596138157113, 38.317131831231258, 64.411853139995884, 46.512214709959679];263.195404053;492.582309378;228.911251336;[15.433990345392782, 8.8840051146201979, 5.8921654666435757, 7.6938048856547798];[15.433990345392782, 8.8840051146201979, 5.8921654666435757, 7.6938048856547798];56230491.2103;70013115.2679;19538658.27;11131732.2113;0.000293619309836;0.0010601104454;0.00012008957119;0.0008478676987280001;0.000148276588073;5.09679664081e-05;0.00186446083364;0.000631288026961;769.789511423;2.7;1.7;2.12830844114;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Binnenlaan_60_1599521;[52.787532117237475, 69.63743602640551, 52.030712353187567, 18.424422240157476];139.524971008;461.649283035;145.727069672;[13.196883029309369, 17.409359006601377, 8.5078407693660303, 4.49869895073018];[13.196883029309369, 17.409359006601377, 8.5078407693660303, 4.49869895073018];51407189.6075;37115305.6913;18010677.5521;7086566.10827;0.000321168267454;0.0011595757624;0.000226533092847;0.00159939027356;0.000159832961704;8.0061590443e-05;0.00292873563887;0.0005486538310149999;646.303818073;2.7;1.7;2.11780656837;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
