BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Boslaan_41_1597324;[83.970640029954609, 67.271152995727149, 52.422175336340878, 67.180153736425723];303.51354599;626.234487699;262.10506161;[20.758152265135745, 11.706157432963506, 8.9679284434531059, 16.795038434106431];[20.758152265135745, 11.706157432963506, 8.9679284434531059, 16.795038434106431];72186477.2012;80738221.6922;25002900.1032;12745915.0218;0.000228718156933;0.000825785291003;0.000104137108968;0.0007352386227839999;0.000116158752113;4.45132226629e-05;0.00162833964317;0.000410946916959;826.525903847;2.7;1.7;2.1324963371;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Boslaan_2_1596135;[55.399983356920082, 83.334369240855651, 33.67620651402332, 62.679937224729201];372.781784058;614.900738036;298.722247192;[13.642495684536355, 20.833592310213913, 6.5032998452095239, 9.2049446989753623];[13.642495684536355, 20.833592310213913, 6.5032998452095239, 9.2049446989753623];62657275.4193;99164398.8273;22634989.3544;14526573.2544;0.000263502648503;0.00095137445226;8.47869304875e-05;0.0005986206705730001;0.000124215718501;3.90568197654e-05;0.00142873879166;0.000476808569151;857.0595362480001;2.7;1.7;2.08232267713;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Boslaan_16_1599614;[45.531633899280038, 53.601827246539216, 46.877181971811893, 33.360260989148323];266.61648941;528.04601397;199.382225636;[11.38290847482001, 13.400456811634804, 9.2981034263252607, 8.3400652472870807];[11.38290847482001, 13.400456811634804, 9.2981034263252607, 8.3400652472870807];47806663.0338;70923164.7589;18040162.9445;9695764.32141;0.0003453568388419999;0.00124690842864;0.000118548643716;0.000836988297474;0.000150752600168;5.85164546703e-05;0.00214059232779;0.0005640606917749999;501.48447555;2.7;1.7;2.03968801839;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Boslaan_5_4752707;[59.671476030297455, 109.3136623866243, 61.80037968495165, 96.817908426379816];440.997333527;802.5388971089999;356.436981224;[9.4599341713014802, 27.328415596656075, 15.450094921237913, 24.204477106594954];[9.4599341713014802, 27.328415596656075, 15.450094921237913, 24.204477106594954];87314197.9116;117310548.245;30831855.6088;17333184.813;0.000189091332404;0.000682712920783;7.16716878062e-05;0.0005060231992;9.28038305268e-05;3.27326893198e-05;0.00119739557054;0.000313022046117;1203.00649845;2.7;1.7;2.10820878304;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Boslaan_33_1596205;[36.192487228057509, 52.812343784003303, 35.685240094102824, 10.128517817919413];174.931427002;346.573990535;148.233857526;[3.9529911022341531, 13.203085946000826, 8.9213100235257059, 1.932198595064156];[3.9529911022341531, 13.203085946000826, 8.9213100235257059, 1.932198595064156];35932398.7549;46533845.0979;12901418.5842;7208468.7712;0.000459483880649;0.00165896330742;0.000180682360818;0.00127567061776;0.000218957099142;7.87076661378e-05;0.00287920768991;0.0008542903874510002;480.680971766;2.7;1.7;2.08900377006;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Boslaan_7_4754300;[25.12064794295042, 84.603417238362098, 20.465122878955903, 86.60968542673676];204.867389679;457.298308912;158.116698346;[2.8477049125892182, 21.150854309590525, 5.1160440511401672, 21.65242135668419];[2.8477049125892182, 21.150854309590525, 5.1160440511401672, 21.65242135668419];57782117.6881;54497168.0636;19438810.8914;7689061.738310001;0.000285734733885;0.00103164323959;0.000154280401881;0.00108926502114;0.000152830829389;7.37881646314e-05;0.00269924724561;0.000471335871386;502.764518246;2.7;1.7;2.17408632235;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Boslaan_11_1598972;[39.131344115949751, 114.53091703908713, 40.739420211951654, 111.32583997805909];333.62330246;634.351041243;261.50095478;[8.6464560204369469, 28.632729259771782, 10.184855052987913, 24.098379827804603];[8.6464560204369469, 28.632729259771782, 10.184855052987913, 24.098379827804603];81483742.6722;88747775.8787;27274796.8715;12716537.8924;0.000202621498221;0.000731563488951;9.473865578e-05;0.0006688827785850001;0.000109351459059;4.46160549522e-05;0.00163210135448;0.0003343699072479999;817.472198177;2.7;1.7;2.18195321118;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Boslaan_1_4753235;[57.21178487583078, 75.948109100215845, 57.558741346070398, 74.153150747431752];269.836544037;513.093847227;287.740181866;[13.104984511911782, 18.987027275053961, 14.329444714857743, 12.208413591438887];[13.104984511911782, 18.987027275053961, 14.329444714857743, 12.208413591438887];70594705.9076;71779737.6787;23152967.8735;13992526.0653;0.000233875299977;0.0008444051195580001;0.000117133960949;0.0008270002209910001;0.000130890925969;4.0547485905e-05;0.0014832688981;0.000408125069245;911.5722398;2.7;1.7;2.21622483392;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Boslaan_13_1598971;[65.856477395328142, 80.20418921631294, 63.665477634088035, 90.163409757629893];185.741146088;459.028119067;202.309256686;[7.3918739413822365, 19.706969478434537, 15.295311545787699, 22.540424220551525];[7.3918739413822365, 19.706969478434537, 15.295311545787699, 22.540424220551525];79927783.8677;49409359.2471;24620521.9353;9838103.00345;0.00020656594268;0.000745804877822;0.000170167051715;0.00120142944227;0.000129338784345;5.76698326099e-05;0.00210962201872;0.00036849888136;933.7380520889999;2.7;1.7;2.3533141251;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Boslaan_23_1598976;[60.145874468546829, 22.761637820055711, 33.853163658517083, 57.199858184182077];103.00428772;437.72327522;127.638075198;[10.704630219783073, 0.75550692320784307, 8.3191207066539352, 13.641334596777552];[10.704630219783073, 0.75550692320784307, 8.3191207066539352, 13.641334596777552];46364669.2189;27400368.5405;16523250.9464;6206915.84522;0.000356097828348;0.00128568869543;0.000306851529306;0.00216646206182;0.000171946750771;9.14079983613e-05;0.00334379895524;0.0007159753325750001;644.174263107;2.7;1.7;2.09742125671;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
