BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Bosrandstraat_15_1596462;[76.6246159771854, 34.364892445097887, 56.355360973952841, 42.192618864931148];249.3179245;469.41703538;209.201815609;[19.15615399429635, 4.7024868924167862, 9.8628903158533134, 10.548154716232787];[19.15615399429635, 4.7024868924167862, 9.8628903158533134, 10.548154716232787];55846783.7587;66321540.2608;19146411.8354;10173281.4612;0.000295636685046;0.00106739416436;0.000126773970525;0.0008950615243489999;0.000152898206302;5.57697883e-05;0.00204011643614;0.0005405125266880001;626.701267617;2.7;1.7;2.14637810831;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Bosrandstraat_31_1596465;[45.558733627064406, 55.709393746075236, 52.854011824378901, 55.194064949436182];228.075572968;494.756748275;197.705786989;[11.377488651725482, 7.8956884316983924, 12.883702231251831, 13.788291632654783];[11.377488651725482, 7.8956884316983924, 12.883702231251831, 13.788291632654783];55787806.2164;60670821.5041;19463967.1315;9614240.735369999;0.000295949225121;0.00106852258809;0.000138581360558;0.0009784251713;0.0001483772045;5.90126427062e-05;0.00215874339844;0.000520801627207;666.513978299;2.7;1.7;2.123068922;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Bosrandstraat_63_1597719;[46.891232841897242, 44.62348586925895, 61.786680009730297, 39.149631274769874];194.208877563;425.827510098;167.547429865;[11.722808210474311, 4.437845651987784, 15.446670002432574, 9.7874078186924685];[11.722808210474311, 4.437845651987784, 15.446670002432574, 9.7874078186924685];51292831.395;51661876.7712;17515701.0664;8147669.068510001;0.000321884317397;0.00116216105567;0.000162747571627;0.0011490457303;0.000167647509378;6.9634854906e-05;0.00254731488772;0.000578052298408;508.595225232;2.7;1.7;2.15194597679;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Bosrandstraat_53_1597721;[54.752514044082268, 42.460029606007623, 45.48173782746899, 58.55659455011746];241.493061066;500.471335012;193.142642656;[12.890544284003724, 7.3562166109618854, 10.946797466591688, 14.379735848357392];[12.890544284003724, 7.3562166109618854, 10.946797466591688, 14.379735848357392];53638202.1568;64240033.3002;19037953.2561;9392339.45069;0.000307809683342;0.00111134468877;0.000130881703484;0.00092406332739;0.000149701386981;6.04068620376e-05;0.00220974538106;0.000525051353133;628.00146949;2.7;1.7;2.10212268306;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Bosrandstraat_5_1599622;[72.717743266331425, 37.180983849074643, 49.48565548005211, 34.816478324574199];232.071983337;407.4150943180001;201.483151406;[18.179435816582856, 4.1342573165658694, 9.8722418458439982, 8.7041195811435497];[18.179435816582856, 4.1342573165658694, 9.8722418458439982, 8.7041195811435497];51759203.4512;61733914.3073;17383627.702;9797930.304639999;0.0003189840051640001;0.00115168949882;0.000136194911412;0.0009615761383210001;0.000171121468624;5.79062858958e-05;0.00211827172404;0.0005851867905060001;567.132759736;2.7;1.7;2.17666584677;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Bosrandstraat_19_1597869;[60.879044694649515, 51.292429012960831, 47.600258692867833, 50.03252582530439];222.909454346;374.049985765;252.429923922;[15.219761173662379, 5.7697643099004239, 11.677320955014723, 11.638918094530105];[15.219761173662379, 5.7697643099004239, 11.677320955014723, 11.638918094530105];55917884.3749;59296572.3607;17916256.1539;12275422.4566;0.0002952607775759999;0.00106603695309;0.000141793102965;0.00100110101747;0.000172282511687;4.62193260896e-05;0.001690750668;0.000540072382089;698.597823684;2.7;1.7;2.26089898733;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Bosrandstraat_9_1596461;[78.894948718261332, 35.664092244339287, 76.323428193772344, 37.354127484169013];207.956165314;322.483102378;228.813701141;[19.255881870115175, 6.427366307106297, 18.278351279414146, 9.3385318710422531];[19.255881870115175, 6.427366307106297, 18.278351279414146, 9.3385318710422531];60830546.19100001;55318819.2065;18386732.972;11126988.4399;0.000271415580736;0.000979944038229;0.00015198887306;0.00107308615358;0.000175820051568;5.09896955923e-05;0.00186525570963;0.00044893547531;608.438182826;2.7;1.7;2.40774746012;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Bosrandstraat_60_1598962;[58.021247875658574, 53.719579668177524, 44.01901445874136, 43.57886586765575];233.386646271;483.379860824;187.211511094;[14.211276176795637, 12.62206647964806, 8.0635662174859508, 10.846552077981968];[14.211276176795637, 12.62206647964806, 8.0635662174859508, 10.846552077981968];53128563.3208;62083630.3208;18695772.6431;9103914.27336;0.000310762365646;0.00112200532738;0.000135427727837;0.0009561595966;0.000153454226287;6.23206388343e-05;0.00227975331218;0.0005230981498500001;590.299383115;2.7;1.7;2.11238521508;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Bosrandstraat_38_1597861;[26.88532930988746, 37.757449685975132, 33.644317737649956, 31.331795601543455];53.0400466919;341.779079103;75.8863891566;[6.7204675391298814, 9.439362421493783, 8.4110794344124891, 7.8329489003858637];[6.7204675391298814, 9.439362421493783, 8.4110794344124891, 7.8329489003858637];34546554.4679;14109284.7583;12515913.4368;3690281.52895;0.00047791619961;0.00172551306491;0.000595908661158;0.00420729044313;0.000224148952223;0.00015374484276;0.0056241450837;0.000738440452785;370.377159252;2.7;1.7;2.0792475908;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Bosrandstraat_6567_1597720;[72.21036674083453, 61.43678393924327, 53.413036765627851, 54.477035099285132];147.634880066;629.103659313;203.50485116;[17.685839158815686, 10.798771002269532, 12.985053653187936, 13.619258774821283];[17.685839158815686, 10.798771002269532, 12.985053653187936, 13.619258774821283];64375483.1133;39272638.1862;23220925.0712;9896243.60356;0.000256469656187;0.000925981883152;0.000214089131226;0.00151153224394;0.000121220411784;5.73310213588e-05;0.00209722795334;0.000434358100814;860.54381703;2.7;1.7;2.08393867047;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
