BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Dennenstraat_6_1601422;[81.504114189318699, 85.990926226866918, 71.633567277852023, 78.985054787663799];373.560611725;793.196502448;343.427707869;[18.898877664308817, 18.950686955438908, 16.110321336392083, 18.744653695392934];[18.898877664308817, 18.950686955438908, 16.110321336392083, 18.744653695392934];84784947.3941;99371576.2719;30120545.6226;16700556.4629;0.000194732184526;0.000703079177545;8.46101602253e-05;0.0005973726205219999;9.45533071487e-05;3.39726256827e-05;0.00124275372288;0.000329117272544;1177.8364521;2.7;1.7;2.10105278011;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Dennenstraat_8_1601421;[56.987138910891545, 40.42557309917246, 64.714192476252634, 58.678164364923454];87.07439041139999;496.065597416;132.016041143;[13.7978203603019, 9.4958079437345457, 7.9237184518241222, 14.276543413568024];[13.7978203603019, 9.4958079437345457, 7.9237184518241222, 14.276543413568024];58849865.1735;23162825.9418;20194369.0545;6419812.08445;0.000280550481675;0.00101292553358;0.000362988739428;0.00256280727888;0.000144861299554;8.83766917076e-05;0.00323291062814;0.000525967766277;737.5161077480001;2.7;1.7;2.14511264236;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Dennenstraat_13_1602998;[54.379573998090535, 78.482271691901715, 53.936983881454843, 84.294159999715305];322.202495575;570.800715096;349.786371274;[10.20673339749464, 19.620567922975429, 13.047094328690386, 21.073539999928826];[10.20673339749464, 19.620567922975429, 13.047094328690386, 21.073539999928826];72252806.3724;85709705.0896;24293626.0169;17009772.0992;0.000228508190199;0.000825027207592;9.8096767238e-05;0.0006925920333169999;0.000122341673626;3.33550473279e-05;0.00122016206904;0.000374184397804;1087.52291332;2.7;1.7;2.17493456543;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Dennenstraat_3_1601405;[72.480358178218225, 94.971932248982313, 75.626458304888757, 81.733313503306732];230.516220093;593.986233683;256.681510704;[11.016055093895872, 16.659668749504291, 13.79833864632478, 19.199844442951321];[11.016055093895872, 16.659668749504291, 13.79833864632478, 19.199844442951321];86570232.1452;61320062.7365;27932056.4605;12482172.9996;0.000190716342232;0.0006885800072949999;0.000137114096349;0.000968065854369;0.000109898652754;4.54537646149e-05;0.00166274563885;0.0003943757869130001;1155.14215559;2.7;1.7;2.24683432682;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Dennenstraat_1_1601408;[74.720178464593403, 93.444140293450161, 84.242875333433972, 93.0724477336136];191.016723633;1040.67763987;289.314174333;[17.20764899804955, 23.36103507336254, 21.060718833358493, 23.2681119334034];[17.20764899804955, 23.36103507336254, 21.060718833358493, 23.2681119334034];92078639.5321;50812725.7691;35055455.9731;14069067.7929;0.000179307145553;0.000647387183227;0.000165467308887;0.0011682478754;7.70611395497e-05;4.03268902929e-05;0.00147519928285;0.000281849472712;1506.31748989;2.7;1.7;2.03197565566;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Dennenstraat_10_1601420;[54.950863882657792, 72.732737910991531, 60.837735790689173, 54.119838901620625];138.443649292;535.166887546;169.747158561;[13.737715970664448, 13.501011397074841, 8.1085142869812703, 13.400508699460467];[13.737715970664448, 13.501011397074841, 8.1085142869812703, 13.400508699460467];64669713.4085;36827661.2233;22061288.5016;8254639.742269999;0.000255302786277;0.000921768907581;0.000228302441994;0.00161188239902;0.000133209886087;6.87324669668e-05;0.00251430460523;0.0004908599805699999;934.138829026;2.7;1.7;2.15339347806;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Dennenstraat_5_1601403;[57.614207974603957, 46.28560723719059, 48.957590578655555, 43.531919282760761];231.337226868;196.389325073;269.635113359;[14.186405677055756, 9.173278342446995, 12.239397644663889, 10.706006570285449];[14.186405677055756, 9.173278342446995, 12.239397644663889, 10.706006570285449];52342481.8199;61538460.3266;18160648.7676;13112094.1376;0.000315429407374;0.0011388556486;0.000136627483781;0.0009646302264949999;0.000231559716154;4.32701098279e-05;0.0015828652922;0.000516753572966;901.975704216;2.7;1.7;2.7;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Dennenstraat_11_1601428;[70.686894449427783, 75.374676066891354, 68.237932498540573, 75.831600885182581];210.31716156;710.76542702;228.691899266;[17.671723612356946, 18.843669016722838, 17.059483124635143, 18.957900221295645];[17.671723612356946, 18.843669016722838, 17.059483124635143, 18.957900221295645];77326922.0494;55946872.3556;27305516.8683;11121065.3328;0.000213513710146;0.000770889743213;0.000150282663466;0.00106103981194;0.000104787963069;5.101685283099999e-05;0.00186624914946;0.000329896649756;1473.86069099;2.7;1.7;2.10819529604;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Dennenstraat_7_1601406;[75.012942534978549, 91.545433573681052, 76.358828844833766, 93.69079096106492];202.728107452;1147.52042572;246.549572561;[18.753235633744637, 22.886358393420263, 19.089707211208442, 23.42269774026623];[18.753235633744637, 22.886358393420263, 19.089707211208442, 23.42269774026623];89714132.3746;53928093.487;35901923.3639;11989466.6712;0.000184032967649;0.0006644497305419998;0.000155908441158;0.00110075945736;7.24729789543e-05;4.73216840221e-05;0.00173107605931;0.000284346421738;1700.88162809;2.7;1.7;1.99333508003;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Dennenstraat_9_1601407;[26.087113938178426, 71.178055249584915, 25.468013753362406, 71.481123600805063];152.247173309;498.708653161;180.201450924;[6.5217784845446065, 17.794513812396229, 6.3670034383406016, 17.870280900201266];[6.5217784845446065, 17.794513812396229, 6.3670034383406016, 17.870280900201266];51762787.033;40499563.1762;18578052.9202;8763021.84388;0.000318961921629;0.00115160976638;0.000207603350032;0.00146574072083;0.000152098834978;6.47449890592e-05;0.00236843854645;0.0004928230101630001;830.899317537;2.7;1.7;2.08943440285;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
