BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Distelvinkstraat_1_1596101;[39.706013309373112, 66.530319436836933, 34.417625636955805, 27.967489609935583];216.539047241;426.675357295;178.356878241;[8.6789110740733104, 13.677092820166788, 5.1160891719043562, 6.7536610334167584];[8.6789110740733104, 13.677092820166788, 5.1160891719043562, 6.7536610334167584];44941674.2622;57601968.1235;16047331.9434;8673322.06273;0.000367373007169;0.00132639764897;0.000145964543645;0.00103055261577;0.000176781340901;6.54145838589e-05;0.00239293301556;0.000699131996393;526.614555948;2.7;1.7;2.09519846907;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Distelvinkstraat_22_1595410;[27.311985083178659, 48.646489503057836, 59.145850011502013, 59.47101776516746];163.347049713;382.3440496380001;136.437106272;[3.1260177871327444, 12.081496356034616, 14.388526871804974, 14.831361618715686];[3.1260177871327444, 12.081496356034616, 14.388526871804974, 14.831361618715686];51859011.7687;43452262.6313;17079125.8422;6634804.195230001;0.000318370085696;0.00114947294692;0.000193496137625;0.00136613965139;0.000176861805983;8.55129611535e-05;0.00312815240778;0.0005385937140859999;450.312082607;2.7;1.7;2.20890119134;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Distelvinkstraat_16_1599687;[32.145748610633575, 71.065737990913547, 31.519869874781261, 89.129158746158865];118.98633194;549.0436664680001;151.051439018;[6.2626794225995877, 17.766434497728387, 7.8799674686953152, 22.282289686539716];[6.2626794225995877, 17.766434497728387, 7.8799674686953152, 22.282289686539716];59664215.1698;31651782.8394;21076716.3587;7345485.02735;0.000276721280485;0.000999100229718;0.000265635747372;0.00187546651714;0.000135715132706;7.72395221412e-05;0.00282550146671;0.000441552212405;644.7393561490001;2.7;1.7;2.10772807136;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Distelvinkstraat_10_1595965;[40.501306482927902, 98.249233507089855, 27.387855213781105, 18.254915043322335];88.09746932979999;469.962279974;116.171992286;[3.7564575336388373, 24.562308376772464, 6.6094568379994154, 4.5322031702976018];[3.7564575336388373, 24.562308376772464, 6.6094568379994154, 4.5322031702976018];49145255.1493;23434977.1312;17592475.4206;5649331.35017;0.000335950194394;0.00121294580527;0.000358773338807;0.00253304531047;0.000160943302804;0.000100429894839;0.00367382924314;0.000606387772929;675.766689749;2.7;1.7;2.09235768083;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Distelvinkstraat_14_1596102;[40.205002377638721, 106.75493539075276, 36.504321876095212, 106.21160322434852];103.407371521;601.683507522;127.409955112;[6.5030750603865046, 26.688733847688191, 9.1260804690238029, 26.552900806087131];[6.5030750603865046, 26.688733847688191, 9.1260804690238029, 26.552900806087131];77205589.3578;27507593.6372;25851123.3723;6195822.586619999;0.000213849258302;0.0007721012374610002;0.000305655416505;0.00215801715359;0.000115344607168;9.15716590455e-05;0.00334978583204;0.000347437857588;837.775235224;2.7;1.7;2.18144225203;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Distelvinkstraat_6_4754165;[39.722944886759109, 85.277475875864525, 36.335314445207047, 66.186798010011529];97.7568359375;427.828395645;120.103886383;[5.6773140035431524, 21.319368968966131, 9.0838286113017617, 16.546699502502882];[5.6773140035431524, 21.319368968966131, 9.0838286113017617, 16.546699502502882];60640231.1028;26004483.8068;19719369.5947;5840535.54795;0.000272267399393;0.000983019523475;0.000323322895108;0.00228275474968;0.000154714071923;9.71420769122e-05;0.00355355746884;0.000454675809296;600.561932639;2.7;1.7;2.23180792938;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Distelvinkstraat_8_4753963;[34.88671294956211, 93.497810965572711, 32.108814454304955, 104.56808373161748];106.668331146;607.298253766;134.486349319;[4.3110250410380697, 23.229081488931293, 8.0272036135762388, 26.142020932904369];[4.3110250410380697, 23.229081488931293, 8.0272036135762388, 26.142020932904369];70645248.4742;28375047.7743;24396305.0583;6539940.77599;0.000233707975802;0.0008438009968060002;0.000296311218824;0.00209204436923;0.000119321999355;8.675334729200002e-05;0.00317352701338;0.000387758534638;784.39693166;2.7;1.7;2.13646004324;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Distelvinkstraat_18_1595590;[30.949181528437951, 77.39799741667278, 15.198192216426783, 79.539534619378031];67.2535400391;443.291372456;97.2208999079;[7.7372953821094876, 19.349499354168195, 3.7195356309832972, 19.884883654844508];[7.7372953821094876, 19.349499354168195, 3.7195356309832972, 19.884883654844508];54127015.2273;17890243.4405;18404235.8507;4727758.10188;0.000305029899609;0.00110130829922;0.0004699681710959999;0.00331811353604;0.000160087943398;0.000120006510735;0.004389962064729999;0.000472040771824;495.069573863;2.7;1.7;2.15812961497;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Distelvinkstraat_2_1598949;[54.863866740137318, 76.81900588751509, 58.39659679740604, 87.656615241612656];119.479122162;487.211777416;150.708660227;[7.5358655205185663, 18.926755437456997, 14.59914919935151, 21.914153810403164];[7.5358655205185663, 18.926755437456997, 14.59914919935151, 21.914153810403164];74023351.10100001;31782870.9135;23613373.3289;7328816.02707;0.000223042563939;0.0008052936025650001;0.000264540135883;0.00186773117773;0.000131170096029;7.74151993053e-05;0.00283192791875;0.000379959805019;728.2680994460001;2.7;1.7;2.27005207497;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Distelvinkstraat_15_1599669;[68.038165568706646, 1.900924862476512, 57.469804204123825, 58.599076738818184];132.257171631;564.0464998169999;153.549816032;[16.797980526259629, 0.44786821142922084, 9.0842427234862893, 13.393742728164741];[16.797980526259629, 0.44786821142922084, 9.0842427234862893, 13.393742728164741];49575601.2012;35181984.4109;18922945.4033;7466978.679219999;0.000333033944539;0.00120241670575;0.000238981544987;0.00168728000757;0.000142479221858;7.59827739949e-05;0.00277952832197;0.00060236682284;824.420379947;2.7;1.7;2.02977417896;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Distelvinkstraat_3_1596100;[22.607070445869212, 46.982053064858263, 41.029309943657921, 57.984255979871079];106.299247742;523.893750836;145.011315187;[5.651767611467303, 11.36244207796525, 2.8466605334142612, 14.49606399496777];[5.651767611467303, 11.36244207796525, 2.8466605334142612, 14.49606399496777];44936674.6548;28276867.1885;17317387.9208;7051759.66165;0.000367413880706;0.00132654522258;0.000297340045987;0.00209930819165;0.000154565802999;8.04567626565e-05;0.00294319144644;0.0006964626016970001;738.1966116189999;2.7;1.7;2.02182611296;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Distelvinkstraat_5_1597539;[24.40871923737852, 60.338781164523105, 43.601188563378855, 91.709683070011465];106.61422348;569.186500087;144.103036648;[6.10217980934463, 14.673084604294761, 3.1876268713695772, 22.393408864740387];[6.10217980934463, 14.673084604294761, 3.1876268713695772, 22.393408864740387];58650852.5006;28360654.4901;21104032.472;7007590.95693;0.000281502438874;0.00101636256833;0.000296461599402;0.00209310610034;0.000133631661473;8.09638800117e-05;0.00296174232287;0.0005161826917669999;768.03295446;2.7;1.7;2.08661909937;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Distelvinkstraat_20_1595591;[38.288823194782935, 70.086487670277137, 45.699158035241624, 55.806511753736785];87.2752761841;419.74557416;118.535844426;[5.2461111840572983, 17.324491791163457, 10.364852678234705, 13.951627938434196];[5.2461111840572983, 17.324491791163457, 10.364852678234705, 13.951627938434196];55938332.7486;23216263.9523;18518366.4157;5764283.18789;0.0002951528443859999;0.00106564726106;0.0003621532304890001;0.00255690833999;0.000162455187824;9.84271131231e-05;0.00360056542019;0.000510339265286;559.468123322;2.7;1.7;2.20001952033;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Distelvinkstraat_11_1595802;[32.900270706351975, 61.32409076258493, 88.046728051677235, 33.537548206579032];330.144996643;629.334959138;257.21129172;[8.2087510857183688, 15.331022690646233, 22.011682012919309, 4.4770091744985923];[8.2087510857183688, 15.331022690646233, 22.011682012919309, 4.4770091744985923];57518196.0251;87822505.0635;21626687.7238;12507935.7368;0.000287045824833;0.0010363769242;9.57367930251e-05;0.000675929921153;0.00012609708939;4.536014298e-05;0.00165932086278;0.0004782941033469999;819.142599818;2.7;1.7;2.0429153817;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Distelvinkstraat_7_4754290;[39.071736117980564, 72.146468451500382, 34.07134134260675, 61.337418084482287];85.5018386841;417.4791368480001;104.910061539;[9.3314748304267656, 18.036617112875096, 5.138725057189883, 15.334354521120572];[9.3314748304267656, 18.036617112875096, 5.138725057189883, 15.334354521120572];55071058.9919;22744508.4345;18286702.1936;5101674.57696;0.000299800990269;0.00108242935896;0.000369664836433;0.00260994248761;0.000164122835335;0.00011121088671;0.004068209056730001;0.000500161660566;476.520939017;2.7;1.7;2.19493961676;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Distelvinkstraat_24_4754060;[23.329410436017266, 82.317404673507184, 30.557360900409304, 60.553068729055582];102.295288086;367.018261585;116.716438188;[2.7725974855847162, 20.579351168376796, 7.2735069337438567, 15.029730734427453];[2.7725974855847162, 20.579351168376796, 7.2735069337438567, 15.029730734427453];52440541.2659;27211766.1853;17014252.5596;5675807.22652;0.000314839580645;0.00113672608335;0.000308978290235;0.0021814776196;0.00017963268269;9.99614205987e-05;0.00365669197176;0.000524109563869;584.1116689209999;2.7;1.7;2.23609660699;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
