BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Duivenstraat_4_4753512;[51.405656128111751, 42.603351634884312, 47.827750347315735, 38.22828169426063];190.51543808;310.075629404;222.929510857;[12.851414032027938, 5.7156897351343385, 11.684746816192659, 9.5570704235651576];[12.851414032027938, 5.7156897351343385, 11.684746816192659, 9.5570704235651576];47991666.9037;50679377.8357;15233489.559;10840845.9714;0.000344025517056;0.00124210170073;0.000165902687627;0.00117132177738;0.000204124735586;5.23355607951e-05;0.00191448884831;0.000601079335647;617.670705441;2.7;1.7;2.28071329292;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Duivenstraat_8_1596083;[41.746297519369115, 36.265290120278124, 42.321597441690358, 51.482689234547856];115.263069153;401.321031787;146.062603692;[10.40442750565057, 4.5938379511980081, 10.526563800854712, 12.870672308636964];[10.40442750565057, 4.5938379511980081, 10.526563800854712, 12.870672308636964];45793065.7605;30661350.5497;15914157.5828;7102882.80235;0.000360542753509;0.00130173706635;0.000274216394238;0.00193604840813;0.000182027244305;7.98776735018e-05;0.00292200776727;0.00062320633448;634.944956476;2.7;1.7;2.12812576642;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Duivenstraat_5_1596079;[75.202448966946037, 28.018987282682694, 74.79883081941783, 20.208402102854361];69.4009017944;343.486191755;82.9563423231;[18.800612241736509, 6.74746615829355, 18.699707704854458, 2.5043742719201161];[18.800612241736509, 6.74746615829355, 18.699707704854458, 2.5043742719201161];52832711.2914;18461467.2681;16798005.3171;4034086.49675;0.000312502569287;0.00112828832034;0.000455426693237;0.00321544642476;0.000184870498745;0.000140641940589;0.005144827394060001;0.000511812065984;399.721737692;2.7;1.7;2.27710811651;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Duivenstraat_11_1598943;[59.866416696281455, 42.889310597587254, 50.341611506093628, 43.267877193530282];94.35026168819999;321.876538015;116.707128416;[14.929380348296577, 10.690037188687089, 12.585402876523407, 4.2077999159802113];[14.929380348296577, 10.690037188687089, 12.585402876523407, 4.2077999159802113];52336056.1699;25098294.4437;16399835.9155;5675354.50131;0.000315468134766;0.00113899547357;0.000334996667167;0.00236517501443;0.000191549939663;9.99693945597e-05;0.00365698366748;0.000564179237354;545.257544627;2.7;1.7;2.3100637754;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Duivenstraat_1_1597672;[51.744490720992715, 42.830518451346649, 38.696881890168349, 39.730424242076083];293.824558258;521.497844479;232.522459821;[10.356415463768629, 10.707629612836662, 9.6742204725420873, 6.5849429796967307];[10.356415463768629, 10.707629612836662, 9.6742204725420873, 6.5849429796967307];46109280.8392;78160835.4443;17559179.3802;11307341.7786;0.000358070169832;0.00129280982043;0.000107571073702;0.000759483423962;0.000153814269722;5.01764043676e-05;0.00183550467694;0.000641111006659;628.864976439;2.7;1.7;2.03174118961;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Duivenstraat_9_1598947;[35.384843232806645, 51.973475284666961, 47.539944565876901, 36.483101055992734];140.450687408;541.3529675330001;169.759793179;[8.8462108082016613, 12.99336882116674, 11.840513994868585, 4.2962852336390087];[8.8462108082016613, 12.99336882116674, 11.840513994868585, 4.2962852336390087];45677258.3407;37361557.29;17718194.2687;8255254.1515;0.0003614568522869999;0.00130503741353;0.000225040003685;0.00158884862486;0.000150326611312;6.87273514534e-05;0.00251411747447;0.0006300842921649999;687.5230045860001;2.7;1.7;2.01657970754;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Duivenstraat_12_1597471;[27.640673956362587, 40.639330750733038, 34.742384011280528, 36.891407259194963];72.604763031;261.934273272;102.371570504;[6.8144402961588462, 7.3310095385973497, 8.685596002820132, 9.2228518147987408];[6.8144402961588462, 7.3310095385973497, 8.685596002820132, 9.2228518147987408];37290394.0658;19313732.5531;12111204.616;4978230.21911;0.000442750966691;0.0015985492397;0.00043532988598;0.00307355705375;0.000252151368053;0.000113968564818;0.00416908776914;0.000746502657841;421.030860967;2.7;1.7;2.23415612333;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Duivenstraat_2_1596082;[43.276612262677119, 24.061458055013897, 66.483974515174708, 27.260663613380537];107.660873413;251.921651928;122.714299857;[10.78562555763067, 4.672811441955024, 16.620993628793677, 6.8151659033451342];[10.78562555763067, 4.672811441955024, 16.620993628793677, 6.8151659033451342];42932418.731;28639075.8503;13294717.9771;5967477.424240001;0.000384566220794;0.00138847362539;0.000293579479804;0.00207275748817;0.000238519314403;9.50756430353e-05;0.00347796518411;0.0006152093587640001;478.434899535;2.7;1.7;2.33941589464;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Duivenstraat_6_1597271;[29.105984883745222, 45.480274645265638, 47.39111085049538, 49.0670815086782];107.268245697;411.451266463;142.062957765;[7.2090949168735428, 5.8484446997759898, 7.5402420695638419, 12.107078422720146];[7.2090949168735428, 5.8484446997759898, 7.5402420695638419, 12.107078422720146];45587463.117;28534632.197;15998710.4158;6908383.8988;0.000362168826516;0.00130760799146;0.000294654051686;0.00208034428176;0.000179698720473;8.21265525656e-05;0.0030042740853;0.000731644156617;616.895253013;2.7;1.7;2.11571011157;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Duivenstraat_14_1597472;[43.7644145140356, 21.689176685567784, 27.904718527769433, 27.62645469364535];86.232925415;293.450615251;104.650177306;[6.7670903883632452, 5.4222941713919459, 6.756955717250932, 6.9066136734113375];[6.7670903883632452, 5.4222941713919459, 6.756955717250932, 6.9066136734113375];32245351.5731;22938986.2209;11347985.7195;5089036.65869;0.000512022887501;0.00184865502077;0.000366530800849;0.00258781527446;0.000252799065097;0.000111487063556;0.004078311890929999;0.000925554574443;436.481672894;2.7;1.7;2.1122832195;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Duivenstraat_7_4753579;[65.08436814314355, 24.770429632157665, 91.581464834820466, 33.36186247693972];127.212661743;396.3877094380001;142.983975769;[16.23835313718655, 6.0244511007585091, 22.895366208705116, 5.4602631818568312];[16.23835313718655, 6.0244511007585091, 22.895366208705116, 5.4602631818568312];57248870.0856;33840084.6406;18518321.4749;6953172.11136;0.000288396225048;0.00104125253464;0.000248458154863;0.00175418766098;0.000165435116618;8.15975420026e-05;0.00298492233272;0.000472719483327;629.479194816;2.7;1.7;2.24188896369;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Duivenstraat_13_4754331;[75.050173817296468, 26.649310719109771, 75.70533872633392, 17.334407972632949];82.280216217;359.299663669;94.4746666147;[18.762543454324117, 6.6623276797774427, 18.92633468158348, 4.3336019931582372];[18.762543454324117, 6.6623276797774427, 18.92633468158348, 4.3336019931582372];51902692.0977;21887518.4504;16788056.749;4594211.43945;0.000318102151423;0.00114850557212;0.000384138796239;0.00271213290156;0.000182493708585;0.000123494915479;0.0045175715119;0.000491494592843;528.478422292;2.7;1.7;2.24199669782;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Duivenstraat_3_4753923;[86.345189188939528, 21.810559585386724, 60.841614514447855, 23.748579144151631];104.34413147;366.337067921;119.124449448;[21.586297297234882, 5.4526398963466809, 15.101029622569882, 3.1399461586758655];[21.586297297234882, 5.4526398963466809, 15.101029622569882, 3.1399461586758655];51371432.6575;27756782.9515;16756289.4361;5792906.47942;0.000321391815779;0.00116038288205;0.000302911364221;0.00213864333726;0.000181637248762;9.79407755716e-05;0.00358277469043;0.000528453307871;530.753332404;2.7;1.7;2.22614370565;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Duivenstraat_10_1596084;[52.186959675270749, 54.405737185791502, 33.42523974286717, 53.206697126839323];104.426979065;451.919000186;139.465064534;[13.046739918817687, 8.9180630469767017, 8.2929471763883011, 13.301674281709831];[13.046739918817687, 8.9180630469767017, 8.2929471763883011, 13.301674281709831];51499015.4095;27778821.3995;17904850.5822;6782050.86975;0.000320595605366;0.00115750816997;0.00030267104818;0.00213694663533;0.000161734982347;8.36563694823e-05;0.00306023636759;0.0005493258946399999;646.3157107769999;2.7;1.7;2.12756474866;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
