BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
EmielVanDorenlaan_39_5214555;[112.77340166417261, 47.472286726810736, 96.702224542749235, 46.844494265111095];310.13829422;615.736544772;255.222117869;[27.805916125339767, 11.868071681702684, 24.175556135687309, 5.1606903170178722];[27.805916125339767, 11.868071681702684, 24.175556135687309, 5.1606903170178722];80967988.178;82500483.701;26911302.1288;12411204.1411;0.00020391216816;0.000736223443653;0.00010191267509;0.00071953346526;0.000111442158679;4.57136750761e-05;0.00167225343186;0.0003467358145980001;954.603110339;2.7;1.7;2.19338050466;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
EmielVanDorenlaan_58_1599184;[61.737606459722926, 51.346280111152439, 66.754908276780327, 62.801371450639877];262.301029205;527.86254789;238.177379026;[15.434401614930731, 10.688121523355118, 14.823245370432948, 7.9440649618207777];[15.434401614930731, 10.688121523355118, 14.823245370432948, 7.9440649618207777];64669444.1691;69775200.8959;21965731.4628;11582335.0169;0.000255303849183;0.000921772745196;0.000120499043819;0.000850758695938;0.000134241388069;4.89850926071e-05;0.00179192526276;0.000489433448492;781.337101683;2.7;1.7;2.15966543235;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
EmielVanDorenlaan_67_1599084;[82.736680774675818, 73.584127500345474, 76.774966158118403, 76.34844574039019];473.703754425;1002.86621724;414.093119126;[20.554722453403635, 15.293928006258781, 16.772244312731704, 10.481854968788902];[20.554722453403635, 15.293928006258781, 16.772244312731704, 10.481854968788902];82474332.3633;126010846.127;32323997.9092;20136946.8986;0.000200187834782;0.0007227767642849999;6.67231849371e-05;0.000471085313269;8.17623533156e-05;2.81751626135e-05;0.00103067653816;0.000379196150561;1118.0094917;2.7;1.7;2.00855982069;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
EmielVanDorenlaan_46_1595956;[118.71853461171311, 100.25363601236464, 118.1592761015842, 101.60776547381305];829.152961731;1525.99125688;628.82679545;[29.679633652928278, 23.373005671413747, 29.490528110191125, 25.401941368453262];[29.679633652928278, 23.373005671413747, 29.490528110191125, 25.401941368453262];116934559.603;220564572.901;47191263.8418;30579237.383;0.000141193143216;0.000509776846848;3.81196530323e-05;0.000269135963869;5.47895192104e-05;1.85538228538e-05;0.0006787179960880001;0.000221671181372;2219.57102445;2.7;1.7;1.98751096064;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
EmielVanDorenlaan_80_1595885;[60.879892266385617, 46.866166235638119, 53.282541481572885, 47.525702854480542];113.579452515;662.872112897;171.747660685;[15.219973066596404, 11.71654155890953, 13.320635370393221, 11.881425713620136];[15.219973066596404, 11.71654155890953, 13.320635370393221, 11.881425713620136];55584741.1802;30213488.452;21614902.0997;8351922.22095;0.000297030402056;0.00107242616978;0.000278281172449;0.00196474693802;0.000122995644375;6.79318770456e-05;0.00248501819933;0.000458936966843;821.7325360310001;2.7;1.7;2.01462223071;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
EmielVanDorenlaan_71_1596327;[67.863357565762257, 43.723170525937498, 103.02037587823141, 47.894900504381987];117.932926178;510.825229767;133.341669568;[16.383729800868437, 10.930792631484374, 25.682463678449093, 6.6603764892067918];[16.383729800868437, 10.930792631484374, 25.682463678449093, 6.6603764892067918];69963048.7719;31371564.3482;22976162.3663;6484276.109519999;0.000235986828915;0.0008520287798839999;0.000268008470885;0.00189221864311;0.000131761460449;8.74980867293e-05;0.00320077035091;0.000401095837107;880.1200756110001;2.7;1.7;2.21387791592;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
EmielVanDorenlaan_36_1599185;[118.35676185100419, 79.533341404966706, 119.88536932823253, 73.848278563103079];130.113079071;930.85090874;142.700251977;[29.111174711059778, 9.3653896516650619, 27.055278859675823, 18.46206964077577];[29.111174711059778, 9.3653896516650619, 27.055278859675823, 18.46206964077577];104377155.26;34611630.2283;36484133.3951;6939374.89843;0.000158179804573;0.000571107067762;0.000242919646799;0.00171508416481;7.90443783748e-05;8.17597783248e-05;0.002990857104889999;0.000284881594106;1218.23359468;2.7;1.7;2.12071587133;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
EmielVanDorenlaan_118_1599775;[114.23046816080937, 69.320720259605849, 109.41772603366188, 62.370921582828416];165.319202423;977.1864852069999;190.702008135;[27.531704910230996, 17.330180064901462, 27.35443150841547, 13.002618834663416];[27.531704910230996, 17.330180064901462, 27.35443150841547, 13.002618834663416];94706618.6041;43976878.7639;34837358.7383;9273653.76025;0.000174331617624;0.0006294230747610001;0.000191187852038;0.00134984247613;7.95975405725e-05;6.11799586307e-05;0.00223802605263;0.000280786420322;1482.40739254;2.7;1.7;2.06363564316;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
EmielVanDorenlaan_96_1599709;[148.45072533121603, 119.98580966750862, 150.58844021434226, 117.88994011453462];278.268245697;947.975973372;285.097153159;[36.831946785312553, 29.7354882818533, 29.489639836560116, 25.777793422003107];[36.831946785312553, 29.7354882818533, 29.489639836560116, 25.777793422003107];143100747.374;74022670.8423;45728808.0979;13863998.1418;0.000115375763746;0.000416563380526;0.000113584728767;0.000801941597724;6.76401197543e-05;4.0923386429e-05;0.00149701972737;0.000196399603172;1913.84029677;2.7;1.7;2.26638029909;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
EmielVanDorenlaan_90_1599776;[53.39558167903234, 63.289183048632019, 68.719227600111083, 66.841966123261642];125.795337677;726.720964555;192.932765137;[13.13159161058339, 10.684046882807948, 14.875583450630771, 13.350421457628929];[13.13159161058339, 10.684046882807948, 14.875583450630771, 13.350421457628929];67229618.9695;33463059.5418;25162151.7489;9382133.31043;0.000245581609326;0.000886670666825;0.000251257509186;0.00177395192597;0.000108759033997;6.04725742681e-05;0.00221214920229;0.000459791778807;1210.90260552;2.7;1.7;2.04710152968;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
