BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Goudvinkstraat_13_1596074;[68.081097076834169, 48.696609429718379, 93.960597531190317, 51.359168769200714];248.662639618;479.18185391;227.754358729;[15.807668844027292, 9.3650839616632133, 23.490149382797579, 6.2487374003839928];[15.807668844027292, 9.3650839616632133, 23.490149382797579, 6.2487374003839928];69855284.6511;66147226.6701;22537406.4773;11075473.6455;0.000236350880301;0.0008533431848400001;0.000127108049928;0.00089742022321;0.000136211786499;5.12268614029e-05;0.00187393147985;0.000435760432047;766.794129902;2.7;1.7;2.24696869397;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Goudvinkstraat_16_1597671;[42.890449836827599, 39.14693259828379, 52.511036112657351, 50.583551801017038];278.233821869;527.435940686;211.798816816;[9.7778489594963567, 6.0784213450729085, 12.895340340542484, 12.645887950254259];[9.7778489594963567, 6.0784213450729085, 12.895340340542484, 12.645887950254259];49342125.8444;74013513.6936;18389832.1117;10299571.1119;0.000334609782988;0.00120810625935;0.000113598781771;0.00080204081607;0.000149288176197;5.50859591377e-05;0.00201510125935;0.000578013662747;683.132874248;2.7;1.7;2.05100370693;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Goudvinkstraat_2_1597454;[63.981189223184494, 30.295383681564715, 47.118297373028959, 37.90321738900829];179.535114288;380.487083028;151.455709364;[15.995297305796123, 3.3560718573796597, 9.2346965386396835, 9.4758043472520725];[15.995297305796123, 3.3560718573796597, 9.2346965386396835, 9.4758043472520725];47787255.7;47758480.8008;16106319.7832;7365144.3023;0.00034549709497;0.0012474148224;0.00017604925553;0.00124295953154;0.000184185055038;7.7033351978e-05;0.00281795954928;0.0006286690528029999;444.250619169;2.7;1.7;2.17123304749;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Goudvinkstraat_1517_1597668;[72.786858815352517, 54.906381058123749, 58.05336855254, 56.131467737447423];137.734207153;645.273370353;173.092867587;[18.196714703838129, 13.726595264530937, 14.513342138135, 7.4576106674242606];[18.196714703838129, 13.726595264530937, 14.513342138135, 7.4576106674242606];64466328.8063;36638941.1565;23453510.4282;8417338.32838;0.000256108240172;0.0009246769931819999;0.000229478383512;0.00162018489206;0.000119233824724;6.74039383085e-05;0.00246570565525;0.0004439864015219999;914.091049016;2.7;1.7;2.07484589831;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Goudvinkstraat_6_1595609;[38.02698284362809, 41.472396599439726, 37.631314956721582, 48.157418851533023];100.275466919;490.306744233;121.719381883;[9.5067457109070226, 6.7244451002474515, 8.4680271686310302, 12.039354712883256];[9.5067457109070226, 6.7244451002474515, 8.4680271686310302, 12.039354712883256];44053260.327;26674469.6748;16672419.1007;5919095.52781;0.000374781750508;0.00135314686449;0.000315201955005;0.00222541852366;0.000162758773842;9.58527786453e-05;0.00350639360709;0.0006513132666269999;575.804666963;2.7;1.7;2.0371116453;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Goudvinkstraat_20_1598920;[81.615246711720971, 58.715618727559942, 78.581467502151412, 73.255583912116165];178.995384216;689.582498152;213.945643173;[19.115696998549652, 11.776197227804518, 19.352155163199694, 18.313895978029041];[19.115696998549652, 11.776197227804518, 19.352155163199694, 18.313895978029041];77869781.7234;47614906.167;27155015.0778;10403969.1963;0.00021202522539;0.0007655155795069999;0.000176580102053;0.00124670746415;0.000106392659034;5.45332019641e-05;0.00199488083125;0.000349023292098;809.4617010439999;2.7;1.7;2.12368812671;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Goudvinkstraat_5_1597669;[52.336986152898717, 53.125014946107434, 40.156773805336492, 36.190862765720688];157.312229156;667.14835227;184.863823687;[12.088990468698199, 13.281253736526859, 10.035126316288229, 6.4056245196944488];[12.088990468698199, 13.281253736526859, 10.035126316288229, 6.4056245196944488];48456644.2238;41846928.4167;20010640.9337;8989748.510939999;0.000340724337919;0.00123018281676;0.000200919047307;0.0014185475773;0.000127019009561;6.31120829151e-05;0.00230870515379;0.0005722973052439999;847.316789762;2.7;1.7;1.97251755483;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Goudvinkstraat_1_1596073;[28.163484831412127, 44.580713720295726, 39.965587016301214, 39.596576136003897];61.3452796936;397.6874804780001;88.20418995709998;[6.988851916119974, 11.145178430073932, 9.9913967540753035, 9.8991440340009742];[6.988851916119974, 11.145178430073932, 9.9913967540753035, 9.8991440340009742];40593311.0955;16318575.7509;14655424.7013;4289284.239130001;0.000406726073221;0.00146848161614;0.000515231544624;0.00363768626803;0.000191938273735;0.000132274226136;0.00483872776001;0.0006292857244119999;460.837041386;2.7;1.7;2.08298002623;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Goudvinkstraat_7_1596071;[46.472886767762795, 42.05910150432981, 62.447282649219275, 44.144959302333916];81.6998748779;451.238091308;120.968781626;[11.617963401189703, 10.501527973403235, 15.609516143515485, 6.9501736451652603];[11.617963401189703, 10.501527973403235, 15.609516143515485, 6.9501736451652603];52005303.5942;21733140.7355;18013884.9411;5882594.56506;0.000317474505096;0.00114623945948;0.000386867461659;0.00273139808211;0.00016121869842;9.64475363946e-05;0.00352815045962;0.0005355586017619999;568.955214945;2.7;1.7;2.13241967818;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Goudvinkstraat_9_1596072;[68.066731434241078, 27.737154811284132, 80.736189198909116, 30.059864109452803];118.476150513;433.615717142;141.584108111;[16.22565734071668, 5.4528194947222417, 19.113651357922539, 4.243640685916132];[16.22565734071668, 5.4528194947222417, 19.113651357922539, 4.243640685916132];55063856.3275;31516068.4975;18495979.1093;6885097.9044;0.000299840205937;0.00108257094686;0.000266779626745;0.00188354264199;0.000160813474763;8.24043116431e-05;0.00301443479913;0.000531318114182;740.8602263380001;2.7;1.7;2.17645860467;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Goudvinkstraat_12_1596076;[53.19838319861659, 23.858539657386842, 69.542409165935425, 17.625113446119375];95.1399879456;377.919315463;116.119100364;[12.043662482915495, 2.9358970512194698, 17.385602291483856, 4.4062783615298438];[12.043662482915495, 2.9358970512194698, 17.385602291483856, 4.4062783615298438];43769767.2625;25308371.0432;15136884.4477;5646759.26727;0.00037720918007;0.00136191108179;0.0003322159682209999;0.00234554246189;0.000192099694167;0.000100475640372;0.00367550266199;0.000650731101906;501.862167541;2.7;1.7;2.13454895992;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
