BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Heizeisstraat_13_1596483;[51.918023526488092, 92.563004654317879, 48.079200196862047, 78.481444107046983];342.66387558;618.7065131830001;282.568141122;[11.539872684406143, 23.022438598773114, 7.305480554901461, 19.283431561442033];[11.539872684406143, 23.022438598773114, 7.305480554901461, 19.283431561442033];72239129.1338;91152676.1095;24916743.774;13741014.7385;0.000228551454301;0.0008251834123260001;9.22391458931e-05;0.0006512355035160001;0.000116938687617;4.128965467300001e-05;0.00151041819789;0.0003912974828869999;950.586399396;2.7;1.7;2.13807793632;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Heizeisstraat_18_1599802;[93.868535449213127, 81.741393284765692, 115.84961594313754, 57.731062510591165];564.058570862;1090.94146168;462.811528977;[22.621880025401097, 19.618941504825283, 28.277442126649635, 13.705603719214611];[22.621880025401097, 19.618941504825283, 28.277442126649635, 13.705603719214611];93067701.1165;150046304.5;35943111.9746;22506075.9347;0.000177401588552;0.000640507183125;5.60350021162e-05;0.000395623598466;7.43488673759e-05;2.5209270379e-05;0.00092218113805;0.000284103788357;1598.34224788;2.7;1.7;2.02008189207;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Heizeisstraat_26_1595246;[56.068615716264908, 28.484843940523767, 51.948423939916111, 68.506185363073087];237.334148407;495.51437084;198.358719498;[8.451399798584978, 7.0195134796932743, 12.972439836264805, 14.764722239639372];[8.451399798584978, 7.0195134796932743, 12.972439836264805, 14.764722239639372];54639584.5011;63133712.9508;19206404.0438;9645992.21027;0.000302168440183;0.00109097702017;0.000133175202237;0.000940256103253;0.00014950100911;5.88183922442e-05;0.00215163751598;0.000553792771271;686.707974235;2.7;1.7;2.11372779686;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Heizeisstraat_10_1595244;[70.822963533942826, 49.677127865871149, 90.553156850801699, 62.087423607412148];605.697574615;1073.84675706;572.502312113;[14.829253617971597, 10.108019442834449, 22.062253299398183, 13.008397399004853];[14.829253617971597, 10.108019442834449, 22.062253299398183, 13.008397399004853];72798562.9853;161122775.915;30998777.9475;27840232.3678;0.000226795108912;0.0008188421397010001;5.21828459227e-05;0.0003684262425709999;8.01590682352e-05;2.03792032305e-05;0.000745492294903;0.0003987526695249999;1467.99037724;2.7;1.7;1.9543572163;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Heizeisstraat_28_1599790;[64.490220694113106, 63.683672719392646, 64.729664258365347, 64.897167513392162];411.945007324;878.52937051;253.917136711;[16.122555173528276, 13.779042542662459, 16.182416064591337, 16.224291878348041];[16.122555173528276, 13.779042542662459, 16.182416064591337, 16.224291878348041];68710097.996;109582283.116;27492165.0547;12347744.1726;0.000240290124777;0.000867565799215;7.67263169839e-05;0.000541710368089;9.46533706852e-05;4.59486158345e-05;0.00168084780737;0.000384030981721;982.992867133;2.7;1.7;1.99344576725;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Heizeisstraat_15_4753195;[29.719584200004327, 49.139170250817052, 28.790302557705854, 46.078164188620612];148.218242645;397.756357855;189.750532741;[7.4298960500010818, 12.284792562704263, 6.4269060413812289, 11.112924064045862];[7.4298960500010818, 12.284792562704263, 6.4269060413812289, 11.112924064045862];40972004.3476;39427819.5871;14744535.9755;9227384.43431;0.0004029668131650001;0.00145490883424;0.000213246511683;0.0015055831021;0.000191250767677;6.14867362953e-05;0.00224924829633;0.000642293085913;685.3973463;2.7;1.7;2.08648589309;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Heizeisstraat_31_1599124;[55.674894314172185, 57.903466458292641, 53.988612261073399, 53.593463845075611];325.9815979;680.491400013;283.417120264;[13.716533690934799, 14.47586661457316, 6.1171329949492348, 13.398365961268903];[13.716533690934799, 14.47586661457316, 6.1171329949492348, 13.398365961268903];58944579.3058;86714991.3623;22627869.166;13782299.771;0.000280099683726;0.00101129793077;9.69595321192e-05;0.000684562818844;0.000118637547112;4.11659710522e-05;0.00150589372335;0.000501558864715;878.301688552;2.7;1.7;2.02500107551;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Heizeisstraat_20_1596419;[55.704774355741591, 72.600088712327846, 50.467645012939201, 11.106504812373117];103.737945557;570.043670486;172.138075363;[11.449243465282722, 16.696349406479669, 11.698841294414397, 2.1885436746691722];[11.449243465282722, 16.696349406479669, 11.698841294414397, 2.1885436746691722];50607326.9341;27595530.2717;19241677.5165;8370907.708210001;0.000326244419952;0.00117790317516;0.000304681407004;0.00215114036;0.000140532779342;6.77778053689e-05;0.00247938209833;0.000569274912719;906.993381277;2.7;1.7;2.03309555517;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Heizeisstraat_3_1596485;[48.966446203414236, 85.564069633649169, 51.93365221316661, 85.839981537947978];175.607326508;501.294353446;195.501685182;[12.241611550853559, 21.391017408412292, 7.5507861545635189, 21.420841972578302];[12.241611550853559, 21.391017408412292, 7.5507861545635189, 21.420841972578302];72575609.6671;46713642.4244;23460190.2157;9507057.4015;0.000227491826754;0.0008213576345489999;0.000179986927883;0.00127076065668;0.00013065589403;5.96779560118e-05;0.00218308124607;0.0003822155378130001;753.9198647239999;2.7;1.7;2.24320210814;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Heizeisstraat_24_1597303;[63.240807037549047, 92.313383616358834, 54.900585399843969, 48.865164452041888];378.525554657;739.0462130889999;272.783799991;[10.601176994155814, 22.647392313647153, 13.725146349960992, 11.783300481073056];[10.601176994155814, 22.647392313647153, 13.725146349960992, 11.783300481073056];69115005.4433;100692310.283;25762472.1078;13265211.7157;0.000238882394858;0.0008624832002789999;8.35003682659e-05;0.000589537162827;0.000106554934563;4.27706519555e-05;0.00156459460756;0.000407241915334;1038.8875692;2.7;1.7;2.05088460764;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
