BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Hoevenzavellaan_70_1597557;[52.276414282982969, 63.468435128033377, 63.071291893120957, 52.778945195244845];278.016082764;548.40455;239.014092046;[12.198735943143319, 15.27035061663228, 15.767822973280239, 8.5452828039618094];[12.198735943143319, 15.27035061663228, 15.767822973280239, 8.5452828039618094];61725664.5703;73955592.4957;21548556.1087;11623023.5598;0.000267479631623;0.0009657333217389999;0.000113687751074;0.000802668965521;0.000133961216201;4.88136112338e-05;0.00178565229707;0.000462095533459;762.749800199;2.7;1.7;2.12230701131;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hoevenzavellaan_74_1595980;[91.591897176921094, 67.222582962093625, 107.17006958611323, 68.285626468931881];332.272369385;628.2948343969999;288.807921379;[19.985202955250639, 16.441942667737731, 26.792517396528307, 8.9373936999516523];[19.985202955250639, 16.441942667737731, 26.792517396528307, 8.9373936999516523];89091047.1526;88388411.5751;28967791.7104;14044449.2026;0.000185320057948;0.0006690967609799999;9.51238385257e-05;0.000671602282077;0.000105328868043;4.03975795152e-05;0.00147778516759;0.000331614410004;979.747787193;2.7;1.7;2.23202757351;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hoevenzavellaan_80_1597626;[69.325313425233645, 53.593568672518003, 50.360850638108111, 58.22758161715106];216.049926758;499.747350364;175.966034714;[17.331328356308411, 12.996715090195245, 11.52779829690483, 7.0717784665364425];[17.331328356308411, 12.996715090195245, 11.52779829690483, 7.0717784665364425];61702271.1808;57471856.2437;20906965.5304;8557057.66007;0.000267581042075;0.00096609946346;0.00014629499619;0.00103288570794;0.000141306961808;6.63033692125e-05;0.00242544570143;0.000489055459656;587.31052522;2.7;1.7;2.16324870794;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hoevenzavellaan_113_1596208;[131.19801044637452, 101.00207874221967, 140.00156916993612, 71.971858296057206];402.43422699;876.429414177;386.776946859;[25.172166335918845, 12.880845758765796, 32.000024080393743, 13.800247568927816];[25.172166335918845, 12.880845758765796, 32.000024080393743, 13.800247568927816];118382932.533;107052302.161;39035287.6543;18808587.9257;0.000139465695499;0.000503539909061;7.85395999946e-05;0.000554512679548;7.73089008233e-05;3.01650371441e-05;0.00110346820295;0.000285359364873;1570.34997606;2.7;1.7;2.20679896118;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hoevenzavellaan_82_1595978;[44.845220564677035, 58.761806647108997, 47.878418768799605, 36.343154499736009];354.333866119;627.536547258;276.200232035;[9.8705905342769817, 14.317398311180069, 11.513409133116806, 6.9794068235394748];[9.8705905342769817, 14.317398311180069, 11.513409133116806, 6.9794068235394748];50060842.6768;94257032.7215;19866227.1977;13431349.4936;0.000329805835022;0.00119076163913;8.92012484103e-05;0.0006297870536449999;0.000131796065671;4.22416045148e-05;0.00154524150596;0.000560634221932;774.3065281510001;2.7;1.7;1.99931101432;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hoevenzavellaan_86_1597625;[88.217463100784386, 46.540337620690728, 83.878382623483503, 45.47154437235703];100.408290863;547.911560725;105.308818775;[21.515536901765582, 11.635084405172682, 20.441780528483601, 7.5721277755936613];[21.515536901765582, 11.635084405172682, 20.441780528483601, 7.5721277755936613];70391065.9674;26709802.4274;23560695.3056;5121065.75471;0.000234551896523;0.000846847966611;0.000314784993751;0.00222247465455;0.000126594143593;0.000110789780992;0.004052804574780001;0.0003912123569630001;547.7080059369999;2.7;1.7;2.1820262003;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hoevenzavellaan_11_1591099;[114.08268673224333, 30.765994764010735, 119.01608955875406, 35.404600929140244];112.398124695;643.25682163;131.101736387;[28.520671683060833, 6.9368577379946963, 29.754022389688515, 8.851150232285061];[28.520671683060833, 6.9368577379946963, 29.754022389688515, 8.851150232285061];79762490.4331;29899241.1683;26990257.2384;6375350.330630001;0.000206994013493;0.000747350424471;0.0002812059658270001;0.00198539683963;0.000109572195416;8.89930315957e-05;0.0032554569776;0.000323081917505;856.241429422;2.7;1.7;2.16524088346;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hoevenzavellaan_115_1596209;[103.38532288479971, 53.587760380963175, 101.88110586761063, 57.053229102487521];148.096874237;696.192406639;177.01192365;[25.831413235766867, 7.7662435052575791, 25.446199784826614, 14.258656824334597];[25.831413235766867, 7.7662435052575791, 25.446199784826614, 14.258656824334597];84196930.2028;39395534.1435;28715312.9512;8607918.22498;0.000196092161331;0.000707989364202;0.000213421271548;0.00150681695815;0.000102362607622;6.59116105171e-05;0.00241111476388;0.000326432460472;1085.15822496;2.7;1.7;2.1537645272;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hoevenzavellaan_27_1603034;[223.51529717301622, 77.840803133333708, 215.0480840954489, 91.64543384923509];351.352046967;1111.42279483;383.366284497;[45.008391145287575, 10.421474860582386, 52.274453836711622, 20.581227783366405];[45.008391145287575, 10.421474860582386, 52.274453836711622, 20.581227783366405];162059857.77;93463833.2779;52282108.9118;18642730.7218;0.000101878147051;0.000367830330733;8.99582725781e-05;0.00063513186696;5.87201024773e-05;3.04334038759e-05;0.00111328533508;0.000186523893256;2222.30642028;2.7;1.7;2.24709118895;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hoevenzavellaan_88_1597624;[45.312547351370704, 57.336012578699162, 70.441283355969418, 58.481508192124764];98.875629425;602.032708595;131.263810233;[10.30855634249879, 14.014703749298899, 17.610320838992354, 10.630928270657975];[10.30855634249879, 14.014703749298899, 17.610320838992354, 10.630928270657975];61719338.6159;26302096.2127;22248259.3528;6383231.82465;0.000267507047081;0.000965832305058;0.000319664445078;0.00225692501628;0.000126583564997;8.8883150259e-05;0.00325143740485;0.0004552181720169999;730.636426301;2.7;1.7;2.08464911984;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
