BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
JefUlburghsstraat_2527_5417504;[145.07861118962992, 59.026700651098999, 105.95553653041787, 63.194324070679073];283.076499939;679.533324908;294.526138983;[36.269652797407481, 11.528412499984134, 26.469286809774928, 10.35401396924164];[36.269652797407481, 11.528412499984134, 26.469286809774928, 10.35401396924164];99481486.9414;75301723.7941;32058144.01;14322520.5806;0.000165964125875;0.00059921230487;0.000111655411942;0.0007883200534060001;9.58474682199e-05;3.96132615217e-05;0.00144909400561;0.000282769244945;1086.14123248;2.7;1.7;2.24928163014;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
JefUlburghsstraat_101_4753278;[94.869255233902379, 86.829805205306357, 50.731259264214344, 54.616062604617433];142.641384125;550.706660628;150.972284407;[22.489555520082838, 16.790154294211998, 6.397157050275311, 7.0991410437086788];[22.489555520082838, 16.790154294211998, 6.397157050275311, 7.0991410437086788];76504769.5022;37944308.7338;25021453.6431;7341635.81537;0.000215808218603;0.0007791740498010001;0.000221583822997;0.00156444697252;0.000121381753295;7.72800187419e-05;0.00282698287417;0.000453393895068;817.7192744289999;2.7;1.7;2.22123281382;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
JefUlburghsstraat_4749_4748014;[63.544552381903941, 103.09460252195072, 61.543642658723478, 110.43486829545888];266.991920471;425.66010055;267.006721777;[12.575569313980049, 25.77365063048768, 15.385910664680869, 23.129878017135276];[12.575569313980049, 25.77365063048768, 15.385910664680869, 23.129878017135276];90249757.7832;71023033.8969;26589178.2286;12984278.0033;0.000182940746064;0.0006605062722200001;0.000118381946375;0.000835811365214;0.000124100440876;4.36960571286e-05;0.00159844688423;0.000311303156265;1089.66854563;2.7;1.7;2.49551187772;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
JefUlburghsstraat_88_4754279;[35.240316914296898, 71.414925347372659, 45.591259781394811, 44.907873649121569];85.92991256709999;338.907816549;92.1820398409;[8.8096798626292312, 13.135204564349378, 11.054361554452115, 11.226968412280392];[8.8096798626292312, 13.135204564349378, 11.054361554452115, 11.226968412280392];52546386.223;22858381.1909;16671455.6484;4482723.22225;0.000314205394656;0.00113443635932;0.0003678232907219999;0.00259694063317;0.000186587186448;0.000126566313662;0.00462992642853;0.000541043815748;510.348358055;2.7;1.7;2.28173451914;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
JefUlburghsstraat_98_4754272;[46.400514105161015, 71.960099950634543, 46.355579850010045, 45.361107867692127];86.1210708618;352.397469315;92.3707328036;[11.600128526290254, 13.309002239196531, 11.240190062281291, 11.340276966923032];[11.600128526290254, 13.309002239196531, 11.240190062281291, 11.340276966923032];55990657.052;22909231.5762;17650178.4714;4491899.17808;0.0002948770186;0.00106465139401;0.000367006853208;0.00259117634415;0.000177140488626;0.000126307766696;0.00462046851357;0.000503864444064;517.9596271190001;2.7;1.7;2.29613737347;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
JefUlburghsstraat_1_4748189;[79.998548644499976, 35.113849385695985, 56.020239991757421, 40.73135088286061];157.509429932;348.445180921;164.291828853;[19.999637161124994, 8.7784623464239964, 14.005059997939355, 4.8835734466830472];[19.999637161124994, 8.7784623464239964, 14.005059997939355, 4.8835734466830472];56466852.1744;41899386.1739;17709454.9384;7989352.3478;0.000292390267656;0.00105567299728;0.000200667497975;0.00141677156502;0.000177264087957;7.10147367032e-05;0.00259779238854;0.000501992024829;529.495000832;2.7;1.7;2.30802674425;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
JefUlburghsstraat_84_4754284;[45.591820296474324, 71.446719324231594, 45.471073758424133, 44.88976677638847];85.7255630493;348.74306912;91.9545729479;[11.397955074118581, 13.168952105317743, 11.014251424152617, 11.222441694097117];[11.397955074118581, 13.168952105317743, 11.014251424152617, 11.222441694097117];55276926.4887;22804021.7829;17436136.1461;4471661.72779;0.0002986844433959999;0.00107839807436;0.00036870009467;0.00260313112696;0.000179225927111;0.000126879399191;0.00464137942043;0.000511249554297;509.1762071430001;2.7;1.7;2.29470538204;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
JefUlburghsstraat_69_4754152;[39.035875545797779, 78.617917113401546, 36.296251408945494, 54.313562362172782];95.68364334110001;357.869128586;102.145030116;[6.5601233699489079, 19.654479278350387, 9.0740628522363735, 13.578390590543195];[6.5601233699489079, 19.654479278350387, 9.0740628522363735, 13.578390590543195];55507263.5911;25452989.8598;17609086.6073;4967213.779709999;0.000297445000037;0.00107392307286;0.000330328383287;0.002332215557;0.000176666010407;0.000114221327805;0.00417833410015;0.000489661577875;556.914752501;2.7;1.7;2.28195465827;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
JefUlburghsstraat_103105_4753285;[94.760618705804134, 54.146184078223392, 67.79175651130781, 87.502888047784438];141.41929245;563.065461015;149.680779026;[22.544224282919551, 6.9950461312701613, 10.886090002256502, 16.962899792779915];[22.544224282919551, 6.9950461312701613, 10.886090002256502, 16.962899792779915];81077007.2212;37619217.7787;26248154.5887;7278831.16086;0.000203637980567;0.0007352334912839999;0.000223498666019;0.00157796632754;0.000116638609767;7.79468215252e-05;0.00285137520844;0.0004169549609;808.2267420160001;2.7;1.7;2.24025946964;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
JefUlburghsstraat_82_4754288;[44.7045276398634, 70.42904603632266, 44.860888764610948, 44.166335983587338];85.46980285640001;345.035584801;91.6901448539;[11.17613190996585, 12.957560670623391, 10.885007023714394, 11.041583995896834];[11.17613190996585, 12.957560670623391, 10.885007023714394, 11.041583995896834];54413766.5113;22735986.5225;17186588.072;4458802.84595;0.0003034224439779999;0.00109550459202;0.000369803394364;0.00261092074735;0.000181638111057;0.000127245310683;0.00465476484059;0.000519500053438;503.347124726;2.7;1.7;2.29170939873;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
