BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Karekietstraat_42_1598927;[20.094409850687299, 41.387872168127288, 72.747036690676836, 41.949329297997195];186.644691467;437.494161618;208.02542167;[3.4052362330728747, 10.346968042031822, 14.786281063821022, 10.447350612506998];[3.4052362330728747, 10.346968042031822, 14.786281063821022, 10.447350612506998];46955849.9523;49649713.0901;16657963.6718;10116074.5645;0.00035161450677;0.00126950169452;0.000169343274451;0.00119561333245;0.000171154716492;5.60851691819e-05;0.00205165339442;0.000613769570607;829.37043966;2.7;1.7;2.10269942656;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Karekietstraat_22_1596010;[5.1314994584345479, 33.343249409106846, 51.278910674883562, 34.462757397561248];81.2766647339;286.769746408;93.5293685308;[1.2725998330132349, 8.3358123522767116, 12.819727668720891, 8.6150572025171979];[1.2725998330132349, 8.3358123522767116, 12.819727668720891, 8.6150572025171979];33106664.7486;21620561.7917;11461274.0652;4548242.51014;0.000498701942533;0.001800559843;0.000388881892674;0.00274562055764;0.000253499776119;0.000124743074307;0.004563230450489999;0.0007708071996610001;520.803823644;2.7;1.7;2.13315732742;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Karekietstraat_34_1596006;[34.483572699193218, 23.530329649725822, 34.205157349569902, 47.231822072633946];79.1889381409;297.828758053;91.4270823292;[8.6204662659028717, 5.811679302478086, 8.5512893373924754, 11.807955518158487];[8.6204662659028717, 5.811679302478086, 8.5512893373924754, 11.807955518158487];37167016.2884;21065201.6283;12551705.467;4446010.37043;0.000444220700764;0.00160385570419;0.000399134322974;0.00281800573147;0.00023598104123;0.000127611432754;0.004668157963939999;0.000687765550618;504.021375646;2.7;1.7;2.16822503872;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Karekietstraat_10_4754274;[7.4901659708580102, 35.179173039950193, 51.041099233839624, 35.322085227974213];86.1623916626;301.357306798;99.6208606124;[1.7744669764791174, 8.7947932599875482, 12.760274808459906, 8.8301853242827075];[1.7744669764791174, 8.7947932599875482, 12.760274808459906, 8.8301853242827075];34390273.0534;22920223.4019;11951003.131;4844465.86406;0.000480088017775;0.00173335439906;0.000366830848146;0.00258993369664;0.000242397118016;0.000117115440449;0.00428420372873;0.00074404626399;540.9817457380001;2.7;1.7;2.12817121258;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Karekietstraat_24_4753994;[33.449097996377496, 39.918859451903614, 35.415619654932215, 62.118242956333603];105.031509399;326.915484305;117.105594356;[8.362274499094374, 9.8876060169633178, 4.7962432464456715, 15.529560739083401];[8.362274499094374, 9.8876060169633178, 4.7962432464456715, 15.529560739083401];45549448.3018;27939633.6756;14884677.0213;5694731.51365;0.000362471086621;0.00130869929943;0.000300928963057;0.0021246470019;0.000204180920492;9.96292366107e-05;0.00364454033851;0.0006202954037189999;604.4759489019999;2.7;1.7;2.22277064949;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Karekietstraat_12_1597643;[32.552109699015276, 11.49744494512931, 30.177937363047469, 57.350330738511545];100.934791565;289.878344596;113.856515372;[8.1380274247538189, 2.7558676766807446, 3.3986886454117893, 14.337582684627886];[8.1380274247538189, 2.7558676766807446, 3.3986886454117893, 14.337582684627886];35068656.5698;26849857.891;11958954.1703;5536731.95281;0.000470800984009;0.00169982362921;0.0003131429977890001;0.00221088168004;0.000245807593423;0.000102472317288;0.00374854316506;0.000835772989617;554.778680009;2.7;1.7;2.15390704479;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Karekietstraat_36_1596004;[44.043885920308895, 3.2888221238824062, 43.535154173462381, 26.7915528006953];109.870376587;337.400168192;126.885936717;[11.010971480077224, 0.80513093682523085, 10.883788543365595, 6.6919801180816822];[11.010971480077224, 0.80513093682523085, 10.883788543365595, 6.6919801180816822];31359065.9229;29226830.036;11716196.5487;6170340.080130001;0.000526493935167;0.00190090263621;0.00028767557001;0.0020310741483;0.000233887602231;9.19498351858e-05;0.0033636199057;0.0008141135257390001;685.441282708;2.7;1.7;2.04872364068;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Karekietstraat_11_1597630;[21.842369070422386, 57.415496690527171, 20.862959578829578, 7.4858594428716074];118.298992157;317.150584319;134.567146187;[5.0380093395585019, 14.353874172631793, 5.2157398947073945, 1.5703463560383302];[5.0380093395585019, 14.353874172631793, 5.2157398947073945, 1.5703463560383302];28679771.3665;31468942.2628;10827336.6735;6543869.84932;0.000575679555109;0.0020784869698;0.000267179141898;0.0018863633365;0.000251094081565;8.67012588074e-05;0.00317162156283;0.0009140632374610001;571.654307615;2.7;1.7;2.03929209058;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Karekietstraat_18_1595274;[32.234225525436528, 41.500134750039123, 0.8892312791714172, 39.744028296834429];77.8921585083;270.151936868;90.314401776;[7.6757436228698914, 10.375033687509781, 0.0, 9.9360070742086073];[7.6757436228698914, 10.375033687509781, 0.0, 9.9360070742086073];30481723.2842;20720242.7859;10632546.0838;4391901.793930001;0.000541647788971;0.0019556155184;0.000405779269919;0.00286492101161;0.0002716653274200001;0.00012918361567;0.004725670038239999;0.000854986391536;477.955897564;2.7;1.7;2.12334554835;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Karekietstraat_6_1597352;[30.129901116677221, 39.518627244355216, 0.37699179783884063, 38.426218773731009];78.1377563477;264.727251628;90.5083275627;[7.159258042816333, 9.8796568110888039, 0.0, 9.6065546934327521];[7.159258042816333, 9.8796568110888039, 0.0, 9.6065546934327521];28904998.6362;20785574.7392;10194336.9957;4401332.21692;0.00057119386957;0.00206229143382;0.000404503849218;0.002855916166280001;0.000280940512332;0.000128906823081;0.004715544679560001;0.00089802582571;458.74457352;2.7;1.7;2.10967349703;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Karekietstraat_27_1596000;[22.02257146632925, 51.723002127853647, 22.511196197290264, 1.5711523001061209];106.420215607;310.668353305;122.454490461;[5.5056428665823125, 12.930750531963412, 5.6275887357330916, 0.0];[5.5056428665823125, 12.930750531963412, 5.6275887357330916, 0.0];26073495.7546;28309046.0828;10135519.9509;5954843.14524;0.000633223798462;0.00228625005419;0.00029700205954;0.00209692190791;0.000262367861473;9.52773632437e-05;0.00348534431761;0.0009943624317100002;543.5661603240001;2.7;1.7;2.01489503534;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Karekietstraat_26_1596008;[39.684456859909311, 0.21477258343770966, 35.446049963836522, 25.352850645895309];76.6587028503;254.015535754;88.25055072079999;[9.9211142149773277, 0.0, 8.8607540180456716, 6.3375995992930081];[9.9211142149773277, 0.0, 8.8607540180456716, 6.3375995992930081];26838475.2564;20392128.8758;9572910.88052;4291538.718119999;0.000615174962929;0.00222108486092;0.000412308349042;0.00291101823084;0.000296588811114;0.000132204738364;0.00483618582557;0.0009525806817010002;511.734383541;2.7;1.7;2.09642508382;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
