BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Kerkeweg_34_1600089;[94.06186598070272, 57.299629127772185, 86.760008659667818, 45.893894592041264];262.998386383;575.219850875;249.466571358;[23.271693834818379, 13.988708836677654, 21.467062426382025, 6.108017441101131];[23.271693834818379, 13.988708836677654, 21.467062426382025, 6.108017441101131];75696939.3305;69960706.219;25153718.0086;12131317.4945;0.000218111302345;0.000787489317392;0.000120179532835;0.000848502854405;0.000119249970853;4.67683541927e-05;0.00171083468286;0.000369062106961;878.523398837;2.7;1.7;2.19375103785;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kerkeweg_26_1600088;[82.423023720484849, 50.123116448523632, 59.295654728441896, 43.096698582839558];258.667819977;541.602113475;220.163970863;[20.605755930121212, 12.530779112130908, 14.823913682110474, 5.0828083607814216];[20.605755930121212, 12.530779112130908, 14.823913682110474, 5.0828083607814216];62616762.9997;68808723.9263;21667194.9974;10706360.4428;0.000263673132082;0.000951989982018;0.000122191555234;0.000862708324406;0.000134142658054;5.29929621217e-05;0.00193853726757;0.000451109549198;756.8782938239999;2.7;1.7;2.13378429965;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kerkeweg_16_1600924;[36.891110523104473, 83.653922956222061, 43.723579704389827, 120.31447656009745];145.903182983;627.124410545;173.669220196;[2.9075760841369629, 20.913480739055515, 10.576448797677068, 30.078619140024362];[2.9075760841369629, 20.913480739055515, 10.576448797677068, 30.078619140024362];75848242.7474;38811986.1171;25867529.0631;8445365.79693;0.00021767621006;0.000785918419766;0.000216630114338;0.00152947233218;0.000113633417968;6.71802461907e-05;0.00245752276663;0.0003711190751680001;699.250558354;2.7;1.7;2.15379048393;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kerkeweg_10_1599824;[2.8785337242455324, 86.732559833042259, 41.606968578807113, 124.8256648943178];108.609672546;568.69405662;137.361283114;[0.15952858117939586, 21.387790341570913, 3.6096417656337723, 31.206416223579449];[0.15952858117939586, 21.387790341570913, 3.6096417656337723, 31.206416223579449];68241815.7004;28891467.7312;23331726.7023;6679746.01903;0.000241939020108;0.0008735191241649999;0.000291014809923;0.00205465016437;0.000125738838441;8.49376236449e-05;0.0031071059677;0.000424536660198;683.389322038;2.7;1.7;2.15023105842;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kerkeweg_13_1600797;[88.091860417355306, 70.479037771012628, 87.982486490162927, 65.107543305913708];185.561466217;1053.90679285;217.641188373;[22.022396463931084, 17.619759442753157, 21.995621622540732, 16.276513985660856];[22.022396463931084, 17.619759442753157, 21.995621622540732, 16.276513985660856];83065138.3465;49361562.2594;33129079.9285;10583679.9763;0.000198763986307;0.0007176359694169999;0.000170331825116;0.00120259279095;7.87374158425e-05;5.36072287406e-05;0.0019610077747;0.000307110792211;1490.73385047;2.7;1.7;1.99571963109;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kerkeweg_36_1600090;[60.15137851268107, 67.075760703712206, 66.483187448665433, 68.534386165808939];96.0691070557;544.493736268;140.26406019;[15.028047350797619, 16.475100460086622, 14.280329035613322, 13.219504327740554];[15.028047350797619, 16.475100460086622, 14.280329035613322, 13.219504327740554];69894527.6612;25555527.8033;23400343.8009;6820905.253830001;0.000236218178638;0.0008528640664260001;0.000329002987335;0.00232285787169;0.000127436774391;8.31798320449e-05;0.00304280413613;0.0004055442507390001;737.7181080969999;2.7;1.7;2.18163035745;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kerkeweg_28_1600880;[53.824031919570729, 64.324282431100372, 61.645728728985617, 56.19713385344528];95.7781791687;576.69080767;137.629533909;[11.54098254568324, 14.788040578351104, 15.393793734403616, 7.993264173775076];[11.54098254568324, 14.788040578351104, 15.393793734403616, 7.993264173775076];62897328.4758;25478137.517;22191313.3807;6692790.79513;0.000262496968012;0.000947743449947;0.000330002339638;0.00232991359292;0.000129021848662;8.47720735303e-05;0.00310104997359;0.00048129939639;743.7490759410001;2.7;1.7;2.10921612378;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kerkeweg_4_4754322;[47.505393515499044, 73.36329899405068, 42.986981290315526, 115.71624864300662];82.3558273315;616.5297013740001;118.28435345;[4.9769230906246902, 18.34082474851267, 10.746745322578882, 28.929062160751656];[4.9769230906246902, 18.34082474851267, 10.746745322578882, 28.929062160751656];74512646.0532;21907631.9083;25417892.5017;5752053.425559999;0.000221577932008;0.000800005559318;0.00038378611734;0.00270964288479;0.000115622841625;9.86363845104e-05;0.0036082207836;0.0003798534575350001;611.06078716;2.7;1.7;2.1534605905;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kerkeweg_9_1600114;[56.940099581704942, 50.870631074148733, 55.340054638171701, 54.959090257939977];158.679496765;511.313603274;203.42653094;[14.235024895426236, 8.4767467642469949, 13.835013659542925, 13.739772564484994];[14.235024895426236, 8.4767467642469949, 13.835013659542925, 13.739772564484994];58131531.2915;42210637.901;20226390.3525;9892434.9672;0.000284017256283;0.00102544229883;0.000199187821087;0.00140632461092;0.00014308600546;5.73530940855e-05;0.00209803539647;0.000475839285859;1000.51804648;2.7;1.7;2.1265677153;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kerkeweg_32_4754358;[67.368061524511617, 50.067003293265657, 69.707011689791841, 54.751985060310496];81.2529029846;520.000583174;110.963392147;[14.029852687054252, 12.516750823316414, 17.42675292244796, 9.0490724868056613];[14.029852687054252, 12.516750823316414, 17.42675292244796, 9.0490724868056613];64470589.3013;21614240.8831;21816624.7543;5396042.17541;0.000256091315434;0.0009246158865330001;0.000388995618014;0.002746423492;0.00013555205805;0.000105144054654;0.00384627807638;0.0004512867531580001;646.5891631430001;2.7;1.7;2.16518036594;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kerkeweg_11_1600115;[82.447456438141742, 53.470809699133667, 79.196247389890928, 52.684820885209092];189.06640625;603.622713929;217.942072082;[20.611864109535436, 10.806062596719897, 19.799061847472732, 13.171205221302273];[20.611864109535436, 10.806062596719897, 19.799061847472732, 13.171205221302273];71374968.0011;50293918.0937;24518236.0987;10598311.6593;0.000231318604874;0.0008351741899369999;0.000167174189423;0.00118029895409;0.000119216831532;5.3533220351e-05;0.0019583004714;0.0003716258896040001;1190.97025146;2.7;1.7;2.14365350778;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kerkeweg_22_1599825;[8.5024688361239615, 82.540051992171271, 49.931073584071427, 124.70737806620164];108.876953125;529.391818426;138.406835636;[2.0991654081065247, 20.635012998042818, 4.93493794605231, 31.17684451655041];[2.0991654081065247, 20.635012998042818, 4.93493794605231, 31.17684451655041];70810373.5611;28962567.5517;23416266.6892;6730590.22449;0.000233162984329;0.0008418333089380001;0.000290300401552;0.00204960623112;0.000128584427165;8.42959880909e-05;0.00308363427667;0.000406626375683;642.3467657130001;2.7;1.7;2.20186074516;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
