BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Kwikstaartstraat_15_4754484;[92.207056371516899, 18.165266952307434, 92.401469794230536, 35.437431270324353];64.95930099489999;454.129132103;91.1662585883;[22.604229449379808, 4.4272677834260916, 23.100367448557634, 3.1642634092089175];[22.604229449379808, 4.4272677834260916, 23.100367448557634, 3.1642634092089175];63489024.5546;17279948.5031;20726831.998;4433326.76479;0.0002600505857;0.000938910803879;0.000486566553639;0.00343530299945;0.000146741500147;0.000127976524969;0.004681513414100001;0.0004489691962430001;509.353403086;2.7;1.7;2.22454512946;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kwikstaartstraat_11A13_1596066;[85.827128295449853, 60.398953690197963, 31.821816295723497, 65.133829832862958];328.00561142;605.266887416;279.154723224;[21.053492614890317, 15.099738422549491, 7.2103585109406438, 8.2572840925561373];[21.053492614890317, 15.099738422549491, 7.2103585109406438, 8.2572840925561373];64813783.4274;87253403.0885;23011354.8463;13575023.5356;0.000254735291598;0.0009197199720469999;9.63612270994e-05;0.000680338609404;0.000123823968152;4.17945318416e-05;0.00152888712598;0.000463539613028;1012.44528612;2.7;1.7;2.10177603165;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kwikstaartstraat_22_1596067;[45.514690306944715, 50.892969988906302, 52.257656556811312, 53.193629139626765];52.0781364441;410.171491769;74.5612696698;[11.378672576736179, 12.723242497226575, 13.064414139202828, 13.298407284906691];[11.378672576736179, 12.723242497226575, 13.064414139202828, 13.298407284906691];53800267.4373;13853405.1646;17895133.8148;3625842.25307;0.0003068824525859999;0.00110799692867;0.0006069154038539999;0.00428500128436;0.000167491167529;0.000156477230339;0.00572409864243;0.000474159213981;496.372757154;2.7;1.7;2.19213304689;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kwikstaartstraat_7_1596062;[59.317011522937463, 43.821773102570539, 56.852933568126829, 41.652361154416752];68.2093315125;394.53040137;92.20816815059999;[14.829252880734366, 10.955443275642635, 14.213233392031707, 4.6289904022794595];[14.829252880734366, 10.955443275642635, 14.213233392031707, 4.6289904022794595];53743000.3052;18144495.3673;17677320.5033;4483993.81662;0.000307209458481;0.00110917758115;0.000463382685493;0.00327161807046;0.000171045576398;0.000126530449553;0.004628614482369999;0.000536185777959;507.363406875;2.7;1.7;2.21109896385;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kwikstaartstraat_4_1595963;[18.377632724461069, 75.354958135997634, 34.080610721424591, 82.760074917589108];81.20911026;535.40971754;127.776510196;[3.5529146545758792, 18.835724238502024, 8.5201526803561478, 20.025576074155076];[3.5529146545758792, 18.835724238502024, 8.5201526803561478, 20.025576074155076];56122846.2535;21602591.4962;20073535.5701;6213647.80497;0.000294182478671;0.0010621437625;0.000389205387311;0.00274790452494;0.000141141139969;9.13089655571e-05;0.00334017623301;0.000469787314475;611.084823231;2.7;1.7;2.09329371433;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kwikstaartstraat_3_2983541;[45.537553187582972, 57.392312090997748, 41.260075658263702, 57.193330718706129];84.8725471497;420.406632862;133.47111347;[5.4627026847128866, 8.3106440159662931, 10.315018914565925, 14.298332679676532];[5.4627026847128866, 8.3106440159662931, 10.315018914565925, 14.298332679676532];53673488.7781;22577109.384;17999405.1798;6490570.84095;0.000307607319681;0.0011106140562;0.000372405733931;0.00262929403022;0.000165461683571;8.74132287146e-05;0.00319766615712;0.0006233492551980001;509.97300061;2.7;1.7;2.17902020547;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kwikstaartstraat_1517_1599733;[56.572280280853306, 53.803932204440578, 69.096141404437461, 59.691374775068653];101.833442688;444.785524319;133.787239169;[12.734486698376251, 13.450983051110144, 17.274035351109365, 6.844564719435577];[12.734486698376251, 13.450983051110144, 17.274035351109365, 6.844564719435577];63742889.8691;27088909.8034;20663830.0336;6505943.72722;0.000259014896482;0.000935171455271;0.000310379600037;0.00219137127902;0.000148004764209;8.72066801061e-05;0.00319011039577;0.000475673635896;668.944117678;2.7;1.7;2.23770573813;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kwikstaartstraat_12_1597661;[11.839892677081744, 43.352497941834727, 58.658108573938513, 45.980268511172454];68.9814186096;358.069689823;95.7793818373;[2.5207092731986487, 4.3612274242380709, 14.664527143484628, 11.495067127793114];[2.5207092731986487, 4.3612274242380709, 14.664527143484628, 11.495067127793114];42598746.3915;18349879.7399;14604586.7685;4657658.47573;0.0003875784951319999;0.00139934942062;0.0004581961903510001;0.00323499988907;0.000200446283963;0.000121812656803;0.00445603275264;0.000724189197357;528.661393739;2.7;1.7;2.14636776652;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kwikstaartstraat_6_1595964;[17.347782538636046, 83.905295056680728, 34.554423939289237, 73.985991208701279];78.7979698181;524.9853720159999;124.943904317;[3.3698943923909783, 20.403075700283882, 8.6386059848223091, 18.489383225092904];[3.3698943923909783, 20.403075700283882, 8.6386059848223091, 18.489383225092904];55915015.1147;20961199.3933;19888826.3862;6075900.92742;0.000295275928783;0.00106609165641;0.0004011146896909999;0.00283198770305;0.000143059682096;9.33790330331e-05;0.00341590143855;0.000470095654768;593.8800958630001;2.7;1.7;2.09961778733;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kwikstaartstraat_20_4754535;[70.979840049829093, 21.651393624520725, 27.330741995345555, 22.125723641777398];55.31457519529999;363.346000093;73.3270902716;[17.179960233215983, 5.4128484061301814, 6.8326854988363888, 5.5314309104443495];[17.179960233215983, 5.4128484061301814, 6.8326854988363888, 5.5314309104443495];37869791.6257;14714336.4569;13572001.7768;3565825.30554;0.000435976996761;0.00157409186909;0.000571404970576;0.0040342871795;0.000208433429003;0.000159110922379;0.00582044181644;0.0006845087134630001;420.294910426;2.7;1.7;2.09105342917;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kwikstaartstraat_9_1596064;[78.385887867126058, 33.094185298552965, 76.807580076799795, 27.464786029502275];134.661125183;644.6560952780001;165.456006285;[11.828563308982556, 8.273324381302789, 19.201895019199949, 6.8649727256270889];[11.828563308982556, 8.273324381302789, 19.201895019199949, 6.8649727256270889];57503217.7842;35821464.7155;21823543.656;8045965.16755;0.000287120593545;0.00103664687611;0.000234715276357;0.00165715889606;0.000124079098692;7.05150645812e-05;0.00257951386643;0.000518279506696;740.416051617;2.7;1.7;2.03467835153;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kwikstaartstraat_10_1597665;[76.136430842800593, 23.908080953673764, 75.944958563741238, 24.940554427712687];109.810340881;415.586351082;139.029805533;[19.034107710700148, 4.1677001853162521, 18.98623964093531, 6.2351386069281718];[19.034107710700148, 4.1677001853162521, 18.98623964093531, 6.2351386069281718];53552687.5791;29210859.8226;17908247.9469;6760884.64654;0.000308301203306;0.00111311931813;0.000287832848512;0.00203218458079;0.000166670967445;8.39182715087e-05;0.00306981701412;0.000494150048709;608.116493956;2.7;1.7;2.18348562041;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kwikstaartstraat_11_1596065;[28.775911648049828, 60.393903731515898, 83.852649351437293, 62.312047264004612];124.316265106;504.332192659;149.675068965;[7.1128714227070091, 15.098475932878975, 19.245579503444475, 9.0115704237180037];[7.1128714227070091, 15.098475932878975, 19.245579503444475, 9.0115704237180037];62722311.4652;33069608.6046;21204523.5208;7278553.48613;0.000263229425626;0.0009503879829930001;0.000254246885433;0.00179505780164;0.000139569930922;7.79497951742e-05;0.00285148398759;0.000474123880836;767.447172658;2.7;1.7;2.16662599656;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
