BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Leeuwerikstraat_52_1595297;[39.513173801247504, 35.124883265422952, 38.434276666080322, 51.590784425739258];178.089248657;320.454355036;192.161345465;[9.878293450311876, 8.4274037276515532, 5.7127414164261712, 12.897696106434815];[9.878293450311876, 8.4274037276515532, 5.7127414164261712, 12.897696106434815];43886684.0924;47373863.3055;14412860.8623;9344619.919680001;0.000376204271577;0.00135828286677;0.000177478558926;0.00125305083396;0.000210043335771;6.07153376258e-05;0.00222102973656;0.000648180530968;506.412254877;2.7;1.7;2.21384265987;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Leeuwerikstraat_16_1597741;[8.3919486739101252, 21.736019697827743, 58.378495003727117, 17.425692689857328];126.870433807;318.435390929;144.388431021;[1.9059650651751447, 5.4340049244569357, 14.594623750931779, 4.3564231724643321];[1.9059650651751447, 5.4340049244569357, 14.594623750931779, 4.3564231724643321];28233469.1609;33749047.9297;10740183.9506;7021469.40856;0.000584779643155;0.00211134277344;0.0002491283608270001;0.00175891951224;0.000251677151411;8.08038489374e-05;0.00295588822094;0.000910132912349;587.240725966;2.7;1.7;2.03266451872;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Leeuwerikstraat_44_1597635;[23.666257360247517, 40.485693158301466, 50.473835931982322, 40.727232995847579];94.7334403992;322.012160987;108.05929122;[5.9100685353396241, 10.121423289575366, 8.2675266536294991, 10.181808248961895];[5.9100685353396241, 10.121423289575366, 8.2675266536294991, 10.181808248961895];41405318.7107;25200224.549;13855180.1981;5254818.56299;0.0003987496905;0.00143968294263;0.000333641669496;0.00235560833228;0.000215317310935;0.000107969808397;0.003949647065769999;0.000693960153008;556.568284184;2.7;1.7;2.18244457281;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Leeuwerikstraat_30_1597636;[50.820897578426873, 17.459823367751479, 59.307590556842918, 75.237280318780847];136.24382019;364.44457223;150.405302326;[12.705224394606718, 3.7534172885720425, 14.107706928095737, 14.250412557219116];[12.705224394606718, 3.7534172885720425, 14.107706928095737, 14.250412557219116];54057901.8161;36242480.4562;17357390.6459;7314064.026489999;0.000305419882501;0.0011027163297;0.000231988674185;0.00163790828265;0.000177530092934;7.75713408241e-05;0.00283763973672;0.0005339145259;671.371795998;2.7;1.7;2.25653344096;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Leeuwerikstraat_48_1597633;[46.641262010759306, 58.578596009465777, 43.648318822884555, 34.784190985991124];224.279056549;393.182275056;240.45041487;[11.660315502689826, 14.644649002366444, 8.6528408303687563, 8.5835357890074224];[11.660315502689826, 14.644649002366444, 8.6528408303687563, 8.5835357890074224];48947776.1619;59660902.8751;16542632.777;11692870.5461;0.0003373055798560001;0.00121783941491;0.000140927216737;0.000994987605992;0.000178945490791;4.85220246962e-05;0.00177498576048;0.000549554037008;717.803534953;2.7;1.7;2.16709218467;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Leeuwerikstraat_27_1597169;[22.218403727982363, 45.747275170378096, 22.06146820934784, 23.007930151795097];89.96912002559999;292.973317311;103.700296177;[5.5546009319955907, 11.436818792594524, 5.51536705233696, 5.7444963745820372];[5.5546009319955907, 11.436818792594524, 5.51536705233696, 5.7444963745820372];30126568.6119;23932858.5299;10848200.944;5042844.86036;0.000548033140901;0.00197866978646;0.000351309684955;0.00248034971873;0.000259820740408;0.000112508270454;0.00411566869361;0.000846981698613;456.734508397;2.7;1.7;2.0858203822;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Leeuwerikstraat_43_1596011;[22.9458234565193, 58.946748642697678, 21.533321788789525, 6.8362936750479211];123.104919434;326.015643679;139.499169986;[5.2068263614156072, 14.736687160674419, 5.3833304471973813, 1.6988657003389362];[5.2068263614156072, 14.736687160674419, 5.3833304471973813, 1.6988657003389362];29387526.77;32747376.2142;11108111.476;6783709.38484;0.000561815158864;0.00202842966503;0.000256748660877;0.00181272107221;0.0002445202794809999;8.36359167561e-05;0.00305948818575;0.000885390988217;592.44097866;2.7;1.7;2.03821133955;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Leeuwerikstraat_23_1597298;[16.900327763548773, 57.156624993892343, 19.948695852824972, 6.7335355809832587];123.551158905;347.841502001;140.248262198;[4.2250819408871934, 14.289156248473086, 4.9871739632062431, 1.6788156742460967];[4.2250819408871934, 14.289156248473086, 4.9871739632062431, 1.6788156742460967];26849417.1723;32866081.2336;10802367.8512;6820137.0128;0.0006149242612969999;0.00222017970444;0.000255821341475;0.00180617392445;0.000239903264936;8.31892016749e-05;0.00304314688686;0.000950282100553;563.3941354;2.7;1.7;1.98961231944;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Leeuwerikstraat_4042_1595781;[7.2280314825864433, 46.647252796645276, 28.233203206643466, 43.904510058025984];103.080070496;332.173138535;119.36503031;[1.7972547826085981, 11.661813199161319, 6.9017340058791561, 10.976127514506496];[1.7972547826085981, 11.661813199161319, 6.9017340058791561, 10.976127514506496];33585496.7196;27420527.6624;12166450.3447;5804605.693469999;0.000491591896311;0.00177488907131;0.0003066259370990001;0.00216486931448;0.000230605892668;9.77433754107e-05;0.00357555358873;0.000763582143235;662.525772648;2.7;1.7;2.07935938499;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Leeuwerikstraat_46_1597634;[52.124481650102318, 23.84714431748516, 51.5323496456366, 49.011090490098567];92.13422393799999;360.783513979;105.708896018;[13.030973332076831, 5.96178607937129, 12.882940331160061, 12.252772622524642];[13.030973332076831, 5.96178607937129, 12.882940331160061, 12.252772622524642];47045513.4718;24508801.9827;15675941.0055;5140521.12316;0.000350944368603;0.0012670821654;0.000343054099345;0.00242206285582;0.000190939303008;0.000110370474085;0.00403746589523;0.000542242196686;596.962042655;2.7;1.7;2.18925480036;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Leeuwerikstraat_33_1597646;[22.287469445941618, 25.278535575091496, 21.176523614337086, 51.281319012114054];106.468852997;332.961553641;123.076533148;[5.5718673614854044, 6.3064970203939694, 5.2937103843679418, 12.820329753028513];[5.5718673614854044, 6.3064970203939694, 5.2937103843679418, 12.820329753028513];31989244.1256;28321984.2084;11804942.8794;5985092.477969999;0.000516122167691;0.00186345544296;0.000296866382254;0.00209596398636;0.000234323677791;9.47958206989e-05;0.00346772899414;0.000797812652076;539.240404396;2.7;1.7;2.06047359323;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Leeuwerikstraat_39_1597158;[19.006592381890446, 56.373881399510033, 21.128512519376223, 5.8838047540557481];121.050987244;344.494765542;138.245457285;[4.7516480954726115, 14.093470349877508, 5.2821281298440557, 1.3718762621371179];[4.7516480954726115, 14.093470349877508, 5.2821281298440557, 1.3718762621371179];27290143.2004;32201005.7649;10861248.7125;6722742.5517;0.0006049934549520001;0.00218432459824;0.000261105042855;0.00184347841047;0.000240545291492;8.43943894987e-05;0.00308723390177;0.000938397761535;576.85907276;2.7;1.7;1.9972259706;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Leeuwerikstraat_28_1596002;[3.1135907632413531, 32.581050005542181, 55.023219530419944, 33.892257092796534];83.9904937744;292.591104941;96.92727139889999;[0.77650472956044592, 8.1452625013855453, 13.755804882604986, 8.4730642731991335];[0.77650472956044592, 8.1452625013855453, 13.755804882604986, 8.4730642731991335];33211595.3947;22342472.6705;11561826.6023;4713479.23218;0.0004971263146119999;0.00179487104952;0.00037631667337;0.00265690641312;0.000250213686423;0.000120370054786;0.00440326088143;0.000768148666197;531.073301305;2.7;1.7;2.12588484505;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Leeuwerikstraat_32_1597637;[44.377143239093421, 6.3163459934629911, 42.069119641961656, 3.7862521143230614];101.376808167;299.302477322;116.785539923;[11.094285809773355, 1.5684647432084564, 10.516326183472456, 0.93249250795728478];[11.094285809773355, 1.5684647432084564, 10.516326183472456, 0.93249250795728478];25732595.1864;26967439.5767;9907488.19254;5679167.5769;0.000641612627928;0.00231653786376;0.000311777651946;0.00220124193675;0.000270355573092;9.99022736563e-05;0.00365452831554;0.000992399936691;635.728305979;2.7;1.7;2.02257955849;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Leeuwerikstraat_22_1595782;[32.824620171683819, 42.543983115767141, 2.8857594069346266, 41.617506067550131];78.8806152344;277.633099231;90.91298819069999;[7.8736017728831609, 10.635995778941785, 0.0, 10.404376516887533];[7.8736017728831609, 10.635995778941785, 0.0, 10.404376516887533];31948738.0948;20983184.0593;11072087.9348;4421010.47091;0.000516776530326;0.00186581801463;0.000400694430666;0.0028290205507;0.000262195909859;0.000128333049003;0.004694555431390001;0.0008275693868580001;491.592374719;2.7;1.7;2.1317636085;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Leeuwerikstraat_38_1595780;[31.180189751515773, 40.244429144180963, 0.10343448294140423, 37.689868573337776];77.0638275146;263.345576981;89.0996905386;[7.4684633940325682, 10.061107286045241, 0.0, 9.422467143334444];[7.4684633940325682, 10.061107286045241, 0.0, 9.422467143334444];29109204.8513;20499896.8663;10223840.0521;4332831.564180001;0.0005671868436549999;0.00204782409504;0.0004101408433919999;0.00289571500335;0.000281028378377;0.000130944797877;0.004790095901729999;0.0008878111535920001;459.812430832;2.7;1.7;2.11473231943;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Leeuwerikstraat_19_1596168;[21.524770953479333, 50.373169664526074, 20.355697311800188, 0.98781329806772611];102.802928925;298.847309077;118.147382096;[5.3811927383698333, 12.593292416131519, 5.0889243279500471, 0.0];[5.3811927383698333, 12.593292416131519, 5.0889243279500471, 0.0];24851090.8825;27346804.7004;9696219.79887;5745392.64138;0.000664371560145;0.00239870882787;0.000307452555511;0.00217070548363;0.000273490326615;9.87507362546e-05;0.00361240388847;0.00103750140715;513.339624257;2.7;1.7;2.01200365001;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Leeuwerikstraat_47_1597647;[21.316871938613566, 50.86429010519069, 20.941465330295735, 0.025633717729377281];105.992706299;305.133673689;122.099437634;[5.3289403453074984, 12.716072526297673, 5.2352969232873239, 0.0];[5.3289403453074984, 12.716072526297673, 5.2352969232873239, 0.0];24826253.4684;28195323.5102;9772642.849469999;5937577.27049;0.000665036230375;0.00240110861504;0.0002981999829570001;0.00210537959962;0.000269552390817;9.55544201888e-05;0.00349547934671;0.00102783511055;528.718313869;2.7;1.7;2.00527034255;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Leeuwerikstraat_21_1597299;[23.28478244007437, 3.7649972704747547, 22.115446884527174, 52.79890725307451];107.744487762;317.453109373;124.148669028;[5.8211956100185924, 0.0, 5.5288617211317934, 13.199726813268628];[5.8211956100185924, 0.0, 5.5288617211317934, 13.199726813268628];27175895.7379;28661318.2641;10481010.2366;6037229.40635;0.000607536847366;0.00219350749859;0.0002933516495209999;0.00207114893935;0.000255233499645;9.39771731733e-05;0.00343778202243;0.000974685547168;557.953772001;2.7;1.7;2.02119431449;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Leeuwerikstraat_55_1595786;[22.177591773951633, 49.154445277641322, 23.265839860938762, 0.069464472071956607];96.8248901367;288.317121658;111.384755062;[5.5443979434879083, 12.288611319410331, 5.8164599652346904, 0.0];[5.5443979434879083, 12.288611319410331, 5.8164599652346904, 0.0];25231124.9275;25756575.1133;9647034.14795;5416532.64547;0.0006543647208890001;0.00236257920538;0.000326434898788;0.0023047264111;0.000279118952571;0.000104746299994;0.00383172780023;0.00101179098613;500.205409396;2.7;1.7;2.02834450081;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Leeuwerikstraat_10_1597736;[20.756965727365962, 0.03598689964385926, 20.519102604616847, 49.258296550071442];105.134269714;300.83889121;121.106322116;[5.1892414318414906, 0.0, 5.1288366505013068, 12.314574137517861];[5.1892414318414906, 0.0, 5.1288366505013068, 12.314574137517861];24139178.5922;27966969.1445;9556451.3047;5889283.025719999;0.000683965196158;0.00246945151237;0.000300634829136;0.00212257032989;0.000274475100467;9.63380008959e-05;0.00352414353799;0.00105724771269;514.200514647;2.7;1.7;2.00105931922;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Leeuwerikstraat_11_1597744;[22.496831685808868, 51.299488258413021, 20.720805308687748, 1.3934153739482014];105.008205414;305.926951454;120.876693361;[5.6242079214522169, 12.824872064603255, 5.1802013271719369, 0.0];[5.6242079214522169, 12.824872064603255, 5.1802013271719369, 0.0];25562467.4469;27933434.5376;9954490.49376;5878116.401980001;0.000645882798883;0.00233195528585;0.000300995746831;0.00212511851498;0.000266783018375;9.65210136391e-05;0.00353083833309;0.00101265541996;531.518547646;2.7;1.7;2.01350798016;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Leeuwerikstraat_4_1595815;[25.484135821215641, 50.773026586954131, 21.989198579611795, 1.0988145313738666];101.556545258;302.458266034;116.686619023;[6.3705108434532693, 12.693256646738533, 5.4972996449029488, 0.0];[6.3705108434532693, 12.693256646738533, 5.4972996449029488, 0.0];26477880.3103;27015251.7857;10122346.1431;5674357.14942;0.0006235528610099999;0.00225133320279;0.000311225860743;0.00219734612854;0.000266039889407;9.99869656541e-05;0.003657626436260001;0.0009742377910560001;533.251877202;2.7;1.7;2.02845911875;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Leeuwerikstraat_2_1595293;[23.492194234719978, 0.16995674935345839, 20.131506897705748, 50.161785658446924];96.29309082030001;286.541625181;110.707916034;[5.8729991173852749, 0.0, 5.0328272835971095, 12.540446414611731];[5.8729991173852749, 0.0, 5.0328272835971095, 12.540446414611731];25041387.0181;25615110.155;9579623.009;5383618.61972;0.0006593228246099999;0.00238048040386;0.000328237705765;0.00231745475868;0.000280969146736;0.000105386691273;0.0038551539744;0.00102055964203;497.249034131;2.7;1.7;2.02789457197;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Leeuwerikstraat_45_1597648;[22.718106055835449, 1.2911537866404519, 20.924312323615233, 51.822617246094325];106.134464264;309.02511794;122.262095659;[5.6795265139588622, 0.0, 5.2310780809038082, 12.955654311523581];[5.6795265139588622, 0.0, 5.2310780809038082, 12.955654311523581];25787853.2012;28233032.8189;10047500.9779;5945487.17254;0.0006402377852910001;0.00231157400413;0.000297801693645;0.00210256755991;0.000264209586445;9.54272941717e-05;0.00349082894575;0.00100260036085;539.817207137;2.7;1.7;2.01310137524;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Leeuwerikstraat_12_1597737;[21.71499392593314, 50.252578722349661, 20.613388347197908, 0.90610860954133798];105.707935333;304.902940272;121.659070143;[5.4287484814832849, 12.563144680587415, 5.1533470867994771, 0.0];[5.4287484814832849, 12.563144680587415, 5.1533470867994771, 0.0];24916554.0916;28119571.0383;9790657.56792;5916162.62634;0.0006626260581719999;0.00239240670532;0.000299003316187;0.00211105136853;0.000269418136409;9.59002970746e-05;0.00350813188029;0.00103383328643;524.409473717;2.7;1.7;2.0066125552;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Leeuwerikstraat_1_1597338;[20.125661486499606, 0.040557540632516265, 22.498267427890404, 47.774534256222083];94.15307617190001;278.745173055;108.286995934;[5.0306218650909393, 0.0, 5.6245668569726011, 11.943633564055521];[5.0306218650909393, 0.0, 5.6245668569726011, 11.943633564055521];24104175.7011;25045840.7455;9259377.22178;5265891.62246;0.0006849584165700001;0.00247303752766;0.0003356982532809999;0.00237012841877;0.0002897778342790001;0.000107742770662;0.003941341791;0.00105883038898;474.310842528;2.7;1.7;2.02445053566;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
