BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Lentelaan_22_1597540;[76.066099100464385, 79.07335251020659, 102.98707801350642, 86.480000374409073];386.711750031;702.856423187;321.908167918;[15.986275570988138, 18.898630381027672, 25.428951133037565, 18.619416119282182];[15.986275570988138, 18.898630381027672, 25.428951133037565, 18.619416119282182];91845934.2163;102869935.848;30584276.0123;15654082.0994;0.000179761446838;0.00064902743481;8.17327717852e-05;0.000577057411709;9.79145782704e-05;3.62436934855e-05;0.0013258317279;0.000303146174234;1051.55570749;2.7;1.7;2.19029434552;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lentelaan_7_1597830;[67.608334220413695, 51.296333090623662, 85.219791081615782, 44.043940406123554];204.775421143;459.30900854;192.031328082;[16.427570688805638, 4.9801852190904494, 21.304947770403945, 10.834601488855709];[16.427570688805638, 4.9801852190904494, 21.304947770403945, 10.834601488855709];66142851.1837;54472703.3365;21412777.5908;9338297.30041;0.000249616666434;0.000901239212028;0.000154349692143;0.00108975423078;0.000142980474491;6.07564457584e-05;0.0022225335145;0.0004468631935249999;659.375493264;2.7;1.7;2.2403081459;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lentelaan_1_1596368;[75.864567446513277, 37.385174233427577, 108.42985082104842, 40.641421645398012];262.502475739;466.928909044;235.662245717;[18.966141861628319, 5.7067823377814868, 27.107462705262105, 10.160355411349503];[18.966141861628319, 5.7067823377814868, 27.107462705262105, 10.160355411349503];69914863.7982;69828788.0753;22391117.0498;11460026.5226;0.000236149469855;0.000852615993848;0.000120406571873;0.0008501058168010002;0.000137899511807;4.95078918264e-05;0.00181104979797;0.0003863098648319999;778.6770411939999;2.7;1.7;2.2618007561;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lentelaan_47_1598941;[44.753876881106144, 33.712681905947647, 65.472175587979336, 44.089352672644054];186.942733765;415.75574818;151.26106284;[11.188469220276536, 4.6000690785691702, 16.368043896994834, 11.022338168161014];[11.188469220276536, 4.6000690785691702, 16.368043896994834, 11.022338168161014];50114010.6482;49728995.8944;17109421.987;7355678.83055;0.000329455930734;0.00118949831217;0.000169073290924;0.00119370716934;0.000171657534982;7.71324804247e-05;0.00282158577021;0.0005541666996290001;495.6942295919999;2.7;1.7;2.15225613325;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lentelaan_28_1597168;[61.574849557816314, 51.901452287843817, 35.902131961207971, 41.553107972774569];72.3542098999;480.348381379;97.55210307719999;[15.393712389454079, 12.178883891868491, 8.9755329903019927, 10.388276993193642];[15.393712389454079, 12.178883891868491, 8.9755329903019927, 10.388276993193642];50887851.2145;19247082.4332;18134187.946;4743864.190880001;0.000324445965528;0.00117140986816;0.00043683737623;0.00308420037837;0.000156678744408;0.00011959907168;0.00437505752344;0.0005098029801569999;544.734248912;2.7;1.7;2.09748555253;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lentelaan_19_1596372;[28.840449975281238, 30.515351243111915, 31.254550566678077, 31.825791227861767];49.2915611267;319.60238752;72.9636996511;[7.130553799121949, 7.6288378107779788, 7.8136376416695192, 7.9564478069654418];[7.130553799121949, 7.6288378107779788, 7.8136376416695192, 7.9564478069654418];32632178.8995;13112142.9089;11780024.3906;3548153.97199;0.000505953282242;0.00182674075383;0.0006412258506209999;0.00452724313146;0.00023880719734;0.000159903363238;0.00584943012122;0.000783777584719;355.989445753;2.7;1.7;2.08308894988;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lentelaan_27_1595601;[45.437176797467437, 32.946195265808015, 62.965067101126948, 29.967859006552413];77.1181030273;367.870024367;98.854463072;[11.359294199366859, 3.6412036062499293, 15.741266775281737, 7.4919647516381032];[11.359294199366859, 3.6412036062499293, 15.741266775281737, 7.4919647516381032];45659916.6941;20514334.7998;15445807.4992;4807196.694730001;0.00036159413368;0.00130553306703;0.000409852187374;0.00289367700695;0.000191513859303;0.000118023411447;0.004317418245279999;0.0006258432072779999;427.762028536;2.7;1.7;2.16569790095;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lentelaan_36_1595797;[49.466144169596596, 45.354881635841387, 41.787253463103838, 34.221130179315345];81.7047691345;401.489641992;106.590354195;[11.96350080769821, 11.144826685388802, 6.3061474211257265, 8.222138428198587];[11.96350080769821, 11.144826685388802, 6.3061474211257265, 8.222138428198587];45530149.131;21734442.6661;15855117.3953;5183385.57969;0.00036262472968;0.00130925402661;0.000386844287631;0.00273123446665;0.000182416715319;0.000109457755879;0.0040040777209;0.000635772394662;485.49224179;2.7;1.7;2.12548895807;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lentelaan_31_1597467;[64.953621273110116, 37.403545100050685, 40.581975062369033, 38.625997774451484];99.3090705872;432.055571949;121.924730494;[16.238405318277529, 5.7590369960673975, 10.145493765592258, 9.656499443612871];[16.238405318277529, 5.7590369960673975, 10.145493765592258, 9.656499443612871];48391479.4996;26417396.7292;16921272.1267;5929081.43165;0.000341183162649;0.00123183940021;0.000318269247965;0.00224707451425;0.000170378217907;9.56913410532e-05;0.00350048805329;0.000572455572473;522.7176520969999;2.7;1.7;2.1202356155;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lentelaan_47A_1595302;[55.444334602688478, 30.371428739853936, 46.153650691082994, 49.66802019060485];138.582027435;458.801489095;184.888612099;[13.86108365067212, 7.5928571849634841, 11.538412672770749, 12.417005047651212];[13.86108365067212, 7.5928571849634841, 11.538412672770749, 12.417005047651212];48410747.8609;36864471.4592;17275454.6573;8990953.94739;0.000341047365523;0.00123134910564;0.000228074475434;0.00161027288805;0.000164291191964;6.31036213429e-05;0.00230839562074;0.00052694687951;821.71127769;2.7;1.7;2.09589547667;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lentelaan_13_4754143;[58.707187495308638, 36.224781096358065, 55.901201107642279, 34.131462325705655];95.2272758484;387.297960272;120.242240304;[14.675877976915856, 6.1623104377553535, 13.883018442519653, 8.5328655814264138];[14.675877976915856, 6.1623104377553535, 13.883018442519653, 8.5328655814264138];49297526.1536;25331590.666;16547179.767;5847263.56495;0.000334912505944;0.00120919923844;0.000331911450058;0.00234339247408;0.000179853572005;9.70303026545e-05;0.00354946865109;0.000553203859027;556.6848012219999;2.7;1.7;2.17757708792;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lentelaan_41_1597660;[57.449840605293268, 65.050754473362034, 57.763677819162375, 58.174116804889572];129.249008179;484.594380303;166.220943062;[14.362460151323317, 9.45632342247373, 9.2410712591047623, 14.516696892388389];[14.362460151323317, 9.45632342247373, 9.2410712591047623, 14.516696892388389];63549569.5783;34381777.0696;21139198.5249;8083163.30139;0.000259802829988;0.00093801628363;0.000244543642209;0.00172655005013;0.000141781149574;7.01905593458e-05;0.00256764312987;0.000502943549373;791.095587871;2.7;1.7;2.19203705077;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lentelaan_5_1596367;[77.604151364541366, 35.800346726258184, 51.220732741823227, 31.987863579554038];99.16968917850001;404.381420218;120.985755519;[19.401037841135341, 4.5973989033791005, 12.805183185455807, 7.9969658948885094];[19.401037841135341, 4.5973989033791005, 12.805183185455807, 7.9969658948885094];52402121.7344;26380319.6128;17493737.3003;5883419.989030001;0.000315070410787;0.00113755949395;0.000318716570292;0.00225023274146;0.000170846837778;9.64340051307e-05;0.00352765547202;0.0005341072968380001;518.649430596;2.7;1.7;2.18620704261;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lentelaan_37_1598937;[58.366290369402705, 59.014244213149802, 57.268151104315422, 60.85315604899786];121.501205444;492.349909973;160.16522838;[7.5516216630878983, 7.0809449033882892, 14.317037776078855, 14.977531552716892];[7.5516216630878983, 7.0809449033882892, 14.317037776078855, 14.977531552716892];62766908.8684;32320769.1737;21058264.2015;7788679.76775;0.000263042394768;0.0009497127094;0.000260137527824;0.00183664746974;0.000141378061507;7.28444062827e-05;0.00266472359082;0.00054472751988;778.989153248;2.7;1.7;2.17832209769;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lentelaan_21_1596362;[64.665313018417947, 40.35286733642981, 62.488371348333573, 42.288545704691728];120.681034088;413.9930039019999;147.12426757;[15.725134251518872, 5.9849084707799909, 15.381861679947665, 10.572136426172932];[15.725134251518872, 5.9849084707799909, 15.381861679947665, 10.572136426172932];55915442.7965;32102593.8149;18437832.152;7154510.487430001;0.0002952736703;0.00106608350217;0.000261905472146;0.00184912967672;0.000163670100675;7.9301267977e-05;0.00290092225806;0.000502020377958;610.8918620640001;2.7;1.7;2.20676000664;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lentelaan_11_1596370;[20.128302394535808, 38.498007771068323, 50.637480970075273, 33.549929489770555];91.40851593020001;342.745925826;115.765079985;[4.9552385925095948, 4.1832121092358365, 12.659370242518818, 8.3874823724426388];[4.9552385925095948, 4.1832121092358365, 12.659370242518818, 8.3874823724426388];38063293.7797;24315755.0008;13347734.658;5629543.59952;0.000433760622937;0.00156608966704;0.000345777665136;0.00244129203148;0.000215518079549;0.000100782904223;0.00368674269087;0.0007927142404569999;507.171646863;2.7;1.7;2.11667518084;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lentelaan_25_1596373;[79.191055304901454, 42.186286284548132, 60.165047984138191, 46.40598088458659];95.27725601200001;456.794149877;129.65713421;[19.767991792594909, 6.4863901894988931, 14.984583595701755, 11.59011367645348];[19.767991792594909, 6.4863901894988931, 14.984583595701755, 11.59011367645348];60753726.9764;25344885.9853;20124465.4054;6305100.7274;0.000271758768435;0.0009811831149920001;0.000331737337271;0.00234216318658;0.000149420358433;8.99845661375e-05;0.00329172833485;0.0004529384219719999;640.1440851240001;2.7;1.7;2.19901770966;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lentelaan_18_1596045;[53.796771450845867, 42.262165940078162, 54.502363766328422, 40.185665916420255];70.8820114136;392.407474276;95.3949922502;[13.449192862711467, 10.565541485019541, 13.625590941582105, 3.9307610441035461];[13.449192862711467, 10.565541485019541, 13.625590941582105, 3.9307610441035461];50838657.61300001;18855460.0844;16972987.4324;4638965.9828;0.000324759912951;0.00117254337311;0.0004459103597880001;0.00314825831124;0.000176078950126;0.000122303495113;0.00447398812482;0.000575600060093;486.2004793569999;2.7;1.7;2.18609412302;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lentelaan_49_1598940;[81.610117325514295, 23.38183349603344, 26.81358753267709, 23.569642506760001];206.416507721;411.1004616230001;156.166316803;[20.054725800153598, 3.0986912725756568, 6.6987947031058122, 5.8922686933384565];[20.054725800153598, 3.0986912725756568, 6.6987947031058122, 5.8922686933384565];41411225.2611;54909251.9312;15021323.0983;7594216.574910001;0.000398692816183;0.00143947759832;0.000153122555753;0.00108109028689;0.000186587773995;7.47097146639e-05;0.00273295849727;0.000669426985022;736.684544687;2.7;1.7;2.07794941958;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lentelaan_8_1599655;[66.087486684167914, 35.233639132251298, 51.472904806179137, 31.82454392215336];183.97833252;357.684385702;164.789648558;[16.521871671041978, 8.8084097830628245, 8.8016125452419587, 4.7647647861409759];[16.521871671041978, 8.8084097830628245, 8.8016125452419587, 4.7647647861409759];49205293.5062;48940429.8219;16138558.996;8013560.837389999;0.000335540281227;0.00121146581667;0.000171797530606;0.00121294110287;0.000187774679771;7.08002054169e-05;0.00258994461259;0.000615176741109;548.1719682319999;2.7;1.7;2.21614938176;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lentelaan_29_1595600;[78.368882407868512, 22.137936574528297, 78.520643134882917, 20.892022932990809];95.3299636841;369.686742741;113.287627273;[18.908190271493545, 2.8894405257221427, 18.991294925507496, 5.2230057332477022];[18.908190271493545, 2.8894405257221427, 18.991294925507496, 5.2230057332477022];53283354.4174;25358906.8545;17245476.8943;5509067.47613;0.000309859583756;0.00111874583974;0.000331553920619;0.00234086821106;0.000177565366815;0.000102986894945;0.00376736694702;0.000520045975783;479.7954976569999;2.7;1.7;2.24078077988;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lentelaan_12_1597203;[47.732590819207452, 46.859117812469933, 45.491575767475766, 44.047352231361153];63.01438522340001;394.851095615;88.9100288277;[11.933147704801863, 11.714779453117483, 11.372893941868941, 8.1206183908159808];[11.933147704801863, 11.714779453117483, 11.372893941868941, 8.1206183908159808];49075246.3084;16762577.7208;16594144.1821;4323608.49907;0.000336429447897;0.00121467614666;0.000501584250959;0.0035413323602;0.00017831940455;0.000131224127608;0.00480031407168;0.0005546481544009999;456.099620189;2.7;1.7;2.16632930407;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lentelaan_16_1596047;[54.303659521131628, 27.771899772744646, 54.759356670950517, 16.083382784821669];73.9623527527;448.76770976;102.823756584;[13.288625351292872, 6.9429749431861616, 13.388446574838438, 4.0208456962054173];[13.288625351292872, 6.9429749431861616, 13.388446574838438, 4.0208456962054173];40756407.0463;19674867.6042;15361328.7363;5000219.5898;0.000405098467149;0.00146260515591;0.000427339342727;0.00301714146785;0.000177202754932;0.000113467367426;0.00415075345107;0.000635700116569;433.4175818480001;2.7;1.7;2.0407515635;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lentelaan_2_1596375;[89.365029714577901, 44.336579858926356, 40.917477596197806, 48.483616705556614];183.360897064;427.74477846;204.823448286;[16.367244449619317, 11.084144964731589, 10.000928735689591, 6.5310717683596335];[16.367244449619317, 11.084144964731589, 10.000928735689591, 6.5310717683596335];59462240.2068;48776184.6298;19443853.6757;9960365.70331;0.000277661217666;0.00100249386627;0.000172376028466;0.00121702546793;0.000156224340507;5.69619399838e-05;0.00208372657558;0.000544030822455;815.1140374619999;2.7;1.7;2.22157902354;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lentelaan_26_1595599;[65.820877322103755, 40.350477419296183, 108.02342302846176, 75.213674031498357];154.269615173;532.8112838330001;209.008577774;[16.06842568074827, 9.4764504929255242, 26.873149650007718, 8.8554226164107419];[16.06842568074827, 9.4764504929255242, 26.873149650007718, 8.8554226164107419];77134317.8723;41037556.8234;24934179.7377;10163884.4927;0.000214046853286;0.000772814652756;0.00020488171424;0.00144652517153;0.000122930670695;5.58213499788e-05;0.00204200261558;0.000390516943323;822.260606254;2.7;1.7;2.24317252765;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lentelaan_17_1596364;[80.295418580625693, 35.894183168381275, 38.599138087473762, 32.210956360266962];60.7818069458;374.677735748;83.2893617454;[19.677438050605975, 3.8209585990232133, 9.4078715567583266, 8.0527390900667406];[19.677438050605975, 3.8209585990232133, 9.4078715567583266, 8.0527390900667406];49839919.7352;16168685.2823;16508547.5525;4050280.90838;0.000331267748998;0.00119603986922;0.0005200079563300001;0.00367140913973;0.00018215488888;0.000140079605895;0.00512425661034;0.000584201653582;461.221854228;2.7;1.7;2.19909476426;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lentelaan_15_1596365;[49.178453324381628, 37.608668885067218, 96.529111129414844, 34.596492962188705];85.0442276001;405.232535261;108.399094956;[12.294613331095407, 3.2432718161087495, 23.736958300069549, 8.6491232405471763];[12.294613331095407, 3.2432718161087495, 23.736958300069549, 8.6491232405471763];58078986.2712;22622778.4306;18827325.9276;5271342.88924;0.0002842742113959999;0.00102637003345;0.000371653951171;0.00262398622278;0.00016244461284;0.000107631350365;0.00393726592153;0.000499297563316;561.410231833;2.7;1.7;2.23774736069;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lentelaan_34_1595796;[33.678327247972241, 34.612517276875316, 58.589331398663532, 47.573825499221513];227.863105774;430.888571735;213.287883144;[8.4195818119930603, 8.4035074662786311, 7.9022980645197167, 11.893456374805378];[8.4195818119930603, 8.4035074662786311, 7.9022980645197167, 11.893456374805378];46496190.1288;60614302.6976;16464524.618;10371982.9638;0.000355090556349;0.00128205194699;0.000138710578461;0.0009793374877080001;0.000173411629368;5.47013772959e-05;0.00200103285852;0.000653442800548;596.280105535;2.7;1.7;2.10487033741;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lentelaan_23_1596363;[43.621403855435616, 23.905495876853049, 73.974879784624974, 22.985960856117714];69.04862213130001;326.74735341;85.21792998789999;[10.905350963858904, 2.2352891715196579, 18.493719946156244, 5.7464902140294285];[10.905350963858904, 2.2352891715196579, 18.493719946156244, 5.7464902140294285];43839941.6916;18367756.6779;14484238.1572;4144065.31216;0.00037660538276;0.00135973107586;0.0004577502379669999;0.00323185133406;0.000208026998641;0.000136909462248;0.00500828948269;0.000640122404987;411.912694647;2.7;1.7;2.20340955682;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lentelaan_53_1598938;[55.847669087101977, 26.611178756501168, 85.603879584028832, 28.916338964116335];84.9218254089;383.170091172;100.308185673;[13.933106936074587, 3.9325346928900782, 21.400969896007208, 7.2290847410290837];[13.933106936074587, 3.9325346928900782, 21.400969896007208, 7.2290847410290837];52499662.0751;22590217.9885;17239167.9904;4877889.81537;0.000314485034157;0.00113544599576;0.000372189635111;0.00262776830898;0.000175625667784;0.000116312949837;0.00425484779362;0.000514635153645;548.83848126;2.7;1.7;2.21407735345;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lentelaan_10_1597202;[62.434093270915, 44.263311240949832, 63.006895966821389, 42.696759086385612];135.847694397;433.947125849;164.230157464;[15.60852331772875, 11.065827810237458, 15.751723991705347, 4.2987684891817413];[15.60852331772875, 11.065827810237458, 15.751723991705347, 4.2987684891817413];56609994.4315;36137106.2725;18860488.4417;7986353.327939999;0.000291650938792;0.00105300365564;0.00023266514277;0.00164268434986;0.000158715542829;7.10414040189e-05;0.00259876790648;0.00051211128692;688.4278244039999;2.7;1.7;2.18946299425;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
