BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Lijsterbesstraat_17_1599128;[45.914841134329549, 41.856911398817992, 39.624772434288765, 61.691595595508062];394.676719666;663.778367145;318.934199188;[11.478710283582387, 9.5659987224447871, 8.80941647253381, 14.257838122142886];[11.478710283582387, 9.5659987224447871, 8.80941647253381, 14.257838122142886];50396535.0929;104988712.728;20418371.1412;15509460.8835;0.000327608991184;0.00118282994996;8.00833229755e-05;0.0005654118179029999;0.000126260991362;3.65816553954e-05;0.00133819472349;0.000542445129132;911.491797998;2.7;1.7;1.98486634986;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lijsterbesstraat_5_1595252;[67.690898502535205, 77.331317457418436, 66.522584551081025, 75.861008002120101];315.052894592;692.707856243;239.074548073;[16.922724625633801, 18.463968136024945, 13.8682871689479, 18.965252000530025];[16.922724625633801, 18.463968136024945, 13.8682871689479, 18.965252000530025];76600565.2365;83807825.9914;26900223.8085;11625963.4778;0.000215538331473;0.0007781996242199999;0.000100322910071;0.0007083092565739999;0.000106820471448;4.88012674815e-05;0.00178520074987;0.00035075107654;1008.17600544;2.7;1.7;2.11490190406;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lijsterbesstraat_7_1599149;[53.867621110904828, 76.763471019196047, 53.781588767481196, 78.702156501317276];151.109737396;623.4348142059999;177.132435957;[13.466905277726207, 19.180349443977747, 8.4181135195110315, 19.675539125329319];[13.466905277726207, 19.180349443977747, 8.4181135195110315, 19.675539125329319];70126436.8007;40196991.6629;24486423.9056;8613778.62162;0.000235437001709;0.000850043632638;0.000209166025675;0.00147677367055;0.000117869485462;6.58667674584e-05;0.00240947435849;0.000393940769559;929.5474949789999;2.7;1.7;2.1220406551;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lijsterbesstraat_18_1599779;[59.483981630042607, 58.376874532637913, 58.415039510465306, 61.098655292760867];121.873462677;585.5058833630001;159.941826515;[9.7016115393155822, 14.594218633159478, 14.603759877616326, 15.274663823190217];[9.7016115393155822, 14.594218633159478, 14.603759877616326, 15.274663823190217];63266030.9505;32419794.0356;22392453.033;7777815.95163;0.000260967185279;0.0009422201801900001;0.000259342948971;0.0018310375093;0.000127549994499;7.29461531279e-05;0.00266844559547;0.0004416917277280001;849.665792927;2.7;1.7;2.10541787489;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lijsterbesstraat_8_1597330;[57.821746784378554, 62.48013073633318, 55.126002013783527, 64.792012581475333];139.449993134;488.922399135;155.284717271;[14.455436696094639, 13.887505153870904, 13.781500503445882, 9.5806939212443734];[14.455436696094639, 13.887505153870904, 13.781500503445882, 9.5806939212443734];64024382.8485;37095360.6827;21306388.1153;7551345.2444;0.000257876097924;0.000931059831113;0.000226654892565;0.0016002502154;0.000140620871691;7.51338649003e-05;0.00274847435083;0.000462784193519;868.170035154;2.7;1.7;2.191325193;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lijsterbesstraat_4_1599169;[74.065288896523754, 75.698390950243905, 62.28022551461612, 89.297619997961036];243.669460297;1195.48997812;311.884991446;[16.159800633231477, 16.042019177811785, 15.57005637865403, 20.124055683105894];[16.159800633231477, 16.042019177811785, 15.57005637865403, 20.124055683105894];80314769.1801;64818981.4424;34340185.2841;15166664.7455;0.000205570634013;0.000742211322906;0.000129712698397;0.0009158098075910001;7.21410027852e-05;3.74084719961e-05;0.0013684405284;0.000352426413949;1545.17620035;2.7;1.7;1.95206528777;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lijsterbesstraat_9_1599804;[50.453788359506973, 65.885294476027624, 49.981049529140243, 72.200110590459815];176.239131927;238.520242955;177.14742322;[12.613447089876743, 16.471323619006906, 12.495262382285061, 16.236833594240583];[12.613447089876743, 16.471323619006906, 12.495262382285061, 16.236833594240583];63571385.4401;46881710.1984;22056607.9885;8614507.43769;0.000259713673167;0.000937694383557;0.000179341686867;0.0012662050653;0.000190658267853;6.58611949101e-05;0.00240927050892;0.000413864001345;939.7509212089999;2.7;1.7;2.7;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lijsterbesstraat_19_1599129;[54.929770849918967, 53.025526453592136, 51.682203850622976, 57.959649232424781];150.582935333;518.763021053;181.713745753;[11.514415263650772, 13.256165898500349, 12.920550962655744, 14.487051490170039];[11.514415263650772, 13.256165898500349, 12.920550962655744, 14.487051490170039];57994877.6947;40056856.0337;20291954.1419;8836563.27517;0.000284686487449;0.00102785855323;0.00020989777588;0.00148194004225;0.000142008535262;6.42061552371e-05;0.00234872744892;0.0004585885926619999;907.3822839219999;2.7;1.7;2.11945385765;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lijsterbesstraat_12_1596479;[49.364565836156686, 70.424274056294436, 46.395931444439157, 70.282727547245145];90.5294342041;390.948303327;90.5834940661;[7.4575457922764983, 17.606068514073609, 11.598982861109789, 17.570681886811286];[7.4575457922764983, 17.606068514073609, 11.598982861109789, 17.570681886811286];63024279.7398;24081908.7814;19792679.3796;4404987.4911;0.0002619682142990001;0.0009458343884;0.0003491353225590001;0.00246499808059;0.000158437502267;0.000128799855744;0.00471163170393;0.000441211009346;650.643393461;2.7;1.7;2.30485618398;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lijsterbesstraat_6_1595248;[43.17495391516097, 59.994148650124323, 42.239641241709094, 60.823418072611105];111.634109497;370.869750381;114.629179114;[5.8899129973361495, 14.998537162531081, 10.559910310427274, 15.205854518152776];[5.8899129973361495, 14.998537162531081, 10.559910310427274, 15.205854518152776];54965834.7256;29696004.0172;17652893.2923;5574305.841440001;0.000300374916589;0.00108450151589;0.000283130517673;0.00199898474181;0.000174527328829;0.000101781597484;0.0037232759215;0.0005128865590730001;645.5795029469999;2.7;1.7;2.2560770639;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
