BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Meridiaanlaan_10_1599837;[10.297101731805764, 83.772959006113084, 56.090254076182205, 122.74857919451719];265.638301849;622.599247402;207.430137195;[2.0400757270489698, 19.827887953246268, 4.9666984749730254, 30.687144798629298];[2.0400757270489698, 19.827887953246268, 4.9666984749730254, 30.687144798629298];72736788.6101;70662955.2058;25083564.8748;10087126.4576;0.000226987722945;0.0008195375713060002;0.000118985187723;0.0008400704265780001;0.000116178322828;5.62461227973e-05;0.00205754124385;0.000415986928416;758.300432585;2.7;1.7;2.13833797607;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Meridiaanlaan_52_1600860;[57.378455160672516, 92.662736788431573, 16.42923009683733, 123.49491514320306];133.834781647;535.5873922430001;163.469073188;[7.4807232952091702, 23.165684197107893, 3.8294280051542335, 30.873728785800765];[7.4807232952091702, 23.165684197107893, 3.8294280051542335, 30.873728785800765];77282741.2312;35601647.4832;25005045.9892;7949342.53752;0.000213635771168;0.0007713304436719999;0.000236164491943;0.0016673907844;0.000122493988944;7.13721607454e-05;0.00261086732903;0.000366158826828;817.070615696;2.7;1.7;2.24139686891;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Meridiaanlaan_28_1600126;[53.663388968819746, 88.028976623634009, 58.628138715351582, 121.64694695682526];321.985233307;769.35636728;204.309470686;[12.661961993808422, 11.886406573773622, 12.191171264736225, 30.411736739206315];[12.661961993808422, 11.886406573773622, 12.191171264736225, 30.411736739206315];85812074.8575;85651910.7361;30048103.5056;9935371.47097;0.000192401338021;0.000694663672695;9.816295886399999e-05;0.000693059365668;9.58435385952e-05;5.71052380946e-05;0.00208896856842;0.000356334548103;734.921112876;2.7;1.7;2.11848935676;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Meridiaanlaan_64_1600142;[54.344551346391945, 64.482122647089284, 61.540553487888864, 54.111628708962186];76.2104988098;508.804036244;104.672899427;[13.586137836597986, 16.120530661772321, 15.385138371972216, 9.3085511833054451];[13.586137836597986, 16.120530661772321, 15.385138371972216, 9.3085511833054451];62494258.5994;20272901.2575;21209861.3386;5090141.613390001;0.000264189997465;0.000953856120835;0.000414733189069;0.00292813831473;0.00013911236459;0.000111462862235;0.00407742658159;0.000439855924626;635.917307146;2.7;1.7;2.16084315274;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Meridiaanlaan_9_1599823;[10.877790474084765, 106.9495883508302, 42.674338991571467, 75.620208886100457];97.02506637569999;516.626580633;124.042611954;[2.0341261086391915, 26.737397087707549, 5.6530993782057593, 18.249991224533229];[2.0341261086391915, 26.737397087707549, 5.6530993782057593, 18.249991224533229];62932176.4362;25809824.3793;21414142.5496;6032071.95365;0.00026235161337;0.000947218648039;0.00032576141808;0.00229997143919;0.000137506593189;9.40575241422e-05;0.00344072134384;0.00045426663939;663.6493148569999;2.7;1.7;2.157045641;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Meridiaanlaan_54_1599831;[13.047559319736004, 83.665204962704038, 52.853427712363022, 116.02756498969121];118.423423767;524.965186428;147.16352476;[3.2158410226201872, 20.115216431406633, 8.472005090485931, 29.006891247422804];[3.2158410226201872, 20.115216431406633, 8.472005090485931, 29.006891247422804];70787128.5328;31502042.5545;23352983.4105;7156419.52653;0.000233239550228;0.000842109749578;0.000266898407481;0.00188438126894;0.000129173178387;7.92801136525e-05;0.00290014841102;0.0003934934710450001;713.033448672;2.7;1.7;2.20592641922;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Meridiaanlaan_50_1600168;[24.089777943077827, 80.216162258512426, 54.59173973708198, 119.37800524153417];291.06193161;771.969899047;232.539021965;[5.352977986818491, 20.054040564628107, 7.115535643568748, 29.844501310383542];[5.352977986818491, 20.054040564628107, 7.115535643568748, 29.844501310383542];74167167.6249;77425943.8202;27369765.4205;11308147.1797;0.000222610065203;0.0008037320689330001;0.000108592089103;0.0007666920930389999;0.000101067004689;5.01728306498e-05;0.00183537394666;0.000383669224044;775.3733372419999;2.7;1.7;2.06047478732;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Meridiaanlaan_62_1600164;[37.18704410325725, 79.430245636564266, 37.869337378149226, 111.72165009849078];181.837234497;548.569200984;129.532108213;[9.2967610258143125, 19.857561409141066, 6.1862713642165188, 27.930412524622696];[9.2967610258143125, 19.857561409141066, 6.1862713642165188, 27.930412524622696];70950912.9649;48370872.222;23699710.5459;6299020.8344;0.00023270113563;0.0008401658074730001;0.000173820413071;0.00122722324813;0.000126052128016;9.00714203562e-05;0.00329490555185;0.0003781877542649999;509.63779525;2.7;1.7;2.18527747591;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Meridiaanlaan_14_4753383;[54.936557240117608, 89.583087790599407, 51.018453976951328, 118.92948232337601];136.500766754;752.510504305;161.383898835;[13.029404360594608, 21.89598229317081, 6.6006419207519276, 29.732370580844002];[13.029404360594608, 21.89598229317081, 6.6006419207519276, 29.732370580844002];83813179.0138;36310831.3054;29362227.3395;7847942.530389999;0.000196989998652;0.0007112309995099999;0.0002315519829190001;0.00163482511385;9.80460711653e-05;7.22943308021e-05;0.00264460126181;0.000335796482594;788.13113859;2.7;1.7;2.11789128462;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Meridiaanlaan_60_4753130;[61.379631516948464, 99.848691212974813, 74.959135105424906, 132.51572780906494];152.784927368;955.678985205;185.812196289;[12.086112535680003, 10.721204982009157, 16.197785491512558, 32.258952388597841];[12.086112535680003, 10.721204982009157, 16.197785491512558, 32.258952388597841];98268272.9029;40642612.1669;35385761.7143;9035866.95108;0.00016801310874;0.000606610143041;0.000206872652665;0.00146058178247;7.96521463516e-05;6.27899632077e-05;0.00229692168232;0.00033576983036;1055.7465323;2.7;1.7;2.08580233672;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
