BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Nachtegaalstraat_10_1599114;[61.202587276613173, 42.860918948221226, 60.285609855934744, 36.044391097964457];127.126461029;406.879728492;154.308153412;[15.175804776028251, 10.27235671715415, 14.770694715621788, 3.9449638852287183];[15.175804776028251, 10.27235671715415, 14.770694715621788, 3.9449638852287183];53409692.7234;33817154.223;17761114.8519;7503855.89075;0.000309126624383;0.0011160994951;0.00024862662703;0.00175537712404;0.000168785492489;7.5609361596e-05;0.00276586851089;0.00054180819822;675.2748034040001;2.7;1.7;2.1925128807;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Nachtegaalstraat_6_1596396;[86.961649659556471, 57.478806181904616, 115.76249965351735, 49.694222232393358];180.952636719;1033.7077246;201.588004614;[21.667944369622528, 14.369701545476154, 28.940624913379338, 12.423555558098339];[21.667944369622528, 14.369701545476154, 28.940624913379338, 12.423555558098339];82595056.4532;48135558.6668;32755440.2166;9803029.21449;0.000199895232595;0.0007217203261539999;0.000174670144547;0.00123322260231;7.997423523e-05;5.78761667434e-05;0.00211716993435;0.000309144123708;1449.93637996;2.7;1.7;1.99979187574;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Nachtegaalstraat_18_1597322;[132.85905402562005, 42.012698421093056, 118.75902244899572, 36.824786067526823];154.550216675;736.2156699110001;175.803616783;[33.214763506405014, 10.426619513346687, 29.236505756442018, 8.3717731673786133];[33.214763506405014, 10.426619513346687, 29.236505756442018, 8.3717731673786133];88074360.3836;41112200.1681;30141804.8716;8549159.43354;0.000187459300857;0.0006768204824019999;0.00020450973083;0.00144389885923;9.725638261299999e-05;6.63646242439e-05;0.00242768647372;0.000294503622775;937.841114355;2.7;1.7;2.14885700545;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Nachtegaalstraat_22_1597593;[28.221167975649003, 41.485701761855509, 40.768526154887965, 41.048646195956309];71.17113113399999;436.208566624;103.037100199;[7.0552919939122507, 10.371425440463877, 10.192131538721991, 10.262161548989077];[7.0552919939122507, 10.371425440463877, 10.192131538721991, 10.262161548989077];40384804.0891;18932369.3769;15110547.3771;5010594.28291;0.000408826002585;0.00147606339628;0.000444098930399;0.00313546908689;0.000181145646909;0.000113232427407;0.00414215910262;0.0006316705774709999;500.5072094880001;2.7;1.7;2.04736603928;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Nachtegaalstraat_23_2983537;[45.932836066065505, 50.476469103635992, 40.955209181706792, 66.132178011534691];123.275600433;318.562900249;165.247868763;[5.7125853382409613, 12.457794605791053, 10.238802295426698, 12.456420817891736];[5.7125853382409613, 12.457794605791053, 10.238802295426698, 12.456420817891736];54236766.2623;32792779.3949;16799329.045;8035843.64166;0.000304412655081;0.00109907974221;0.000256393180003;0.00181021127267;0.000188724308444;7.06038816468e-05;0.00258276288639;0.000585536930853;641.864448719;2.7;1.7;2.33879595585;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Nachtegaalstraat_21_1596399;[25.496554835218809, 72.32114708093566, 32.697981974620731, 62.893832416640144];97.59659194950001;396.911576244;127.387131629;[2.9020741573542885, 14.628914324627635, 8.1744954936551828, 15.51225315607681];[2.9020741573542885, 14.628914324627635, 8.1744954936551828, 15.51225315607681];51548291.0659;25961856.9956;17197181.1154;6194712.702769999;0.000320289144015;0.00115640169343;0.000323853759446;0.00228650280806;0.000173883918994;9.15880656022e-05;0.00335038600082;0.0005805345333539999;513.6422022959999;2.7;1.7;2.18728615612;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Nachtegaalstraat_14_1595749;[63.914152379253764, 29.298092615939012, 80.508394493575395, 25.248983957243507];97.3337135315;383.356693148;116.890851166;[15.978538094813441, 7.3245231539847531, 20.127098623393849, 2.8952944774739744];[15.978538094813441, 7.3245231539847531, 20.127098623393849, 2.8952944774739744];53030193.4387;25891928.2024;17365198.4043;5684288.76052;0.000311338823231;0.00112408662343;0.000324728422097;0.00229267818368;0.000174730341329;9.98122680447e-05;0.00365123581734;0.0005165263919709999;510.162094934;2.7;1.7;2.21901956325;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Nachtegaalstraat_20_1595904;[84.735756977735804, 31.09518993025673, 70.493547357594466, 36.562533921226617];91.42056655879999;519.0400890999999;120.680903249;[21.183939244433951, 7.7737974825641825, 17.13539178532633, 7.1751742277944786];[21.183939244433951, 7.7737974825641825, 17.13539178532633, 7.1751742277944786];59404757.4449;24318960.6117;20623997.8755;5868595.31869;0.000277929895366;0.00100346392521;0.0003457320863519999;0.00244097023186;0.000140566502311;9.66776072634e-05;0.00353656668954;0.000449203720802;697.19599739;2.7;1.7;2.12942160513;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Nachtegaalstraat_9_1599115;[50.957293358593702, 33.187509335434314, 51.439534094714205, 33.647722495026471];91.3176498413;380.045703693;117.943829903;[12.739323339648426, 3.233661560760547, 12.672272523097888, 8.4119306237566178];[12.739323339648426, 3.233661560760547, 12.672272523097888, 8.4119306237566178];45104416.8673;24291583.5379;15475585.551;5735494.09559;0.000366047477556;0.00132161183366;0.000346121732949;0.00244372125145;0.000189051299893;9.89211642366e-05;0.00361863832001;0.000645713316433;522.559671133;2.7;1.7;2.14529396764;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Nachtegaalstraat_3_1597841;[75.686031417443033, 52.305482921535486, 100.05110652695998, 48.47566636262232];138.477935791;574.158871945;163.19605859;[18.479867976650187, 5.9445019305980447, 21.093170191278951, 11.917954380329681];[18.479867976650187, 5.9445019305980447, 21.093170191278951, 11.917954380329681];73698778.7739;36836781.8408;24674990.7369;7936066.1023;0.000224024852184;0.0008088401473380001;0.000228245915361;0.00161148330436;0.000120853295525;7.149156094399999e-05;0.00261523511157;0.000416612062084;842.0165983830001;2.7;1.7;2.18162329407;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
