BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Nijverheidslaan_45_2983544;[45.836260198621488, 132.73055108815316, 53.50260842134508, 94.872919647203091];318.793323517;711.655092651;252.585054001;[4.966374377715387, 33.182637772038291, 12.708588400187473, 23.718229911800773];[4.966374377715387, 33.182637772038291, 12.708588400187473, 23.718229911800773];87138002.269;84802824.6783;29602584.7046;12282966.2819;0.000189473680725;0.0006840933866950001;9.91458129148e-05;0.0006999986043879999;9.95964207733e-05;4.61909395814e-05;0.00168971226023;0.000320858911574;909.039527863;2.7;1.7;2.15941122706;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Nijverheidslaan_21_1600081;[76.24063456365144, 126.36212350852178, 50.118463025894727, 98.094034921477046];577.592842102;1023.72968473;380.722044744;[11.752372511989369, 31.590530877130444, 8.6236342894620019, 16.290910616327984];[11.752372511989369, 31.590530877130444, 8.6236342894620019, 16.290910616327984];93500709.1322;153646582.005;35165068.9854;18514143.9064;0.000176580029972;0.0006375409516719999;5.47219787158e-05;0.000386353267014;7.75351580727e-05;3.064477387e-05;0.00112101746769;0.000350559834705;1335.65650282;2.7;1.7;2.04268348496;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Nijverheidslaan_61_1600821;[52.448605941428035, 37.473795087010281, 60.385877589343337, 43.783784177355727];198.472885132;440.045950735;171.863300911;[9.8715381570152445, 9.3684487717525702, 15.096469397335834, 10.945946044338932];[9.8715381570152445, 9.3684487717525702, 15.096469397335834, 10.945946044338932];51730206.1324;52796153.6194;17803475.7814;8357545.693030001;0.00031916281135;0.0011523350773;0.000159251089593;0.00112435953859;0.00016394109839;6.78861682899e-05;0.00248334612586;0.000528424256203;535.141866774;2.7;1.7;2.14107226182;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Nijverheidslaan_19_1600171;[11.424453116269918, 120.86456823274391, 47.768951919951711, 85.353820662605642];199.115505219;596.711674913;226.75314849;[2.2950391375811821, 30.216142058185977, 5.5973720590108655, 19.925098395184289];[2.2950391375811821, 30.216142058185977, 5.5973720590108655, 19.925098395184289];70738630.9997;52967098.2237;24279649.5435;11026785.7623;0.000233399456388;0.000842687089637;0.000158737126861;0.00112073081052;0.000120465278983;5.14530494778e-05;0.00188220567316;0.0004123180105219999;695.676064874;2.7;1.7;2.14479068383;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Nijverheidslaan_5_1600919;[40.342867778538206, 114.41673110625405, 6.6338352153544164, 80.291698375392798];160.68862915;531.971303435;187.673477859;[3.9151525127228157, 28.604182776563512, 1.0458693292965833, 19.31066930096484];[3.9151525127228157, 28.604182776563512, 1.0458693292965833, 19.31066930096484];64414904.6697;42745091.0681;21960153.2257;9126379.26922;0.000256312698212;0.0009254151874910001;0.000196697323134;0.00138874096275;0.000133890686263;6.21672337595e-05;0.00227414159616;0.000452537575607;620.112944712;2.7;1.7;2.15431986822;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Nijverheidslaan_27_1600170;[13.366892525730419, 118.89221657690281, 50.711724993327728, 89.693976841825503];87.3723449707;468.492089075;115.480838865;[3.23419455421383, 29.573502913640649, 7.7162434151956045, 22.423494210456376];[3.23419455421383, 29.573502913640649, 7.7162434151956045, 22.423494210456376];72671734.5971;23242085.4068;23053800.3588;5615721.22942;0.00022719091697;0.0008202712018989998;0.000361750886078;0.00255406767009;0.000134944507432;0.000101030968282;0.00369581713027;0.000380131767976;581.065834227;2.7;1.7;2.28200515504;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Nijverheidslaan_29_1600083;[53.512006943892956, 111.39545403753253, 14.003893305124867, 78.878555674090308];155.826831818;477.665230395;141.188010334;[10.284137125588074, 27.579246410388681, 3.2646248847512278, 19.719638918522577];[10.284137125588074, 27.579246410388681, 3.2646248847512278, 19.719638918522577];68707215.4784;41451795.0158;22250126.4953;6865836.05352;0.000240300205822;0.0008676021967569999;0.000202834279843;0.0014320696824;0.000137564730528;8.263549391300001e-05;0.00302289168525;0.000393249711994;547.6887475780001;2.7;1.7;2.23968740774;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Nijverheidslaan_53_1600082;[62.959886842512482, 38.706044539833101, 49.927984294129978, 55.611346445418221];95.57857513430001;509.686280188;134.226170072;[15.271430065387978, 4.1887205372607301, 11.649191004523187, 13.713629408435034];[15.271430065387978, 4.1887205372607301, 11.649191004523187, 13.713629408435034];55225189.3607;25425040.4642;19528107.1598;6527288.51144;0.000298964262722;0.00107940836006;0.000330691508714;0.00233477932933;0.000146364769116;8.69215069035e-05;0.00317967846559;0.000533840556516;736.04738851;2.7;1.7;2.1065349023;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Nijverheidslaan_33_1600923;[42.374286809598075, 108.38572409841417, 8.5241600959066268, 68.465076428092118];96.78447723389999;509.4674175980001;123.370115945;[4.9413273446484869, 27.096431024603543, 1.336108163101235, 16.323961283852565];[4.9413273446484869, 27.096431024603543, 1.336108163101235, 16.323961283852565];60700655.8974;25745824.7993;20800718.0244;5999369.12476;0.000271996369345;0.000982040971399;0.000326571203516;0.00230568876258;0.000140789441728;9.45702359047e-05;0.00345947686946;0.000481476169948;761.6050948330001;2.7;1.7;2.14703398012;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Nijverheidslaan_63_1600154;[56.28056659218106, 32.645083097690012, 57.274512167269577, 28.326886163828387];70.677482605;457.236978441;106.745343028;[14.058777347127767, 8.161270774422503, 14.301231583078353, 6.959012840765209];[14.058777347127767, 8.161270774422503, 14.301231583078353, 6.959012840765209];46515658.8053;18801052.983;16813565.3113;5190922.53637;0.000354941936651;0.00128151535662;0.0004472007497569999;0.003157368844010001;0.000167149043646;0.00010929882876;0.0039982640028;0.0005503256392919999;554.89925653;2.7;1.7;2.08169932934;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
