BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Olmenstraat_2_1596124;[59.720350465014278, 34.315866589891705, 55.62052449025559, 48.116664642601947];311.531326294;598.0947410269999;246.063416305;[14.930087616253569, 8.5471240615792059, 9.4302786073115747, 12.029166160650487];[14.930087616253569, 8.5471240615792059, 9.4302786073115747, 12.029166160650487];52711372.7489;82871046.8402;20098563.6689;11965825.3638;0.000313221932193;0.00113088557504;0.000101456966103;0.000716316025758;0.000134252814068;4.74151791588e-05;0.00173449620795;0.0005324899911169999;817.459329013;2.7;1.7;2.03067237115;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Olmenstraat_8_1598926;[39.476997165386571, 54.2963538964866, 39.522685143961283, 40.570906656189244];138.491214752;380.210677603;146.205257599;[9.1496482713796521, 13.57408847412165, 9.6623989669735444, 10.112536478042607];[9.1496482713796521, 13.57408847412165, 9.6623989669735444, 10.112536478042607];46339724.8931;36840314.2028;15765504.3653;7109819.92355;0.000356289513134;0.001286380772;0.000228224030445;0.00161132879042;0.000186798561313;7.97997360705e-05;0.00291915673556;0.000563036879938;479.498434276;2.7;1.7;2.15729105757;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Olmenstraat_34_4754085;[40.37957507143409, 55.319768428281442, 34.247477307600697, 27.162388543495439];99.4162139893;369.931444458;121.82810323;[10.094893767858522, 10.829981136529195, 4.9554907059720312, 6.6369837318627436];[10.094893767858522, 10.829981136529195, 4.9554907059720312, 6.6369837318627436];41873385.5881;26445898.1515;14590699.2345;5924382.54148;0.000394292407673;0.00142358995445;0.0003179262410390001;0.00224465278445;0.000198130323157;9.57672380936e-05;0.00350326444539;0.0007358631707599999;557.030011743;2.7;1.7;2.12469817504;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Olmenstraat_12_1596122;[19.537705322889192, 89.177403097955676, 39.369154049181589, 89.962221747643383];95.7859382629;492.880773768;136.97109493;[3.6832818495484587, 22.294350774488919, 3.8243071926961179, 22.490555436910846];[3.6832818495484587, 22.294350774488919, 3.8243071926961179, 22.490555436910846];63445117.3341;25480201.5285;21223194.425;6660771.54598;0.0002602305538179999;0.0009395605775010001;0.0003299756079559999;0.00232972485938;0.000140602297908;8.51795846009e-05;0.00311595714929;0.0004575861158590001;607.004429718;2.7;1.7;2.18296970969;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Olmenstraat_30_4754350;[36.693936718214985, 72.938470833497206, 28.918995848137488, 55.416334375850582];80.62001037600001;390.628168684;101.217883842;[9.1734841795537463, 18.234617708374302, 4.691444632677765, 13.854083593962645];[9.1734841795537463, 18.234617708374302, 4.691444632677765, 13.854083593962645];51697070.5224;21445883.9039;17149697.1113;4922127.55533;0.000319367381054;0.00115307367477;0.000392049356785;0.00276798378603;0.000175136882931;0.000115267584399;0.0042166072466;0.0005207057577830001;464.13203541;2.7;1.7;2.19655338075;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Olmenstraat_14_1598958;[44.65522856201639, 49.130903772630006, 43.706451571472442, 82.461224290599318];125.712760925;560.220058807;169.181474309;[11.101814471939271, 12.282725943157502, 5.3865323335706092, 20.61530607264983];[11.101814471939271, 12.282725943157502, 5.3865323335706092, 20.61530607264983];58622983.721;33441093.1414;20980303.8046;8227131.065539999;0.000281636262315;0.00101684573692;0.000251422552327;0.0017751171791;0.000134978969949;6.89622845301e-05;0.00252271156897;0.000484512538938;689.967185944;2.7;1.7;2.09262037255;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Olmenstraat_24_1597703;[22.786619795448519, 81.209188495325208, 37.436594908660695, 84.628190704730827];87.8591575623;577.497224153;136.836728978;[3.4417458229414919, 20.254344826401287, 9.0072498354330968, 20.484730655663284];[3.4417458229414919, 20.254344826401287, 9.0072498354330968, 20.484730655663284];60250589.0898;23371583.3599;21585331.3292;6654237.46;0.000274028159232;0.000989376734445;0.000359746486182;0.0025399160172;0.000131090303777;8.526322615000001e-05;0.00311901684351;0.0004498813226090001;631.786983804;2.7;1.7;2.09144879741;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Olmenstraat_7_1598961;[43.635970211178105, 61.616673256811083, 51.385656478892002, 35.742135531637338];120.69594574;556.204425347;154.247585974;[5.4801512888091874, 15.404168314202771, 12.846414119723001, 8.9110375457821114];[5.4801512888091874, 15.404168314202771, 12.846414119723001, 8.9110375457821114];51274016.2571;32106560.492;19215997.806;7500910.55498;0.000322002433711;0.00116258751378;0.000261873114446;0.00184890122185;0.000142269040298;7.56390506524e-05;0.00276695456723;0.0005611474167189999;771.436715066;2.7;1.7;2.04588080697;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Olmenstraat_6_1597700;[44.259902111794894, 30.589112066088813, 38.284953562388402, 37.155683997072643];102.79378891;411.593088017;132.897913701;[11.064975527948723, 7.6472780165222032, 4.7925391442709442, 8.9822835567158705];[11.064975527948723, 7.6472780165222032, 4.7925391442709442, 8.9822835567158705];40055809.3514;27344373.3475;14712045.7325;6462696.69194;0.00041218385768;0.0014881869084;0.0003074798929690001;0.00217089849413;0.000188700837825;8.77902492492e-05;0.00321145795754;0.00073654888519;562.032944283;2.7;1.7;2.06514134011;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Olmenstraat_3_1596137;[23.642000356969028, 27.213179225739687, 22.190792063871104, 85.610504445206885];94.42847442629999;333.172558855;109.265369648;[2.6347069336218381, 6.7086189046527664, 5.5472863041562324, 21.402626111301721];[2.6347069336218381, 6.7086189046527664, 5.5472863041562324, 21.402626111301721];42285769.4141;25119099.9644;14206185.0312;5313468.9876;0.00039044714687;0.00140970666747;0.000334719197826;0.00236321599926;0.000209346506492;0.00010677803046;0.00390605059838;0.0006593051748200001;504.670257342;2.7;1.7;2.17619911027;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
