BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Onafhankelijkheidslaan_74_1595770;[62.989336942920644, 47.505131392038365, 58.100823773477813, 42.061458404661444];203.951984406;438.079953028;171.044093561;[15.747334235730161, 4.9884709705517025, 14.461898603591504, 10.515364601165361];[15.747334235730161, 4.9884709705517025, 14.461898603591504, 10.515364601165361];56145094.0872;54253659.3475;18806217.3907;8317708.43388;0.000294065907081;0.0010617228816;0.000154972864344;0.00109415400983;0.000158507994962;6.82113057843e-05;0.00249523999109;0.0005234459340269999;574.103761493;2.7;1.7;2.18086370777;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onafhankelijkheidslaan_64_1599292;[44.619170144466736, 35.572681542167821, 51.18807027023238, 41.658612941017765];182.836929321;388.147864122;159.951384274;[11.092998391049619, 5.677235876134934, 12.423369948462224, 10.221363601338];[11.092998391049619, 5.677235876134934, 12.423369948462224, 10.221363601338];46118934.2326;48636802.9635;15817840.4464;7778280.73619;0.000357995220308;0.0012925392157;0.000172870017721;0.00122051317739;0.000185013684666;7.29417942925e-05;0.00266828614477;0.000607087132553;499.161195259;2.7;1.7;2.14580571193;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onafhankelijkheidslaan_44_1599283;[58.235618758394793, 36.146128722421366, 77.641860479087001, 32.628462486155364];222.182914734;434.191880627;188.611341505;[14.558904689598698, 4.5963860339914877, 19.41046511977175, 8.157115621538841];[14.558904689598698, 4.5963860339914877, 19.41046511977175, 8.157115621538841];54544702.329;59103304.1622;18382573.9307;9171986.66904;0.000302694071394;0.00109287480794;0.000142256767357;0.00100437462447;0.00016138684998;6.18581092495e-05;0.00226283350242;0.000512132902826;569.275801986;2.7;1.7;2.17134015991;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onafhankelijkheidslaan_19_1597527;[58.440599601443822, 11.972267337207594, 64.133897901856386, 84.861835948982645];265.74042511;527.295350057;224.937903032;[10.188682485582836, 1.9331827393133105, 15.560195625096878, 18.703888483309207];[10.188682485582836, 1.9331827393133105, 15.560195625096878, 18.703888483309207];58477672.8249;70690121.2106;20515972.6779;10938512.1356;0.000282336098948;0.00101937249214;0.000118939462067;0.000839747589994;0.000140166442948;5.1868274805e-05;0.00189739504433;0.00051585275575;736.535176255;2.7;1.7;2.11610190715;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onafhankelijkheidslaan_54_1599287;[76.394205685144641, 33.961311338680623, 54.952696372430765, 33.275134744529723];211.697956085;411.657032833;179.784573314;[19.09855142128616, 4.160274375794403, 13.738174093107691, 8.3187836861324307];[19.09855142128616, 4.160274375794403, 13.738174093107691, 8.3187836861324307];52927241.773;56314180.16100001;17711180.2803;8742749.48989;0.000311944425363;0.00112627314565;0.000149302448623;0.0010541192068;0.000168435682413;6.48951172699e-05;0.0023739303914;0.0005280350002419999;484.652994067;2.7;1.7;2.18239998907;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onafhankelijkheidslaan_2_1599695;[33.684132271086604, 67.956311030220775, 29.944599724315051, 82.910228640827683];161.388061523;427.678560241;143.124644015;[3.3466699051881195, 16.989077757555194, 7.1248946316864483, 20.727557160206921];[3.3466699051881195, 16.989077757555194, 7.1248946316864483, 20.727557160206921];57168152.3599;42931148.4179;18908565.4325;6960012.67176;0.000288803421825;0.00104272271573;0.000195844865559;0.00138272236151;0.000159214259027;8.15173448908e-05;0.00298198863957;0.000496559739988;515.28569038;2.7;1.7;2.20153384249;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onafhankelijkheidslaan_4_1595773;[24.433604539355535, 77.311923986897526, 19.667991814915339, 47.491617311509941];203.485473633;368.52173006;176.130170686;[2.600366247622464, 18.356467074231173, 4.7243546110782315, 11.60487630217925];[2.600366247622464, 18.356467074231173, 4.7243546110782315, 11.60487630217925];45017284.3843;54129561.9203;15304626.8337;8565039.433260001;0.000366755974883;0.00132416985825;0.000155328155114;0.00109666246718;0.000192530947869;6.62415810025e-05;0.00242318542491;0.0006417496800090001;496.230129663;2.7;1.7;2.15833155517;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onafhankelijkheidslaan_33_1599108;[68.695219535344947, 59.812287996754684, 41.522049962197215, 56.963482210431636];313.912380219;582.51893387;255.025878954;[16.488449824238188, 14.953071999188671, 9.7791638185149452, 6.9282007906915464];[16.488449824238188, 14.953071999188671, 9.7791638185149452, 6.9282007906915464];60499108.3377;83504435.5709;21708879.5437;12401661.2329;0.000272902501782;0.000985312556167;0.000100687405797;0.000710882703622;0.000130185004981;4.5748851122e-05;0.00167354020794;0.0004969651754069999;901.78688591;2.7;1.7;2.08967495562;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onafhankelijkheidslaan_5_1596387;[65.148332274826686, 36.797597430631342, 67.705708728404645, 40.99339803538129];183.18629837;414.116975556;155.482950201;[15.785028079032463, 9.1993993576578355, 16.926427182101161, 3.8545299403614406];[15.785028079032463, 9.1993993576578355, 16.926427182101161, 3.8545299403614406];56141972.0126;48729739.2957;18492224.1269;7560985.119589999;0.000294082260189;0.00106178192438;0.000172540323665;0.00121818544037;0.000163329060987;7.50380730069e-05;0.002744970184469999;0.000522847563113;506.592847143;2.7;1.7;2.20866071401;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onafhankelijkheidslaan_15_1595908;[56.183790302353309, 63.143158686230237, 42.562599736181191, 50.819822472783635];204.999824524;465.588735211;163.05563677;[13.754879254157036, 15.770807826826561, 8.3671610670296754, 8.2789939144754214];[13.754879254157036, 15.770807826826561, 8.3671610670296754, 8.2789939144754214];56692166.902;54532397.3112;19293291.6152;7929237.525330001;0.000291228205291;0.00105147737932;0.000154180733009;0.00108856132959;0.000152607137137;7.15531287334e-05;0.00261748732488;0.0005182448592649999;554.4238380969999;2.7;1.7;2.15686107741;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
