BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Onderwijslaan_24_1595742;[86.960613998093166, 73.795157308623686, 104.57357993724321, 109.19264158732545];434.314846039;887.0088702730001;378.430917352;[21.250131723253936, 17.084446850916873, 17.595074529713855, 26.146148101193528];[21.250131723253936, 17.084446850916873, 17.595074529713855, 26.146148101193528];99819125.065;115532926.905;34849168.7731;18402728.6027;0.00016540275233;0.000597185469651;7.27744480765e-05;0.000513809011102;8.28294020151e-05;3.08303059648e-05;0.00112780442328;0.000291539277599;1419.73905526;2.7;1.7;2.12223026779;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onderwijslaan_18_1595744;[58.464540977503653, 57.711592293119637, 46.850228976037073, 53.729556773795053];278.742919922;512.85294966;241.33731719;[14.213700450140465, 14.410366852638578, 5.3867066244676796, 12.443344572416169];[14.213700450140465, 14.410366852638578, 5.3867066244676796, 12.443344572416169];57770669.2889;74148939.8451;20162456.0373;11735999.746;0.000285791357867;0.00103184768007;0.000113391304148;0.000800575963015;0.000143200257292;4.83437087325e-05;0.00176846277842;0.000515095766844;711.1542042980001;2.7;1.7;2.12264730887;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onderwijslaan_44_1597586;[89.317268534740379, 43.932838490893246, 85.906445373289571, 52.522828603702649];208.404388428;529.5155626430001;141.868631673;[22.214177875395727, 7.3662217595865966, 20.32948395731205, 13.130707150925662];[22.214177875395727, 7.3662217595865966, 20.32948395731205, 13.130707150925662];72409093.8021;55438051.8985;23790315.7303;6898934.009339999;0.000228014979252;0.00082324647295;0.000151661984905;0.00107077822705;0.000127206758314;8.2239046299e-05;0.00300838922221;0.000379570043833;449.691575714;2.7;1.7;2.21307156988;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onderwijslaan_34_4753906;[41.873901260833051, 54.198624460535697, 39.493281309943875, 50.470682865447259];109.516075134;421.862371855;133.162685885;[10.468475315208263, 13.549656115133924, 4.032828379921698, 12.04138291632205];[10.468475315208263, 13.549656115133924, 4.032828379921698, 12.04138291632205];49583202.0738;29132581.6257;17065608.8879;6475572.306530001;0.000332982891995;0.0012022323809;0.000288606245002;0.00203764498752;0.000171021295878;8.761569272200001e-05;0.00320507249955;0.000596830171658;612.534060521;2.7;1.7;2.14098858374;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onderwijslaan_50_1595288;[54.474992132765237, 39.355731886542031, 28.189520399289211, 46.655374632771498];99.89170837399999;487.982442782;129.524344897;[13.61803822287483, 9.6744990502214883, 3.3596703176918261, 11.635248565451704];[13.61803822287483, 9.6744990502214883, 3.3596703176918261, 11.635248565451704];44956112.153;26572385.3267;16852320.9627;6298643.31185;0.000367255023404;0.00132597166942;0.000316412880772;0.00223396801579;0.000162193531008;9.00768189779e-05;0.003295103039;0.000624964993601;663.880160774;2.7;1.7;2.04565919645;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onderwijslaan_75_1599703;[99.757464982054557, 74.035821866206106, 99.055113845795475, 74.491903883620552];182.8855896;1078.88266298;211.21697786;[24.939366245513639, 18.508955466551527, 24.763778461448869, 18.622975970905138];[24.939366245513639, 18.508955466551527, 24.763778461448869, 18.622975970905138];92574550.9379;48649747.1776;35670557.9415;10271276.8477;0.000178346617441;0.00064391920326;0.000172824022281;0.00122018843605;7.50470419974e-05;5.5237704311e-05;0.00202065225446;0.00027556053215;1684.36668424;2.7;1.7;2.02194446764;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onderwijslaan_20_4753977;[61.118076623906148, 48.906517428505666, 52.358511699397624, 54.102477186698948];105.786663055;536.680254569;145.460890166;[14.886717842690745, 10.784340083759281, 8.8214163552222224, 13.22528931545363];[14.886717842690745, 10.784340083759281, 8.8214163552222224, 13.22528931545363];57698618.2166;28140513.551;20457203.9978;7073622.05698;0.000286148239442;0.00103313619848;0.00029878079428;0.00210948029841;0.000139430606764;8.02080954903e-05;0.00293409494476;0.000501455181213;677.377578804;2.7;1.7;2.10337907179;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onderwijslaan_26_1595905;[64.626405417681369, 69.305050201797428, 44.086508983997476, 49.891117417835481];121.762615204;551.778405752;157.794839427;[15.7045855508984, 15.226743290218177, 6.92901407720636, 12.47277935445887];[15.7045855508984, 15.226743290218177, 6.92901407720636, 12.47277935445887];60743255.6624;32390307.2862;21363823.695;7673410.05117;0.000271805615963;0.000981352257663;0.0002595790436909999;0.00183270440748;0.000134345836776;7.39386725881e-05;0.00270475298206;0.000475399075424;855.396679185;2.7;1.7;2.11304458392;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onderwijslaan_42_1595906;[28.956752829079598, 51.973626397407159, 40.474315631631967, 35.216447188299306];80.4004592896;416.395189898;106.475614554;[7.2142244562101983, 12.99340659935179, 6.4927271063977035, 7.8897193937292665];[7.2142244562101983, 12.99340659935179, 6.4927271063977035, 7.8897193937292665];41743303.9047;21387480.6974;15167905.6767;5177805.90222;0.000395521113006;0.00142802618638;0.0003931199335330001;0.00277554237279;0.000184540732452;0.000109575709117;0.00400839257215;0.0006917683186210001;531.609584062;2.7;1.7;2.07613581003;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onderwijslaan_16_1599422;[51.420968588886431, 58.942316787771617, 35.82888502974987, 38.291556514401734];128.44197464;459.946358146;151.408133864;[12.4429759373294, 9.5307576767115609, 4.6761465196510192, 8.2821565156802546];[12.4429759373294, 9.5307576767115609, 4.6761465196510192, 8.2821565156802546];49169353.3689;34167096.5269;17467131.347;7362830.75186;0.00033578554302;0.00121235133264;0.000246080172004;0.00173739840247;0.00016305384898;7.70575574163e-05;0.0028188450092;0.000684996412658;649.1574659309999;2.7;1.7;2.10109835343;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onderwijslaan_71_1599132;[76.389195944440004, 53.769635738741989, 73.614904475807805, 67.340294850316283];125.287994385;772.2660085480001;212.213593117;[18.688913641458015, 12.643413258535514, 18.007182253508027, 16.704356159185163];[18.688913641458015, 12.643413258535514, 18.007182253508027, 16.704356159185163];72258414.4221;33328100.1776;26929036.8206;10319741.2813;0.000228490455444;0.0008249631763839999;0.00025227495553;0.00178113539646;0.000101953772429;5.49782923758e-05;0.00201116269804;0.000362309499578;1085.45826428;2.7;1.7;2.05106301198;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onderwijslaan_28_1599416;[57.172089533031105, 65.355591670749746, 58.839444213873428, 42.460495119172819];129.829246521;571.87609771;164.14786945;[14.293022383257776, 16.074823885760186, 5.9529175554865263, 10.498336624107363];[14.293022383257776, 16.074823885760186, 5.9529175554865263, 10.498336624107363];59655447.9443;34536127.3862;21373205.0711;7982351.74158;0.000276761948655;0.0009992470618560001;0.000243450717453;0.00171883367985;0.000132386176215;7.10770173723e-05;0.00260007067972;0.000511080297622;798.387804815;2.7;1.7;2.09139180923;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onderwijslaan_8_1599425;[52.728168057969988, 73.393320496232974, 36.276399916470794, 64.752350891758212];129.276439667;548.618813886;152.205694589;[12.29026343026605, 18.348330124058243, 5.5320431244445967, 14.389065024340223];[12.29026343026605, 18.348330124058243, 5.5320431244445967, 14.389065024340223];60541005.83;34389074.1724;21275401.2647;7401615.35667;0.000272713639203;0.000984630669161;0.000244491751888;0.0017261836892;0.000134988807604;7.66537743544e-05;0.00280407420791;0.000473268610883;734.90371702;2.7;1.7;2.11404019259;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onderwijslaan_81_1599146;[129.33966109488853, 152.73334899016021, 116.01115597281181, 147.65643642616558];305.546039581;1767.92476081;351.254703188;[31.875997848485905, 32.084796497533482, 29.002788993202952, 34.383333504101323];[31.875997848485905, 32.084796497533482, 29.002788993202952, 34.383333504101323];145453005.418;81278889.2187;56997351.5214;17081175.6566;0.000113509913209;0.000409826740333;0.000103444388463;0.00073034781225;4.63745398272e-05;3.32156149444e-05;0.00121506148849;0.000187898697391;2669.39325953;2.7;1.7;2.008689948;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onderwijslaan_23A_1599110;[137.54065427595782, 50.578440845676724, 134.93123078179642, 46.651534954145809];268.749332428;1444.69919057;360.064863849;[34.385163568989455, 12.112381571788397, 33.732807695449104, 11.340733595880934];[34.385163568989455, 12.112381571788397, 33.732807695449104, 11.340733595880934];98534443.8833;71490526.4291;41842744.8645;17509605.2277;0.000167559255122;0.000604971507757;0.000117607820367;0.000830345807872;5.95048495574e-05;3.2402886646e-05;0.00118533104822;0.000261308680764;2294.51355765;2.7;1.7;1.95590231051;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onderwijslaan_47_1596421;[27.321617914696812, 89.529492542329834, 44.523274221209469, 144.32438787303602];158.169178009;765.749920012;206.250438225;[4.3733788137997678, 20.456616651504454, 10.198180457247998, 35.817242533242876];[4.3733788137997678, 20.456616651504454, 10.198180457247998, 35.817242533242876];81476080.4267;42074887.0279;28990925.4266;10029758.8405;0.000202640553331;0.000731632287291;0.00019983048284;0.00141086199194;9.81178260211e-05;5.65678360196e-05;0.00206930984568;0.000337753948148;976.265378748;2.7;1.7;2.09921489322;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onderwijslaan_36_1597595;[60.120552377235384, 68.144601624294054, 40.962921922592038, 59.446403759896683];100.531494141;487.726771554;119.789640146;[15.030138094308846, 16.796312811139185, 3.9716718872516394, 11.154662344983146];[15.030138094308846, 16.796312811139185, 3.9716718872516394, 11.154662344983146];60947252.561;26742575.9681;20573933.4947;5825254.058130001;0.000270895853827;0.000978067567892;0.000314399218694;0.00221975096916;0.000144013833229;9.73969114044e-05;0.00356287957767;0.0005096251419700001;654.9135965;2.7;1.7;2.16885775607;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onderwijslaan_38_1595738;[1.8066843165587654, 58.792483113941046, 45.767976486096352, 73.127044432897264];79.7434310913;448.855592768;109.689469262;[0.45167107913969134, 14.698120778485261, 11.435529150617022, 14.335381824784049];[0.45167107913969134, 14.698120778485261, 11.435529150617022, 14.335381824784049];47839521.2517;21212703.3637;17012353.052;5334092.540630001;0.0003451196330759999;0.0012460519989;0.000396358957463;0.00279841083455;0.000167279001921;0.000106365187534;0.00389094837789;0.00058474850467;580.850390658;2.7;1.7;2.09989295275;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onderwijslaan_48_1595739;[65.585862298887662, 46.79794141344609, 16.548676123753605, 4.3948371352445363];76.4332084656;400.01168892;106.051959472;[16.396465574721915, 8.2399467025044366, 4.1371690309384013, 0.9952663692542365];[16.396465574721915, 8.2399467025044366, 4.1371690309384013, 0.9952663692542365];35534938.8876;20332144.6811;13507580.9154;5157203.96633;0.00046462322823;0.00167751888558;0.000413524747246;0.00291960635998;0.000200227826634;0.000110013440832;0.0040244052502;0.0008038040320190001;596.7997593580001;2.7;1.7;2.03330855239;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onderwijslaan_40_1595737;[27.715699915005452, 67.045348362931051, 64.922693601510105, 49.939173463208988];133.082241058;484.560690001;163.770948498;[6.6854693101873242, 16.761337090732763, 15.272909756995695, 8.3377777708283336];[6.6854693101873242, 16.761337090732763, 15.272909756995695, 8.3377777708283336];55869552.132;35401462.715;19349703.63;7964022.44112;0.000295516204997;0.00106695917199;0.000237499932076;0.00167681938458;0.000150105095439;7.12406020453e-05;0.00260605477595;0.000508491162489;777.9269402460001;2.7;1.7;2.13260404665;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onderwijslaan_30_1599415;[34.545866416679182, 66.338490992924974, 33.254414369938445, 61.887693225521687];75.6415176392;406.875845498;90.9358124633;[8.6364666041697955, 16.584622748231244, 4.4204255257416598, 15.471923306380422];[8.6364666041697955, 16.584622748231244, 4.4204255257416598, 15.471923306380422];52245770.8784;20121545.4828;17489924.8417;4422120.39316;0.000316013291475;0.00114096375802;0.000417852843232;0.00295016399082;0.000170514791853;0.000128300838278;0.0046933771298;0.000530403373243;525.2297679569999;2.7;1.7;2.1817844735;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onderwijslaan_93_1599148;[82.406528860747613, 99.597262713747085, 86.446759439156082, 94.789108318544919];190.661071777;711.710209869;190.669415064;[20.601632215186903, 20.501789102685493, 21.611689859789021, 23.69727707963623];[20.601632215186903, 20.501789102685493, 21.611689859789021, 23.69727707963623];96812111.6449;50718118.1354;31856915.6283;9272068.790819999;0.000170540211761;0.000615734230659;0.000165775965263;0.00117042708021;9.48820076261e-05;6.119041674600002e-05;0.00223840862128;0.000276908441882;1450.56059669;2.7;1.7;2.2103757882;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onderwijslaan_32_4753881;[46.052583500667573, 35.071593829227012, 50.149400468868421, 58.905713973168446];110.98551178;495.981019067;136.230690085;[11.513145875166893, 8.7582824375840733, 5.9106289712874558, 14.726428493292111];[11.513145875166893, 8.7582824375840733, 5.9106289712874558, 14.726428493292111];50687358.4823;29523469.2919;18291883.9178;6624766.37619;0.000325729304412;0.00117604335414;0.000284785128302;0.00201066677958;0.000153830901406;8.56425300441e-05;0.00313289217157;0.000584923136043;705.2459306330001;2.7;1.7;2.08344066499;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onderwijslaan_83_1599780;[69.348441788600184, 83.756119913266787, 66.083556047197675, 83.230205523169502];172.31861496;835.380283111;227.849916139;[14.343590322989465, 20.939029978316697, 16.519562894747875, 20.807551380792376];[14.343590322989465, 20.939029978316697, 16.519562894747875, 20.807551380792376];80601761.7402;45838805.945;29697706.8551;11080120.5097;0.000204838674298;0.000739568587523;0.000183421989663;0.00129501320332;9.32561000374e-05;5.12053774968e-05;0.00187314557638;0.0003295469943679999;1384.18529511;2.7;1.7;2.0620127616;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onderwijslaan_51_4752482;[89.991763334424604, 90.729992078430342, 83.181091536304848, 94.022380834858069];330.404136658;670.748683595;330.532367073;[11.480095131983155, 21.690382206471739, 20.795272884076212, 22.639544831150687];[11.480095131983155, 21.690382206471739, 20.795272884076212, 22.639544831150687];95395687.7298;87891439.3968;30991482.0614;16073468.5427;0.000173072372702;0.0006248765798609999;9.56617054848e-05;0.00067539978103;9.85166104824e-05;3.52980286676e-05;0.0012912383325;0.000312358561832;1657.98453618;2.7;1.7;2.23362046999;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onderwijslaan_14_1599421;[43.283541108691978, 29.508990371087009, 41.911542086338223, 62.894490216430917];132.99331665;440.619620911;159.283919042;[10.820885277172994, 7.3772475927717522, 4.072064807934793, 15.723622554107729];[10.820885277172994, 7.3772475927717522, 4.072064807934793, 15.723622554107729];47334291.6808;35377807.7623;16786981.999;7745822.549110001;0.00034880331858;0.00125935191941;0.000237658733596;0.00167794057003;0.000169880097807;7.32474504562e-05;0.00267946736281;0.0006297950468150001;695.620105377;2.7;1.7;2.10306549085;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onderwijslaan_107_1594240;[60.49649994163083, 106.62678343557843, 64.643923968672624, 105.19344242853131];98.16145324709998;729.6064627630001;98.1879322611;[15.124124985407708, 26.656695858894608, 16.160980992168156, 26.298360607132828];[15.124124985407708, 26.656695858894608, 16.160980992168156, 26.298360607132828];89808123.1159;26112116.835;30459275.2658;4774783.94763;0.000183840363746;0.000663754335509;0.000321990171971;0.00227334533229;9.69198289298e-05;0.000118824591779;0.00434672624901;0.000284048832499;1008.03598438;2.7;1.7;2.16183890491;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onderwijslaan_46_1595740;[61.70349680045377, 0.023009811770599242, 89.960243869843467, 1.5287744301776707];67.4698371887;423.0948736669999;96.5182246109;[15.425874200113443, 0.0, 22.490060967460867, 0.38219360754441767];[15.425874200113443, 0.0, 22.490060967460867, 0.38219360754441767];40835624.9722;17947781.061;15044081.7304;4693587.68347;0.000404312607733;0.00145976781603;0.000468461530795;0.00330747621231;0.000184108610049;0.000120880186261;0.004421922017479999;0.000624790833311;556.830931478;2.7;1.7;2.06213042144;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Onderwijslaan_99_1595254;[81.127302107279633, 61.764216481315074, 12.281146871170225, 61.514017135194862];71.6457366943;353.5228031999999;71.66040900649999;[8.5829463488117064, 15.441054120328769, 0.0, 15.378504283798716];[8.5829463488117064, 15.441054120328769, 0.0, 15.378504283798716];57752216.1151;19058620.1142;18075272.1739;3484776.21155;0.00028588267484;0.00103217737936;0.000441157069077;0.00311469868057;0.000173960456593;0.000162811531922;0.00595581393425;0.0006072791550110001;594.000644019;2.7;1.7;2.31293551826;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
