BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Schaapsdreef_59_1597537;[50.797519604760602, 48.927037748817327, 67.032775838078663, 48.152875629824891];260.782028198;598.842551351;223.902454516;[12.521507769166501, 12.231759437204332, 16.758193959519666, 7.8125615096182122];[12.521507769166501, 12.231759437204332, 16.758193959519666, 7.8125615096182122];57278743.0984;69371128.5186;21172192.8013;10888159.2782;0.0002882458156;0.00104070948239;0.000121200925655;0.0008557141881739999;0.000130488050303;5.21081423324e-05;0.00190616964614;0.000485125066726;817.5990648430001;2.7;1.7;2.05887598224;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Schaapsdreef_44_1599708;[60.624688937266853, 71.679655331915967, 59.50940321747639, 71.635614043558462];210.306419373;640.885923115;237.265305456;[15.156172234316713, 16.98218803888323, 14.51068231260497, 17.889805755970144];[15.156172234316713, 16.98218803888323, 14.51068231260497, 17.889805755970144];70215595.533;55944014.8057;24735356.8395;11537981.7635;0.000235138047261;0.0008489642597139999;0.000150290339716;0.00106109400852;0.000115888942786;4.91733966164e-05;0.00179881361784;0.0003707583944630001;1362.89347344;2.7;1.7;2.11107060091;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Schaapsdreef_23_1599659;[103.20685855351715, 104.87938891413586, 50.264802033263052, 71.701613968042679];156.582878113;931.668798113;173.987196284;[25.801714638379288, 26.219459620371651, 9.3836574276837581, 17.92540349201067];[25.801714638379288, 26.219459620371651, 9.3836574276837581, 17.92540349201067];87966978.5044;41652912.3438;32672325.7268;8460828.66578;0.00018768813368;0.0006776466816930002;0.000201854912829;0.00142515506318;8.42490418701e-05;6.70574686973e-05;0.00245303143916;0.000301629255704;1394.45469501;2.7;1.7;2.05425965122;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Schaapsdreef_47_1599210;[50.188844283572081, 42.596350540568451, 62.923186074826916, 28.411022777439896];313.524864197;590.259845571;248.153441017;[11.185228044840919, 10.649087635142113, 15.730796518706729, 5.3535303381544734];[11.185228044840919, 10.649087635142113, 15.730796518706729, 5.3535303381544734];49072252.4558;83401351.6892;19148495.062;12067461.2392;0.000336449973145;0.00121475025292;0.000100811855203;0.0007117613530319999;0.000138477248635;4.70158339159e-05;0.00171988774665;0.000557527414133;794.5018147569999;2.7;1.7;2.01192940712;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Schaapsdreef_22_1599093;[56.011433916252855, 38.037672297232291, 52.748199082235445, 28.265034354146614];99.556476593;175.06233965;104.595848601;[14.002858479063214, 4.5434970662823773, 13.187049770558861, 7.0662585885366536];[14.002858479063214, 4.5434970662823773, 13.187049770558861, 7.0662585885366536];46658326.9078;26483209.6763;16188485.1003;5086394.70644;0.000353856623568;0.00127759684139;0.000317478322793;0.00224149034987;0.0002597694996;0.000111544971665;0.00408043022933;0.0006167146151209999;489.254429755;2.7;1.7;2.7;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Schaapsdreef_26_1599705;[85.50540375398333, 76.521182502363388, 80.775609018560914, 65.977294793393995];193.154281616;1081.39661653;216.364148119;[17.475979387418835, 13.940707752826102, 17.054572455034069, 13.720437156461335];[17.475979387418835, 13.940707752826102, 17.054572455034069, 13.720437156461335];82297165.7916;51381341.6764;33309718.6841;10521578.7469;0.000200618792423;0.000724332733803;0.000163636151099;0.00115531936275;7.745385602100001e-05;5.39236332357e-05;0.0019725821778;0.0003847510365759999;1392.79608332;2.7;1.7;1.98553768834;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Schaapsdreef_61_1595954;[69.51618940961572, 45.098367651846154, 55.480388011421326, 44.991676938711407];124.427913666;490.017438662;156.504052972;[17.343390087201769, 11.274591912961538, 13.187780710512946, 7.4851733140033332];[17.343390087201769, 11.274591912961538, 13.187780710512946, 7.4851733140033332];57325761.4595;33099308.4525;19760261.9956;7610640.357360001;0.000288009397531;0.00103985589662;0.000254018750944;0.00179344710504;0.000147526743201;7.45484908979e-05;0.00272706076545;0.00048545070801;794.14738674;2.7;1.7;2.13893666846;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Schaapsdreef_52_1595886;[84.338885829028001, 54.843977905014341, 83.932693020450813, 56.398671968935325];156.919082642;874.20542135;221.735624103;[21.084721457257, 12.303797634240571, 20.983173255112703, 13.793039988185733];[21.084721457257, 12.303797634240571, 20.983173255112703, 13.793039988185733];74497269.2884;41742346.7566;28783521.1543;10782788.4161;0.000221623667265;0.0008001706861400001;0.000201422431739;0.00142210161947;9.28122137969e-05;5.26173501245e-05;0.00192479699291;0.000351036657404;1118.77329422;2.7;1.7;2.01973518111;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Schaapsdreef_25_1599181;[40.133403308696906, 44.95654496977857, 40.658197686392434, 44.108788646567476];127.408546448;424.6740275069999;179.471676343;[10.033350827174226, 10.272741656976377, 10.164549421598108, 11.027197161641869];[10.033350827174226, 10.272741656976377, 10.164549421598108, 11.027197161641869];45270961.1816;33892192.3073;16097867.9453;8727533.61358;0.000364700849949;0.00131674984419;0.000248076162025;0.00175149067917;0.000176790822414;6.500825760499999e-05;0.00237806918167;0.000576616043857;752.0376609580001;2.7;1.7;2.0999701503;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Schaapsdreef_51_1599183;[77.945820743290341, 54.65943968084953, 75.133152817396521, 37.192932796888485];132.382221222;774.460230926;182.216394746;[19.486455185822585, 13.664859920212383, 18.78328820434913, 9.2322887885990372];[19.486455185822585, 13.664859920212383, 18.78328820434913, 9.2322887885990372];65280098.7139;35215249.0929;25332334.7334;8861006.60837;0.000252915641156;0.000913150136971;0.000238755800591;0.00168568618573;0.000105111018924;6.40290407719e-05;0.00234224841892;0.000391197246918;879.5890014380001;2.7;1.7;2.01626071457;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Schaapsdreef_54_1595242;[38.054010395303685, 50.803059547704038, 49.888400337855778, 44.451295644350402];132.50466156;713.215412165;185.962873847;[9.5135025988259212, 12.700764886926009, 12.472100084463944, 11.112823911087601];[9.5135025988259212, 12.700764886926009, 12.472100084463944, 11.112823911087601];48826347.2891;35247819.6826;20699232.433;9043194.25467;0.000338144443269;0.00122086812534;0.000238535179365;0.00168412853497;0.000120436254363;6.2739087255e-05;0.00229506058744;0.000522461620342;881.2729057189999;2.7;1.7;1.95686035776;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Schaapsdreef_49_1599209;[64.360479534550279, 42.982357662683881, 50.071829755906677, 29.283762872211895];110.973079681;584.402287247;146.295879653;[16.09011988363757, 10.74558941567097, 11.115255425576763, 5.147374432477358];[16.09011988363757, 10.74558941567097, 11.115255425576763, 5.147374432477358];49759624.9963;29520162.2055;19231995.3044;7114226.7862;0.0003318023;0.00119796986184;0.000284817032227;0.00201089203067;0.000138872523906;7.97503046302e-05;0.00291734848244;0.000555202828218;793.0814202989999;2.7;1.7;2.01946902656;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
