BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Stalenstraat_132_4753609;[83.005731549152173, 91.696427353050851, 87.543717837519154, 10.926125959315083];423.574775696;875.741826918;286.397590823;[20.751432887288043, 19.158254464772444, 13.664693064319538, 2.013360310365325];[20.751432887288043, 19.158254464772444, 13.664693064319538, 2.013360310365325];72806913.4085;112675940.152;28409903.1222;13927237.1646;0.000226769097164;0.0008187482244660002;7.46197012322e-05;0.000526837041189;9.33349856798e-05;4.07375667336e-05;0.00149022225106;0.000430460376314;1113.11354285;2.7;1.7;2.01193211778;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Stalenstraat_18_4753101;[92.726326526412038, 43.670751367894098, 125.71213635869506, 76.474710854903179];490.675979614;1011.27588067;313.432139576;[21.038646003282825, 3.4025591675560336, 31.256408695120435, 18.943854212174404];[21.038646003282825, 3.4025591675560336, 31.256408695120435, 18.943854212174404];90240765.0612;130525660.368;34242904.5525;15241901.0591;0.000182958976575;0.0006605720933509999;6.44152649102e-05;0.00045479071897;7.908657825599999e-05;3.72238181581e-05;0.00136168570036;0.000320576757234;1208.44774086;2.7;1.7;2.03480866258;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Stalenstraat_152_1602852;[47.385456010441608, 127.96956133813879, 42.020297423902718, 132.3468355777168];542.1686782840001;1147.72869637;300.546056847;[11.846105621281493, 30.527368858121065, 7.747677696507429, 33.086277468804376];[11.846105621281493, 30.527368858121065, 7.747677696507429, 33.086277468804376];93209370.1625;144223332.105;36718720.3998;14615263.3497;0.000177131955641;0.000639533675404;5.82973979832e-05;0.000411596778804;7.17004858104e-05;3.8819810484e-05;0.00142006874744;0.000287574317508;1283.54213905;2.7;1.7;2.00470803027;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Stalenstraat_25_1602801;[165.9037980047832, 67.376433548832068, 165.62426339281484, 69.355657559993745];428.227695465;1151.00045555;448.058156151;[41.0474472274554, 16.844108387208017, 40.972516558523232, 5.3807021195238542];[41.0474472274554, 16.844108387208017, 40.972516558523232, 5.3807021195238542];124802600.703;113913672.282;44120404.804;21788633.7183;0.0001322917786;0.00047763853274;7.380891882199999e-05;0.00052111267887;6.47947413575e-05;2.60393451348e-05;0.000952546129638;0.00022953975347;1905.61310886;2.7;1.7;2.10682881597;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Stalenstraat_4850_5214368;[111.28391015085495, 66.499981951717118, 47.620355811008849, 59.310520391007074];161.704284668;664.3058861630001;182.461937535;[27.337531261179834, 12.878106862787341, 11.03653742541683, 13.764218209892469];[27.337531261179834, 12.878106862787341, 11.03653742541683, 13.764218209892469];75883338.2531;43015267.5444;26361813.5416;8872947.116139999;0.000217575536356;0.0007855549380720001;0.00019546187831;0.00138001835887;0.000109916983405;6.39428755724e-05;0.00233909640696;0.0003680351740249999;948.0210534830001;2.7;1.7;2.12858986234;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Stalenstraat_169_1601584;[102.63619889044695, 111.90170013746996, 96.203228537293143, 112.06969748810522];234.43176651;1307.81049699;292.095752704;[8.0591058502334079, 25.272930467284084, 22.513825522804154, 25.754986793645124];[8.0591058502334079, 25.272930467284084, 22.513825522804154, 25.754986793645124];112689261.065;62361644.7643;43349267.7459;14204333.2522;0.000146512257378;0.0005289814709810001;0.000134823977494;0.00095189694158;6.18307654932e-05;3.99428641481e-05;0.00146115120998;0.000293236163499;1567.03758812;2.7;1.7;2.02329670547;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Stalenstraat_46_1601653;[39.359398636644428, 40.629791433151517, 124.66622972464924, 46.018032703783817];131.188098907;516.036321761;142.679878399;[7.5089452245424653, 3.8783011135477334, 31.16655743116231, 11.504508175945954];[7.5089452245424653, 3.8783011135477334, 31.16655743116231, 11.504508175945954];66810508.2861;34897598.3211;22309886.3033;6938384.151110001;0.000247122173509;0.000892232862932;0.000240929043679;0.00170102992122;0.000133936622769;8.17714529855e-05;0.00299128417604;0.000442639049031;890.0180395310001;2.7;1.7;2.1857670709;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Stalenstraat_38_5214367;[100.12518643813438, 85.737483125830167, 128.92099623965535, 118.33433722440239];281.282238007;987.2205573489999;340.87701363;[24.739201318788545, 14.536120408370294, 31.143448719702867, 27.439304933325335];[24.739201318788545, 14.536120408370294, 31.143448719702867, 27.439304933325335];115436372.068;74824428.7291;39797296.5937;16576518.6751;0.000143025614242;0.000516392970553;0.000112367646944;0.000793348642031;7.32414818402e-05;3.42268340252e-05;0.00125205292651;0.00024452064583;1926.67456678;2.7;1.7;2.13872465966;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Stalenstraat_154_1602854;[54.169622431569834, 103.58807005516388, 41.036712987839834, 83.611961385805714];410.868450165;879.3287072530001;252.275453214;[13.542405607892459, 25.332907401435875, 8.3832982827472087, 20.896318191030588];[13.542405607892459, 25.332907401435875, 8.3832982827472087, 20.896318191030588];75268093.7097;109295906.077;29030055.5455;12267910.6958;0.000219354007883;0.000791976096963;7.69273552136e-05;0.0005431297571290001;9.21466638852e-05;4.62476266314e-05;0.00169178593104;0.000351087147667;966.06361473;2.7;1.7;2.02116131832;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Stalenstraat_37_1601635;[52.207052745178835, 136.38824514223282, 95.130758733674995, 107.62600935456462];186.44549942;590.043937619;212.298328839;[12.269910189325033, 31.895255381884379, 19.570275838552806, 18.674481059067837];[12.269910189325033, 31.895255381884379, 19.570275838552806, 18.674481059067837];104304744.623;49596725.6308;32012071.6885;10323861.8974;0.000158289616456;0.000571503542791;0.000169524195061;0.00119689068518;9.97647004338e-05;5.49563486076e-05;0.00201035997235;0.00029035726615;1116.43002281;2.7;1.7;2.36325919313;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
