BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Steenbeukstraat_36_1599004;[66.328440523691214, 130.32732721256912, 65.608320017848698, 107.52749213610291];290.568096161;609.879882503;255.617348473;[16.582110130922803, 32.44867087547901, 7.697098814572171, 26.881873034025727];[16.582110130922803, 32.44867087547901, 7.697098814572171, 26.881873034025727];98558356.1648;77294577.7033;30932610.5165;12430423.8221;0.000167518601805;0.0006048247292430001;0.000108776646953;0.00076799512575;0.000101429119717;4.56429934753e-05;0.00166966782593;0.000286190533695;996.0432769260001;2.7;1.7;2.30633510057;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Steenbeukstraat_7_1597622;[53.312716050707287, 63.953616380743064, 52.630459727788363, 53.505997782896159];320.333763123;639.638110987;261.853006008;[12.17866685156118, 15.105257685950491, 13.157614931947091, 12.475606429985866];[12.17866685156118, 15.105257685950491, 13.157614931947091, 12.475606429985866];59542220.3661;85212599.9784;22232858.3606;12733657.8023;0.0002772882488999999;0.00100114726518;9.86690347711e-05;0.0006966324104419999;0.000123307987726;4.45560703938e-05;0.0016299070574;0.000452184625322;775.1901727610001;2.7;1.7;2.04926435136;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Steenbeukstraat_28_1596103;[49.078080370011961, 63.524463293366843, 50.652952276342944, 86.804229251526081];238.463954926;492.540529635;205.411945867;[12.26952009250299, 15.410666333846539, 5.225105461591439, 21.70105731288152];[12.26952009250299, 15.410666333846539, 5.225105461591439, 21.70105731288152];66646935.1876;63434254.9542;21964623.6295;9988983.77012;0.000247728691116;0.000894422690469;0.000132544238066;0.000935801310599;0.000137448232206;5.67987461452e-05;0.00207775677648;0.000438196659214;719.4396617089999;2.7;1.7;2.20769370264;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Steenbeukstraat_38_1599003;[32.343758017300424, 62.043434729609189, 31.870652459164685, 83.766832859324964];232.263816833;440.910633876;201.677869465;[8.0859395043251059, 15.510858682402297, 3.8028268121220878, 20.941708214831241];[8.0859395043251059, 15.510858682402297, 3.8028268121220878, 20.941708214831241];55976631.5672;61784944.3042;18803979.8157;9807399.255069999;0.00029495090288;0.00106491815268;0.000136082424042;0.000960781944395;0.000158170241948;5.78503779291e-05;0.0021162265529;0.000494986757728;658.806193441;2.7;1.7;2.1763429637;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Steenbeukstraat_16_1596107;[48.644754563792127, 71.055036897691124, 46.765021609104622, 52.908390946065552];99.5800323486;460.662892127;117.614403811;[12.161188640948032, 17.763759224422781, 6.7056861189663577, 12.867633914603147];[12.161188640948032, 17.763759224422781, 6.7056861189663577, 12.867633914603147];58468238.7331;26489475.7882;19642629.8572;5719474.42413;0.0002823816550440001;0.0010195369721;0.00031740322298;0.0022409601231;0.000151407143737;9.91982324484e-05;0.00362877376126;0.000483417315542;613.0216333980001;2.7;1.7;2.17621201483;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Steenbeukstraat_24_1596105;[40.653045419638573, 31.903615572488675, 34.932143006559642, 64.084196254767065];82.5131874084;433.072450937;111.206995421;[10.163261354909643, 7.9759038931221689, 4.2898337975173817, 16.021049063691766];[10.163261354909643, 7.9759038931221689, 4.2898337975173817, 16.021049063691766];45728333.9774;21949491.5648;16314215.6758;5407888.36645;0.000361053128004;0.00130357976985;0.000383054202663;0.00270447535187;0.000174004217593;0.000104913732489;0.00383785265377;0.000622322232827;504.7819426619999;2.7;1.7;2.09617620535;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Steenbeukstraat_11_1596114;[40.024562343044401, 31.03116454819175, 37.987820004485037, 60.183959609830247];99.07312011719999;466.136319982;127.404054175;[4.8405247467369694, 7.7577911370479375, 9.4969550011212593, 15.045989902457562];[4.8405247467369694, 7.7577911370479375, 9.4969550011212593, 15.045989902457562];45103203.4424;26354631.0912;16600923.4665;6195535.62976;0.000366057325441;0.00132164738938;0.000319027231347;0.0022524260999;0.000166960650368;9.1575900344e-05;0.00334994098312;0.000644251683556;522.9953442030001;2.7;1.7;2.06304295386;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Steenbeukstraat_30_1597695;[44.8404546496526, 88.243354145414315, 41.944470585915454, 74.251388992734192];113.889289856;632.3023124169999;149.677266349;[11.21011366241315, 22.060838536353579, 5.4784203334296464, 18.562847248183548];[11.21011366241315, 22.060838536353579, 5.4784203334296464, 18.562847248183548];66439031.2714;30295908.8787;23743421.2107;7278660.34276;0.000248503894548;0.000897221556987;0.000277524104785;0.00195940181761;0.000119402711858;7.7948650808e-05;0.00285144212549;0.00041750816638;857.529465697;2.7;1.7;2.09424127269;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Steenbeukstraat_8_1596109;[55.219809027353442, 11.959218477134664, 45.804378768719801, 11.655262422620371];94.2558631897;362.529766718;124.539939535;[13.80495225683836, 2.8239818724101262, 6.6589675741723777, 2.8108785920774348];[13.80495225683836, 2.8239818724101262, 6.6589675741723777, 2.8108785920774348];33219205.0043;25073183.3177;12478067.373;6056256.51175;0.0004970124365950001;0.00179445989374;0.000335332170777;0.00236754376861;0.000218711607008;9.36819225387e-05;0.00342698144939;0.0009168367073380001;619.160770072;2.7;1.7;2.04380257882;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Steenbeukstraat_40_1597481;[60.906420642065825, 39.872565659028197, 55.117961839565062, 38.268927272072531];109.778003693;387.15255449;114.961829348;[15.226605160516456, 9.8729245132688987, 13.707712769539423, 7.3443027009216948];[15.226605160516456, 9.8729245132688987, 13.707712769539423, 7.3443027009216948];51749878.9715;29202257.7449;17116562.9771;5590482.299790001;0.000319041480851;0.00115189701439;0.000287917635125;0.00203278319922;0.000175882158537;0.000101487085189;0.00371250235767;0.0005184727773880001;594.191109974;2.7;1.7;2.20152290915;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Steenbeukstraat_42_1595833;[39.521936401775832, 34.827288214826048, 52.132256277550809, 34.814943553159139];75.1402587891;348.812430917;97.3695540426;[9.8763791252618542, 8.706822053706512, 13.033064069387702, 2.9791753435888606];[9.8763791252618542, 8.706822053706512, 13.033064069387702, 2.9791753435888606];42989379.189;19988204.6527;14574557.4231;4734987.00832;0.0003840566747509999;0.001386633913;0.000420640329449;0.00296984446349;0.00020261377121;0.000119823296751;0.004383259908;0.0006916610796749999;457.753010462;2.7;1.7;2.16241592945;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Steenbeukstraat_12_1598952;[38.826176495334977, 72.726722167141872, 36.565306696812797, 58.84164503884417];142.890396118;322.776905147;174.69216442;[9.5585590014747854, 18.181680541785468, 4.8154521043890437, 14.710411259711043];[9.5585590014747854, 18.181680541785468, 4.8154521043890437, 14.710411259711043];55159781.2298;38010548.8928;17069443.0758;8495110.58273;0.000299318772715;0.00108068831589;0.000221197673675;0.00156172064472;0.000185874243533;6.67868590859e-05;0.00244313226018;0.000506246936384;648.062979142;2.7;1.7;2.3411854352;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Steenbeukstraat_4_1597698;[41.450329529422234, 30.638864232059895, 37.351165843981086, 44.051086175877288];60.7948760986;275.081197979;90.80362264909999;[9.7741757651124583, 7.6597160580149737, 9.3319903839229639, 11.012771543969322];[9.7741757651124583, 7.6597160580149737, 9.3319903839229639, 11.012771543969322];40909164.5247;16172161.8328;13126092.5845;4415692.13067;0.0004035858031509999;0.00145714369322;0.000519896169549;0.00367061989218;0.000234890569395;0.000128487615671;0.00470020963969;0.0006333820138049999;390.24083146;2.7;1.7;2.257985958;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Steenbeukstraat_3234_1597696;[39.941573633906835, 40.309686593579691, 36.046859895973668, 71.642302585146354];109.240123749;447.108147318;138.516683471;[9.9853934084767086, 10.077421648394923, 4.8922148137221182, 17.910575646286588];[9.9853934084767086, 10.077421648394923, 4.8922148137221182, 17.910575646286588];50090645.992;29059175.2673;17513882.6449;6735932.018180001;0.000329609604627;0.00119005315068;0.000289335292997;0.00204279228082;0.000164624418154;8.42291388744e-05;0.00308118886332;0.00055821723508;584.4980949469999;2.7;1.7;2.12034667415;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Steenbeukstraat_5_1596119;[38.180253112340793, 38.781623774666627, 46.195601665732802, 31.115297793709356];90.7416191101;517.2392527869999;116.087842102;[8.1510124305912299, 6.255012138476963, 11.548900416433201, 7.778824448427339];[8.1510124305912299, 6.255012138476963, 11.548900416433201, 7.778824448427339];41117407.9253;24138352.496;16340808.3456;5645239.20829;0.00040154180076;0.00144976383702;0.000348318924898;0.00245923407295;0.000160055996251;0.000100502694833;0.00367649234208;0.0007093287936619999;514.532118242;2.7;1.7;1.99826192717;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Steenbeukstraat_14_1598951;[24.892826480519243, 75.781003473142249, 33.57500711575662, 76.703901052352535];86.15606307979999;383.264864281;96.3383257485;[6.2154278430499428, 18.400590423471442, 8.3937517789391549, 18.603728710047619];[6.2154278430499428, 18.400590423471442, 8.3937517789391549, 18.603728710047619];56223981.9087;22918539.9234;18108020.7904;4684839.376209999;0.000293653303456;0.00106023317912;0.00036685779366;0.00259012393989;0.000169762718186;0.000121105913746;0.00443017936194;0.000463605846699;557.760333984;2.7;1.7;2.25040980215;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Steenbeukstraat_26_1596104;[36.255600047867475, 86.026277759428638, 40.481866954385062, 73.327289847488458];108.015701294;466.007370669;127.099483842;[9.0639000119668687, 21.506569439857159, 5.3839803681759602, 18.015583602041797];[9.0639000119668687, 21.506569439857159, 5.3839803681759602, 18.015583602041797];62923942.9498;28733464.2968;20750471.0108;6180724.66978;0.0002623859416140001;0.00094734258992;0.000292615081264;0.00206594855078;0.000145420173484;9.17953449993e-05;0.00335796849518;0.0004433630715869999;664.2095370569999;2.7;1.7;2.20662510825;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
