BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Varenlaan_10_1599636;[48.055104505696441, 62.016843545121716, 17.955166019239286, 49.027104333107928];259.674331665;489.946796528;223.92130372;[12.01377612642411, 15.071288125688747, 4.1662286903323871, 8.6993838314188068];[12.01377612642411, 15.071288125688747, 4.1662286903323871, 8.6993838314188068];47189210.53600001;69076468.0349;17398154.7436;10889075.8967;0.000349875698987;0.0012632237413;0.000121717934188;0.0008593644205;0.000159104211075;5.21037559835e-05;0.00190600918897;0.0005989465441880002;680.009323012;2.7;1.7;2.06137437709;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Varenlaan_2_1599419;[87.446882684591117, 68.38483711513517, 32.705420709910584, 36.677884221551849];258.220355988;482.2982461669999;221.833590004;[21.412114649999708, 17.096209278783792, 6.2107671679720493, 1.6795809573662519];[21.412114649999708, 17.096209278783792, 6.2107671679720493, 1.6795809573662519];60025224.5541;68689693.1706;20288177.4586;10787552.4029;0.00027505699718;0.000993091346594;0.00012240329811;0.000864203291396;0.000145899256967;5.25941133093e-05;0.00192394696622;0.0005157113066459999;706.317619217;2.7;1.7;2.16696214743;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Varenlaan_12_1599099;[15.324772627680399, 62.022978701812704, 46.117067322986962, 48.795257623576319];276.956447601;519.840917341;234.707356963;[2.8994167591828131, 15.077644563901817, 10.501602420096217, 7.3739960422133688];[2.8994167591828131, 15.077644563901817, 10.501602420096217, 7.3739960422133688];45911456.2739;73673716.9097;17491435.138;11413591.2083;0.0003596130325819999;0.0012983803155;0.000114122720325;0.0008057399763850001;0.00015435925995;4.97093108605e-05;0.0018184179142;0.000667407102706;690.2389000630001;2.7;1.7;2.03137075311;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Varenlaan_1_1596394;[35.60812562146549, 84.503798988813443, 28.486760304363663, 82.987787502285371];210.57705307;423.633164311;227.600785059;[3.5456923262747786, 21.125949747203361, 7.1216900760909159, 19.791673415849367];[3.5456923262747786, 21.125949747203361, 7.1216900760909159, 19.791673415849367];61723368.71;56016006.5957;19916856.5645;11068005.5068;0.000267489580786;0.000965769243123;0.000150097186522;0.00105973029016;0.000154115201883;5.12614267367e-05;0.00187519591545;0.000463861921297;746.282357047;2.7;1.7;2.24666747537;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Varenlaan_9_1596393;[50.453284031359203, 70.587148853944214, 58.480158066170695, 77.810953031065324];165.500999451;517.329514564;203.564320284;[9.0924443072440475, 14.431601813610895, 14.620039516542674, 19.452738257766331];[9.0924443072440475, 14.431601813610895, 14.620039516542674, 19.452738257766331];68585049.9133;44025238.9406;22740178.3371;9899135.529380001;0.000240728235116;0.0008691475934980001;0.000190977838906;0.00134835972164;0.000132134767898;5.73142727185e-05;0.00209661527079;0.000415445126544;861.188060421;2.7;1.7;2.19742289341;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Varenlaan_7_1596391;[40.846533661979251, 76.361095469529957, 56.991504984818917, 53.740295707000939];130.671710968;635.97626454;162.623162965;[5.0074407189890042, 19.090273867382489, 14.247876246204729, 13.410436292761066];[5.0074407189890042, 19.090273867382489, 14.247876246204729, 13.410436292761066];60751344.08199999;34760232.9729;22466613.3204;7908206.7435;0.000271769427828;0.000981221600655;0.000241881146101;0.00170775204439;0.000122924742203;7.17434143808e-05;0.00262444817032;0.000462329145429;864.04171134;2.7;1.7;2.05840870569;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Varenlaan_11_1597835;[32.418850586997465, 60.163564993259634, 37.994598397564062, 63.853520264403038];148.518989563;300.631408571;182.996302055;[5.6247632135088939, 15.040891248314908, 9.4986495993910154, 15.663033257422393];[5.6247632135088939, 15.040891248314908, 9.4986495993910154, 15.663033257422393];51820416.9193;39507821.8526;16002017.6866;8898932.744660001;0.00031860720161;0.00115032905225;0.000212814693292;0.00150253433724;0.000198608209746;6.37561570232e-05;0.00233226604965;0.000522140739386;679.29004683;2.7;1.7;2.34674058897;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Varenlaan_3_1596395;[33.737689899777422, 51.889267466953967, 36.602527429403331, 69.621537714427177];114.757411957;305.405702381;145.37438535;[4.1280840700755723, 12.16483881053288, 8.9734198424636347, 17.405384428606794];[4.1280840700755723, 12.16483881053288, 8.9734198424636347, 17.405384428606794];51132914.9593;30526839.7072;15904253.9453;7069415.41164;0.000322890999547;0.00116579567446;0.000275424677787;0.00194457924543;0.000198685372057;8.02558232006e-05;0.00293584087367;0.0005607534868840001;572.671687592;2.7;1.7;2.32818415313;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Varenlaan_5_1596392;[48.365183610196105, 39.894058445200223, 50.964475547921595, 61.132626341960233];118.957801819;455.628667554;158.020027278;[6.8500057982883042, 9.9645372348934362, 10.8279010441056, 7.9052386197879043];[6.8500057982883042, 9.9645372348934362, 10.8279010441056, 7.9052386197879043];53399787.8273;31644193.4871;18396125.6029;7684360.71802;0.000309183962946;0.00111630651558;0.000265699455846;0.0018759163177;0.000158538829326;7.38333056226e-05;0.00270089854968;0.000673133042049;703.890372125;2.7;1.7;2.13973603553;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Varenlaan_4_1599417;[44.84791617400365, 47.10984144897359, 18.845412496132855, 86.49022298872957];127.128234863;453.399670574;156.524555271;[11.211979043500913, 11.761811165432819, 4.7113531240332138, 17.529157854515464];[11.211979043500913, 11.761811165432819, 4.7113531240332138, 17.529157854515464];52583437.7101;33817626.084;18176818.8216;7611637.36426;0.000313983998383;0.00113363700964;0.000248623157915;0.00175535263107;0.000160027686423;7.45387261973e-05;0.00272670356262;0.000529220161834;748.777641495;2.7;1.7;2.1351423389;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
