BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
VeertienSeptemberlaan_62_1599449;[43.954233326669396, 39.208343257135276, 55.155912371602369, 53.64656151652904];280.354637146;539.5007255209999;214.940706263;[10.591320587718041, 7.6223801449837119, 12.947638102591753, 13.239564733988081];[10.591320587718041, 7.6223801449837119, 12.947638102591753, 13.239564733988081];51163306.1554;74577675.8414;18971792.2233;10452358.1496;0.000322699201079;0.00116510318745;0.00011273943436;0.0007959735705519999;0.000145270726602;5.42807417513e-05;0.001985645576;0.000538915154155;661.538335129;2.7;1.7;2.05581981894;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
VeertienSeptemberlaan_44_1599252;[41.366539485515283, 44.861778192079413, 62.688830394097025, 41.584948529414341];230.871334076;427.310278364;195.871660341;[8.8240587297912541, 6.7269400332577067, 15.672207598524256, 10.377827677123317];[8.8240587297912541, 6.7269400332577067, 15.672207598524256, 10.377827677123317];50773393.7385;61414527.2897;17414084.9535;9525048.93479;0.00032517735777;0.00117405055469;0.000136903194753;0.0009665768270589999;0.000168055632267;5.95652323985e-05;0.00217895769991;0.0005751856977740001;577.292448071;2.7;1.7;2.14581678992;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
VeertienSeptemberlaan_63_1597579;[80.031837802906963, 55.650814986464539, 73.15260222267635, 36.381869098285065];261.010116577;487.976630336;227.606118609;[20.007959450726741, 13.515513872828716, 16.132107375591826, 4.8518301520680263];[20.007959450726741, 13.515513872828716, 16.132107375591826, 4.8518301520680263];65356265.4481;69431802.7466;21604292.2678;11068264.8722;0.000252620891168;0.0009120859442219999;0.000121095012049;0.000854966406959;0.000139411140134;5.12602255151e-05;0.00187515197352;0.0004389920456319999;756.0104754930001;2.7;1.7;2.2025181717;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
VeertienSeptemberlaan_55_1597206;[55.081254926187441, 65.08234156496043, 71.065341910535423, 66.278844817347306];354.9317436219999;708.916245743;268.999547379;[12.896279357362452, 16.057501853420906, 17.765505377820102, 8.4306376946923773];[12.896279357362452, 16.057501853420906, 17.765505377820102, 8.4306376946923773];68632021.9115;94416075.265;25255995.8917;13081187.1802;0.000240563479861;0.0008685527458150001;8.90509901689e-05;0.00062872618626;0.000109761091856;4.3372344237e-05;0.00158660513244;0.00043387765446;997.894270884;2.7;1.7;2.06324147565;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
VeertienSeptemberlaan_45_1596428;[91.099145956832302, 22.31672933996666, 62.09070524934539, 21.677451327699124];218.192470551;393.741893202;190.612844447;[22.183204764085382, 5.5791823349916649, 14.963419601473888, 2.6249921792640509];[22.183204764085382, 5.5791823349916649, 14.963419601473888, 2.6249921792640509];52554290.3092;58041798.4358;17390095.7541;9269317.81653;0.000314158138637;0.0011342657418;0.000144858450579;0.00102274327334;0.000173057460275;6.12085770105e-05;0.00223907294251;0.00052762730498;599.2080775759999;2.7;1.7;2.20079515357;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
VeertienSeptemberlaan_16_1599239;[87.505301004452832, 73.211070510670098, 67.293000626834328, 73.493570808990796];372.73147583;581.510831745;336.91381427;[21.436743287576085, 9.5694375352540888, 13.628978990091646, 18.373392702247699];[21.436743287576085, 9.5694375352540888, 13.628978990091646, 18.373392702247699];80357790.8532;99151016.239;26321730.3133;16383792.1327;0.000205460576325;0.000741813960403;8.47983743297e-05;0.0005987014674650001;0.000115247554108;3.46294526207e-05;0.00126678113042;0.0003797630454359999;1084.13316807;2.7;1.7;2.21848207547;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
VeertienSeptemberlaan_58_4752619;[123.78623682838716, 56.734641739115027, 90.868291317045106, 53.054864221401139];234.497478485;594.55638457;269.400248066;[30.454856864121375, 7.2241040745661049, 22.467663228425344, 13.11253165653943];[30.454856864121375, 7.2241040745661049, 22.467663228425344, 13.11253165653943];86472143.79100001;62379124.9331;27916658.7526;13100672.8661;0.000190932678399;0.0006893610874979999;0.000134786196492;0.0009516301965869999;0.000109908881337;4.3307833056e-05;0.00158424524683;0.000326625655492;1064.02020711;2.7;1.7;2.2456909429;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
VeertienSeptemberlaan_7_1599223;[68.373015255512342, 41.97475166115877, 53.003076734434089, 36.163368542814126];108.513587952;412.7067018180001;132.206726165;[17.093253813878086, 10.493687915289692, 8.9299836348428165, 5.4371387632540236];[17.093253813878086, 10.493687915289692, 8.9299836348428165, 5.4371387632540236];53175339.4471;28865908.0835;17782697.7187;6429084.91221;0.000310489000965;0.00112101834613;0.000291272492307;0.00205646947781;0.000167843013316;8.82492238251e-05;0.00322824772139;0.0005703456933060001;568.477454251;2.7;1.7;2.18342857365;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
VeertienSeptemberlaan_21_1599238;[53.68112573864606, 61.847103194683115, 62.729371712699141, 61.735065802400534];86.2393836975;584.950201238;109.889420069;[12.594074577564598, 15.244306098556629, 15.668903004668294, 15.209862229889035];[12.594074577564598, 15.244306098556629, 15.668903004668294, 15.209862229889035];63963821.7393;22940704.201;22547730.679;5343815.95452;0.0002581202556690001;0.0009319413609319999;0.000366503352143;0.00258762147852;0.000127068635694;0.000106171649293;0.0038838685492;0.000407518441514;722.159227663;2.7;1.7;2.1102787997;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
VeertienSeptemberlaan_14_1599221;[37.014158161699839, 32.662000977570393, 57.067700169413072, 39.817938208508814];53.1285629272;379.076049226;76.34639653880001;[9.2535395404249599, 8.1655002443925984, 14.266925042353268, 9.9544845521272034];[9.2535395404249599, 8.1655002443925984, 14.266925042353268, 9.9544845521272034];44392727.8388;14132831.1322;15297123.2277;3712651.24194;0.000371915825513;0.00134279946253;0.000594915831907;0.004200280776570001;0.000190618955207;0.000152818489116;0.00559025811097;0.0005746412478330001;392.624656376;2.7;1.7;2.13938887159;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
VeertienSeptemberlaan_24_1599243;[27.182134414670539, 46.82940234106244, 39.815789748479197, 58.521536836934203];87.99213790889999;524.317414977;103.721319347;[6.7796747414361658, 11.639510875855489, 9.9335436342346082, 14.630384209233551];[6.7796747414361658, 11.639510875855489, 9.9335436342346082, 14.630384209233551];45935120.1637;23406957.7175;17555484.2714;5043867.19673;0.000359427774698;0.00129771144322;0.000359202810194;0.0025360775048;0.000153431125025;0.000112485466266;0.00411483449285;0.000556691171604;633.495220415;2.7;1.7;2.02871092666;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
