BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Vooruitgangstraat_1_1599406;[39.928840741339826, 33.387652833581285, 51.539835751736838, 33.385596507651542];171.246444702;366.584439872;169.178685542;[9.3188043758689467, 8.1515209348842852, 11.260367827385849, 4.153408971672178];[9.3188043758689467, 8.1515209348842852, 11.260367827385849, 4.153408971672178];42175281.7931;45553595.8742;14617264.478;8226995.4505;0.000391470010845;0.00141339971063;0.000184570390742;0.00130312125275;0.000198593176151;6.89634213148e-05;0.00252275315373;0.0007276561698949999;451.11516751;2.7;1.7;2.13166569178;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vooruitgangstraat_2_1597173;[48.554761151201433, 48.586540846129502, 47.905798137978266, 53.704448688946087];300.824977875;487.374183712;276.230401706;[12.124687550815917, 4.7324211351746612, 9.697431881847475, 13.426112172236522];[12.124687550815917, 4.7324211351746612, 9.697431881847475, 13.426112172236522];52972071.3034;80023030.5207;18711543.6708;13432816.6154;0.000311680431116;0.00112531999628;0.000105067815296;0.000741809683247;0.000152876922252;4.22369909194e-05;0.00154507273587;0.000598497476948;820.128311338;2.7;1.7;2.10780073189;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vooruitgangstraat_3_1599405;[49.86323158807253, 21.723483033305445, 38.255956642668473, 23.136856132216153];183.150680542;349.12288372;152.049431717;[4.9305737813210193, 3.9151283290757233, 8.4700476506826607, 3.150321694216704];[4.9305737813210193, 3.9151283290757233, 8.4700476506826607, 3.150321694216704];35442244.5953;48720264.5287;12820572.0849;7394016.44467;0.000465838386069;0.00168190620438;0.000172573878068;0.00121842234432;0.000219081996727;7.67325522811e-05;0.0028069559858;0.00116917014797;453.190141571;2.7;1.7;2.08089605007;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vooruitgangstraat_8_1597176;[45.385777196913978, 48.762394930954599, 62.484467521837082, 49.264334106127556];249.017051697;461.281129029;220.31500958;[11.291749470790311, 4.377841355363179, 15.011846820939077, 12.316083526531889];[11.291749470790311, 4.377841355363179, 15.011846820939077, 12.316083526531889];54876499.0234;66241504.5083;18814019.5898;10713705.3092;0.000300863909228;0.00108626702036;0.000126927144131;0.000896142975067;0.000155597839621;5.29566323727e-05;0.00193720828784;0.0005565046341869999;737.640919338;2.7;1.7;2.14635897894;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vooruitgangstraat_7_1599408;[82.096778837647719, 39.196554194131195, 102.01770228760969, 43.556040767133211];146.838813782;480.035639929;196.409983747;[18.865188164132164, 9.6283355968320734, 25.504425571902424, 5.2678985305861641];[18.865188164132164, 9.6283355968320734, 25.504425571902424, 5.2678985305861641];71126498.7197;39060875.0639;22844710.726;9551227.08009;0.000232126680184;0.000838091740141;0.000215249785788;0.00151972680658;0.000134855640966;5.94019751232e-05;0.00217298558022;0.0004037455069709999;684.012288623;2.7;1.7;2.25593179733;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vooruitgangstraat_22_1599267;[45.72426224146345, 19.086057421071175, 38.828124388797008, 26.38245621696872];79.8096084595;449.259334106;103.356922715;[11.431065560365862, 4.7715143552677937, 9.7070310971992519, 6.5943998569106483];[11.431065560365862, 4.7715143552677937, 9.7070310971992519, 6.5943998569106483];34653699.2576;21230307.3326;13946347.0798;5026146.94178;0.00047643854407;0.00172017800001;0.0003960303003859999;0.0027960904189;0.000185780450318;0.000112882046621;0.00412934181171;0.0007361651424360002;488.293238698;2.7;1.7;1.98941168363;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vooruitgangstraat_26_4753879;[85.147144434174379, 48.337430409588904, 82.772897870314338, 38.474137091746151];110.614086151;490.169506534;137.929029455;[21.286786108543595, 5.9510838834252846, 20.693224467578585, 9.6185342729365377];[21.286786108543595, 5.9510838834252846, 20.693224467578585, 9.6185342729365377];67892104.8801;29424665.6465;22223698.9462;6707354.97316;0.000243185242969;0.000878018603008;0.000285741394353;0.00201741829919;0.000136570485326;8.45880016308e-05;0.00309431643346;0.000415785823796;660.979848967;2.7;1.7;2.21968065416;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vooruitgangstraat_14_1599270;[62.24471052497465, 48.496868133961009, 54.857419938979717, 56.911080943745183];151.62594223;499.377267042;174.986872608;[14.739583488367263, 11.50345503764601, 8.1595033845078486, 12.331172914973608];[14.739583488367263, 11.50345503764601, 8.1595033845078486, 12.331172914973608];59304291.5586;40334308.3029;20343522.4435;8509441.95617;0.000278400729307;0.00100516386783;0.000208453927784;0.00147174604997;0.000143836435937;6.66743784528e-05;0.00243901760249;0.000512014075513;772.437540653;2.7;1.7;2.14557510769;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vooruitgangstraat_11_1599411;[11.59943232680728, 56.461125834261622, 34.738559192328324, 78.710813321883265];74.8575057983;351.0509157830001;89.55963191209999;[0.0095641198149502595, 14.020119660218919, 8.6846397980820811, 19.677703330470816];[0.0095641198149502595, 14.020119660218919, 8.6846397980820811, 19.677703330470816];48376765.0963;19912988.9862;15858831.2498;4355198.06724;0.000341286937811;0.0012322140797;0.000422229178956;0.00298106220839;0.00019116221231;0.000130272319341;0.00476549594256;0.000564453307299;447.997984796;2.7;1.7;2.21704730714;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vooruitgangstraat_9_1597585;[25.947240797590812, 91.184367779630875, 38.959504343295201, 33.263050102108743];63.8076858521;373.731253477;82.74197012890001;[6.2131262075823095, 19.829705663883832, 9.471056007395104, 8.3157625255271856];[6.2131262075823095, 19.829705663883832, 9.471056007395104, 8.3157625255271856];50467441.8115;16973605.1456;16642359.0264;4023661.78479;0.000327148700792;0.00118116807475;0.0004953482137749999;0.00349730410326;0.000181319427069;0.000141006323034;0.00515815688011;0.00054593909764;410.949532376;2.7;1.7;2.20665862504;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vooruitgangstraat_15_1599265;[26.282260344111805, 65.555652530204938, 42.998601937941885, 42.602568558305535];78.4126930237;440.015377316;118.016389274;[2.7966701498587669, 16.388913132551234, 10.488701434299513, 10.21947488017404];[2.7966701498587669, 16.388913132551234, 10.488701434299513, 10.21947488017404];47291786.3127;20858711.1728;16769180.5118;5739022.58744;0.000349116819394;0.00126048381188;0.0004030855463969999;0.00284590253115;0.000170081739482;9.88603450785e-05;0.00361641349241;0.0005998010724850001;534.791020046;2.7;1.7;2.10325655083;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vooruitgangstraat_12_1599410;[45.410457389064391, 45.717450760472865, 60.934074525242096, 42.684506992491364];50.42273330689999;363.031691694;79.383047639;[11.145031168377916, 6.7414580062841463, 15.233518631310524, 10.400236534669462];[11.145031168377916, 6.7414580062841463, 15.233518631310524, 10.400236534669462];51904626.6445;13413048.1945;16837292.9826;3860320.64075;0.00031809029538;0.00114846276596;0.000626840735101;0.0044256799843;0.00018154674941;0.000146972701547;0.00537641316614;0.0005498204376880001;387.847118473;2.7;1.7;2.23644487278;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vooruitgangstraat_16_1599269;[21.390718287892479, 16.209099276040845, 23.409217499335568, 44.844050922577551];64.2248954773;263.171338549;77.4104580817;[5.3469041468175114, 4.0273089914038058, 3.1730399238465203, 11.211012730644388];[5.3469041468175114, 4.0273089914038058, 3.1730399238465203, 11.211012730644388];28212395.0817;17084587.8799;10012659.4508;3764395.52311;0.000585216461528;0.0021129199031;0.000492130395496;0.00347458535964;0.000284658914522;0.000150717890807;0.005513416056060001;0.00100715767727;401.813763378;2.7;1.7;2.10222117868;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vooruitgangstraat_17_1599264;[42.344184319319389, 61.001316954763396, 26.020473949477182, 106.65665074353468];100.377845764;425.354519888;116.872807344;[8.1941879730640359, 15.250329238690849, 6.5051184873692955, 26.664162685883671];[8.1941879730640359, 15.250329238690849, 6.5051184873692955, 26.664162685883671];62905710.4003;26701703.6681;20214797.7333;5683411.30699;0.000262461991382;0.0009476171670710001;0.000314880469602;0.00222314874215;0.000152337918755;9.98276779142e-05;0.00365179952628;0.000422658794751;595.915920074;2.7;1.7;2.25488449031;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vooruitgangstraat_28_1599273;[42.249975297492789, 40.373304180495239, 75.888019525557311, 32.1762074228727];80.0340995789;409.725485552;96.5368190282;[9.890978048530954, 4.3665232991268548, 18.3419852662906, 8.044051855718175];[9.890978048530954, 4.3665232991268548, 18.3419852662906, 8.044051855718175];50822809.9194;21290024.6467;17195698.7059;4694491.91195;0.000324861180386;0.00117290899847;0.000394919457809;0.00278824754354;0.000171998354291;0.000120856902951;0.004421070289979999;0.000588736135992;529.968526856;2.7;1.7;2.16540308853;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vooruitgangstraat_5_1599407;[70.964978991232613, 18.565321410572999, 43.865953854307932, 23.528102469462112];170.001636505;361.324777868;139.728836092;[17.082884044887059, 3.6520374933022479, 10.962912414927136, 3.7851707822600278];[17.082884044887059, 3.6520374933022479, 10.962912414927136, 3.7851707822600278];41824117.9144;45222462.0533;14466697.3559;6794877.82487;0.000394756873408;0.00142526690471;0.000185921876175;0.00131266313747;0.00020097013034;8.34984481003e-05;0.003054459440389999;0.0006743600202439999;410.017217522;2.7;1.7;2.13430278336;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vooruitgangstraat_10_1599409;[70.609864176139524, 44.548061748766187, 47.948679430362525, 46.077547734890871];255.276412964;505.006464492;212.651111356;[17.652466044034881, 7.0807997278132007, 11.94241666456155, 11.519386933722718];[17.652466044034881, 7.0807997278132007, 11.94241666456155, 11.519386933722718];55752611.4316;67906569.2289;19589778.0462;10341017.3691;0.000296136048106;0.00106919711116;0.000123814898701;0.0008741696068160002;0.000146620696898;5.48651774924e-05;0.00200702483882;0.0004964889584019999;697.8136138980001;2.7;1.7;2.11422074329;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vooruitgangstraat_20_1599266;[29.190717444057654, 59.889739310038976, 28.757391205856575, 30.232185991658646];106.749099731;323.661968156;121.616238699;[7.2976793610144135, 14.397015026343309, 3.6348713944510918, 7.5333492267252016];[7.2976793610144135, 14.397015026343309, 3.6348713944510918, 7.5333492267252016];39464227.7898;28396533.1809;13424570.5409;5914079.774780001;0.00041836262726;0.00151049531235;0.000296087023604;0.00209046148503;0.000219394541663;9.593407174299999e-05;0.00350936739254;0.0007281252982410001;560.5968228080001;2.7;1.7;2.15748357397;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vooruitgangstraat_24_1599271;[64.537476034280871, 49.562107644624582, 63.738985444610435, 48.043067919402461];127.453857422;590.356795734;156.678728578;[16.134369008570218, 6.004987171011801, 15.934746361152609, 12.010766979850615];[16.134369008570218, 6.004987171011801, 15.934746361152609, 12.010766979850615];60202892.7792;33904245.5667;21742362.0539;7619134.66269;0.00027424526063;0.000990160577511;0.000247987968754;0.00175086800874;0.000129342639982;7.44653794067e-05;0.00272402046129;0.000477755458299;820.411190605;2.7;1.7;2.08261884792;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vooruitgangstraat_6_1597177;[53.786030798436045, 51.732593087516136, 0.29115476082812286, 53.824209120227422];98.7154922485;432.596939427;134.825432989;[12.827381408086453, 4.0891251510984832, 0.0, 13.456052280056856];[12.827381408086453, 4.0891251510984832, 0.0, 13.456052280056856];42546299.8022;26259497.8146;15566794.6868;6556430.086080001;0.000388056261007;0.00140107439094;0.000320183007671;0.00226058622073;0.000178864465989;8.65351640999e-05;0.00316554564695;0.000787826930168;671.36299289;2.7;1.7;2.06901321581;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
