BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Weststraat_19_2983607;[57.773097954845255, 38.867342593778346, 71.143082801651758, 28.425554286414819];289.89509201;553.678819458;228.418975822;[11.470323841410266, 9.7168356484445866, 17.024452505731421, 4.9560968415388231];[11.470323841410266, 9.7168356484445866, 17.024452505731421, 4.9560968415388231];52294441.5398;77115550.5758;19420656.0387;11107793.3303;0.000315719176547;0.00113990185815;0.000109029176702;0.0007697780600639998;0.000141749241572;5.10778096545e-05;0.001868479013;0.0005543106279269999;580.797933994;2.7;1.7;2.05437345757;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Weststraat_44_1599501;[64.635152305488006, 48.282811350180523, 54.602161942051417, 43.032273170156387];266.292591095;534.483932581;225.928658997;[15.964626008614966, 11.066665601101057, 6.4932534778514919, 9.9203209506128562];[15.964626008614966, 11.066665601101057, 6.4932534778514919, 9.9203209506128562];56117281.8356;70837003.9455;20060134.7783;10986691.6376;0.0002942116489049999;0.00106224908143;0.000118692837386;0.0008380063472000001;0.000141297187016;5.16408189218e-05;0.00188907447328;0.000550774394623;714.661150112;2.7;1.7;2.09393588082;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Weststraat_34_1596192;[41.655663123221281, 39.745786942720407, 67.146893704783054, 37.845814524645562];228.735309601;446.337166718;189.564317433;[10.337209007625836, 4.9788999324936238, 16.786723426195763, 9.4614536311613904];[10.337209007625836, 4.9788999324936238, 16.786723426195763, 9.4614536311613904];49678529.3104;60846319.3138;17407803.3573;9218328.96444;0.000332343937112;0.00119992543881;0.000138181653139;0.0009756031193410001;0.000165348051488;6.1547136753e-05;0.00225145780743;0.0005756942340619999;522.899544568;2.7;1.7;2.11760841847;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Weststraat_13_1597761;[55.408292327250024, 44.402340521228929, 40.809744310154827, 39.404315943674945];272.998325348;523.709873766;215.735068765;[13.040372771659168, 11.100585130307232, 7.2109725885835951, 6.4548758519747986];[13.040372771659168, 11.100585130307232, 7.2109725885835951, 6.4548758519747986];47980913.5365;72620809.2019;18024049.3471;10490987.2278;0.000344102619229;0.00124238007758;0.00011577735201;0.0008174221628119998;0.000151407440525;5.40808735238e-05;0.00197833418989;0.000632910370024;536.174871758;2.7;1.7;2.04374890015;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Weststraat_17_1596200;[55.211930270219867, 38.366500193066599, 27.208572220932307, 35.012029737555444];176.991950989;433.105245801;148.475352966;[13.409226557026461, 9.4597406901888448, 6.5489095674128617, 3.5083278582240482];[13.409226557026461, 9.4597406901888448, 6.5489095674128617, 3.5083278582240482];41524191.9032;47081969.0438;15335362.1288;7220212.46029;0.000397608171627;0.0014355614968;0.00017857887342;0.00126081937796;0.000180273556677;7.85796479714e-05;0.0028745246532;0.000726725719815;471.947793549;2.7;1.7;2.05972557232;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Weststraat_46_1595974;[41.977808678950225, 73.191485192674577, 47.129336029627837, 51.168734350288041];201.692642212;446.646883905;166.603651176;[10.494452169737556, 18.297871298168644, 5.197839573943619, 12.79218358757201];[10.494452169737556, 18.297871298168644, 5.197839573943619, 12.79218358757201];56894190.2942;53652647.3883;19092718.0203;8101774.02592;0.000290194094257;0.00104774372873;0.000156708855937;0.00110641062114;0.000155902312023;7.00293234041e-05;0.00256174495266;0.000511481819867;561.124705871;2.7;1.7;2.17793317707;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Weststraat_48_1595975;[62.362442795118596, 85.89432025591131, 63.538663580042893, 105.18850961814064];341.519580841;558.284000336;305.3198955;[15.366602404076987, 20.957017843714002, 10.102684241989461, 25.889871628003768];[15.366602404076987, 20.957017843714002, 10.102684241989461, 25.889871628003768];84483848.163;90848280.0668;26979314.6842;14847410.4949;0.000195426207257;0.000705584941717;9.25482021677e-05;0.0006534175317280001;0.000114707738867;3.82128421386e-05;0.00139786521869;0.000330884749115;866.587320681;2.7;1.7;2.26778259104;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Weststraat_16_1597756;[49.456844665730181, 37.825839209644407, 36.445405406095681, 36.301003848936958];68.2922286987;433.198007925;96.98333567520001;[12.364211166432545, 9.4564598024111017, 9.1113513515239202, 9.0752509622342394];[12.364211166432545, 9.4564598024111017, 9.1113513515239202, 9.0752509622342394];42651604.891;18166547.0071;15599182.792;4716205.58357;0.0003870981657819999;0.00139761519489;0.000462820203911;0.00326764678503;0.000178546819322;0.000120300471079;0.00440071543759;0.000598099241172;448.907756416;2.7;1.7;2.06941327107;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Weststraat_29_1597759;[45.666304638310109, 53.666790161687558, 54.195541756595873, 41.014552938816095];115.088359833;456.929450482;138.080852848;[11.334281182139001, 13.1787295935599, 10.275702921617279, 6.0071609179196868];[11.334281182139001, 13.1787295935599, 10.275702921617279, 6.0071609179196868];51850442.2557;30614875.7877;18052220.9972;6714737.99753;0.00031842270389;0.00114966292453;0.00027463266709;0.00193898741692;0.000160241422787;8.44949949821e-05;0.00309091415422;0.0005865377324880001;647.870120113;2.7;1.7;2.12576198424;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Weststraat_2_1597753;[54.527375678257236, 58.887402509306739, 41.421484496076076, 40.816016261835642];72.66168594359999;457.848751113;99.37186157709999;[13.631843919564309, 14.721850627326685, 10.355371124019019, 9.8184684886028375];[13.631843919564309, 14.721850627326685, 10.355371124019019, 9.8184684886028375];52146041.2876;19328874.7265;18133097.9447;4832357.28239;0.000316617668633;0.00114314585748;0.000434988850058;0.00307114923982;0.000159676721507;0.000117408900099;0.0042949387857;0.000493087485406;534.928461269;2.7;1.7;2.12732950231;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
