BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Wielewaalstraat_3_1597551;[6.5598972203265467, 46.321406239985365, 6.4688688472478413, 44.546516338931539];95.4069976807;294.710684008;109.191043536;[1.5905166443353487, 11.580351559996341, 1.6098628410937996, 11.135943268143484];[1.5905166443353487, 11.580351559996341, 1.6098628410937996, 11.135943268143484];27690968.1043;25379398.816;10303592.1517;5309854.58086;0.000596236215316;0.00215270664636;0.000331286215689;0.00233897813551;0.000266780800592;0.000106850714039;0.00390870943873;0.000923278947837;606.407414791;2.7;1.7;2.05253791018;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Wielewaalstraat_16_1597728;[5.0822848142988439, 33.11002689717818, 52.250873125383315, 34.751065769354831];86.3489189148;297.892088436;99.27226076040002;[0.93757595768827184, 8.277506724294545, 13.062718281345829, 8.6877664423387078];[0.93757595768827184, 8.277506724294545, 13.062718281345829, 8.6877664423387078];33367280.9551;22969841.8747;11667399.2329;4827513.79124;0.000494806815189;0.00178649651322;0.000366038435792;0.00258433903232;0.000247104937321;0.00011752669758;0.00429924793921;0.000772739587755;543.6557647559999;2.7;1.7;2.12026712177;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Wielewaalstraat_18_1597746;[30.091938198294773, 3.4563332958990234, 33.53577502296276, 46.746983991948206];74.3289871216;262.489004752;85.45433211390001;[7.5229845495736933, 0.86163466412277279, 8.38394375574069, 11.686745997987051];[7.5229845495736933, 0.86163466412277279, 8.38394375574069, 11.686745997987051];30338709.3099;19772396.7173;10499045.0312;4155561.31835;0.000544201068421;0.00196483411582;0.000425231453245;0.00300225914804;0.000276814178383;0.00013653071389;0.00499443447672;0.000840908802609;458.357089874;2.7;1.7;2.13366018556;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Wielewaalstraat_12_1596155;[32.798238556709073, 40.798729155652623, 9.485285621998333, 41.797631163613161];121.475791931;336.187272804;137.31086703;[8.1365308995518593, 10.199682288913156, 2.3632855856352299, 7.3932894810820216];[8.1365308995518593, 10.199682288913156, 2.3632855856352299, 7.3932894810820216];33283494.8211;32314008.8762;12148590.9131;6677294.333740001;0.00049605241606;0.00179099374637;0.00026019195026;0.00183703170815;0.00022961120228;8.49688099775e-05;0.00310824679595;0.0008517602302170001;697.359916268;2.7;1.7;2.07145928654;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Wielewaalstraat_2224_1595819;[35.527072052487796, 40.859834701856734, 35.442231888544761, 20.587240437620707];66.7415313721;265.899441825;76.909462514;[8.881768013121949, 10.214958675464183, 8.8602435091479066, 5.1170222754317045];[8.881768013121949, 10.214958675464183, 8.8602435091479066, 5.1170222754317045];35292152.0153;17754043.031;11697534.8975;3740032.5944;0.000467819531486;0.00168905911592;0.000473573539026;0.0033435684942;0.000256940508661;0.00015169968151;0.00554933097363;0.000723478419217;429.006291327;2.7;1.7;2.19799419725;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Wielewaalstraat_10_1596154;[47.6579123169479, 33.260692104319617, 23.673262100504768, 33.892440238440876];84.2172966003;306.918899961;96.7332468901;[11.914478079236975, 8.3149548398622048, 5.9183155251261921, 8.4731100596102191];[11.914478079236975, 8.3149548398622048, 5.9183155251261921, 8.4731100596102191];36909400.7845;22402804.9261;12610534.9091;4704044.00843;0.0004473212154630001;0.00161505009063;0.000375303227339;0.00264975118602;0.000232763970334;0.000120611489261;0.004412092803829999;0.000691153276543;519.749686164;2.7;1.7;2.15120814253;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Wielewaalstraat_36_1597748;[43.670918038213763, 5.8895729447975782, 43.141783314983002, 5.8408915404496451];103.962478638;306.468123114;119.495777805;[10.916970512257999, 1.472284289959398, 10.785383869551495, 1.4593256012105082];[10.916970512257999, 1.472284289959398, 10.785383869551495, 1.4593256012105082];26264125.4276;27655258.7481;10124994.5726;5810963.8174;0.000628627748007;0.00226965604647;0.00030402337099;0.00214649443217;0.000264294104914;9.76364285231e-05;0.00357164136117;0.0009713548142919999;642.367136255;2.7;1.7;2.02154458623;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Wielewaalstraat_52_1597731;[42.672262529592714, 3.8367015819084518, 41.856866173235396, 3.7295906197090423];103.631622314;299.358665533;119.124790516;[10.667129646338106, 0.95385019367577284, 10.464216543308849, 0.91835551372180202];[10.667129646338106, 0.95385019367577284, 10.464216543308849, 0.91835551372180202];24545646.2187;27567247.0217;9631764.80448;5792923.065219999;0.00067263896309;0.00242855822784;0.000304994001889;0.00215334737184;0.000274143488156;9.79404951559e-05;0.003582764432530001;0.0010402010915;653.255712226;2.7;1.7;2.00764240861;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Wielewaalstraat_1_1595267;[44.706948810824386, 34.223911849434046, 3.6630169189957815, 32.608850804368373];66.6683959961;248.539520376;76.3357472867;[11.176737202706096, 8.5559779623585115, 0.91575422974894538, 8.1519133831229489];[11.176737202706096, 8.5559779623585115, 0.91575422974894538, 8.1519133831229489];30704299.8074;17734588.1491;10401835.3566;3712133.37914;0.0005377213655580001;0.00194143919438;0.000474093050233;0.00334723639613;0.000284057429462;0.000152839808127;0.005591037982399999;0.000830833394687;426.0411520869999;2.7;1.7;2.16351875231;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Wielewaalstraat_42_1596156;[32.558465431914961, 41.615799596263955, 0.51906556876902421, 41.624815258938121];88.4839363098;293.286018476;101.803583262;[7.7916813830563569, 10.403949899065989, 0.0, 10.40620381473453];[7.7916813830563569, 10.403949899065989, 0.0, 10.40620381473453];31001585.4095;23537781.9553;11056112.3343;4950609.55026;0.0005325649576569999;0.00192282202005;0.0003572063419649999;0.00252198185181;0.000256831547865;0.000114604423485;0.004192348135670001;0.0008366008583239998;526.074957348;2.7;1.7;2.09660310594;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
