BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Wildekerslaan_48_1595811;[78.283427783282349, 42.63190408492764, 53.53744983423011, 40.327931264297419];274.703807831;473.645245437;236.940530054;[19.570856945820587, 5.787407059781926, 13.384362458557527, 10.081982816074355];[19.570856945820587, 5.787407059781926, 13.384362458557527, 10.081982816074355];57244229.3364;73074487.875;19527221.7168;11522188.2506;0.000288419605126;0.00104133694825;0.000115058555109;0.0008123472452460001;0.000150502373187;4.92407988023e-05;0.00180127925939;0.000490087276568;651.087929614;2.7;1.7;2.15346325132;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Wildekerslaan_26_1597267;[20.074239331142756, 109.36234949784526, 33.6775645881388, 84.150647298346485];266.065853119;579.079436946;212.8134172;[5.0185598327856891, 27.340587374461315, 2.845859458374683, 20.167926995927935];[5.0185598327856891, 27.340587374461315, 2.845859458374683, 20.167926995927935];65902020.5468;70776688.9407;22922460.9068;10348910.1449;0.000250528859115;0.0009045326772610001;0.00011879398593;0.000838720485677;0.000126289085544;5.48233336131e-05;0.00200549414652;0.000432130252262;683.416957915;2.7;1.7;2.12699634098;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Wildekerslaan_42_1596112;[36.435711095571406, 39.389585320903379, 35.69467456366457, 46.380544198621692];150.897037506;269.664888958;180.355716221;[9.1089277738928516, 9.8197265970954462, 4.5166772272944673, 11.230162499726543];[9.1089277738928516, 9.8197265970954462, 4.5166772272944673, 11.230162499726543];42084287.6364;40140410.9564;13329053.3609;8770523.61573;0.000392316442745;0.00141645574703;0.000209460859764;0.00147885528595;0.000233695197103;6.46896101381e-05;0.00236641272834;0.0006900642777869999;489.19930948;2.7;1.7;2.28554347134;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Wildekerslaan_39_1596130;[49.10480646021405, 67.529585380246985, 50.610346252443954, 57.017222629077864];244.793888092;457.170713163;262.159201447;[5.6685587030248961, 16.882396345061746, 12.635937798742431, 13.496629844719564];[5.6685587030248961, 16.882396345061746, 12.635937798742431, 13.496629844719564];59771210.0574;65118092.6413;19900506.7206;12748547.7896;0.000276225928923;0.000997311766398;0.000129116880565;0.000911603158434;0.000150498842147;4.45040300097e-05;0.00162800336642;0.000491507567011;854.093855208;2.7;1.7;2.19054314781;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Wildekerslaan_2_1596093;[40.762895807756124, 73.049386769390765, 46.318403670448916, 55.075343477384997];205.366298676;399.297780824;185.578503449;[10.190723951939031, 18.262346692347691, 5.5776208982966669, 12.478107444008762];[10.190723951939031, 18.262346692347691, 5.5776208982966669, 12.478107444008762];57357586.48899999;54629883.8046;18581688.8266;9024502.69485;0.0002878495946499999;0.00103927892945;0.000153905598999;0.00108661880255;0.000164674090814;6.28690325209e-05;0.00229981411943;0.0005144901677330001;563.589444802;2.7;1.7;2.23896124662;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Wildekerslaan_16_4753878;[33.755632897410663, 77.963481383688858, 36.129699293409764, 58.103163074713052];209.621788025;403.686351649;182.217505235;[8.4389082243526659, 19.490870345922215, 4.5546018708607257, 14.369424012022549];[8.4389082243526659, 19.490870345922215, 4.5546018708607257, 14.369424012022549];54891158.6183;55761894.7051;18064483.5614;8861060.61036;0.000300783558528;0.00108597691473;0.000150781192689;0.0010645595749;0.000167310633418;6.40286505596e-05;0.00234223414455;0.0005107017470819999;564.612751569;2.7;1.7;2.21017820099;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Wildekerslaan_74_1598924;[59.75791529930958, 59.010391732203068, 58.807164826756399, 51.094075442545886];225.108783722;464.597846251;191.048393163;[14.939478824827395, 14.752597933050767, 7.6740596489896751, 12.529014310657754];[14.939478824827395, 14.752597933050767, 7.6740596489896751, 12.529014310657754];60945937.9622;59881620.195;20271258.6808;9290498.12833;0.000270901697028;0.000978088664729;0.000140407773919;0.000991320186891;0.000147862325523;6.10690347892e-05;0.00223396834398;0.0004795720515430001;619.123588252;2.7;1.7;2.19218813463;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Wildekerslaan_66_1596204;[38.264622581475621, 36.726269605839832, 41.143935157537165, 67.999431531393526];261.272815704;473.662792812;215.971206304;[9.5661556453689052, 9.181567401459958, 5.7116481351923287, 16.999857882848382];[9.5661556453689052, 9.181567401459958, 5.7116481351923287, 16.999857882848382];49076211.7241;69501683.8463;17624777.2012;10502470.3674;0.000336422829736;0.00121465225183;0.000120973255969;0.000854106773215;0.000160248886861;5.40217428433e-05;0.00197617112855;0.0005771530327840001;571.896203244;2.7;1.7;2.08874545704;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Wildekerslaan_54_1598956;[49.706589086095491, 73.617492245057619, 49.414822058917039, 50.347425467860944];198.164165497;342.330789918;228.015796745;[12.426647271523873, 18.404373061264405, 6.2779699653099064, 12.272621183035298];[12.426647271523873, 18.404373061264405, 6.2779699653099064, 12.272621183035298];59457875.8706;52714030.516;18326350.0949;11088187.1227;0.000277681598597;0.00100256745148;0.00015949918661;0.00112611117651;0.000173675143976;5.11681257836e-05;0.00187178287025;0.000484559314165;630.0771142240001;2.7;1.7;2.3516688987;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Wildekerslaan_31_1596132;[40.138669596613283, 71.402178153809643, 46.466090120862802, 51.321470379294787];94.3797492981;445.064721117;118.601447689;[6.8393837319985247, 17.850544538452411, 11.6165225302157, 12.006563888198206];[6.8393837319985247, 17.850544538452411, 11.6165225302157, 12.006563888198206];55791058.9038;25106138.4994;18815058.1382;5767473.41092;0.000295931970917;0.00106846029191;0.000334892002225;0.00236443604915;0.00015759594216;9.83726691021e-05;0.00359857380169;0.000495276892692;554.08759874;2.7;1.7;2.17033251192;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
