BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Wilderozentuin_12_1597550;[87.051413769518732, 66.771999131927601, 43.993392934263184, 74.49942676057023];371.566871643;671.923898612;291.220585632;[21.727547616252298, 16.6929997829819, 9.1649837714991058, 18.217671684684277];[21.727547616252298, 16.6929997829819, 9.1649837714991058, 18.217671684684277];72578830.0795;98841217.641;25691658.7343;14161774.726;0.00022748173266;0.000821321189895;8.506415836300001e-05;0.0006005779809249999;0.000111160525556;4.00628992047e-05;0.00146554221629;0.000363634576333;977.197837122;2.7;1.7;2.10527838518;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Wilderozentuin_6_1595792;[64.596431926571313, 77.719947112644306, 25.95441298227086, 68.025493147072311];297.890796661;583.2092948119999;248.223858776;[16.149107981642828, 19.415254279759267, 1.9621827707205122, 16.862797118258193];[16.149107981642828, 19.415254279759267, 1.9621827707205122, 16.862797118258193];62978647.1639;79242503.3369;22295482.8855;12070885.5865;0.000262158029181;0.0009465197136889999;0.000106102718064;0.0007491164012150001;0.00012808373044;4.70024961582e-05;0.00171939983771;0.000439945012122;821.762693996;2.7;1.7;2.10516549937;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Wilderozentuin_9_1595291;[43.413715804412334, 57.020114488101939, 60.809970132648481, 36.627798037342927];125.396949768;418.423554639;164.978392907;[10.813183421318744, 14.038368969049968, 9.6222321522668253, 0.33201194528833167];[10.813183421318744, 14.038368969049968, 9.6222321522668253, 0.33201194528833167];52737543.3534;33357083.6085;17755449.9955;8022739.29205;0.000313066498193;0.00113032438168;0.000252055757898;0.00177958779669;0.00016721965907;7.07192060909e-05;0.00258698157362;0.0006874808855460001;694.095556337;2.7;1.7;2.17289784781;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Wilderozentuin_22_1595224;[38.03569473971433, 53.703520422106024, 42.326550878704005, 59.500556186788081];106.819606781;368.789848228;130.52416;[5.5092712853791319, 13.398936308424592, 10.581637719676001, 13.905520889765896];[5.5092712853791319, 13.398936308424592, 10.581637719676001, 13.905520889765896];51590083.6175;28415288.8967;16839289.6127;6347263.35092;0.00032002968135;0.00115546490531;0.000295891589235;0.00208908166089;0.000180643511429;8.9386830519e-05;0.00326986254879;0.000551402646992;582.424491525;2.7;1.7;2.2248689007;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Wilderozentuin_4_1598933;[51.58560615112502, 61.647301394276482, 53.023050825267227, 54.394902477931936];98.64616775510001;516.166516366;119.618764458;[12.896401537781255, 15.411825348569121, 10.120358880882277, 13.598725619482984];[12.896401537781255, 15.411825348569121, 10.120358880882277, 13.598725619482984];58808765.0293;26241056.6728;20447595.5842;5816944.53909;0.000280746552197;0.00101363344482;0.000320408019198;0.0022621748683;0.000141615382797;9.75360431228e-05;0.00356796915958;0.0004599184381030001;642.868956884;2.7;1.7;2.12747999696;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Wilderozentuin_17_1596340;[77.144645747165242, 103.19102277751364, 77.030309990495027, 132.26402997438046];168.067035675;827.806812078;208.465091371;[13.391302547247356, 23.881551653354457, 18.630807635423722, 32.799751048435169];[13.391302547247356, 23.881551653354457, 18.630807635423722, 32.799751048435169];103845774.857;44707835.1683;35013163.5047;10137455.2758;0.00015898921303;0.0005740294312819999;0.000188062002075;0.00132777305587;8.47024493367e-05;5.59668810341e-05;0.00204732629184;0.000269756472875;1074.08586089;2.7;1.7;2.17067746098;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Wilderozentuin_1_1596040;[40.925507830144575, 39.757419932549119, 61.232378744619666, 54.108879560382519];85.361869812;537.471665316;111.377382126;[10.231376957536144, 9.9393549831372798, 15.308094686154917, 13.52721989009563];[10.231376957536144, 9.9393549831372798, 15.308094686154917, 13.52721989009563];52245163.4867;22707275.0459;19197255.8989;5416174.10669;0.000316016965381;0.00114097702263;0.000370270980257;0.00261422204131;0.000144565960264;0.000104753233968;0.00383198145215;0.000488272804936;657.170392376;2.7;1.7;2.06471538635;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Wilderozentuin_13_1599602;[57.312015523439712, 67.608434962070561, 62.939855346726162, 52.890114312040595];164.018707275;540.46065574;202.006737719;[14.010938233585861, 16.112247989743203, 14.201315524703062, 7.669946003199744];[14.010938233585861, 16.112247989743203, 14.201315524703062, 7.669946003199744];64165781.3368;43630931.5503;22013108.5035;9823391.79939;0.000257307831012;0.00092900810744;0.000192703769813;0.00136054530155;0.000132918154146;5.775619714600001e-05;0.00211278132261;0.0004602091343709999;904.380730077;2.7;1.7;2.14545410954;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Wilderozentuin_21_1596345;[55.921074525216966, 88.645328917657395, 51.007589977158055, 25.142338344507266];181.530166626;518.101311013;206.317789217;[5.0854132342982901, 21.241134730751913, 12.751897494289514, 4.4999230827822227];[5.0854132342982901, 21.241134730751913, 12.751897494289514, 4.4999230827822227];58826214.6042;48289188.5074;20476956.349;10033034.054;0.000280663274563;0.00101333277151;0.000174114439486;0.00122929916111;0.000141287834226;5.65493698472e-05;0.00206863433402;0.0005490870950930001;925.461659244;2.7;1.7;2.12600998506;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Wilderozentuin_15_1597824;[67.645263540806639, 110.21926599564931, 69.656164381358565, 65.763318499483645];124.122917175;809.7756811180001;162.791540719;[16.680874778686309, 27.500774101064138, 17.205297458453121, 15.926798727013674];[16.680874778686309, 27.500774101064138, 17.205297458453121, 15.926798727013674];83497729.4122;33018175.7499;30037478.2182;7916394.79044;0.000197734215495;0.0007139179891679999;0.000254642929212;0.00179785398723;9.39052537388e-05;7.16692090816e-05;0.00262173366386;0.000309496322698;889.18199677;2.7;1.7;2.08687752636;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
