BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Zwaluwstraat_2_1596403;[43.161647124357671, 43.953538807725174, 59.35657951716459, 34.296381521598541];244.930141449;482.23753784;199.168944748;[10.012901959040706, 10.306083592336059, 14.354869502429208, 4.8826885799510498];[10.012901959040706, 10.306083592336059, 14.354869502429208, 4.8826885799510498];48179061.8859;65154337.6587;17527917.9351;9685392.678580001;0.000342687411806;0.00123727048117;0.00012904505352;0.0009110960383639999;0.000159543545351;5.85791172579e-05;0.00214288458994;0.0006049143224750001;573.8883150730001;2.7;1.7;2.07485291539;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Zwaluwstraat_5_1597347;[37.61083797086431, 33.281094716021414, 35.998690663006379, 47.257111111476988];69.270450592;271.00749856;98.3126255436;[6.7099760790819678, 8.3202736790053535, 8.9996726657515946, 11.814277777869247];[6.7099760790819678, 8.3202736790053535, 8.9996726657515946, 11.814277777869247];41084081.2534;18426765.693;13113591.29;4780847.66106;0.0004018675242869999;0.00145093985951;0.000456284359951;0.00322150180406;0.00023608425448;0.000118673882464;0.004341213146680001;0.000667564617344;398.488579357;2.7;1.7;2.26879508973;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Zwaluwstraat_15_1595912;[55.762527718249302, 59.864082633158425, 52.674549819537859, 60.928327196401149];117.59532547;414.849863954;124.34308275;[8.7980810766598498, 14.958980946704989, 13.168637454884465, 15.232081799100287];[8.7980810766598498, 14.958980946704989, 13.168637454884465, 15.232081799100287];61095175.4665;31281758.535;19655697.0534;6046683.557159999;0.000270239964037;0.000975699482437;0.000268777887944;0.00189765095388;0.000156528467882;9.38302373598e-05;0.00343240695867;0.0004587679768130001;735.913771782;2.7;1.7;2.25256011219;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Zwaluwstraat_1_1595911;[59.626323890918968, 27.562295651305195, 43.566763525443847, 42.457472632459798];75.0921859741;430.842280749;107.027014833;[14.508880823032072, 4.7378479197616983, 10.891690881360962, 10.614368158114949];[14.508880823032072, 4.7378479197616983, 10.891690881360962, 10.614368158114949];46165394.9219;19975416.7108;16386864.4208;5204619.963140001;0.0003576349351900001;0.00129123840883;0.000420909616652;0.00297174571036;0.00017391001901;0.000109011178035;0.00398774144231;0.000587157863151;511.242243138;2.7;1.7;2.10203309526;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Zwaluwstraat_8_1597215;[26.677477403820788, 43.158694797406248, 34.348981449616367, 35.323335469917353];74.5588188171;437.743764389;102.952225259;[6.2856733662324391, 10.065419872443075, 7.8365500800525334, 8.1155025459829719];[6.2856733662324391, 10.065419872443075, 7.8365500800525334, 8.1155025459829719];37182370.0336;19833534.6883;14384709.4577;5006466.8969;0.000444037268362;0.0016031934228;0.000423920653698;0.00299300451765;0.000185534740954;0.000113325777458;0.004145573943840001;0.0007407427094530001;493.461162804;2.7;1.7;2.01869897522;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Zwaluwstraat_9_4753206;[31.076051429658722, 51.163657239309444, 55.841409798393499, 26.862836086548068];148.961364746;420.899841395;181.734337333;[4.3474570040194589, 12.501981845975145, 13.960352449598375, 6.4827062482041358];[4.3474570040194589, 12.501981845975145, 13.960352449598375, 6.4827062482041358];43961533.751;39625498.9253;15743506.6728;8837564.62376;0.000375563739756;0.00135597023115;0.0002121826909;0.00149807221443;0.00017978668619;6.41988802981e-05;0.00234846132414;0.000641638972048;807.81559093;2.7;1.7;2.09188409767;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Zwaluwstraat_12_1599535;[42.044730976105591, 101.32174692834334, 42.817906674840074, 102.71703130451439];210.308265686;522.879672109;231.325106664;[10.405079159556308, 25.062447965872224, 6.5858876898656193, 25.679257826128598];[10.405079159556308, 25.062447965872224, 6.5858876898656193, 25.679257826128598];76999180.597;55944505.9471;24772872.1168;11249115.6555;0.000214422515836;0.000774170979742;0.000150289020305;0.00106108469309;0.000124193410041;5.04361205611e-05;0.00184500536345;0.0003532758838309999;833.2885187989999;2.7;1.7;2.2525198842;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Zwaluwstraat_6_1596402;[51.560089461943932, 40.143778396918243, 34.130972766939266, 39.736008235246686];77.8935432434;399.832262435;106.367142365;[12.526705862294053, 10.035944599229561, 8.0177411309613831, 4.2955314744659949];[12.526705862294053, 10.035944599229561, 8.0177411309613831, 4.2955314744659949];44128616.1719;20720611.142;15506972.4553;5172531.00483;0.000374141757735;0.0013508361751;0.000405772056268;0.00286487008111;0.00018521026032;0.000109687453372;0.00401248029236;0.000686098536969;534.4455624880001;2.7;1.7;2.11410077279;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Zwaluwstraat_11_4753915;[33.6072921034648, 55.005702980890632, 46.387934240083673, 39.037279118543161];107.356628418;509.4878696980001;145.521815335;[7.0152923610643469, 11.444891430603981, 11.596983560020918, 8.4156704529184481];[7.0152923610643469, 11.444891430603981, 11.596983560020918, 8.4156704529184481];46385371.2924;28558143.0544;17466439.4124;7076584.788869999;0.00035593889972;0.00128511488474;0.0002944114739599999;0.00207863161165;0.000155957322663;8.01745150147e-05;0.00293286653629;0.00062195359524;651.391618212;2.7;1.7;2.04159441038;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Zwaluwstraat_4_4754437;[63.771163025914461, 33.422532337472234, 56.932710619115589, 38.571546794604821];72.138633728;396.230164081;79.7694129625;[15.942790756478615, 8.3556330843680584, 14.108239573444902, 3.9392830580416698];[15.942790756478615, 8.3556330843680584, 14.108239573444902, 3.9392830580416698];51358642.2592;19189736.6014;17144093.6999;3879109.21184;0.000321471855459;0.00116067186475;0.000438142803356;0.00309341707789;0.000174341421804;0.000146260835265;0.00535037236259;0.0005650675397540001;483.015826186;2.7;1.7;2.18632832693;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
