BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Acacialaan_44_1586666;[62.618547444891078, 64.986459056549535, 76.188985011334353, 100.75649347701498];347.559978485;848.1259854780001;316.743152761;[15.594860889146203, 12.66829071027059, 8.6705050390050342, 21.057258215362634];[15.594860889146203, 12.66829071027059, 8.6705050390050342, 21.057258215362634];81170034.1547;92455097.8532;29996733.8882;15402912.4201;0.000203404596202;0.000734390858682;9.09397662805e-05;0.00064206150122;9.21158570387e-05;3.68347061864e-05;0.00134745158269;0.000412621871064;1179.86941539;2.7;1.7;2.0590863742;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Acacialaan_28_1589171;[30.438675447635415, 90.713969145478899, 29.353083824876435, 51.604719475597577];120.394142151;502.992848406;157.48010847;[7.6096688619088537, 22.678492286369725, 4.3767755859191944, 12.870066365178509];[7.6096688619088537, 22.678492286369725, 4.3767755859191944, 12.870066365178509];53867298.7472;32026277.1393;19124286.9078;7658104.98985;0.000306500574652;0.00110661816108;0.000262529576998;0.00185353604057;0.000148995456808;7.40864422934e-05;0.00271015855045;0.000503383154128;765.06498236;2.7;1.7;2.10181574854;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Acacialaan_23_4754321;[45.885668074176678, 19.736597592068886, 46.963780680523456, 26.228340762542075];83.0868186951;304.988024499;103.118868891;[11.225062769977967, 4.5612366628966203, 10.70841143583781, 3.2661085634376685];[11.225062769977967, 4.5612366628966203, 10.70841143583781, 3.2661085634376685];36997375.1419;22102084.3258;12605784.6453;5014570.61517;0.00044625755091;0.00161120973727;0.000380409596953;0.00268580365761;0.000233351312907;0.000113142639111;0.00413887455403;0.0008040208652929999;443.365163226;2.7;1.7;2.15514700893;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Acacialaan_15_1589204;[81.433618528124185, 16.680130405268766, 55.189640748002276, 24.679046199575531];71.4749450684;242.958304106;84.7339364061;[20.358404632031046, 3.6276708781490385, 12.722079504389002, 3.9120314112612249];[20.358404632031046, 3.6276708781490385, 12.722079504389002, 3.9120314112612249];47436602.8341;19013187.5055;14226919.1079;4120529.17354;0.0003480510204049999;0.00125663575215;0.000442211227748;0.003122141350880001;0.000228647971495;0.00013769147833;0.00503689643839;0.00058907459313;389.329527572;2.7;1.7;2.43256370691;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Acacialaan_46_1586667;[52.741653680899148, 92.186323821808898, 60.173788818963118, 47.629828409965796];147.667663574;568.062954595;199.670656945;[13.160590186771469, 22.732659971745655, 5.0755066565846514, 8.5804602422232978];[13.160590186771469, 22.732659971745655, 5.0755066565846514, 8.5804602422232978];67359052.7266;39281358.9902;23117838.8633;9709790.45629;0.000245109712097;0.000884966885209;0.000214041601573;0.00151119667061;0.000126527187459;5.8431925587e-05;0.00213750016665;0.0004829202399700001;977.832439266;2.7;1.7;2.14490067991;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Acacialaan_14_1589198;[77.062688440954588, 24.358465584313915, 77.667869757860217, 36.0274333036662];87.9890899658;431.268343073;108.975553638;[19.265672110238647, 3.1805394663065849, 19.202218744120852, 9.00685832591655];[19.265672110238647, 3.1805394663065849, 19.202218744120852, 9.00685832591655];57333713.2251;23406146.9282;18994062.2073;5299375.51604;0.000287969452739;0.00103971167624;0.000359215252984;0.00253616535455;0.000158296810971;0.000107062002247;0.00391643857954;0.000472375549148;546.44572212;2.7;1.7;2.19879955379;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Acacialaan_13_1589202;[55.432023549720469, 21.518538076661752, 54.696979542428238, 24.121152186176662];100.624118805;355.800340084;116.552502797;[12.824150215975051, 5.379634519165438, 13.363403676661266, 3.6557458189550793];[12.824150215975051, 5.379634519165438, 13.363403676661266, 3.6557458189550793];41516105.8117;26767215.233;14322720.6689;5667835.20739;0.0003976856137659999;0.0014358411011;0.000314109813704;0.0022177076848;0.000203401475994;0.000100102020021;0.0036618352438;0.000679339195165;546.846066444;2.7;1.7;2.13779804516;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Acacialaan_83_1589096;[150.28530895476086, 36.504409646333116, 128.24956470004102, 25.25453040597257];182.621025085;750.575338365;215.088354375;[37.571327238690216, 8.6457837559540138, 30.779292653629653, 4.7059031798035935];[37.571327238690216, 8.6457837559540138, 30.779292653629653, 4.7059031798035935];90696491.5264;48579369.8628;30940358.5722;10459538.1341;0.000182039654931;0.000657252889046;0.000173074393801;0.00122195613263;9.49813123529e-05;5.42434805568e-05;0.00198428252304;0.000292872021864;1011.73193526;2.7;1.7;2.15337729114;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Acacialaan_1B_4752696;[119.23849515690262, 79.541706420408985, 119.14307980320152, 78.326725081652498];204.546443939;1071.49768713;253.695014787;[26.1279850066542, 19.885426605102246, 29.785769950800379, 19.581681270413124];[26.1279850066542, 19.885426605102246, 29.785769950800379, 19.581681270413124];105610163.646;54411792.6706;38610301.5976;12336942.5988;0.000156333040788;0.000564439340154;0.000154522477161;0.00109097414383;7.21572539506e-05;4.59888460099e-05;0.00168231946873;0.000250871286765;1756.66821481;2.7;1.7;2.0698094837;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Acacialaan_103_1588578;[47.908632609565004, 58.96206157319898, 48.258168313409172, 56.959997521177883];173.15619278;558.401245576;190.957173955;[11.977158152391251, 14.740515393299745, 12.064542078352293, 14.239999380294471];[11.977158152391251, 14.740515393299745, 12.064542078352293, 14.239999380294471];56526785.73800001;46061611.6306;20468245.17;9286062.2267;0.0002920802555;0.00105455370058;0.00018253475492;0.00128874906504;0.000137118508766;6.10982071364e-05;0.00223503549856;0.00045128857385;1040.84569477;2.7;1.7;2.07981444651;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Acacialaan_9_1588639;[49.530827407304628, 85.55007170578871, 40.753020335058615, 84.119973919546297];81.7347640991;522.812116329;145.459758228;[4.8483643305637028, 18.988876919757434, 10.188255083764654, 20.452315998187522];[4.8483643305637028, 18.988876919757434, 10.188255083764654, 20.452315998187522];69283969.139;21742421.6842;22974668.0628;7073567.01195;0.000238299829327;0.000860379851542;0.000386702323794;0.0027302321602;0.000130773871434;8.0208719653e-05;0.00293411777727;0.0004392305558399999;541.963460815;2.7;1.7;2.19722239644;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Acacialaan_34_4753709;[34.632345000991386, 62.267847243223912, 70.123293721591111, 68.619617165985744];255.994060516;507.685247907;214.774282895;[8.6006593247361938, 10.724909457549014, 9.2453931222838115, 17.154904291496436];[8.6006593247361938, 10.724909457549014, 9.2453931222838115, 17.154904291496436];62804558.4303;68097472.0335;21267518.9936;10444265.1425;0.000262884708269;0.0009491433834089999;0.000123467799011;0.000871718980901;0.000138977160153;5.43228025778e-05;0.00198718420446;0.00052329943164;745.7876371760001;2.7;1.7;2.1641519605;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Acacialaan_22_1586585;[64.194014166581283, 80.704250226775457, 76.042348013064313, 67.368074796544036];148.046886444;856.9087696;176.521228776;[15.331885038922199, 17.088403302956312, 16.559131189886624, 15.112757945671483];[15.331885038922199, 17.088403302956312, 16.559131189886624, 15.112757945671483];76841204.1378;39382236.7946;29103286.1706;8584056.20899;0.000214863343257;0.000775762584032;0.000213493332897;0.00150732573248;9.31864650132e-05;6.60948320461e-05;0.00241781719658;0.000373342281905;1132.61655999;2.7;1.7;2.03645202083;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
