BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Bijenstraat_23_4753118;[70.504912262833855, 53.867940065736292, 71.933618919349883, 34.504177136592652];152.791812897;470.555872384;168.860681487;[17.575366506479408, 5.1991675111197218, 17.851610057323182, 8.626044284148163];[17.575366506479408, 5.1991675111197218, 17.851610057323182, 8.626044284148163];61516592.9329;40644443.7996;20482083.9974;8211531.22165;0.000268388693746;0.000969015484117;0.000206863329996;0.00146051596168;0.000146222937586;6.90932955247e-05;0.00252750408642;0.000485832621633;865.8385358639999;2.7;1.7;2.19050636052;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Bijenstraat_9_1589533;[76.351916097150465, 63.752349644789383, 56.987950436835654, 61.990595707682246];179.532123566;732.401590878;221.732766111;[18.081816883709184, 11.732041735215523, 14.128003705106872, 15.15714735882953];[18.081816883709184, 11.732041735215523, 14.128003705106872, 15.15714735882953];69051804.9591;47757685.2329;25660865.9329;10782649.4347;0.000239101034806;0.000863272598267;0.000176052188233;0.00124298023729;0.000107224497823;5.26180283282e-05;0.0019248218023;0.000404885291988;974.199385897;2.7;1.7;2.05374419596;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Bijenstraat_37_5213665;[66.695300295600475, 45.029190772305597, 73.810230642628852, 40.868360174581639];155.968704224;478.676946631;176.040400796;[16.669895953892667, 5.3417933116805951, 18.452557660657213, 10.017072719567823];[16.669895953892667, 5.3417933116805951, 18.452557660657213, 10.017072719567823];60341870.3797;41489534.7671;20314597.6728;8560674.01054;0.000273613627106;0.0009878800691289998;0.000202649777526;0.00143076704177;0.000146159888278;6.62753601772e-05;0.002424421102;0.000474003452357;811.8156375110001;2.7;1.7;2.1729767821;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Bijenstraat_25_1589650;[44.494485964642188, 41.328776577916493, 56.886234558957973, 38.290509247903429];107.922767639;442.15007654;135.970799389;[11.084234328465117, 5.8463010258673158, 13.861901089527853, 9.5726273119758574];[11.084234328465117, 5.8463010258673158, 13.861901089527853, 9.5726273119758574];48240857.9907;28708742.8367;17018167.02;6612128.143630001;0.000342248432317;0.00123568554883;0.000292867055797;0.00206772756511;0.000168257487728;8.58062247258e-05;0.00313888029204;0.00059279777028;660.501448341;2.7;1.7;2.10936328173;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Bijenstraat_18_1590970;[67.934297273043242, 35.83946711065547, 70.946607052183026, 40.084852714236277];135.877761841;421.486620634;153.396117391;[16.983574318260811, 8.8753016344198983, 17.736651763045757, 5.497444248019228];[16.983574318260811, 8.8753016344198983, 17.736651763045757, 5.497444248019228];57250762.1567;36145104.5711;18846864.4055;7459504.46335;0.000288386693888;0.00104121812246;0.000232613657921;0.00164232085167;0.000160326177555;7.60589066198e-05;0.002782313332;0.000487408254879;704.097502093;2.7;1.7;2.20963711215;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Bijenstraat_41_4753776;[45.327361872092524, 41.237092731719088, 75.738465959425113, 43.025178911045913];116.161521912;426.599431261;134.10188432;[10.461677075352416, 6.5804862862814684, 18.934616489856278, 10.756294727761478];[10.461677075352416, 6.5804862862814684, 18.934616489856278, 10.756294727761478];54724880.3357;30900349.6948;18325288.6499;6521244.61586;0.000301697471418;0.00108927659076;0.000272095464072;0.00192107401726;0.000162704031091;8.70020658369e-05;0.00318262539454;0.00051202109014;653.205234321;2.7;1.7;2.18131357997;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Bijenstraat_6_1589592;[41.890260347850436, 57.440216893340732, 41.464876211771781, 11.094807547084816];79.9218978882;423.01705309;105.54741105;[10.472565086962609, 14.360054223335183, 7.897620717655915, 2.773701886771204];[10.472565086962609, 14.360054223335183, 7.897620717655915, 2.773701886771204];40482383.5908;21260177.6593;14960784.1911;5132668.26575;0.00040784056067;0.00147250546521;0.000395473881966;0.00279216194118;0.000184691262773;0.000110539338222;0.004043643119699999;0.000673962340552;609.077772353;2.7;1.7;2.05906391927;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Bijenstraat_35_5213664;[72.344949853081346, 50.071800492465172, 66.036933859473351, 43.136994642120939];137.654453278;489.279353774;159.144086132;[16.641565857522455, 6.0169372012000402, 16.503506322901487, 10.102439258666577];[16.641565857522455, 6.0169372012000402, 16.503506322901487, 10.102439258666577];61724489.8249;36617725.6748;20775288.9579;7739022.61026;0.000267484722316;0.0009657517016530001;0.000229611338096;0.00162112359053;0.000142944432463;7.33118097698e-05;0.00268182169296;0.000485711714068;729.793192278;2.7;1.7;2.17333016826;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Bijenstraat_14_1590910;[48.067927606842879, 37.740185318378501, 62.166899870231234, 39.341677937300275];104.154880524;420.950250913;118.488106615;[12.01698190171072, 9.4350463295946252, 15.541724967557808, 5.4933314028066391];[12.01698190171072, 9.4350463295946252, 15.541724967557808, 5.4933314028066391];49924406.4084;27706439.9436;17133166.1259;5761961.7444;0.000330707147239;0.00119401582053;0.000303461758614;0.00214252928358;0.000170731661526;9.84667685375e-05;0.00360201605619;0.0005631904381299999;595.7652225219999;2.7;1.7;2.14498534049;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Bijenstraat_3_4753753;[38.073524612519897, 73.027829612794505, 38.374477911195939, 57.125396504104259];117.508182526;460.215471194;142.673029727;[4.9843320284740562, 18.256957403198626, 9.5936194777989847, 14.240064846456558];[4.9843320284740562, 18.256957403198626, 9.5936194777989847, 14.240064846456558];55064199.9001;31258577.4729;18843811.7151;6938051.106819999;0.000299838335087;0.00108256419216;0.000268977211055;0.00189905823368;0.00015557306367;8.17753782255e-05;0.00299142776537;0.0005083023501130001;716.8731732919999;2.7;1.7;2.14892282327;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
