BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
BroederJuulstraat_6_1586690;[74.991119582459618, 77.493027159648733, 86.711638525763945, 66.045976827933174];180.270275116;669.605935985;194.317153356;[10.084485427214933, 10.013553708969567, 21.677909631440986, 14.776698243142768];[10.084485427214933, 10.013553708969567, 21.677909631440986, 14.776698243142768];81354276.141;47954042.3455;27705539.0478;9449454.767269999;0.00020294394842;0.000732727693118;0.000175331308457;0.001237890614;0.000106213315073;6.00417449876e-05;0.0021963890224;0.000423115823157;1049.83620294;2.7;1.7;2.15585283178;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
BroederJuulstraat_18_1586695;[20.285048941650629, 58.969288030992772, 90.860019661612895, 53.158503757806514];280.875751495;551.745226725;218.363723062;[5.059278046433846, 9.3408862971671756, 22.485884597159934, 10.834956315579456];[5.059278046433846, 9.3408862971671756, 22.485884597159934, 10.834956315579456];59507591.0138;74716298.471;21075554.5834;10618816.1377;0.0002774496117159999;0.00100172986448;0.000112530266652;0.000794496785009;0.000135453662546;5.34298499995e-05;0.00195451907721;0.000501421117664;970.4070382819999;2.7;1.7;2.10466659171;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
BroederJuulstraat_12_4753591;[81.126273164969973, 69.777823060692782, 68.456589394900988, 65.268363496032762];125.447078705;671.286184126;139.950573307;[19.095770450664073, 9.4869075940471923, 10.040967157171952, 9.0736778248676959];[19.095770450664073, 9.4869075940471923, 10.040967157171952, 9.0736778248676959];75860492.0264;33370418.5033;26447753.9587;6805660.690690001;0.000217641061637;0.000785791516635;0.000251955035846;0.00177887666938;0.000109258794444;8.3366153441e-05;0.00304961996517;0.000501670078596;969.714040467;2.7;1.7;2.1240055223;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
BroederJuulstraat_4_1586689;[86.497205128715407, 67.727610475385021, 56.276784868084569, 65.762110408543549];104.691677094;628.313294316;116.933328049;[18.755571144160534, 15.469271044275679, 13.85240823911044, 13.730994902802932];[18.755571144160534, 15.469271044275679, 13.85240823911044, 13.730994902802932];73630928.05;27849234.2308;25366556.02;5686354.37019;0.000224231290548;0.000809585491596;0.000301905787445;0.00213154366942;0.000114971272502;9.97760105107e-05;0.00364990947931;0.000387137988852;882.168146876;2.7;1.7;2.13969101622;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
BroederJuulstraat_10_4752834;[95.085378348746445, 69.379107844686459, 103.19150135611514, 78.282317788288964];181.296131134;887.5757412510001;201.42791207;[12.510767724909694, 8.4237563158800199, 25.797875339028785, 17.724304870785801];[12.510767724909694, 8.4237563158800199, 25.797875339028785, 17.724304870785801];92200884.3973;48226932.2764;33081994.8643;9795244.06931;0.000179069410547;0.000646528842665;0.00017433920412;0.00123088606554;8.543407774e-05;5.79221660423e-05;0.0021188526362;0.000371230891648;1320.25651212;2.7;1.7;2.08975637713;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
BroederJuulstraat_22_1586696;[75.311889172600374, 70.367683046307377, 79.194385043622177, 64.918729227434852];106.66569519;642.864448575;131.195500197;[18.827972293150093, 17.591920761576844, 15.27775321908193, 14.391590252827186];[18.827972293150093, 17.591920761576844, 15.27775321908193, 14.391590252827186];77236725.6646;28374346.5787;26396753.9615;6379909.97383;0.000213763049623;0.000771789981633;0.000296318541359;0.00209209606848;0.000111172559465;8.89294293705e-05;0.00325313034253;0.000362060768882;938.9511049910001;2.7;1.7;2.15078350052;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
BroederJuulstraat_8_1586691;[71.166562386514215, 64.564161247181502, 56.009467156677687, 61.722086125885305];98.9287872314;587.852215271;112.75280448;[17.791640596628554, 16.141040311795376, 10.168857256833975, 13.671805863128618];[17.791640596628554, 16.141040311795376, 10.168857256833975, 13.671805863128618];67553797.1148;26316236.8229;23421928.8616;5483059.56223;0.000244403108724;0.0008824156987170001;0.000319492678486;0.00225571229361;0.000123902524018;0.00010347539489;0.00378523677938;0.0004141757794030001;807.359887007;2.7;1.7;2.13116666116;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
BroederJuulstraat_16_1586693;[69.278089521676122, 63.527683677752123, 53.537184555366245, 59.609301872995921];107.75938797;600.084225265;121.856540379;[17.319522380419031, 15.881920919438031, 3.5140338197141778, 13.153536750016851];[17.319522380419031, 15.881920919438031, 3.5140338197141778, 13.153536750016851];65552196.7567;28665281.8969;23115598.2824;5925765.41246;0.000251865823539;0.000909359777877;0.000293311086926;0.00207086255549;0.000123914115288;9.57448892956e-05;0.00350244690328;0.000479823400042;831.667330951;2.7;1.7;2.10986289803;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
BroederJuulstraat_2_1588506;[38.246341056804226, 58.454121206368818, 65.216602601469944, 55.392886336078618];78.82498168949999;516.310782805;89.73502408190001;[9.5615852642010566, 14.613530301592204, 16.304150650367486, 11.516737428057723];[9.5615852642010566, 14.613530301592204, 16.304150650367486, 11.516737428057723];57918332.1994;20968384.8731;20242061.9416;4363727.2184;0.000285062732195;0.00102921698223;0.000400977235065;0.00283101723295;0.000142484150241;0.000130017694739;0.00475618151175;0.0004601953633859999;686.6350763190001;2.7;1.7;2.1208898176;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
BroederJuulstraat_14_1589043;[39.120409245362247, 49.921099043121615, 59.419919681220385, 47.723322195831358];113.675071716;335.031986799;147.279950552;[5.8348242702477613, 8.5248134924348609, 14.854979920305096, 9.0660495107167911];[5.8348242702477613, 8.5248134924348609, 14.854979920305096, 9.0660495107167911];52287957.6833;30238924.2996;16560588.3297;7162081.19988;0.000315758326629;0.00114004320924;0.000278047092777;0.00196309426667;0.000188095097796;7.92174421895e-05;0.0028978558242;0.0006250758292840001;651.646517573;2.7;1.7;2.28557020791;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
