BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Buitenlaan_112_1591025;[38.63735866356086, 43.07654531660301, 40.50913875434027, 84.71983338235205];172.671421051;406.716283099;144.195026157;[5.8215907469526877, 9.784087893442079, 10.127284688585068, 21.179958345588012];[5.8215907469526877, 9.784087893442079, 10.127284688585068, 21.179958345588012];55155257.1753;45932656.5714;18165616.1709;7012064.31757;0.000299343324036;0.00108077695826;0.000183047217771;0.00129236720351;0.000166277108706;8.09122289404e-05;0.00295985287335;0.00051005818733;612.755152665;2.7;1.7;2.20881384571;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Buitenlaan_13_1590787;[22.00919697684094, 46.842735103952421, 29.707835059571828, 10.599095137643516];225.180294037;334.704180882;204.223259387;[3.7038474698992934, 11.499228595968098, 7.4269587648929569, 1.867833725986265];[3.7038474698992934, 11.499228595968098, 7.4269587648929569, 1.867833725986265];29093464.0268;59900642.7913;11153234.2561;9931179.099089999;0.0005674937163110001;0.0020489320566;0.000140363184741;0.00099100537418;0.000240942928808;5.71293446374e-05;0.00208985041065;0.000976751089028;580.139401351;2.7;1.7;2.02613534133;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Buitenlaan_104_1589464;[29.380519529465595, 96.704855101941405, 33.737253817953778, 94.165232900355377];203.096004486;453.887321189;174.696922452;[3.7664981540486955, 24.176213775485351, 8.4343134544884446, 23.541308225088844];[3.7664981540486955, 24.176213775485351, 8.4343134544884446, 23.541308225088844];67693878.0161;54025958.484;21703234.4063;8495341.96123;0.000243897358296;0.00088058969037;0.000155626021752;0.00109876549327;0.000142149197601;6.678504008400001e-05;0.00244306571921;0.000399348886232;664.125927812;2.7;1.7;2.25958351224;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Buitenlaan_88_1589469;[81.984997454899599, 47.117981435672235, 11.888413457932524, 71.949986393291042];136.009124756;419.524493366;156.292303686;[9.5444094234459449, 7.9267533388257254, 2.4364579804992781, 17.930955828442862];[9.5444094234459449, 7.9267533388257254, 2.4364579804992781, 17.930955828442862];56754002.4965;36180048.6726;18705490.9973;7600343.19485;0.000290910901341;0.00105033175565;0.000232388990582;0.00164073463417;0.000161387934922;7.46494913272e-05;0.00273075546543;0.000632378962423;755.6564101419999;2.7;1.7;2.20757794148;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Buitenlaan_94_1590576;[35.733674347359035, 57.420766184210805, 30.298971105187096, 57.643753867691963];85.2875442505;476.531247536;117.294127505;[4.5200433368960198, 14.294275976974317, 7.5747427762967741, 14.38138095766231];[4.5200433368960198, 14.294275976974317, 7.5747427762967741, 14.38138095766231];48266753.2439;22687503.5604;17473732.1996;5703899.6979;0.00034206481504;0.00123502259994;0.000370593660419;0.00261650025817;0.000160641973045;9.94690971892e-05;0.00363868227313;0.000586903599836;672.175377848;2.7;1.7;2.08003208906;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Buitenlaan_89_1590679;[32.570772163109865, 70.640520967886417, 34.464667763403803, 70.660915289335421];178.01940155;414.20928219;148.284239899;[8.1426930407774663, 17.660130241971604, 4.5027567024711255, 17.665228822333855];[8.1426930407774663, 17.660130241971604, 4.5027567024711255, 17.665228822333855];55526791.7438;47355283.1423;18350121.0613;7210918.8171;0.000297340391952;0.00107354538611;0.00017754819383;0.00125354247687;0.000164168479534;7.86809237211e-05;0.0028782294247;0.000498810013558;534.199584387;2.7;1.7;2.2029749094;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Buitenlaan_66_1589623;[89.134371401925463, 28.531536833588202, 85.502622595679952, 36.488579039623509];264.614826202;546.381673469;209.270514178;[22.283592850481366, 3.6624998180329866, 18.783560606397103, 9.1221447599058774];[22.283592850481366, 3.6624998180329866, 18.783560606397103, 9.1221447599058774];63874387.8352;70390698.4819;22022640.5728;10176622.206;0.000258481663473;0.000933246221254;0.000119445397922;0.0008433196459650001;0.000132347789761;5.57514803953e-05;0.00203944671408;0.000444336506205;671.5543447059999;2.7;1.7;2.13862582057;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Buitenlaan_136_4754403;[35.227918822081129, 6.9130210626769681, 39.723935115082604, 48.037775447098582];75.952205658;376.362138362;95.6861197485;[5.0660088859681345, 1.4174200234077983, 9.6468403441630262, 11.468396086828035];[5.0660088859681345, 1.4174200234077983, 9.6468403441630262, 11.468396086828035];34622182.8342;20204192.1998;12985729.6585;4653123.23078;0.000476872244018;0.00172174387061;0.0004161435858;0.00293809613054;0.000210399052441;0.000121931383561;0.00446037590004;0.0008670100346;491.960204806;2.7;1.7;2.04515334357;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Buitenlaan_31_1589818;[46.035667090716409, 85.190216936021201, 34.692834301432953, 47.517495583320397];134.176998138;421.695994795;166.483399364;[6.9456671662448581, 20.194550506323317, 7.8437902024004593, 8.6418452386761544];[6.9456671662448581, 20.194550506323317, 7.8437902024004593, 8.6418452386761544];56885887.9789;35692681.1499;18764601.8577;8095926.2969;0.000290236447167;0.00104789664361;0.000235562157825;0.00166313812834;0.000160774468858;7.0079905943e-05;0.00256359531416;0.0005484894410970001;772.8135800860001;2.7;1.7;2.20613763599;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Buitenlaan_98100_4753763;[37.580768435357214, 125.91706847984679, 35.511211313950334, 99.453596530634329];117.32006073;662.201872055;158.171206357;[5.1838792693455584, 27.670517732750533, 8.8778028284875834, 24.855193603579142];[5.1838792693455584, 27.670517732750533, 8.8778028284875834, 24.855193603579142];79547478.2116;31208534.8325;27187850.713;7691712.410060001;0.00020755350631;0.0007493704693380001;0.0002694085139;0.00190210335864;0.000107933515131;7.37627361972e-05;0.00269831704723;0.000359352101916;898.2153913139999;2.7;1.7;2.15071247509;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Buitenlaan_140_4754429;[36.664971208933281, 10.422429691591045, 39.786543866528177, 48.080959601419309];73.07735443119999;379.140359691;91.74956568969999;[6.1930180559698673, 2.2616384080677867, 9.9466359666320443, 12.020239900354827];[6.1930180559698673, 2.2616384080677867, 9.9466359666320443, 12.020239900354827];35968730.1017;19439447.4998;13335703.3733;4461692.42358;0.000459019764508;0.00165728761937;0.00043251460672;0.00305368035402;0.000206688092828;0.000127162901326;0.004651750221229999;0.000786558662834;492.1099636880001;2.7;1.7;2.05594971867;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Buitenlaan_40_1589579;[81.682251842245648, 37.615946462279709, 25.300760251085173, 42.098501405887184];126.815093994;394.645244385;145.341635417;[20.420562960561412, 5.6934115996925891, 6.1497097241680088, 10.524625351471796];[20.420562960561412, 5.6934115996925891, 6.1497097241680088, 10.524625351471796];49759366.5043;33734326.8796;16750819.1764;7067822.81417;0.000331804023661;0.0011979760851;0.000249237075938;0.0017596870729;0.000177264758934;8.02739073015e-05;0.00293650240876;0.000559225638855;680.304688362;2.7;1.7;2.17307667486;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Buitenlaan_91_1590856;[43.947240377549001, 38.006252406654788, 82.944821129593706, 34.518516547389346];205.440814972;385.307073991;179.402831392;[10.890218435898491, 9.501563101663697, 20.736205282398426, 4.0300150704944127];[10.890218435898491, 9.501563101663697, 20.736205282398426, 4.0300150704944127];53149384.8716;54649706.0279;17418461.2534;8724185.75035;0.000310640622856;0.0011215657759;0.000153849775256;0.0010862246705;0.000174084367947;6.50332042031e-05;0.00237898175399;0.0005298799501740001;578.060036676;2.7;1.7;2.21755299584;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Buitenlaan_138_2983564;[35.614302070520118, 39.609873560848463, 37.145809170948851, 2.7895922826593931];59.652179718;353.768295957;77.8896222041;[8.9035755176300295, 9.9024683902121158, 9.2864522927372128, 0.69100164753042781];[8.9035755176300295, 9.9024683902121158, 9.2864522927372128, 0.69100164753042781];30692798.9477;15868190.9725;11775044.782;3787696.80981;0.000537922854447;0.00194216666859;0.000529855293827;0.0037409342392;0.00022809201369;0.000149790699176;0.0054794984289;0.000831320776854;436.268680653;2.7;1.7;2.02552260449;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Buitenlaan_52_1590874;[48.661825654841827, 24.105762575036575, 52.924922420118016, 27.092995538442128];63.18859863279999;256.5435552;77.1131333488;[12.119730730240285, 2.563330911620568, 12.226504007481577, 6.7732488846105321];[12.119730730240285, 2.563330911620568, 12.226504007481577, 6.7732488846105321];40721014.6327;16808920.5646;12839944.9405;3749936.90962;0.000405450555932;0.00146387636997;0.0005002013637869999;0.00353156876997;0.000243453447023;0.000151299013045;0.005534674107510001;0.000710401435354;419.868614794;2.7;1.7;2.29555386636;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Buitenlaan_2_1590820;[63.355057830065988, 54.457694612945971, 99.0954011949826, 68.475120202022495];301.21308136;562.416377783;242.238855603;[15.454661196318973, 9.2231900032563665, 24.77385029874565, 17.118780050505624];[15.454661196318973, 9.2231900032563665, 24.77385029874565, 17.118780050505624];76061511.0678;80126270.6747;25071269.5294;11779840.685;0.000217065869309;0.000783714788797;0.000104932438755;0.0007408538850389999;0.000120401940089;4.8163788338e-05;0.00176188110463;0.000359443393452;788.9022693119999;2.7;1.7;2.20742347683;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Buitenlaan_67_1591010;[72.477622316193134, 32.565828435626848, 63.373027485498753, 36.914052715815025];167.247138977;394.804697823;185.944525773;[17.403303042797226, 7.928072594016232, 14.426858946714614, 5.4186770929704657];[17.403303042797226, 7.928072594016232, 14.426858946714614, 5.4186770929704657];54725528.3833;44489732.872;17909793.0394;9042302.00558;0.000301693898783;0.00108926369179;0.000188983939607;0.00133428220605;0.000169495560648;6.2745278034e-05;0.00229528705253;0.0005296581573130001;887.8520375410001;2.7;1.7;2.22008127584;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Buitenlaan_73_1589690;[38.830660747276994, 36.578858048094069, 75.405273997132269, 30.067470954957763];81.0169563293;371.254166213;102.297392909;[9.5693784053411921, 9.1447145120235174, 18.851318499283067, 3.0048202638257404];[9.5693784053411921, 9.1447145120235174, 18.851318499283067, 3.0048202638257404];48209476.7534;21551476.2598;16083973.2352;4974623.03459;0.000342471213811;0.00123648989984;0.000390128494625;0.00275442193413;0.000185912817899;0.00011405120538;0.00417211084622;0.000589799929666;548.390881327;2.7;1.7;2.18721948522;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Buitenlaan_124126_4754104;[37.807830323182721, 90.135622875306098, 35.874830879696418, 61.646992946100994];99.751739502;388.956274339;106.900991242;[6.7058329821783076, 21.114663782201745, 8.9687077199241045, 14.597295793103816];[6.7058329821783076, 21.114663782201745, 8.9687077199241045, 14.597295793103816];60091922.8133;26535151.938;19083503.243;5198491.558130001;0.000274751701193;0.0009919890775889999;0.0003168568625440001;0.0022371026577;0.000162881690388;0.000109139689286;0.00399244251652;0.000465653813015;718.28578539;2.7;1.7;2.27966741225;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Buitenlaan_33_1590823;[22.192037045800689, 29.32133347698208, 77.657210079964628, 29.913754241247538];101.783988953;360.238097661;120.406959167;[5.5406700126367996, 7.3303333692455199, 19.414302519991157, 3.4892145317251724];[5.5406700126367996, 7.3303333692455199, 19.414302519991157, 3.4892145317251724];42399804.0692;27075754.5202;14586593.4275;5855273.68359;0.00038939703575;0.00140591524868;0.000310530404017;0.00219243599948;0.000200157137043;9.6897563473e-05;0.00354461291479;0.000668864865319;576.0739381559999;2.7;1.7;2.1416088578;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Buitenlaan_32_4753933;[81.759329131052965, 28.86533334015256, 13.840819850837129, 29.349215591730591];108.541934967;370.908356361;128.058853738;[20.439832282763241, 2.6507208978111692, 3.4110385705444548, 7.3373038979326477];[20.439832282763241, 2.6507208978111692, 3.4110385705444548, 7.3373038979326477];40995318.998;28873448.7276;14398933.3431;6227377.89766;0.0004027376399180001;0.00145408140585;0.000291196423037;0.00205593240638;0.000199537427928;9.11076479912e-05;0.0033328118286;0.000707124725341;606.573486846;2.7;1.7;2.11469731074;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
