BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Clematitenstraat_3_1589655;[38.59554092218103, 78.662986318945201, 37.109938646721105, 23.290103586790259];108.820644379;424.5654145669999;134.831824263;[5.0328739815923793, 19.6657465797363, 9.2774846616802762, 5.6305451294642346];[5.0328739815923793, 19.6657465797363, 9.2774846616802762, 5.6305451294642346];47350284.642;28947588.7538;16580804.9043;6556740.887569999;0.000348685507294;0.00125892656259;0.000290450616171;0.00205066679052;0.00017368535818;8.65310621751e-05;0.0031653955943;0.000604149040091;678.33963424;2.7;1.7;2.11844804918;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Clematitenstraat_9_1589764;[48.419430562185042, 45.877715248866309, 50.729352594555472, 60.684681391427844];121.280036926;452.290586535;146.719959116;[8.9168676391121195, 11.461121359028272, 12.682338148638868, 12.622407416901712];[8.9168676391121195, 11.461121359028272, 12.682338148638868, 12.622407416901712];54826980.4617;32261935.7111;18684944.1572;7134849.35931;0.000301135643107;0.00108724811361;0.00026061191943;0.00183999681403;0.000157402539806;7.95197942992e-05;0.00290891617654;0.00052379350799;748.159789597;2.7;1.7;2.15482082962;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Clematitenstraat_2_1589619;[36.544841482501354, 11.334982861575448, 40.509925075968496, 56.119166389804441];82.1376266479;419.216526894;110.418527246;[9.1362103706253386, 2.8313885237133776, 8.0163200640586521, 14.02979159745111];[9.1362103706253386, 2.8313885237133776, 8.0163200640586521, 14.02979159745111];38515104.0962;21849587.9251;14452857.6512;5369545.92355;0.000428672293853;0.00154771829081;0.000384805654872;0.00271684111968;0.000188971482292;0.000105662892447;0.003865257698510001;0.000703490427849;600.657811118;2.7;1.7;2.04471187689;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Clematitenstraat_11_1590884;[36.048996627347265, 60.742229170215118, 38.581296848350874, 46.148130191214911];92.41973876950001;438.248985357;118.55216985;[6.0670174908669985, 15.18555729255378, 9.6453242120877185, 11.526580688745172];[6.0670174908669985, 15.18555729255378, 9.6453242120877185, 11.526580688745172];48379622.8105;24584752.3318;16999485.7836;5765077.0774;0.000341266778486;0.0012321412946;0.0003419942929150001;0.00241458031067;0.000168959283011;9.84135590541e-05;0.00360006959835;0.000564021526481;654.295290009;2.7;1.7;2.11419526092;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Clematitenstraat_6_1589621;[38.137075199325658, 23.881870063991709, 35.470810033621511, 85.138332827267888];114.901508331;452.928426869;143.641810912;[9.5342687998314144, 5.8719704393266081, 6.0166377172049934, 21.284583206816972];[9.5342687998314144, 5.8719704393266081, 6.0166377172049934, 21.284583206816972];48674780.9682;30565171.0607;17260168.4502;6985161.99654;0.000339197376804;0.00122466973444;0.000275079271551;0.00194214057579;0.000165239175168;8.12238504545e-05;0.00297125231008;0.000560284308649;780.516411675;2.7;1.7;2.1032162198;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Clematitenstraat_8_1590958;[36.542174126380253, 77.249352030605081, 32.923718639301399, 15.731605622257947];95.4456176758;418.120159745;122.782142609;[9.1355435315950633, 19.31233800765127, 5.5076259006871986, 3.9304827612049191];[9.1355435315950633, 19.31233800765127, 5.5076259006871986, 3.9304827612049191];43295995.3987;25389672.1951;15552134.508;5970776.55149;0.000381336838867;0.00137681396474;0.000331152167921;0.00233803171884;0.000181576561052;9.50231093921e-05;0.00347604344921;0.0006315875516159999;679.983884988;2.7;1.7;2.08851714425;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Clematitenstraat_10_1589866;[33.444763925519567, 8.2731481246871734, 35.036785152182688, 66.663179028400933];64.0630989075;365.511672007;86.8294647691;[8.3611909813798917, 2.0619694989223816, 6.7395090858930082, 16.665794757100233];[8.3611909813798917, 2.0619694989223816, 6.7395090858930082, 16.665794757100233];38224315.7893;17041548.0634;13682899.4666;4222432.68611;0.0004319333827169999;0.00155949242913;0.00049337331086;0.00348336070773;0.000206931717749;0.000134368454298;0.00491533678838;0.000707342773913;506.929752653;2.7;1.7;2.09237564;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Clematitenstraat_7_1590918;[37.317161937793095, 55.558919037089801, 38.751968458781683, 28.126092835696127];62.9673194885;411.623420223;88.9339063699;[9.3292904844482738, 13.88972975927245, 9.6879921146954207, 7.0288266689702272];[9.3292904844482738, 13.88972975927245, 9.6879921146954207, 7.0288266689702272];42578323.869;16750057.6742;15300017.867;4324769.640790001;0.000387764395605;0.00140002061296;0.000501959166575;0.00354397937474;0.000184516044128;0.000131188895718;0.00479902525275;0.000599169076559;526.99801994;2.7;1.7;2.08810751386;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Clematitenstraat_12_1589865;[46.787410697338437, 80.454944435928923, 45.610749857530877, 22.586533324592725];127.64239502;450.749422251;153.872599082;[11.696852674334609, 19.712692273034349, 6.9131668910237378, 5.5194621139687161];[11.696852674334609, 19.712692273034349, 6.9131668910237378, 5.5194621139687161];52089367.4419;33954398.8154;18027078.2191;7482675.30597;0.000316962152388;0.00114438961365;0.000247621671523;0.00174828184253;0.000161210947801;7.58233827085e-05;0.00277369762415;0.000545783149751;800.116384007;2.7;1.7;2.13358821702;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Clematitenstraat_1_1590579;[33.533713080607903, 9.3123433185677023, 35.49401391449463, 68.711968066366794];84.8435096741;372.963445851;108.39473021;[2.7935002242504674, 2.2496805213577549, 8.8735034786236575, 17.177992016591698];[2.7935002242504674, 2.2496805213577549, 8.8735034786236575, 17.177992016591698];39192907.4689;22569385.0693;14005951.6566;5271130.63589;0.00042125882174;0.00152095200208;0.000372533188848;0.00263019389942;0.000202421339448;0.000107635684372;0.00393742446396;0.0007695310800580001;554.6335236159999;2.7;1.7;2.09428002936;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
