BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Dijkskendal_8_1586706;[34.977773419201348, 68.94644216156496, 40.069070117716819, 15.833305312247035];107.942741394;299.992919441;133.303789125;[6.3272281204447314, 17.048952259792927, 7.2705922219395553, 3.7428774945208643];[6.3272281204447314, 17.048952259792927, 7.2705922219395553, 3.7428774945208643];42597633.2023;28714056.0936;13845086.0576;6482434.02029;0.000387588623587;0.00139938598933;0.000292812863595;0.00206734495222;0.000220445703232;8.75229507361e-05;0.00320167990195;0.0006958000364760001;608.297017351;2.7;1.7;2.23276787768;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Dijkskendal_17_1586641;[36.945545017323859, 38.98120143276401, 44.127320098677032, 39.394179092278208];170.927253723;159.448245641;193.092898571;[9.2363862543309647, 9.7453003581910025, 11.031830024669258, 9.8485447730695519];[9.2363862543309647, 9.7453003581910025, 11.031830024669258, 9.8485447730695519];42496795.0552;45468687.2684;14744607.8579;9389920.44405;0.00038850830985;0.00140270651009;0.000184915059029;0.00130555471225;0.00028520763077;6.04224238947e-05;0.00221031464986;0.0006002780324229999;746.212279344;2.7;1.7;2.7;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Dijkskendal_16_1586710;[18.425236103081765, 37.864366117888935, 39.337028763941994, 35.658439787394876];153.039424896;131.285070772;173.710544931;[4.5766369859398566, 9.4660915294722336, 9.8342571909854986, 8.5706376966236331];[4.5766369859398566, 9.4660915294722336, 9.8342571909854986, 8.5706376966236331];34990631.1229;40710311.5435;12140283.3776;8447375.37874;0.000471850820951;0.00170361405808;0.000206528632954;0.00145815290211;0.000346390157709;6.71642643981e-05;0.00245693813616;0.0007374444499199999;653.416395585;2.7;1.7;2.7;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Dijkskendal_23_1586600;[11.680408150197763, 37.391186760107573, 31.404075217063259, 36.798540904782179];138.288509369;117.274211032;158.660176009;[2.9115340912214869, 9.3301864448379952, 7.8492026638100896, 9.1996352261955447];[2.9115340912214869, 9.3301864448379952, 7.8492026638100896, 9.1996352261955447];31256399.7895;36786392.1542;10844661.5174;7715490.53013;0.0005282232800990001;0.00190714642388;0.000228558564671;0.00161369070047;0.000387773714012;7.35354092125e-05;0.00269000119143;0.000816929450221;600.2493188569999;2.7;1.7;2.7;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Dijkskendal_20_4753060;[11.937647823283898, 38.39346185070282, 40.534800442219506, 38.159697360267842];157.88702774;129.025607476;178.297011301;[2.9707874849169711, 9.5983654626757051, 10.133700110554877, 8.2115514641535512];[2.9707874849169711, 9.5983654626757051, 10.133700110554877, 8.2115514641535512];34388429.7739;41999831.6927;11931344.7334;8670410.79146;0.000480113751325;0.00173344730986;0.000200187587696;0.00141338325728;0.000352456053175;6.54365481698e-05;0.00239373649273;0.000774018460372;685.554091755;2.7;1.7;2.7;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Dijkskendal_21_1586715;[35.684769722989365, 41.789851393985636, 16.828227924159787, 41.353939962124471];139.255077362;135.656789003;159.781108867;[8.9211924307473414, 10.424112347616541, 3.2656456800424687, 10.338484990531118];[8.9211924307473414, 10.424112347616541, 3.2656456800424687, 10.338484990531118];36155799.2498;37043510.7637;12544547.9132;7770000.408210001;0.0004566448083989999;0.00164871285711;0.000226972142134;0.00160249009068;0.000335227279842;7.30195268469e-05;0.00267112968186;0.0007262133467729999;664.682381986;2.7;1.7;2.7;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Dijkskendal_2_4753028;[36.03521957416234, 37.769964523354872, 35.510086988973747, 44.583506594361779];161.224884033;153.898777681;181.43779437;[9.0088048935405851, 9.1941217311366774, 7.2839532059757657, 11.145756337249573];[9.0088048935405851, 9.1941217311366774, 7.2839532059757657, 11.145756337249573];41017728.2796;42887741.2602;14231433.6392;8823144.02697;0.000402517611614;0.00145328699522;0.000196043082316;0.00138412183013;0.000295491991912;6.43038073133e-05;0.00235229966269;0.000653196774646;675.242685019;2.7;1.7;2.7;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Dijkskendal_3_1586639;[55.706463348932104, 40.223134898887302, 51.636788105011803, 64.538066026349583];129.816501617;639.713079699;153.890832556;[8.8067137762676069, 2.8077318642565166, 11.297732977894508, 15.181092673373129];[8.8067137762676069, 2.8077318642565166, 11.297732977894508, 15.181092673373129];56530941.4777;34532737.0899;21532442.9599;7483561.982139999;0.000292058783904;0.00105447617754;0.000243474618543;0.00171900242858;0.000125411821939;7.58143989135e-05;0.00277336898766;0.0006281508250730001;780.578191238;2.7;1.7;2.03156185032;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Dijkskendal_7_1586640;[49.242623469968692, 66.797687992131458, 46.078895864589207, 76.694110049647563];137.99502182;514.8033610159999;169.03848893;[11.957665535715295, 11.02216039865694, 11.519723966147302, 19.173527512411891];[11.957665535715295, 11.02216039865694, 11.519723966147302, 19.173527512411891];63649496.827;36708320.9673;21557405.6932;8220177.82521;0.000259394949591;0.0009365436343360001;0.00022904466259;0.00161712269477;0.000137089660721;6.90206179808e-05;0.00252484546683;0.000445816057976;797.225865083;2.7;1.7;2.16389230425;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Dijkskendal_1_1587120;[49.442113685615872, 48.374804287501469, 42.895074918158286, 48.110497466807004];175.558013916;353.014781618;197.700676824;[12.360528421403968, 12.093701071875367, 7.8451862378468871, 12.027624366701751];[12.360528421403968, 12.093701071875367, 7.8451862378468871, 12.027624366701751];50325738.2501;46700524.6872;16338533.046;9613992.23302;0.000328069862361;0.00118449392209;0.000180037484515;0.00127111760137;0.000186967984997;5.90141680643e-05;0.00215879919761;0.00053981316458;620.6358907719999;2.7;1.7;2.23488550676;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Dijkskendal_6_1586707;[37.560346152990618, 9.3836459680224529, 37.860290385113956, 61.923762974304978];113.574047089;290.424822824;125.481811657;[7.0666834817859128, 2.0457459639876512, 4.5941499330291542, 15.480940743576245];[7.0666834817859128, 2.0457459639876512, 4.5941499330291542, 15.480940743576245];39106555.5633;30212050.5443;12906734.8936;6102058.83984;0.000422189011103;0.0015243104442;0.000278294416921;0.00196484044789;0.000233645984075;9.29787418148e-05;0.0034012583725;0.0008198133891239999;634.141515101;2.7;1.7;2.2052186795;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Dijkskendal_12_1586708;[35.309598868264139, 70.731286428077453, 37.733433664284185, 70.84138334318277];145.960063934;362.319086703;157.778660238;[6.6215809800853584, 17.682821607019363, 4.4560065564945113, 17.710345835795692];[6.6215809800853584, 17.682821607019363, 4.4560065564945113, 17.710345835795692];57200250.0233;38827117.1282;18061660.1336;7672623.27288;0.000288641361082;0.00104213759656;0.000216545693116;0.00152887629352;0.000172876033787;7.39462545246e-05;0.00270503033713;0.0005149113631200001;719.373161108;2.7;1.7;2.29233893598;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Dijkskendal_13_1586616;[50.457741058787164, 44.001323902276717, 46.037509004869229, 54.894341214355592];108.507240295;412.405395771;132.216291375;[9.9202303155501337, 5.4539911015025409, 11.509377251217307, 13.723585303588898];[9.9202303155501337, 5.4539911015025409, 11.509377251217307, 13.723585303588898];52076381.5537;28864219.5313;17522754.3642;6429550.05911;0.000317041190811;0.00114467498132;0.000291289531702;0.00205658978094;0.000169516410798;8.82428394198e-05;0.00322801417326;0.000589263215303;701.1076293689999;2.7;1.7;2.17378360512;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Dijkskendal_9_1586609;[45.195362740745274, 57.481040124028397, 43.242219885093441, 47.617081047792183];118.071105957;345.106893678;142.694325994;[10.955864136212352, 14.370260031007099, 10.81055497127336, 6.3733137337108685];[10.955864136212352, 14.370260031007099, 10.81055497127336, 6.3733137337108685];51581923.0691;31408321.8168;16527803.0523;6939086.72363;0.000320080311834;0.00115564770631;0.00026769481793;0.00189000416098;0.000186748326305;8.17631737439e-05;0.00299098131283;0.000562886939633;676.294702689;2.7;1.7;2.26079929826;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Dijkskendal_10_1586709;[36.154212034227719, 59.703246103103396, 39.78964206129389, 59.806793206596915];106.663089752;337.073156101;118.037186544;[6.7301774111902493, 14.925811525775849, 4.6779279033919821, 14.951698301649229];[6.7301774111902493, 14.925811525775849, 4.6779279033919821, 14.951698301649229];52093166.7664;28373653.501;16541889.9828;5740033.93855;0.000316939035305;0.00114430614958;0.0002963257794740001;0.0020921471717;0.000187920851431;9.8842926624e-05;0.00361577630736;0.0005795800718810001;601.978964614;2.7;1.7;2.27985600416;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Dijkskendal_15_1586608;[51.502550801012831, 57.047767664946882, 43.224246721607152, 46.571101086617816];125.143875122;351.455148086;149.284310515;[10.526917833105589, 14.24212174592223, 10.806061680401788, 6.1743906763611882];[10.526917833105589, 14.24212174592223, 10.806061680401788, 6.1743906763611882];52863893.835;33289762.7355;16909436.9134;7259551.28155;0.00031231823506;0.00112762278292;0.000252565482578;0.00178318660288;0.000182781494456;7.81538322968e-05;0.00285894787619;0.000573140382845;716.72229113;2.7;1.7;2.26435555818;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Dijkskendal_5_1586638;[46.879529708356088, 51.256556669810621, 43.395506198848693, 26.691761798478517];106.279506683;318.45313648;130.56448052;[11.333247360436273, 12.814139167452655, 10.848876549712173, 1.2063775137998856];[11.333247360436273, 12.814139167452655, 10.848876549712173, 1.2063775137998856];44835572.7318;28271615.8317;14607750.9436;6349224.09875;0.000368242380212;0.0013295365142;0.000297395275893;0.00209969813103;0.00020853963376;8.93592263533e-05;0.00326885275991;0.0006609550961139999;642.246898175;2.7;1.7;2.22825152308;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Dijkskendal_11_1589387;[43.626525820824433, 63.056223087793178, 42.953517501185054, 69.13116003547735];126.731933594;431.144921257;152.720505436;[7.7350585424829266, 15.764055771948295, 8.9846289521871796, 12.673835166477364];[7.7350585424829266, 15.764055771948295, 8.9846289521871796, 12.673835166477364];58306784.4305;33712205.2217;19219130.8949;7426650.109;0.000283163583487;0.00102236011923;0.000249400623155;0.00176084176436;0.000157062859144;7.63953794889e-05;0.00279462185694;0.000529884919031;755.5002845739999;2.7;1.7;2.20741042202;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
