BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Doornstraat_4_1589530;[103.92428253455358, 138.1478070737848, 105.22766932563722, 128.00839301237039];245.010383606;1398.30682443;277.923524311;[21.806439375422485, 34.421567020466341, 21.882666376555889, 32.001592326584401];[21.806439375422485, 34.421567020466341, 21.882666376555889, 32.001592326584401];126681062.185;65175683.029;47791621.7616;13515151.5261;0.000130330119879;0.000470555977775;0.000129002790603;0.0009107976497389999;5.69165351655e-05;4.19796812719e-05;0.0015356600833;0.000217308396754;1975.25888177;2.7;1.7;2.03991692212;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Doornstraat_30_1589567;[50.488216836738587, 52.531121950322451, 62.876276678618922, 54.079831649140168];160.78490448;505.546644625;188.412776193;[12.057903338946602, 13.132780487580613, 14.808893693982093, 8.5062795054837022];[12.057903338946602, 13.132780487580613, 14.808893693982093, 8.5062795054837022];58628751.0135;42770701.4536;20266816.4713;9162330.63043;0.000281608557841;0.00101674571011;0.000196579544044;0.00138790940774;0.000143523437919;6.19233005545e-05;0.00226521826767;0.000493307844841;862.415612949;2.7;1.7;2.13512393852;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Doornstraat_11_1590940;[29.573466992218666, 50.296638492547054, 111.42327735785061, 56.894660189685936];211.294021606;530.128777896;239.344899467;[5.6268275778963837, 7.4413259399896283, 27.855819339462652, 14.223665047421484];[5.6268275778963837, 7.4413259399896283, 27.855819339462652, 14.223665047421484];66148086.8447;56206728.774;22339808.2686;11639110.404;0.000249596909124;0.0009011678784;0.000149587872726;0.00105613438494;0.000132582767083;4.87461441396e-05;0.00178318428111;0.0004338956426930001;1072.22487141;2.7;1.7;2.16816557293;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Doornstraat_23_1589490;[48.50364387735722, 44.699211056982882, 61.163351286197397, 39.12290430093104];110.926651001;302.906819872;129.298848221;[12.11656547904612, 6.0523937372991075, 15.290837821549349, 9.2969979654484991];[12.11656547904612, 6.0523937372991075, 15.290837821549349, 9.2969979654484991];51569504.8396;29507811.623;15973303.704;6287677.62714;0.00032015738899;0.00115592599284;0.000284936243244;0.00201173369552;0.000198482462759;9.02339125911e-05;0.00330084968557;0.0005596378257490001;588.822956028;2.7;1.7;2.33877436171;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Doornstraat_38_1590570;[42.874892390553796, 58.20904536992137, 41.036151508041343, 74.045281623175967];224.113769531;458.96592326;187.769847915;[10.718723097638449, 13.580548161462461, 6.6414362420744997, 18.511320405793992];[10.718723097638449, 13.580548161462461, 6.6414362420744997, 18.511320405793992];57613273.9993;59616934.5578;19421279.8575;9131065.651630001;0.0002865721191459999;0.00103466661316;0.000141031152517;0.000995721423172;0.000152727578474;6.21353273598e-05;0.00227297442712;0.000483869333664;663.145621485;2.7;1.7;2.17098348687;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Doornstraat_8_4752888;[45.420130639897579, 38.731914497681046, 40.829806373766992, 29.687918850053798];175.810798645;486.457352759;218.701024378;[11.03290004215134, 9.6829786244202616, 10.105588597239674, 7.1816269241524289];[11.03290004215134, 9.6829786244202616, 10.105588597239674, 7.1816269241524289];41223216.3851;46767768.4387;15962910.962;10635218.7737;0.000400511155333;0.00144604269898;0.000179778622562;0.00126928995983;0.000167073653052;5.33474454529e-05;0.00195150463382;0.00062964135692;757.161551561;2.7;1.7;2.01795134658;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Doornstraat_18_1589633;[11.946608273064848, 50.938497758997023, 58.446357255391135, 48.946518916507181];230.856063843;432.291455715;190.337049433;[2.9771452862025991, 12.734624439749256, 13.614877773238959, 11.065374895287311];[2.9771452862025991, 12.734624439749256, 13.614877773238959, 11.065374895287311];45383180.4988;61410465.2256;16223605.2678;9255906.17241;0.0003637990515309999;0.00131349390737;0.000136912250368;0.000966640762367;0.000174706187716;6.12972671546e-05;0.00224231731954;0.000592402122329;639.861232943;2.7;1.7;2.09389624743;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Doornstraat_10_1590900;[39.832258942579813, 37.335951250147261, 46.369086097130143, 30.453737096921245];185.419570923;436.409185242;223.530014623;[9.9580647356449532, 9.3294856003058229, 11.591596706715187, 6.698048359296048];[9.9580647356449532, 9.3294856003058229, 11.591596706715187, 6.698048359296048];41042316.6456;49323816.4195;15266322.2138;10870047.8873;0.000402276464155;0.00145241633402;0.000170462174271;0.00120351309433;0.00018010321992;5.2194963563e-05;0.00190934565639;0.000636777692846;793.199826066;2.7;1.7;2.05285928572;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Doornstraat_2_1589607;[104.46686685827005, 89.992276277056675, 102.89156736528335, 99.082624684297457];227.05493927;1292.91910636;288.285314867;[25.914627824773103, 22.478117752098694, 21.463674762086846, 24.683733934614843];[25.914627824773103, 22.478117752098694, 21.463674762086846, 24.683733934614843];105659025.163;60399320.7726;41517086.1108;14019035.3546;0.000156260745312;0.0005641783178480001;0.000139204297046;0.0009828232861499998;6.35352202949e-05;4.04708126527e-05;0.00148046411137;0.000253102186849;2030.99364702;2.7;1.7;2.00661882343;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Doornstraat_13_1589790;[68.837322998496475, 52.357009795379263, 52.066744457046781, 51.166427973464785];147.44865799;507.609649389;176.206266367;[14.141991255856016, 7.7538566215208, 12.882995777460179, 12.791606993366196];[14.141991255856016, 7.7538566215208, 12.882995777460179, 12.791606993366196];59815331.6516;39223100.8937;20570196.6706;8568739.89241;0.000276022176339;0.0009965761191350001;0.000214359517698;0.00151344125198;0.000141975639316;6.62129741983e-05;0.00242213895848;0.000503008053647;832.559739682;2.7;1.7;2.14212616032;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Doornstraat_14_1589535;[43.314695185959899, 36.330855444578944, 49.170603396077198, 33.06074033616413];195.547523499;552.97194136;260.728835599;[10.806166854698818, 8.6571018587608464, 12.236732615882326, 7.9179703121261795];[10.806166854698818, 8.6571018587608464, 12.236732615882326, 7.9179703121261795];43144088.3922;52017972.5491;17280135.3557;12678990.4852;0.000382679496455;0.00138166162048;0.000161633462017;0.00114117978872;0.000150477252371;4.474818039100001e-05;0.00163693463945;0.0006039763975859999;868.1791404889999;2.7;1.7;1.99273979791;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
