BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Eikenlaan_105_1589123;[41.327405607195672, 85.957564403088426, 39.170501996193892, 52.06108645936699];199.031181335;428.354250727;168.138090124;[5.8957632228745407, 21.179442630756149, 9.7926254990484729, 13.015271614841748];[5.8957632228745407, 21.179442630756149, 9.7926254990484729, 13.015271614841748];58239922.0761;52944667.0655;19167073.4258;8176392.30423;0.000283488669497;0.00102353383997;0.000158804379293;0.00112120563247;0.000157682677252;6.93902313267e-05;0.00253836630463;0.000479687877622;671.654650536;2.7;1.7;2.21013047751;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Eikenlaan_81_1586675;[49.325141211194037, 108.07512771457364, 46.916410803838026, 108.52825354314822];391.095909119;770.042214157;274.992302303;[5.2777777492075231, 16.8832980382494, 11.729102700959507, 25.003857876683128];[5.2777777492075231, 16.8832980382494, 11.729102700959507, 25.003857876683128];83380704.2524;104036174.433;29490706.2734;13372609.0419;0.000198011736276;0.000714919975989;8.08165528582e-05;0.0005705886365650001;9.69029514733e-05;4.24271547632e-05;0.00155202912561;0.00040629444454;1048.04734118;2.7;1.7;2.10626984797;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Eikenlaan_41_1589162;[33.652328553030628, 95.110096919047095, 42.324600032195093, 59.628577970668509];213.383197784;453.903484945;179.448111097;[4.2923788130225535, 23.777524229761774, 10.581150008048773, 14.903880430138186];[4.2923788130225535, 23.777524229761774, 10.581150008048773, 14.903880430138186];61491261.177;56762474.5443;20258489.0698;8726387.65852;0.000268499258349;0.0009694146768360002;0.000148123299023;0.00104579406376;0.000149064197168;6.50167945328e-05;0.00237838147131;0.0004467995427569999;701.138353898;2.7;1.7;2.20829220556;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Eikenlaan_75_1586673;[71.245776135927784, 126.82099656333286, 69.899723136681615, 109.10883248694417];404.687515259;869.3453631130001;298.106112037;[11.150234099995901, 31.705249140833214, 17.474930784170404, 19.817404382773251];[11.150234099995901, 31.705249140833214, 17.474930784170404, 19.817404382773251];100499650.427;107651703.704;34776755.864;14496611.1992;0.000164282740793;0.000593141675904;7.810229379500001e-05;0.000551425169139;8.35739439487e-05;3.91375436376e-05;0.00143169175425;0.000298552353227;1188.40395071;2.7;1.7;2.1337462927;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Eikenlaan_2_1586837;[88.745289196284432, 92.847537107166218, 89.820037489093451, 95.027530184365006];335.326225281;863.841608577;299.274629114;[22.186322299071108, 21.16998656236591, 16.762100337745199, 22.822122309410403];[22.186322299071108, 21.16998656236591, 16.762100337745199, 22.822122309410403];97665184.4628;89200773.6512;34044527.9018;14553435.0518;0.000169050599881;0.000610355997482;9.42575343919e-05;0.0006654859200560001;8.48884533984e-05;3.89847311917e-05;0.0014261017172;0.000288499716079;1158.08544127;2.7;1.7;2.12419859189;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Eikenlaan_45_1586607;[42.444620363993053, 66.394068956808326, 37.452479772902919, 71.86951361326696];183.123062134;411.232139616;152.75260067;[4.3340455166545322, 16.252028345689375, 9.3631199432257297, 17.96737840331674];[4.3340455166545322, 16.252028345689375, 9.3631199432257297, 17.96737840331674];58145072.6211;48712917.7028;18921149.4865;7428210.86913;0.000283951111877;0.00102520348492;0.00017259990546;0.00121860610537;0.000161152740654;7.63793278629e-05;0.00279403467189;0.000499374614848;568.324009007;2.7;1.7;2.23050494281;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Eikenlaan_8_1589210;[44.939609510858013, 91.532086076640383, 49.259046329643191, 25.369311346208875];91.93265151979999;424.0325788980001;116.47509494;[10.998421769602567, 22.70345488978689, 4.9102517619222423, 6.3422580933861514];[10.998421769602567, 22.70345488978689, 4.9102517619222423, 6.3422580933861514];56263244.9396;24455181.3164;18650099.5637;5664070.93835;0.000293448378931;0.00105949330058;0.000343806283071;0.00242737349419;0.00016114407536;0.000100168546542;0.00366426885263;0.0005322799763680001;697.8771420889999;2.7;1.7;2.19783923163;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Eikenlaan_91_1589131;[55.655802049545173, 35.926918787924066, 40.633373223695841, 32.542944739781127];183.432712555;389.436025495;147.058448397;[13.913950512386293, 4.7236903967475889, 9.7748518607627961, 8.1122138174175014];[13.913950512386293, 4.7236903967475889, 9.7748518607627961, 8.1122138174175014];43912249.2522;48795288.4065;15320646.6612;7151309.764830001;0.000375985250177;0.00135749209155;0.000172308541763;0.00121654899195;0.00018850460531;7.93367609662e-05;0.00290222062825;0.00065512695453;506.612511876;2.7;1.7;2.12307087176;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Eikenlaan_109_1589121;[44.802139484165927, 99.478041529991032, 45.027225400111085, 76.746107938865592];84.973613739;581.9101122540001;114.265457161;[10.209848104783571, 20.540144498841393, 10.303366649394777, 18.911806379240019];[10.209848104783571, 20.540144498841393, 10.303366649394777, 18.911806379240019];70909664.93699999;22603994.3017;24125979.4806;5556618.39553;0.000232836497473;0.0008406545304520001;0.000371962799052;0.00262616677967;0.000122060997989;0.000102105581673;0.0037351275976;0.000399036999888;796.351914423;2.7;1.7;2.15720723657;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Eikenlaan_26_1588699;[48.408007210372951, 57.864417236775381, 48.40340342106164, 72.140922863055977];118.057369232;625.7793285509999;145.628057108;[12.102001802593238, 14.374178183376639, 6.1120487504103433, 14.215727896134489];[12.102001802593238, 14.374178183376639, 6.1120487504103433, 14.215727896134489];60452123.0834;31404667.6842;22263583.1477;7081751.22332;0.000273114610022;0.000986078371472;0.000267725965922;0.00189022407497;0.000124438239479;8.01160243444e-05;0.002930726887179999;0.0005112456619760001;825.1253067260001;2.7;1.7;2.06245484691;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
