BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Grensstraat_11_1588643;[33.141696752019186, 32.294657234286007, 33.469307159071619, 12.263822629802025];138.569488525;111.169483775;158.805480212;[8.2847707180294901, 8.0736643085715016, 8.3673267897679047, 3.0443911159597761];[8.2847707180294901, 8.0736643085715016, 8.3673267897679047, 3.0443911159597761];29629343.0473;36861135.9597;10280140.9789;7722556.532639999;0.00055722997282;0.00201187488318;0.000228095113493;0.00161041859882;0.000409067801931;7.34681256148e-05;0.00268753988796;0.0008616560322869999;564.367094157;2.7;1.7;2.7;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Grensstraat_14_1586727;[29.41596328127817, 80.761516807804099, 20.089651874546934, 65.607663433750858];189.261108398;374.240472277;162.680306766;[7.3539908203195425, 19.670000303332039, 3.2474186562599838, 15.886178826025484];[7.3539908203195425, 19.670000303332039, 3.2474186562599838, 15.886178826025484];52205347.2776;50345711.1864;17053872.9106;7910985.59116;0.000316257986623;0.00114184722812;0.000167002209167;0.00117908472289;0.000178257550808;7.1718213473e-05;0.00262352629509;0.0005184048932009999;508.162316966;2.7;1.7;2.22339287145;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Grensstraat_24_1586741;[35.751994184109215, 118.01116861325391, 23.337249779070493, 125.51705145159504];431.436538696;757.599382363;340.566743554;[8.1592775880311255, 27.737612317088431, 3.8424161098382714, 30.190181909792198];[8.1592775880311255, 27.737612317088431, 3.8424161098382714, 30.190181909792198];80654837.5445;114767262.837;28693059.8406;16561430.5421;0.000204703877952;0.000739081906267;7.3259959176e-05;0.000517236862284;9.91514225122e-05;3.42580160551e-05;0.00125319359736;0.000342177820856;1970.49610601;2.7;1.7;2.09944259601;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Grensstraat_4_1588736;[48.693051646077592, 16.51857303553972, 74.156752868884311, 29.724067097866754];75.2994308472;439.646369209;93.1839603245;[11.381286267696328, 3.2125921962641355, 18.157463217005397, 7.4310167744666886];[11.381286267696328, 3.2125921962641355, 18.157463217005397, 7.4310167744666886];45067206.2068;20030546.3178;16246169.8913;4531445.64396;0.000366349712143;0.0013227030495;0.000419751156899;0.00296356664372;0.000173344639614;0.000125205463772;0.00458014513451;0.000595493164449;472.269983465;2.7;1.7;2.08461012416;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Grensstraat_22_1586740;[29.620533870790101, 79.690433819046177, 20.702565626724212, 87.43333764193568];97.5245437622;393.992326891;115.921076438;[7.358701972851672, 19.380669398580217, 3.6943438842937071, 21.319399135655235];[7.358701972851672, 19.380669398580217, 3.6943438842937071, 21.319399135655235];57954824.6102;25942691.3188;18651468.7108;5637129.55576;0.000284883236762;0.00102856891524;0.000324093012821;0.00228819200728;0.000164913790212;0.000100647279399;0.0036817813948;0.000462355165927;506.851142653;2.7;1.7;2.25190635989;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Grensstraat_1_1589045;[45.361626323312088, 12.352420532132333, 47.576928193240313, 71.133670610743735];201.677909851;439.651337859;215.140396737;[6.9903393219989036, 2.6002605857144769, 11.894232048310078, 11.939108588741568];[6.9903393219989036, 2.6002605857144769, 11.894232048310078, 11.939108588741568];47021414.2472;53648728.4047;16701440.762;10462068.9037;0.000351124233187;0.00126773156521;0.000156720303355;0.00110649144329;0.000170549994999;5.42303590841e-05;0.00198380252602;0.0007159036128500001;780.56631282;2.7;1.7;2.10128308609;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Grensstraat_20_4754206;[24.648524225675438, 84.360554424712035, 17.419165875294023, 77.419389591121273];92.0442733765;363.870247642;109.204757224;[6.1621310564188594, 20.563707988061612, 2.574808406112199, 18.823952848219292];[6.1621310564188594, 20.563707988061612, 2.574808406112199, 18.823952848219292];54330300.6862;24484874.061;17413341.7655;5310521.46421;0.000303888581738;0.00109718757911;0.000343389350065;0.00242442982452;0.000177212035489;0.000106837295966;0.00390821859178;0.000497215969444;457.947711081;2.7;1.7;2.26022067052;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Grensstraat_18_1586742;[20.041155624029511, 79.525414344962499, 17.845206012957963, 79.274060036459076];93.6249465942;369.1924735919999;114.417212412;[5.0102889060073776, 19.386097049655703, 3.1662148466718927, 19.305955398823009];[5.0102889060073776, 19.386097049655703, 3.1662148466718927, 19.305955398823009];52421509.1232;24905351.9815;17038240.605;5563998.106269999;0.000314953886241;0.0011371387829;0.000337591895768;0.00238349809178;0.000179130109739;0.000101970155735;0.003730173577;0.000510541005124;469.803870667;2.7;1.7;2.2327460609;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Grensstraat_28_1586744;[42.765959800430068, 58.024300758075825, 44.066965955796704, 27.45671147703548];193.581573486;308.543063968;208.836621725;[10.184928329201286, 14.506075189518956, 6.26857592692543, 1.6062651452687189];[10.184928329201286, 14.506075189518956, 6.26857592692543, 1.6062651452687189];45925811.7174;51495006.408;14732188.2235;10155522.4367;0.000359500625107;0.0012979744691;0.000163274957645;0.00115276923072;0.000209322589608;5.58673132717e-05;0.00204368400029;0.000734767364159;690.431926933;2.7;1.7;2.25847613547;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Grensstraat_12_2983547;[25.87799900109848, 33.427954882790935, 16.820275518777301, 23.812728144738799];40.4506187439;261.741432523;58.8745709634;[6.4694997502746201, 8.1575302833866186, 4.2050688796943252, 5.9419516154036405];[6.4694997502746201, 8.1575302833866186, 4.2050688796943252, 5.9419516154036405];26636137.5119;10760346.8342;9626796.16922;2863013.30404;0.0006198480546799999;0.00223795702569;0.000781373046776;0.00551672356269;0.000291957987683;0.000198169443575;0.00724924284816;0.00096586223411;297.685883949;2.7;1.7;2.08182322372;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Grensstraat_30_1589815;[52.781405286478019, 59.05397483300176, 50.473934860647333, 64.787749870752748];186.719959259;456.963497041;202.762386006;[12.623570984041532, 14.76349370825044, 9.9583175550111562, 9.8219005310517211];[12.623570984041532, 14.76349370825044, 9.9583175550111562, 9.8219005310517211];60526833.5429;49669735.22;20073823.3715;9860138.24297;0.000272777494782;0.0009848612192780001;0.000169275011291;0.00119513137447;0.000149654147879;5.75409532227e-05;0.00210490747767;0.000507307573856;691.035249105;2.7;1.7;2.19696981558;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
