BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Hortensiastraat_6_1591032;[38.372410151002363, 59.039974084924069, 39.601444778022341, 11.367931836668658];201.911144257;398.08955504;163.838998017;[9.5931025377505907, 14.55013047130976, 7.3898709464656998, 2.8180902621022166];[9.5931025377505907, 14.55013047130976, 7.3898709464656998, 2.8180902621022166];39547310.511;53710771.5372;14417034.147;7967331.62328;0.000417483712738;0.00150732199767;0.000156539270422;0.00110521329752;0.000193666591373;7.12110126996e-05;0.00260497236714;0.000696578978887;576.734228938;2.7;1.7;2.07273462459;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hortensiastraat_7_1590908;[41.830526548729459, 75.149815120004135, 38.861451229796693, 60.331312286283932];108.048259735;506.567300741;130.400597207;[5.218379887139263, 18.787453780001034, 9.4243535514393209, 15.081323251222388];[5.218379887139263, 18.787453780001034, 9.4243535514393209, 15.081323251222388];57615335.3746;28742125.2303;20044091.6441;6341254.61214;0.0002865618661;0.00103462959461;0.00029252690686;0.00206532601355;0.000144402364468;8.94715301798e-05;0.00327296094983;0.0004932503556359999;758.611443688;2.7;1.7;2.12674113562;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hortensiastraat_30_1590558;[54.238278186056561, 100.85008934559423, 45.452916602862587, 78.664244990061107];220.735168457;531.996102245;248.559731445;[13.55956954651414, 25.212522336398557, 6.1950937842665166, 18.43226875685454];[13.55956954651414, 25.212522336398557, 6.1950937842665166, 18.43226875685454];74414993.4155;58718186.3927;24290031.7203;12087218.7488;0.000221868702302;0.0008010553834119999;0.000143189793601;0.00101096206422;0.00012523050185;4.6938982838e-05;0.00171707645488;0.000377421541069;1077.30548707;2.7;1.7;2.22482626836;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hortensiastraat_38_2983562;[60.108917452302052, 99.149325416343089, 61.585120425247688, 72.268266976201133];165.56180191;539.5994995330001;191.606190073;[15.027229363075513, 24.446872657644708, 8.391615177795499, 16.473377423012664];[15.027229363075513, 24.446872657644708, 8.391615177795499, 16.473377423012664];78121304.0621;44041413.1198;25252844.3612;9317623.25125;0.000211342580864;0.000763050896266;0.000190907702424;0.00134786453744;0.000121380870422;6.08912528559e-05;0.00222746489731;0.000371909488817;882.327969618;2.7;1.7;2.24320219074;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hortensiastraat_36_4753446;[47.554199803230738, 91.240506279925512, 45.841937447254821, 121.30204202017464];133.803127289;723.7811995889999;155.281069274;[11.888549950807684, 22.347661350763886, 8.3232881635952296, 30.32551050504366];[11.888549950807684, 22.347661350763886, 8.3232881635952296, 30.32551050504366];81540023.0153;35593227.0466;28457095.5794;7551167.845869999;0.000202481645337;0.0007310585510980001;0.000236220362351;0.00166778524592;0.000101463363824;7.51356300096e-05;0.00274853892035;0.000328302346415;965.5299704610001;2.7;1.7;2.1226949881;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hortensiastraat_44_1589551;[61.193539782893076, 77.016556689947095, 61.984996027437091, 68.973130999152048];99.84797286989999;568.023249745;128.759533706;[15.298384945723269, 10.73905560026834, 13.790215689334705, 17.243282749788012];[15.298384945723269, 10.73905560026834, 13.790215689334705, 17.243282749788012];71739809.8891;26560751.1612;24137812.2278;6261451.285180001;0.000230142204816;0.0008309268058310001;0.000316551476244;0.00223494654059;0.000123065082182;9.06118609836e-05;0.00331467542798;0.000419273280187;804.417173066;2.7;1.7;2.17386832074;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hortensiastraat_26_1590580;[57.682274164744086, 60.603144038798952, 48.592236707136429, 46.025846004377854];129.540149689;471.657605529;156.08255065;[14.420568541186022, 14.287333804310915, 9.2122052129621448, 11.506461501094464];[14.420568541186022, 14.287333804310915, 9.2122052129621448, 11.506461501094464];56743907.14399999;34459224.1822;19384686.9312;7590143.108089999;0.000290962657524;0.00105051862098;0.000243994030328;0.00172266962858;0.000151437954635;7.47498097635e-05;0.0027344252174;0.000484118567138;797.447519151;2.7;1.7;2.15139418599;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hortensiastraat_24_1589748;[37.911862637075238, 41.189040578032134, 36.461066161433052, 57.339912952967303];71.9585151672;414.9708215380001;95.7932456232;[9.4779656592688095, 10.259735683383997, 7.1194717888013157, 14.334978238241826];[9.4779656592688095, 10.259735683383997, 7.1194717888013157, 14.334978238241826];46082513.0341;19141822.9169;16160044.2902;4658332.6582;0.000358278160931;0.00129356077083;0.000439239513745;0.00310116017585;0.000178010128789;0.000121795027328;0.00445538784826;0.0005808951219110001;537.941568286;2.7;1.7;2.11666033696;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hortensiastraat_22_1589832;[34.693651536718036, 80.040319554222094, 35.368394784169297, 19.589400124335718];105.406257629;429.451897835;130.725815238;[8.6734128841795091, 20.010079888555524, 4.080720414586823, 4.5429623749038832];[8.6734128841795091, 20.010079888555524, 4.080720414586823, 4.5429623749038832];45226939.7713;28039321.1725;16150083.928;6357069.64964;0.000365055829655;0.00131803149591;0.000299859077846;0.00211709329758;0.000175649138742;8.92489440382e-05;0.00326481851896;0.0006413865276869999;688.55268696;2.7;1.7;2.09513567609;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hortensiastraat_40_4754385;[36.019623498292532, 12.029307777956946, 37.750453685888075, 72.71498689410025];77.7903251648;413.691556915;104.16965005;[9.004905874573133, 3.0029709431308285, 7.369265402932462, 18.178746723525062];[9.004905874573133, 3.0029709431308285, 7.369265402932462, 18.178746723525062];42247895.2152;20693153.9025;15250090.8652;5065669.08414;0.000390797173134;0.00141097043482;0.0004063104652790001;0.00286867140711;0.000184478730396;0.000112001345525;0.00409712485631;0.0006371389538200001;595.073106021;2.7;1.7;2.08317043026;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
