BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Hovenierslaan_15_1589236;[30.214950230007183, 66.395725477436514, 32.363155497317649, 76.661477734829973];105.250934601;529.452539164;136.059145577;[7.5537375575017958, 16.554696660550519, 4.5208648509963023, 19.165369433707493];[7.5537375575017958, 16.554696660550519, 4.5208648509963023, 19.165369433707493];54806759.0521;27998003.3952;19689081.2667;6616424.33309;0.000301246749607;0.00108764926285;0.000300301591922;0.00212021757713;0.000143412387492;8.57505088618e-05;0.00313684214821;0.000500648305371;713.24636307;2.7;1.7;2.08839233685;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hovenierslaan_17_1589237;[42.695218285946737, 123.2185833465457, 35.551807699885444, 109.45637882087502];189.809734344;708.923269892;228.235186326;[10.673804571486684, 27.06300267000676, 4.8763034022048082, 27.165166830893533];[10.673804571486684, 27.06300267000676, 4.8763034022048082, 27.165166830893533];82868193.0967;50491652.2287;28572229.4894;11098855.8253;0.000199236370481;0.000719341509142;0.000166519506078;0.00117567669709;0.000102007332836;5.11189407572e-05;0.0018699836312;0.0003429193247190001;1052.08386652;2.7;1.7;2.13858341425;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hovenierslaan_49_1588877;[43.917994275924144, 43.906637526614141, 40.289931886261115, 23.146057211578544];97.9166641235;307.483750173;113.782116001;[10.731021445143929, 10.654071337071914, 9.6511463979885512, 1.9939814800805102];[10.731021445143929, 10.654071337071914, 9.6511463979885512, 1.9939814800805102];40314596.0025;26047000.0098;13411162.2766;5533113.98354;0.000409537975276;0.00147863396866;0.000322795139059;0.00227902863672;0.000223469647717;0.000102539321456;0.003750994246679999;0.0007244371764199999;486.420959441;2.7;1.7;2.19193045426;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hovenierslaan_11_1588658;[47.907100243684617, 58.700627704322052, 45.610792403552324, 121.16509293986502];174.830928802;700.27274293;203.985698394;[10.482985953004182, 10.39929760351648, 5.6866121347534015, 27.780238533725957];[10.482985953004182, 10.39929760351648, 5.6866121347534015, 27.780238533725957];72863312.7244;46507111.3787;26128583.7474;9919626.73831;0.000226593568198;0.0008181144783730001;0.0001807862226;0.0012764039125;0.000108217810223;5.71958772619e-05;0.00209228424275;0.000440270486971;924.256127247;2.7;1.7;2.09039590795;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hovenierslaan_29_1586651;[67.568190729437632, 71.327851919467278, 78.552567441966076, 70.764502615611747];157.683952332;572.99103629;205.298906288;[14.325068159755491, 8.6723238454989513, 9.834194116918864, 17.64889010677194];[14.325068159755491, 8.6723238454989513, 9.834194116918864, 17.64889010677194];76815731.2342;41945811.2129;25385208.9146;9983486.76496;0.000214934594199;0.0007760198350560001;0.000200445401986;0.00141520350201;0.000118673156289;5.68300200887e-05;0.00207890080962;0.000474011371904;911.403061221;2.7;1.7;2.20299759412;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hovenierslaan_21_1589239;[30.133067318879458, 86.582525647818585, 34.654117722940221, 113.0823183892665];110.853412628;604.889040798;129.808574082;[7.526269461023201, 21.645631411954646, 3.2377032262894772, 28.270579597316626];[7.526269461023201, 21.645631411954646, 3.2377032262894772, 28.270579597316626];70482830.5669;29488329.3427;24326972.4536;6312465.101530001;0.000234246523418;0.00084574541917;0.000285124494254;0.00201306280302;0.00011971256805;8.98795865455e-05;0.00328788807299;0.0003943349926449999;741.685248574;2.7;1.7;2.13719097428;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hovenierslaan_5_1586811;[14.425875504087838, 44.522429462727871, 52.607049840855112, 44.012760447630995];110.24502182;380.34048464;147.846126712;[3.5533377560777284, 11.130607365681968, 13.151762460213778, 4.8393060701478001];[3.5533377560777284, 11.130607365681968, 13.151762460213778, 4.8393060701478001];41462646.9207;29326490.1345;14631113.9899;7189613.797619999;0.000398198360383;0.00143769236914;0.000286697963229;0.00202417195685;0.000195665934965;7.89140793064e-05;0.00288675849673;0.0007323124650049999;587.031269606;2.7;1.7;2.10902328713;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hovenierslaan_47_4753751;[42.327892367615732, 31.087998243043149, 35.552965838788332, 51.163050417419271];175.827899933;276.021646857;192.31939003;[10.581973091903933, 4.1820944691729611, 6.5550596677866171, 12.777438457050597];[10.581973091903933, 4.1820944691729611, 6.5550596677866171, 12.777438457050597];42679007.2262;46772317.5852;13550693.8855;9352305.473660002;0.000386849626877;0.00139671784693;0.000179761137021;0.00126916650677;0.0002294265669;6.06654428692e-05;0.00221920453485;0.0007017809362999999;605.410340402;2.7;1.7;2.2801425674;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hovenierslaan_7_1587100;[45.188979018028029, 15.290202051735978, 49.108422862829073, 52.308669182389423];110.898693085;373.679659345;143.805118716;[11.297244754507007, 3.7030814754731707, 6.3862908535036791, 12.85280501167882];[11.297244754507007, 3.7030814754731707, 6.3862908535036791, 12.85280501167882];43149253.296;29500374.4839;14936909.4088;6993103.496710001;0.000382633690267;0.00138149623756;0.000285008076585;0.00201224086004;0.00019452390308;8.11316111187e-05;0.00296787809994;0.000698852910693;597.38392225;2.7;1.7;2.1332488244;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hovenierslaan_41_1588511;[42.879305387076968, 50.165452542925813, 28.388361475085361, 33.739921500823982];182.218608856;321.690718213;203.306203919;[10.680466421257538, 12.541363135731453, 7.0970903687713403, 4.5556316688788758];[10.680466421257538, 12.541363135731453, 7.0970903687713403, 4.5556316688788758];41357350.0979;48472322.3482;13839803.5261;9886583.58078;0.000399212183127;0.001441352769;0.000173456615712;0.00122465473176;0.000215548333258;5.73870385834e-05;0.00209927712125;0.000686125518395;561.9841567980001;2.7;1.7;2.18236716859;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
