BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Iepenstraat_17_1586749;[40.700786821071183, 35.311658751532214, 40.966869706027595, 37.372227271357644];146.222156525;154.35154255;168.918405668;[10.175196705267796, 8.8279146878830534, 10.241717426506899, 9.3430568178394111];[10.175196705267796, 8.8279146878830534, 10.241717426506899, 9.3430568178394111];41138401.0143;38896836.8818;14273302.0236;8214338.2926;0.000401336892389;0.00144902401679;0.000216157550696;0.00152613589386;0.000294625214743;6.90696843979e-05;0.00252664036702;0.000620099271996;642.9009465309999;2.7;1.7;2.7;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Iepenstraat_6_1586755;[34.740452646274491, 46.408318768854762, 37.978281616429555, 46.410725121228779];154.184669495;165.537778153;177.415659835;[8.6851131615686228, 11.602079692213691, 9.4945704041073888, 11.602681280307195];[8.6851131615686228, 11.602079692213691, 9.4945704041073888, 11.602681280307195];44119802.0322;41014960.2601;15307723.2975;8627551.52423;0.000374216502805;0.00135110604165;0.000204994590678;0.00144732211238;0.000274715879826;6.57616186718e-05;0.00240562790731;0.000578195987857;677.2481776000001;2.7;1.7;2.7;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Iepenstraat_23_1586611;[43.13726389367006, 49.1526919727634, 41.590497861350649, 44.381106569225636];170.128871918;178.261560297;194.323071252;[8.7550792700322688, 12.28817299319085, 10.397624465337662, 11.095276642306409];[8.7550792700322688, 12.28817299319085, 10.397624465337662, 11.095276642306409];47510996.2089;45256308.1899;16484325.6328;9449742.548810001;0.000347506037304;0.00125466809452;0.000185782829543;0.00131168142735;0.000255107474062;6.00399164821e-05;0.00219632213378;0.000562540754051;739.3510672760001;2.7;1.7;2.7;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Iepenstraat_22_1586612;[34.932147610109453, 36.571345169042402, 37.570108492281385, 36.791475511195998];139.73746109;145.865076783;161.383403863;[8.7330369025273633, 9.1428362922606006, 9.3925271230703462, 9.1978688777989994];[8.7330369025273633, 9.1428362922606006, 9.3925271230703462, 9.1978688777989994];38876553.6355;37171830.5863;13488535.7232;7847918.460360001;0.000424686770739;0.00153332858774;0.000226188618037;0.00159695818007;0.000311766581644;7.22945525331e-05;0.00264460937296;0.0006561767989830001;583.606007534;2.7;1.7;2.7;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Iepenstraat_7_4752862;[42.822712583494869, 40.738220173988765, 18.570414404983808, 41.419948991044102];178.420597076;143.551296154;203.707639304;[10.680008574427351, 10.184555043497191, 4.324664813990112, 6.9926710306117119];[10.680008574427351, 10.184555043497191, 4.324664813990112, 6.9926710306117119];38259875.4099;47462005.9353;13274574.2092;9906104.994339999;0.0004315319337569999;0.00155804300049;0.000177148959985;0.00125072376848;0.000316791680662;5.72739491184e-05;0.00209514019186;0.0007435334828370001;740.892912635;2.7;1.7;2.7;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Iepenstraat_5_1586595;[18.04074599883214, 41.442550708357572, 43.146762870934644, 40.715815788293739];183.779247284;143.345875366;206.179776873;[4.2227848245572108, 10.360637677089393, 10.786690717733661, 6.8858844938102557];[4.2227848245572108, 10.360637677089393, 10.786690717733661, 6.8858844938102557];38205125.8261;48887470.7758;13255578.3968;10026322.6475;0.000432150337525;0.00156027574293;0.000171983636232;0.00121425506333;0.000317245656727;5.65872227891e-05;0.00207001903372;0.0007418254429589999;766.036121203;2.7;1.7;2.7;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Iepenstraat_13_1586747;[27.268333824905596, 43.012876242384515, 56.503979421123383, 45.879886807606582];121.075595856;306.201003115;135.2608509;[1.4067087648702623, 10.145574378997042, 14.105735920363061, 6.2102989550993426];[1.4067087648702623, 10.145574378997042, 14.105735920363061, 6.2102989550993426];46019398.5268;32207551.949;14723375.5313;6577604.03693;0.000358769530882;0.00129533485857;0.000261051973261;0.00184310372353;0.000209883311927;8.62565989413e-05;0.00315535544584;0.000750849786837;664.5079880440001;2.7;1.7;2.26389454815;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Iepenstraat_11_1586594;[59.733443744328788, 43.987152125180636, 47.799046786320709, 42.133238376230764];123.342815399;326.156627065;138.564223856;[14.933360936082197, 10.512701267782933, 6.1201309719229613, 6.9459141622270888];[14.933360936082197, 10.512701267782933, 6.1201309719229613, 6.9459141622270888];51613153.6223;32810659.3772;16287369.6852;6738243.861;0.000319886634747;0.00115494843656;0.000256253459998;0.00180922480833;0.00019180256953;8.42002404649e-05;0.00308013172966;0.000621319409547;697.948013289;2.7;1.7;2.29374197843;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Iepenstraat_9_1586746;[37.606082036044171, 41.675206434294168, 49.758584925868526, 40.822290375575733];97.58262634280001;309.097782363;112.661474952;[4.1297789219548138, 9.8385391361269523, 12.439646231467131, 10.205572593893933];[4.1297789219548138, 9.8385391361269523, 12.439646231467131, 10.205572593893933];45272354.8787;25958141.9777;14587209.1363;5478618.29584;0.0003646896227330001;0.0013167093084;0.000323900108006;0.00228683004253;0.000210664657372;0.000103559277681;0.00378830529848;0.000653537511764;584.736771267;2.7;1.7;2.24954183907;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Iepenstraat_14_1586592;[51.213019877311183, 43.730430082820774, 20.72024438418277, 43.133365395197544];164.205360413;295.089921678;179.042221293;[12.803254969327796, 10.932607520705194, 0.0, 10.17669063567639];[12.803254969327796, 10.932607520705194, 0.0, 10.17669063567639];42323238.3398;43680583.51;13717070.2462;8706649.63087;0.000390101482509;0.00140845864873;0.000192484722377;0.00135899876222;0.0002229980772;6.51641880013e-05;0.00238377327656;0.0007055888627130002;601.032956305;2.7;1.7;2.23813108505;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Iepenstraat_10_1586754;[49.523617869849915, 42.175785255425872, 20.008125788062543, 41.317678266945613];94.7461547852;286.882217068;109.441708207;[12.380904467462479, 10.001562263993055, 0.0, 9.8580194024099939];[12.380904467462479, 10.001562263993055, 0.0, 9.8580194024099939];40784900.7161;25203606.7273;13251407.2693;5322044.16077;0.000404815452068;0.00146158333195;0.000333596896714;0.00235529222327;0.00023038346155;0.000106605983766;0.00389975695269;0.000742182350859;575.986720647;2.7;1.7;2.23340778227;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Iepenstraat_15_1586748;[49.531242189502812, 40.872359949180073, 20.327450230218407, 41.288673840974845];96.81285095209999;286.706394606;111.845842309;[12.382810547375703, 9.7855259106569026, 0.0, 10.020094760276358];[12.382810547375703, 9.7855259106569026, 0.0, 10.020094760276358];40516915.8376;25753372.5466;13186679.3848;5438954.871230001;0.000407492961387;0.00147125046045;0.000326475492675;0.00230501301589;0.000231206007133;0.000104314480785;0.00381593140775;0.0007433826031900001;579.764399197;2.7;1.7;2.23022788843;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Iepenstraat_18_1589054;[39.027023375060992, 47.214328385050621, 39.242253123580099, 20.067732038631661];92.48573684690001;276.991827645;106.788754204;[9.2540877763897189, 11.803582096262655, 9.8105632808950247, 0.0];[9.2540877763897189, 11.803582096262655, 9.8105632808950247, 0.0];38792934.4116;24602308.6072;12658071.2653;5193033.57975;0.000425602194609;0.00153663371916;0.000341750244843;0.00241285725949;0.000240375715148;0.000109254397202;0.00399663865056;0.0007751762037250001;543.642656066;2.7;1.7;2.22547159301;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Iepenstraat_8_1586753;[22.619478563925689, 44.039866395781701, 51.455826001766681, 43.30363331875391];95.2481002808;294.982296102;109.975467668;[0.0, 11.009966598945425, 12.86395650044167, 10.294151257095615];[0.0, 11.009966598945425, 12.86395650044167, 10.294151257095615];43021996.3599;25337130.2132;13878446.2087;5348000.36584;0.000383765501787;0.00138558263506;0.000331838883072;0.00234288012981;0.000221218066219;0.000106088577898;0.0038808297118;0.000700312213735;595.46612624;2.7;1.7;2.24721522754;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Iepenstraat_12_1586752;[20.104946772727232, 44.363028522475176, 50.685581310967422, 43.014413237331439];95.3298072815;292.472817561;110.019955305;[0.0, 10.627948444357671, 12.671395327741855, 10.268007776667393];[0.0, 10.627948444357671, 12.671395327741855, 10.268007776667393];42155570.7416;25358865.2495;13643799.3014;5350163.7565;0.000391653053926;0.00141406058638;0.000331554464582;0.0023408720516;0.000224440251435;0.000106045679951;0.00387926046063;0.0007128450320810001;596.564935569;2.7;1.7;2.24079545293;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Iepenstraat_16_1586593;[41.681277468914615, 21.754453532899262, 42.89216594144564, 47.795703964136429];92.596534729;285.797543473;106.884904896;[9.8930631072784792, 0.0, 10.72304148536141, 11.948925991034107];[9.8930631072784792, 0.0, 10.72304148536141, 11.948925991034107];41077649.0805;24631782.1648;13305426.7426;5197709.29468;0.000401930451;0.00145116705597;0.000341341318057;0.00240997011609;0.000230005149126;0.000109156114981;0.00399304338542;0.000734785730668;566.51769773;2.7;1.7;2.23927545714;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
