BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Kortestraat_13_5213646;[62.062030235646517, 17.152107606257545, 28.210837199161173, 21.494201786981844];70.7199745178;184.829592477;82.2171931487;[15.515507558911629, 2.5160886912384974, 6.9327692058527512, 5.3735504467454609];[15.515507558911629, 2.5160886912384974, 6.9327692058527512, 5.3735504467454609];34360063.4446;18812356.3384;10420691.6018;3998142.38904;0.0004805101145280001;0.00173487837641;0.0004469320503490001;0.00315547174715;0.00030939365387;0.000141906340045;0.00519108043159;0.0007887265515660001;348.170041704;2.7;1.7;2.39750290037;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kortestraat_21_1589110;[40.545664625772176, 71.011709993734215, 39.291434376771242, 85.416155607235495];152.406867981;589.765101933;177.238604757;[8.0616063080361542, 17.613006119819829, 9.8228585941928106, 21.312763598495785];[8.0616063080361542, 17.613006119819829, 9.8228585941928106, 21.312763598495785];62970299.4795;40542043.8627;22379254.1583;8618941.507410001;0.000262192782271;0.0009466451894760001;0.000207385819488;0.0014642048912;0.000127223199161;6.58273121961e-05;0.00240803104426;0.000421197341491;940.966653192;2.7;1.7;2.10060858777;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kortestraat_25_1591017;[25.070505406976288, 35.549808198733551, 26.570355899838063, 44.046420351273831];116.059707642;286.52812837;136.105864121;[5.0888449865133403, 8.6944440857667669, 6.6425889749595157, 11.011605087818458];[5.0888449865133403, 8.6944440857667669, 6.6425889749595157, 11.011605087818458];34977843.0541;30873265.8852;11893999.7487;6618696.21062;0.000472023331895;0.00170423690763;0.000272334161908;0.0019227592942;0.000247698985436;8.57210748693e-05;0.00313576542238;0.000761139805272;541.002234647;2.7;1.7;2.15802515307;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kortestraat_27_1591016;[20.948150681869169, 42.813152230097039, 25.533322248817836, 35.397950618054182];107.745685577;340.183946934;129.534276712;[5.2114522665827954, 10.681782157902147, 6.3833305622044589, 8.8344483117484938];[5.2114522665827954, 10.681782157902147, 6.3833305622044589, 8.8344483117484938];33233572.5394;28661636.8971;12189221.3446;6299126.28637;0.0004967975682240001;0.001793684113;0.000293348388314;0.00207112591427;0.000228000561513;9.00699124949e-05;0.00329485039272;0.0007691269828510001;517.032155735;2.7;1.7;2.06654456185;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kortestraat_19_4753173;[27.64254153070565, 101.13976043323801, 35.543264330993246, 83.117289497864903];148.992313385;302.763938862;162.926474049;[5.9082188278616661, 24.408798539409549, 7.7992929043354469, 20.319620546660019];[5.9082188278616661, 24.408798539409549, 7.7992929043354469, 20.319620546660019];65949476.5103;39633731.6322;19321615.0605;7922956.46744;0.000250348583409;0.0009038817930989999;0.000212138616374;0.00149776103532;0.000171547309095;7.16098536878e-05;0.00261956238227;0.0004094795694459999;641.433832624;2.7;1.7;2.51727981451;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kortestraat_17_4754166;[20.020804395112695, 55.56074367901379, 19.473659523857954, 75.139402775877642];95.54084396360001;223.908386009;108.301102241;[3.1091862120004161, 13.841781661369529, 3.7796254694038263, 18.602568775644347];[3.1091862120004161, 13.841781661369529, 3.7796254694038263, 18.602568775644347];45360959.8995;25415003.5229;13494373.3929;5266577.59853;0.0003639772627719999;0.00131413733779;0.00033082210603;0.00233570138479;0.000242632124626;0.000107728737077;0.00394082842798;0.000608349761446;438.542838501;2.7;1.7;2.4601082452;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kortestraat_9_4754445;[12.201177903466732, 68.085628188273105, 16.821844762699712, 52.221128334990119];95.5222816467;202.729063552;105.791640138;[2.1274683859690473, 17.021407047068276, 4.205461190674928, 13.052103073928945];[2.1274683859690473, 17.021407047068276, 4.205461190674928, 13.052103073928945];39799980.2152;25410065.7253;11921995.6408;5144544.88948;0.00041483332232;0.00149775278178;0.000330886392861;0.00233615526873;0.000273120374646;0.000110284148666;0.00403430802226;0.000657255144705;335.001479329;2.7;1.7;2.43659778511;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kortestraat_7_1589115;[21.866655654643615, 50.334593157259505, 22.312024111570405, 65.586356210082627];83.79317474369999;217.898907393;97.36497790790001;[3.0788845077068943, 12.47447703355221, 4.3159207095299923, 16.396589052520657];[3.0788845077068943, 12.47447703355221, 4.3159207095299923, 16.396589052520657];42670404.4335;22289983.4559;12788996.9622;4734764.475330001;0.0003869276197440001;0.00139699943962;0.00037720283673;0.00266316298711;0.00025449057834;0.000119828928422;0.004383465920350001;0.000659802699666;415.764664925;2.7;1.7;2.43474268893;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kortestraat_15_1587147;[18.559676373729925, 73.018841164925277, 14.079280071618971, 73.467409214910418];88.5705223083;227.713700172;101.521698191;[2.9984876035228951, 18.254710291231319, 2.5804327937052705, 18.366852303727605];[2.9984876035228951, 18.254710291231319, 2.5804327937052705, 18.366852303727605];47741178.7949;23560814.8631;14098643.9692;4936901.75256;0.000345830547919;0.00124861875192;0.000356857139239;0.00251951637784;0.000233602814509;0.000114922634041;0.00420398860636;0.000567015306344;417.41995946;2.7;1.7;2.48662463738;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kortestraat_11_1589113;[23.621381218193772, 65.123738847494678, 23.577779851577564, 65.169471873272698];87.9317169189;243.188081019;99.24805589620001;[3.1917535632399257, 15.982859692635442, 4.4408413505824429, 16.087629349299192];[3.1917535632399257, 15.982859692635442, 4.4408413505824429, 16.087629349299192];47305988.9592;23390885.0138;14199492.3045;4826336.73216;0.0003490120042769999;0.00126010537764;0.000359449631139;0.00253782013327;0.000228938062025;0.000117555360285;0.00430029645055;0.000602681641011;423.751454006;2.7;1.7;2.4298563772;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
