BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Kruisstraat_4_1591023;[61.961243768223135, 40.023536625804418, 72.047952612432994, 40.163860965875607];156.739196777;364.332519265;176.973081289;[15.050231668205784, 9.6008590475506299, 17.53173142018354, 10.040965241468902];[15.050231668205784, 9.6008590475506299, 17.53173142018354, 10.040965241468902];57088547.5659;41694494.9722;18061955.5837;8606029.35864;0.000289206131963;0.00104417669784;0.000201653599494;0.00142373373182;0.000172603962414;6.59260769124e-05;0.00241164395955;0.000458188135968;534.893886673;2.7;1.7;2.28791511228;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kruisstraat_5_1590584;[44.587841364826893, 43.286465761893496, 38.371772085569432, 51.668920896791079];125.059806824;294.019225268;129.842721026;[11.146960341206723, 8.9306394768381523, 6.9125369237445184, 12.91723022419777];[11.146960341206723, 8.9306394768381523, 6.9125369237445184, 12.91723022419777];47418629.5778;33267399.5659;14890113.7432;6314125.63431;0.000348182943453;0.00125711205939;0.000252735263348;0.00178438530506;0.000210621314974;8.98559493851e-05;0.00328702340126;0.000599596555996;429.300848056;2.7;1.7;2.30511349197;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kruisstraat_14_1590836;[79.307865840290603, 31.542535565664473, 50.770159330923548, 32.280813086420984];74.8335418701;371.11827751;92.9724352126;[19.826966460072651, 4.0417672167369822, 12.484208731077246, 8.0702032716052461];[19.826966460072651, 4.0417672167369822, 12.484208731077246, 8.0702032716052461];51679382.9319;19906614.2956;16890530.75;4521159.38285;0.0003194766865290001;0.00115346832141;0.00042236438931;0.00298201683327;0.000179910528142;0.000125490323469;0.00459056559634;0.000538645326117;537.0093315290001;2.7;1.7;2.22247864245;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kruisstraat_12_1590832;[75.130675222607863, 37.435283218991245, 73.533784127463932, 35.715867352505207];103.42672348;512.184124936;123.822655642;[18.31069759532506, 5.3265902218764163, 18.24085049154656, 8.9289668381263017];[18.31069759532506, 5.3265902218764163, 18.24085049154656, 8.9289668381263017];59119198.6904;27512741.489;20467842.6799;6021375.69147;0.000279272357993;0.00100831087705;0.000305598225955;0.00215761337149;0.00014194438433;9.42246062161e-05;0.00344683337861;0.000470964045727;768.3303513760001;2.7;1.7;2.13307787009;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kruisstraat_10_1590833;[49.719022212751035, 59.889694606429352, 75.832271151544177, 57.533858659743871];113.857601166;432.120034008;133.782012834;[12.427233729153162, 10.947423587888911, 18.62277011168355, 14.383464664935968];[12.427233729153162, 10.947423587888911, 18.62277011168355, 14.383464664935968];64758644.5327;30287479.3093;20734898.5781;6505689.575619999;0.000254952186539;0.0009205030697010001;0.000277601344911;0.00195994715561;0.000148941959509;8.72100869267e-05;0.003190235020780001;0.000424404774439;715.8753152219999;2.7;1.7;2.26228553991;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kruisstraat_16_1590954;[92.359232556459588, 37.114607464270321, 93.460819198697251, 38.358631998213951];106.733501434;469.011140949;127.617257442;[23.089808139114897, 5.3931056330855451, 23.365204799674313, 9.5896579995534879];[23.089808139114897, 5.3931056330855451, 23.365204799674313, 9.5896579995534879];69640950.9026;28392383.8479;22354524.2437;6205903.49796;0.000237078296706;0.000855969516635;0.000296130294492;0.00209076699022;0.000137876138373;9.14229094272e-05;0.00334434441743;0.000389472424411;707.490940124;2.7;1.7;2.2571153186;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kruisstraat_9_1591003;[63.552336177982014, 34.145228134703395, 89.221345865951434, 28.701491857027595];97.6316986084;414.08002728;117.567208654;[15.781862650528186, 8.5363070336758486, 22.305336466487859, 2.8722279982784453];[15.781862650528186, 8.5363070336758486, 22.305336466487859, 2.8722279982784453];57468026.6829;25971195.7854;18800654.6721;5717179.3694;0.000287296414614;0.00103728167684;0.000323737307272;0.00228568062147;0.000161508991936;9.92380537235e-05;0.00363023046461;0.0004834420622930001;652.803544899;2.7;1.7;2.2207215703;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kruisstraat_6_5213669;[31.254065190367303, 33.405376954144124, 53.894117637363799, 60.370877599367361];69.3434677124;290.798247196;76.0095882684;[7.2271538094337542, 4.4744937049088449, 13.47352940934095, 15.09271939984184];[7.2271538094337542, 4.4744937049088449, 13.47352940934095, 15.09271939984184];47687668.906;18446189.1175;14910689.5296;3696272.5823;0.0003462186011540001;0.00125001981539;0.000455803902727;0.00321810963472;0.000211044547973;0.000153495647514;0.0056150292643;0.000594228205999;462.679810973;2.7;1.7;2.31528719346;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kruisstraat_1_5213667;[76.212312663949788, 43.354950821188922, 59.972490130948117, 24.843356069421553];115.277446747;370.1005703180001;123.39621389;[19.053078165987447, 10.83873770529723, 14.993122532737029, 3.8131944947041561];[19.053078165987447, 10.83873770529723, 14.993122532737029, 3.8131944947041561];54473017.813;30665175.1611;17528031.2671;6000638.24253;0.000303092405815;0.00109431299156;0.000274182193515;0.00193580694097;0.000175506567922;9.45502345712e-05;0.00345874520003;0.000491360106997;650.673406821;2.7;1.7;2.25223667856;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Kruisstraat_11_1591002;[27.907232626703813, 36.025240019752523, 61.969957523646059, 32.89200963987907];86.56408309940001;348.807196158;106.472820742;[6.5083107628616261, 9.0063100049381308, 14.880348471283819, 3.9853171532934231];[6.5083107628616261, 9.0063100049381308, 14.880348471283819, 3.9853171532934231];42322540.0655;23027078.113;14419149.6068;5177670.04185;0.000390107918745;0.00140848188672;0.000365128608543;0.0025779153843;0.000204016186533;0.000109578584348;0.00400849775106;0.0006959895423380001;643.588640322;2.7;1.7;2.1552498961;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
