BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Lindenstraat_19A_4753361;[106.62077334946771, 71.877488394832284, 106.82306673733567, 64.372904148591118];410.56061554;894.6749989269999;266.728318868;[26.655193337366928, 12.548319319453556, 26.705766684333916, 16.09322603714778];[26.655193337366928, 12.548319319453556, 26.705766684333916, 16.09322603714778];93201929.4182;109214018.397;33407997.2917;12970739.5398;0.00017714609691;0.0006395847323569999;7.69850346468e-05;0.000543536990894;8.46649310983e-05;4.37416657444e-05;0.00160011529449;0.0002917998624709999;1174.43295119;2.7;1.7;2.0908617465;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lindenstraat_13_1589539;[83.097903276486463, 59.874675416709223, 36.942655248133761, 55.139889145479131];176.631492615;512.119576212;206.389584664;[18.984318076238836, 9.980569015613268, 9.0141045169124663, 13.784972286369783];[18.984318076238836, 9.980569015613268, 9.0141045169124663, 13.784972286369783];62647847.5969;46986082.8189;21288985.6968;10036525.3969;0.000263542302797;0.0009515176238089999;0.000178943305885;0.00126339237837;0.000138458540478;5.65296983736e-05;0.00206791473121;0.000462258258277;1038.56102679;2.7;1.7;2.15898484261;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lindenstraat_27_1589562;[79.02736524637136, 48.362955382679189, 77.590849009012928, 45.453735380264696];235.966796875;510.517226185;197.729938924;[19.75684131159284, 10.247910609200574, 16.272855485843515, 11.363433845066174];[19.75684131159284, 10.247910609200574, 16.272855485843515, 11.363433845066174];66746929.6414;62769981.1419;22222924.1416;9615415.220560001;0.000247357565504;0.0008930827440660001;0.00013394690961;0.000945704584312;0.000134771415762;5.90054345438e-05;0.00215847971641;0.000415126432001;702.556517718;2.7;1.7;2.19055133142;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lindenstraat_11_1589606;[42.488699252909257, 38.210831378585418, 56.71977442268539, 35.965365600599405];94.1850738525;452.459194581;122.575887275;[10.463327765746193, 5.5813040870168003, 13.962736379076301, 8.9913414001498513];[10.463327765746193, 5.5813040870168003, 13.962736379076301, 8.9913414001498513];46211187.7425;25054352.51;16680172.9181;5960746.55457;0.000357280538058;0.00128995886049;0.000335584205852;0.00236932321038;0.000168666516112;9.51830023662e-05;0.00348189249928;0.0006135669620219999;635.041676519;2.7;1.7;2.08320509945;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lindenstraat_15_1590967;[43.529096748881237, 71.272329303605432, 93.376959102851544, 71.905587903945502];177.02753067;557.0538216919999;213.485640299;[10.011894029019297, 14.221784727819998, 23.344239775712886, 17.976396975986376];[10.011894029019297, 14.221784727819998, 23.344239775712886, 17.976396975986376];74649119.8665;47091433.6632;24672141.8503;10381599.7025;0.000221172842365;0.000798542986022;0.000178542981943;0.00126056597358;0.000122091657216;5.4650706025e-05;0.00199917925111;0.000365015172625;1090.36609915;2.7;1.7;2.20279517374;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lindenstraat_6_4753712;[73.597964381970172, 46.48628920041137, 13.013565131110919, 43.370172013413111];119.703327179;448.365619511;148.000925528;[15.445643592067665, 11.621572300102843, 2.9991091558631853, 7.5579620995548105];[15.445643592067665, 11.621572300102843, 2.9991091558631853, 7.5579620995548105];47032966.7509;31842512.121;16818070.2206;7197141.51393;0.000351037988064;0.0012674201778;0.000264044650694;0.00186423290655;0.000168494683662;7.88315405929e-05;0.00288373914537;0.000635980681782;738.361174474;2.7;1.7;2.09358055803;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lindenstraat_4_1590604;[19.797388711064563, 35.557195709629511, 20.574359470471535, 33.738544379419253];83.9792709351;354.681160146;109.458100989;[4.9215577247691158, 8.8892989274073777, 5.0664546017267735, 4.2150375584709341];[4.9215577247691158, 8.8892989274073777, 5.0664546017267735, 4.2150375584709341];29229025.0954;22339487.2614;11446046.3496;5322841.32585;0.00056486174161;0.00203942933052;0.0003763669636559999;0.00265726147733;0.000231045437399;0.000106590018127;0.0038991729131;0.00103620121046;580.837339628;2.7;1.7;2.00920020738;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lindenstraat_9_1589581;[78.374583445541901, 57.765842796588736, 64.21489610958514, 55.725953311356058];143.186676025;534.82488223;171.589307264;[19.319444746064487, 10.085597734109433, 15.377127658589616, 13.931488327839014];[19.319444746064487, 10.085597734109433, 15.377127658589616, 13.931488327839014];68251823.3147;38089362.8803;22891269.6532;8344221.64763;0.000241903545123;0.000873391041983;0.000220739974481;0.00155848915377;0.000130089126814;6.79945688606e-05;0.00248731153065;0.0004075426470869999;854.900676992;2.7;1.7;2.1788133166;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lindenstraat_3_1589695;[26.039705470627052, 41.805315686748507, 67.982954607593285, 41.06146659048256];130.231513977;421.789009006;156.193819921;[6.490535505979147, 5.8672171972967844, 16.772354747775044, 10.26536664762064];[6.490535505979147, 5.8672171972967844, 16.772354747775044, 10.26536664762064];47145293.7534;34643135.3253;16496754.0673;7595554.02483;0.000350201615187;0.00126440045944;0.000242698731257;0.0017135244361;0.000174670591541;7.46965595338e-05;0.00273247726902;0.000607387532175;765.8194053;2.7;1.7;2.11937897522;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lindenstraat_10_1589660;[56.75538348307353, 36.945159243684039, 15.67184101297344, 37.902987740529014];97.6419563293;421.298488546;126.40181504;[14.188845870768382, 9.2362898109210096, 3.0491895465192145, 6.0469562491609592];[14.188845870768382, 9.2362898109210096, 3.0491895465192145, 6.0469562491609592];39252431.1153;25973924.4615;14651823.4334;6146797.71235;0.000420620011342;0.00151864558164;0.000323703297231;0.00228544050057;0.000187156655735;9.23020050372e-05;0.00337650264247;0.0007357741978380001;650.408068938;2.7;1.7;2.04957488689;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lindenstraat_14_1590882;[67.68058171827748, 35.39540118706757, 67.951171037232754, 36.927602078376253];88.6053161621;456.193235635;114.412298199;[16.92014542956937, 8.8488502967668925, 16.987792759308189, 4.7275610677553894];[16.92014542956937, 8.8488502967668925, 16.987792759308189, 4.7275610677553894];55424947.5236;23570070.443;18875261.4578;5563759.13283;0.000297886759638;0.00107551804279;0.000356717007296;0.0025185270051;0.000155901915731;0.000101974535537;0.00373033379465;0.000503920134038;601.1466902369999;2.7;1.7;2.15584796042;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lindenstraat_8_1590966;[10.455939078163111, 34.356424445779162, 69.718864417356002, 35.012157622078234];77.6499290466;407.451954899;103.997365366;[2.6139847695407776, 8.5891061114447904, 17.429716104339001, 6.7608611878564888];[2.6139847695407776, 8.5891061114447904, 17.429716104339001, 6.7608611878564888];39856911.4549;20655806.8613;14611568.4253;5057291.04696;0.0004142407782799999;0.00149561340571;0.000407045101006;0.00287385815145;0.000190270852656;0.000112186889807;0.004103912257719999;0.0006760621610219999;573.588319724;2.7;1.7;2.06702090582;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lindenstraat_2_1590887;[71.124718453550528, 36.320138645320583, 12.501596287133561, 33.204707958930364];85.2451705933;414.911949309;112.675153846;[17.781179613387632, 9.0800346613301457, 3.0581967604605547, 6.2818899618481883];[17.781179613387632, 9.0800346613301457, 3.0581967604605547, 6.2818899618481883];40818470.5324;22676231.6624;14933088.7261;5479283.48719;0.0004044825248369999;0.00146038130054;0.0003707778750619999;0.00261780086774;0.00018646942602;0.000103546705465;0.00378784539384;0.0006609795541219999;611.8226206630001;2.7;1.7;2.06911725873;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lindenstraat_7_1589662;[39.906071672198784, 38.678005414893029, 72.050320778331027, 36.025510296015455];79.7829017639;457.430782185;107.60200756;[9.9761395053262056, 7.5355397998670064, 18.012580194582757, 9.0063775740038636];[9.9761395053262056, 7.5355397998670064, 18.012580194582757, 9.0063775740038636];49749358.0458;21223203.0332;17569346.4077;5232581.30198;0.000331870775212;0.00119821709111;0.000396162868398;0.00279702638806;0.000162842903575;0.000108428655125;0.003966432152829999;0.000537345103597;607.873994705;2.7;1.7;2.10806153724;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lindenstraat_5_1589582;[71.397351289525304, 39.018468197825115, 40.922830439622643, 35.147354371653051];89.663860321;462.705059474;118.310044294;[17.849337822381326, 5.9858217272831409, 10.226778654683562, 8.7868385929132629];[17.849337822381326, 5.9858217272831409, 10.226778654683562, 8.7868385929132629];49703008.4808;23851655.8092;17627509.5121;5753302.74637;0.000332180254789;0.00119933446494;0.000352505715221;0.00248879404423;0.00016177644253;9.86149657718e-05;0.00360743726403;0.0005584364731080001;645.206343631;2.7;1.7;2.10303428821;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lindenstraat_17_1589470;[84.920153491586433, 37.154782867858032, 84.235647220528222, 34.704597629597352];114.154499054;508.60085931;141.866219747;[21.230038372896608, 5.5596534897200076, 21.058911805132055, 8.6761494073993379];[21.230038372896608, 5.5596534897200076, 21.058911805132055, 8.6761494073993379];64236346.5329;30366457.6871;21613024.7947;6898816.71974;0.000257025172072;0.0009279875693350001;0.000276879347497;0.00195484964149;0.000137442013849;8.22404444787e-05;0.00300844036907;0.000423324623105;750.0902231360001;2.7;1.7;2.17387883209;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lindenstraat_4A_1589830;[16.493343741339427, 45.175901816994951, 76.892938130171444, 45.279830572954843];132.535518646;514.1301307169999;166.890824248;[4.1233359353348567, 11.293975454248738, 19.223234532542861, 6.9286200685688177];[4.1233359353348567, 11.293975454248738, 19.223234532542861, 6.9286200685688177];48998321.5005;35256028.0354;18135764.6807;8115738.97398;0.000336957624574;0.00121658312482;0.000238479643304;0.00168373643405;0.000152179679571;6.990882225599999e-05;0.00255733689625;0.000575626650701;867.6483741119999;2.7;1.7;2.0575787593;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Lindenstraat_21_1589661;[74.461740643721399, 39.240909820423305, 42.516647849184316, 36.766544252941252];76.7774085999;454.345858435;104.133053557;[18.61543516093035, 7.8274252483777982, 10.571320202274755, 9.1916360632353129];[18.61543516093035, 7.8274252483777982, 10.571320202274755, 9.1916360632353129];51435371.8169;20423706.0203;17921754.6505;5063889.432130001;0.0003209922945579999;0.0011589404135;0.00041167087804;0.00290651749804;0.000161310085131;0.000112040707249;0.00409856474883;0.000517863799704;612.761259784;2.7;1.7;2.12475536859;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
