BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Myosotisstraat_12_4752609;[61.964034287735728, 107.3268222682084, 65.108566156296177, 42.481858854663983];367.1744194030001;557.07062788;327.117898288;[15.369752849440593, 21.529498697286396, 11.290081673412354, 10.358256312778085];[15.369752849440593, 21.529498697286396, 11.290081673412354, 10.358256312778085];73795525.5016;97672772.9788;24473512.5413;15907426.2362;0.000223731153193;0.000807779749205;8.60817680689e-05;0.000607762604794;0.000122753805911;3.56664708033e-05;0.00130471632622;0.000408698632729;1073.28020958;2.7;1.7;2.19703083902;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Myosotisstraat_6_1589595;[37.024269110408824, 43.028334928309974, 37.752666715317567, 56.650849431638484];98.55206680299999;456.123692207;125.487857819;[9.2560672776022059, 10.712546257288093, 5.0828501260771173, 14.162712357909621];[9.2560672776022059, 10.712546257288093, 5.0828501260771173, 14.162712357909621];46496754.8301;26216024.6977;16794605.4196;6102352.85886;0.000355086243788;0.00128203637651;0.000320713955955;0.0022643348718;0.000167430398131;9.29742619823e-05;0.0034010944956;0.000610195654249;638.283353226;2.7;1.7;2.08247546261;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Myosotisstraat_21_1590800;[47.530097807960054, 26.647207878333639, 51.622146674126419, 73.695244184187075];146.887248993;454.171988415;177.49727161;[8.362019789713246, 6.4859651711204211, 12.483117373897796, 15.591096275576536];[8.362019789713246, 6.4859651711204211, 12.483117373897796, 15.591096275576536];53170138.0569;39073759.4076;18323585.1104;8631520.225680001;0.000310519374677;0.00112112801021;0.00021517880843;0.00151922568555;0.000159122177004;6.57313820247e-05;0.00240452181954;0.000557481223385;860.546256884;2.7;1.7;2.13924923076;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Myosotisstraat_13_1589537;[61.563595846087424, 63.7226422193947, 59.726784215374025, 91.359991944210989];202.280487061;561.352933659;232.575161176;[10.936065755154576, 15.815446835801559, 13.913533116345686, 20.249933905714528];[10.936065755154576, 15.815446835801559, 13.913533116345686, 20.249933905714528];73660060.022;53809021.1263;24497937.4875;11309904.5944;0.000224142608844;0.0008092653069279999;0.000156253446248;0.00110319529478;0.000122359818728;5.01650344324e-05;0.00183508875297;0.000392815034064;1044.93443541;2.7;1.7;2.19233378442;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Myosotisstraat_17_1590977;[40.672044368738113, 16.314135822142134, 37.672500315078352, 60.008007119476027];107.258480072;419.057587284;132.711613787;[5.1751066319342574, 4.0107041878894565, 9.418125078769588, 15.002001779869007];[5.1751066319342574, 4.0107041878894565, 9.418125078769588, 15.002001779869007];41222394.7618;28532034.4243;15081381.6951;6453637.10777;0.000400519138113;0.00144607152075;0.000294680879224;0.00208053369207;0.000184631025555;8.79134887713e-05;0.003215966186489999;0.000712026547826;672.1606754659999;2.7;1.7;2.06908217944;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Myosotisstraat_7_1590744;[44.530665752099196, 56.419655802230601, 42.547351287011566, 12.046798756608206];100.804233551;409.495216227;125.373504499;[6.3794152791832248, 13.640893027825411, 10.636837821752891, 2.9901466795247753];[6.3794152791832248, 13.640893027825411, 10.636837821752891, 2.9901466795247753];41456345.3169;26815127.9028;15010843.9117;6096791.967759999;0.000398258888831;0.00143791090667;0.0003135485693259999;0.0022137451344;0.000186973885019;9.30590639157e-05;0.00340419663788;0.0007111514120319999;628.2933681;2.7;1.7;2.07984441682;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Myosotisstraat_8_1589571;[36.168697620286103, 57.973819973341215, 37.049230996596776, 44.634045479587236];99.7421760559;444.0649298119999;126.03119203;[9.0421744050715258, 14.493454993335304, 4.3461489256121659, 10.570875868223819];[9.0421744050715258, 14.493454993335304, 4.3461489256121659, 10.570875868223819];46861805.8855;26532607.9474;16721969.1848;6128774.67474;0.000352320140229;0.00127204937914;0.000316887243308;0.00223731715483;0.000169734916127;9.25734398013e-05;0.00338643200639;0.0006222800556769999;625.9095380780001;2.7;1.7;2.0959461382;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Myosotisstraat_1_1590721;[36.778543958334517, 48.429713858724632, 37.0297454061553, 64.507875213846205];106.414268494;438.386137226;130.594878779;[5.1686244790366338, 12.107428464681158, 9.2574363515388249, 16.126968803461551];[5.1686244790366338, 12.107428464681158, 9.2574363515388249, 16.126968803461551];49772271.1934;28307464.0798;17325685.1325;6350702.336619999;0.000331717995283;0.00119766548025;0.000297018657924;0.00209703909738;0.000166983366159;8.93384264188e-05;0.00326809187683;0.000560901613768;664.3248544219999;2.7;1.7;2.12598490823;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Myosotisstraat_23_1590799;[36.856434861477986, 58.362776264127426, 38.126362874156712, 10.941742452716403];74.6488227844;394.253731858;98.72590967030001;[7.1208618299117674, 14.590694066031856, 9.5315907185391779, 2.7354356131791007];[7.1208618299117674, 14.590694066031856, 9.5315907185391779, 2.7354356131791007];38456042.5341;19857476.8166;14112688.7198;4800945.267440001;0.0004293306573680001;0.00155009530763;0.000423409533238;0.00298939585684;0.000196840279139;0.000118177092594;0.00432304006031;0.000704217722545;560.508514934;2.7;1.7;2.06597577852;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Myosotisstraat_5_1590591;[33.957429709212953, 9.9469857629471541, 35.715816250894733, 53.695095460794562];71.42345047;371.769184606;94.9561466292;[6.2808930685976119, 2.4395501389186767, 8.9289540627236832, 13.42377386519864];[6.2808930685976119, 2.4395501389186767, 8.9289540627236832, 13.42377386519864];35531743.3207;18999489.3284;13137532.4961;4617625.34573;0.000464665014376;0.00167766975417;0.00044253005146;0.00312439234007;0.000210245884274;0.000122868728173;0.00449466493371;0.000770063656759;509.753443716;2.7;1.7;2.05859703468;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
