BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Noordlaan_55_1586617;[75.505457304796124, 42.862741985102943, 52.333674356536918, 43.486809308380522];244.508956909;461.0059894730001;219.642131267;[9.5118756042849597, 7.0139362333795203, 12.39056639343832, 10.321727396095904];[9.5118756042849597, 7.0139362333795203, 12.39056639343832, 10.321727396095904];57086439.0893;65042297.5497;19325224.18;10680983.8892;0.000289216813736;0.00104421526431;0.000129267343051;0.0009126654678460001;0.000152981926336;5.31188661357e-05;0.0019431429664;0.0006098235225469999;724.028077127;2.7;1.7;2.16461149713;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Noordlaan_128_1566248;[52.133867954118173, 43.121859021309788, 47.18134057270025, 42.957866480286974];198.438262939;582.271459907;217.762695847;[12.464461961422057, 10.780464755327447, 11.795335143175063, 10.654933243993391];[12.464461961422057, 10.780464755327447, 11.795335143175063, 10.654933243993391];49412211.994;52786943.7035;19123212.5572;10589588.767;0.000334135173364;0.00120639268465;0.000159278874667;0.00112455570939;0.000139522074273;5.35773169189e-05;0.00195991356938;0.000523650675684;990.1797669169999;2.7;1.7;2.01839948683;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Noordlaan_2C_1586682;[60.687751888826007, 48.504264691777294, 54.098139660766996, 56.145998897359618];234.427444458;422.27648717;277.846474258;[15.171937972206502, 7.0265998999916173, 13.524534915191749, 14.036499724339905];[15.171937972206502, 7.0265998999916173, 13.524534915191749, 14.036499724339905];58485016.7222;62360495.0469;19144718.0588;13511404.6568;0.000282300646324;0.00101924449069;0.000134826463194;0.000951914491351;0.000158532572511;4.19913227248e-05;0.00153608593967;0.0004808787251140001;755.8699898130001;2.7;1.7;2.2196504229;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Noordlaan_135_5213812;[60.141046049536456, 96.103530093440781, 61.732279059267135, 105.16640656488013];278.118202209;323.143261767;278.183860222;[13.428418552869225, 23.752594203829325, 13.971365080223181, 18.43432225636024];[13.428418552869225, 23.752594203829325, 13.971365080223181, 18.43432225636024];86125456.6558;73982757.4858;29881925.9976;13527811.4091;0.000191701253753;0.000692136023386;0.000113646007204;0.0008023742415169999;0.00014072970645;4.19403949574e-05;0.00153422294936;0.000343863407226;1209.36197632;2.7;1.7;2.7;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Noordlaan_83_1588499;[4.8823534156918944, 98.833740052362842, 57.463780782178766, 79.356275128978353];156.7616539;456.537949916;184.904658133;[1.054341263975644, 24.546366758577026, 5.2187267042390246, 12.517069904944496];[1.054341263975644, 24.546366758577026, 5.2187267042390246, 12.517069904944496];64108673.0208;41700468.8346;20902673.1585;8991734.25048;0.000257537042072;0.000929835672355;0.000201624711309;0.00142352977273;0.00014565162492;6.30981452079e-05;0.00230819529807;0.000552151586636;708.6134599689999;2.7;1.7;2.22686999936;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Noordlaan_51_1586681;[49.584429332795551, 36.041809689499296, 48.408817667013075, 46.831766374974649];89.2365570068;398.774064886;115.611436028;[8.0452193517827055, 8.8186526234902232, 12.102204416753269, 6.8314724715759994];[8.0452193517827055, 8.8186526234902232, 12.102204416753269, 6.8314724715759994];48205361.4397;23737988.0333;16442792.6168;5622072.04282;0.000342500450735;0.00123659545954;0.000354193665377;0.00250071146888;0.000178743553442;0.000100916841529;0.00369164225581;0.0006684345870390001;577.116050022;2.7;1.7;2.15355713671;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Noordlaan_104_1589602;[31.616537384564744, 43.343845642178401, 64.042553046095861, 43.552224963930733];116.852497101;462.655182399;151.312597195;[7.7698598449950635, 10.8359614105446, 8.0410053735943627, 10.888056240982683];[7.7698598449950635, 10.8359614105446, 8.0410053735943627, 10.888056240982683];48655344.1442;31084157.3329;17382817.013;7358184.896260001;0.000339332879282;0.00122515896518;0.000270486502181;0.00190971427301;0.000163131412347;7.71062104862e-05;0.00282062478873;0.00063749552315;607.317480833;2.7;1.7;2.09458146797;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Noordlaan_121_1590827;[87.769827092296495, 35.637689386319451, 48.915429984117125, 31.932198761960599];201.939228058;394.5221740330001;186.549479525;[21.942456773074124, 5.0136193568110548, 11.743841110983361, 7.9830496904901498];[21.942456773074124, 5.0136193568110548, 11.743841110983361, 7.9830496904901498];54438912.2044;53718242.1631;17839330.3898;9071720.32001;0.000303282291148;0.00109499857121;0.000156517500418;0.00110505959489;0.000169990362917;6.254180391300001e-05;0.0022878437591;0.0005125706733;629.4436047519999;2.7;1.7;2.21772792169;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Noordlaan_33_1589156;[53.027074770757501, 106.87934730169157, 49.932865397628547, 136.45951326895184];358.717163086;810.8394120060001;236.290787385;[3.6493196887543418, 26.49660100454004, 12.483216349407137, 34.114878317237959];[3.6493196887543418, 26.49660100454004, 12.483216349407137, 34.114878317237959];92296965.0981;95423041.9718;32101073.2203;11490591.8945;0.000178883000144;0.000645855809221;8.81112655441e-05;0.000622091453975;9.01843160579e-05;4.93761991215e-05;0.00180623234286;0.000311793951352;937.8936631739999;2.7;1.7;2.12708678884;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Noordlaan_81_1589062;[28.342733556289325, 71.42581451800551, 28.54316769512284, 84.451700993299298];127.297782898;411.318508621;145.602491901;[2.7530695174281195, 17.540268806952561, 7.1357919237807099, 19.818768794199737];[2.7530695174281195, 17.540268806952561, 7.1357919237807099, 19.818768794199737];56706571.3459;33862727.8826;18587168.1114;7080508.012080001;0.000291154228321;0.00105121028599;0.000248292016502;0.00175301467527;0.000163118328486;8.01300912929e-05;0.00293124147068;0.0005064419852869999;633.666871787;2.7;1.7;2.21727168193;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
