BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Oostlaan_25_3893986;[108.78072523003372, 67.994042521984824, 80.902335261595056, 65.252966121825466];311.508163452;659.264755415;268.718049365;[26.590973822384388, 16.998510630496206, 20.225583815398764, 8.7524775560363359];[26.590973822384388, 16.998510630496206, 20.225583815398764, 8.7524775560363359];86068635.6883;82864885.2482;28668560.0884;13067498.2047;0.000191827811477;0.000692592959158;0.000101464510148;0.0007163692889360001;0.000104434449534;4.34177793271e-05;0.00158826719494;0.000329738583824;1047.63062163;2.7;1.7;2.18983366164;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Oostlaan_19_1589197;[49.77051112846722, 63.890038361566695, 52.016086004130678, 76.538682290239137];177.794048309;424.112824498;141.581457401;[12.437772695250246, 10.132437253622623, 13.004021501032669, 19.134670572559784];[12.437772695250246, 10.132437253622623, 13.004021501032669, 19.134670572559784];64556211.8149;47295336.4936;20583071.528;6884969.00296;0.000255751655135;0.000923389545424;0.000177773235451;0.00125513133691;0.000150540745139;8.24058544293e-05;0.00301449123585;0.000437375251688;633.72247236;2.7;1.7;2.27111057198;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Oostlaan_39A_1586816;[55.48753989966702, 70.334073201248799, 55.669356734792551, 70.306119731735322];174.672294617;601.141678801;200.669020466;[13.871884974916755, 17.542686836707595, 13.917339183698138, 17.57652993293383];[13.871884974916755, 17.542686836707595, 13.917339183698138, 17.57652993293383];67109984.6087;46464912.7941;23492296.3055;9758339.906369999;0.000246019398115;0.0008882513001549999;0.000180950409344;0.00127756311921;0.000122618257314;5.81412165237e-05;0.00212686572897;0.000380367394877;1128.30595137;2.7;1.7;2.11886480084;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Oostlaan_27_1588832;[101.52442926644994, 45.642836649006924, 101.34322348558592, 47.263841649314791];96.3419761658;525.706459957;121.924727697;[25.381107316612486, 11.410709162251731, 25.335805871396481, 5.3202893629819723];[25.381107316612486, 11.410709162251731, 25.335805871396481, 5.3202893629819723];78830977.9058;25628114.2397;25236562.4249;5929081.29565;0.000209439974735;0.00075618155027;0.000328071153092;0.00231627884782;0.000122389644781;9.56913432481e-05;0.00350048813358;0.00035476739285;739.161463508;2.7;1.7;2.26262259184;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Oostlaan_26_1588803;[52.279978361804837, 99.377004947320444, 58.290546901772501, 64.932026833200553];159.431270599;715.391672523;208.411863603;[13.069994590451209, 24.844251236830111, 8.0716416099408193, 16.11060531315777];[13.069994590451209, 24.844251236830111, 8.0716416099408193, 16.11060531315777];73262017.7388;42410618.7035;26419138.3042;10134866.861;0.000225360405439;0.0008136621529400001;0.000198248581305;0.00139969330177;0.000106568317924;5.59811748084e-05;0.00204784917286;0.000385340922359;1027.95581407;2.7;1.7;2.08423645061;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Oostlaan_13_1589071;[36.937691036115531, 81.972999934188152, 35.252913048661384, 7.8235221918687259];92.0592346191;374.304386953;117.795136585;[8.8225372590070776, 19.862324286165524, 4.7212067785553637, 0.69933541029274038];[8.8225372590070776, 19.862324286165524, 4.7212067785553637, 0.69933541029274038];43173467.8327;24488853.9299;14950717.8153;5728263.28371;0.000382419083982;0.00138072140309;0.000343333543263;0.00242403581209;0.000194289598717;9.90460328562e-05;0.00362320614304;0.000701599077327;580.9291055;2.7;1.7;2.13276844156;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Oostlaan_57_1589417;[64.183067403039331, 84.869950006385324, 64.802933880379129, 85.211065823553838];123.668140411;793.739578759;139.511304131;[16.045766850759833, 21.217487501596331, 16.200733470094782, 21.30276645588846];[16.045766850759833, 21.217487501596331, 16.200733470094782, 21.30276645588846];79708557.9898;32897199.7089;28945175.9254;6784299.45653;0.000207134069883;0.000747856097079;0.000255579352182;0.00180446540886;9.67490241026e-05;8.3628642433e-05;0.0030592220835;0.000320039568691;1148.54703138;2.7;1.7;2.07678229122;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Oostlaan_41B_1588449;[81.302697253008404, 105.6148701743909, 79.538549280601643, 103.37638256923773];135.257766724;1181.37909962;171.323235953;[19.677500040850635, 26.403717543597725, 19.263282208403343, 25.844095642309433];[19.677500040850635, 26.403717543597725, 19.263282208403343, 25.844095642309433];98569262.1663;35980178.4784;38407160.6257;8331282.85773;0.00016750006704;0.000604757809605;0.00023367991338;0.00164984892887;6.91151856501e-05;6.81001669367e-05;0.0024911744173;0.000262404741267;1414.99334464;2.7;1.7;2.01305150006;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Oostlaan_8_1589166;[41.090950241595415, 57.895879352749176, 46.42411699122281, 71.040429427220559];89.756275177;351.559644751;103.880356272;[5.0342388128803872, 12.376016455246402, 11.606029247805703, 17.421949754062691];[5.0342388128803872, 12.376016455246402, 11.606029247805703, 17.421949754062691];57689501.2476;23876239.2626;18035001.259;5051601.00819;0.000286193460922;0.00103329947032;0.000352142768286;0.00248623153211;0.000174507038812;0.000112313255241;0.00410853483575;0.0005152719557019999;528.706418771;2.7;1.7;2.31568891437;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Oostlaan_11_1589168;[35.490942838561494, 79.050312244412467, 25.504569434871883, 79.648337385836228];89.79843139649999;427.345757973;109.157230283;[8.8727357096403736, 19.432825446085243, 3.4912062244729847, 19.598136888473654];[8.8727357096403736, 19.432825446085243, 3.4912062244729847, 19.598136888473654];58553781.7347;23887453.3196;19227005.4692;5308210.27513;0.00028196911509;0.00101804749951;0.000351977453508;0.00248506436114;0.000157468998755;0.000106883812811;0.00390992022598;0.000465577670241;561.195932768;2.7;1.7;2.21408995598;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
