BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Parochiekerkstraat_60_1590749;[31.371099416747882, 77.257716174801544, 26.581683046297151, 80.773953759843351];196.820362091;409.769791753;174.236168816;[7.8427748541869704, 19.237278320477419, 2.2318638923953684, 20.193488439960838];[7.8427748541869704, 19.237278320477419, 2.2318638923953684, 20.193488439960838];57565054.8663;52356562.7894;18766913.0826;8472935.95864;0.000286812165111;0.00103553329742;0.000160588177342;0.00113379977142;0.000162242440848;6.69616477898e-05;0.00244952621143;0.000483347617227;579.014222149;2.7;1.7;2.22708729815;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Parochiekerkstraat_90_1589846;[40.291546566728904, 41.084868574508597, 70.358689716769419, 32.191381879283377];120.450683594;344.89936424;148.034725332;[9.1412891652929993, 6.8088912778853494, 17.589672429192355, 7.912216230691639];[9.1412891652929993, 6.8088912778853494, 17.589672429192355, 7.912216230691639];49020835.4484;32041317.8372;15928457.3462;7198785.165639999;0.000336802869023;0.001216024381;0.000262406341491;0.00185266596164;0.000191653024947;7.88135415009e-05;0.00288308072;0.0005772527236740001;638.364119922;2.7;1.7;2.23327580682;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Parochiekerkstraat_14_1590705;[43.281462276900655, 27.490621163338758, 69.914831873787904, 26.688731603099829];170.965801239;355.372122137;143.045970465;[10.816632830335465, 3.716182634951803, 17.478707968446976, 6.6721829007749571];[10.816632830335465, 3.716182634951803, 17.478707968446976, 6.6721829007749571];44609638.2916;45478941.3672;15037754.6239;6956186.853339999;0.0003701074174380001;0.00133627021794;0.000184873366386;0.00130526034992;0.000197248221822;8.1562178442e-05;0.00298362869717;0.0006185632675619999;477.368056657;2.7;1.7;2.1709869922;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Parochiekerkstraat_64_1590758;[44.898769107331624, 85.759825081475284, 30.363042321098263, 56.549631067332754];139.078670502;644.811929198;170.281039571;[11.224692276832906, 15.415762204116911, 5.0597822958430889, 13.960587091776709];[11.224692276832906, 15.415762204116911, 5.0597822958430889, 13.960587091776709];57987979.303;36996584.4358;21938492.8365;8280601.858130001;0.000284720354449;0.00102798082979;0.000227260032742;0.00160452268306;0.000123723247759;6.85169705208e-05;0.00250642152274;0.000524044854305;757.1111640539999;2.7;1.7;2.03741817998;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Parochiekerkstraat_73_1589541;[101.12414108693665, 62.181973639805676, 134.52260444390279, 57.382059551600427];255.150741577;670.204812536;261.366397135;[25.116472190531479, 14.61147099416706, 27.671946850996001, 10.545367979247178];[25.116472190531479, 14.61147099416706, 27.671946850996001, 10.545367979247178];94672221.7236;67873139.1417;30815834.5257;12709994.4846;0.000174394956835;0.000629651760535;0.00012387588222;0.0008746001683969999;9.89280707404e-05;4.46390243596e-05;0.00163294159912;0.000306988781628;1218.78973818;2.7;1.7;2.23000332447;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Parochiekerkstraat_35_1589783;[66.480157010078202, 28.807983941291255, 27.970164392976951, 40.247205401902576];118.335170746;511.3166679730001;153.561258693;[16.616744471512188, 7.2019959853228137, 4.6546377275864401, 3.9296576591435906];[16.616744471512188, 7.2019959853228137, 4.6546377275864401, 3.9296576591435906];43578153.8558;31478566.1987;16836496.9287;7467535.124710001;0.000378867771121;0.00136789941307;0.000267097457271;0.001885786619;0.00015867660585;7.597711211699999e-05;0.00277932120464;0.000738459195835;765.9822813669999;2.7;1.7;2.01977348087;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Parochiekerkstraat_77_1589677;[59.936006633479309, 35.071195637606039, 40.724812040147462, 28.617727663967994];75.3632926941;317.307475129;83.0878554793;[14.93796548992999, 8.6768434701125141, 10.169141927986974, 4.1549645222844003];[14.93796548992999, 8.6768434701125141, 10.169141927986974, 4.1549645222844003];43803161.7973;20047534.3304;14352266.0744;4040481.854030001;0.000376921604366;0.00136087279174;0.000419395465379;0.00296105535696;0.00021131231511;0.000140419329651;0.00513668405609;0.0006307064799530001;531.645875488;2.7;1.7;2.21795105649;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Parochiekerkstraat_81_1589569;[50.265173196141447, 35.258579127240104, 91.174150407745515, 37.288058528567078];144.856742859;318.596801103;151.383601118;[12.566293299035362, 8.6895955748870861, 17.176110819709244, 5.7918675222352833];[12.566293299035362, 8.6895955748870861, 17.176110819709244, 5.7918675222352833];57032408.8785;38533620.5684;17451075.0117;7361637.748219999;0.000289490806116;0.00104520451186;0.000218195042827;0.00154052118766;0.000183447054276;7.70700451194e-05;0.00281930182228;0.000541072531601;777.524389497;2.7;1.7;2.37165131765;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Parochiekerkstraat_86_1590761;[34.954485515850493, 106.86099147629011, 46.401599977002888, 105.74071486841541];140.713100433;495.017423185;169.149803849;[6.5992852993321511, 21.360883839140406, 11.600399994250722, 26.435178717103852];[6.5992852993321511, 21.360883839140406, 11.600399994250722, 26.435178717103852];78346826.4852;37431362.2831;24722620.3896;8225590.96178;0.000210734228323;0.0007608544437130001;0.000224620331117;0.00158588561309;0.000126364386171;6.89751965597e-05;0.00252318390434;0.000362573659232;878.738126708;2.7;1.7;2.29383322297;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Parochiekerkstraat_75_1589640;[40.819382809817725, 32.549085706033559, 56.358568287169589, 32.900976665002801];72.7406349182;308.31737504;80.7280930318;[10.204845702454431, 8.1346291506148685, 14.075464161414075, 4.696792776818504];[10.204845702454431, 8.1346291506148685, 14.075464161414075, 4.696792776818504];43344279.7116;19349876.095;14127843.5808;3925728.89412;0.000380912040315;0.00137528023256;0.000434516735349;0.0030678159711;0.000215551966875;0.00014452392631;0.00528683443973;0.000644764300578;509.407108368;2.7;1.7;2.22746950588;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
