BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Petuniastraat_5_1589522;[58.897904174946142, 96.458862985172274, 65.554758747529718, 122.86681155639506];300.274837494;610.614091859;326.942507367;[11.149521299734104, 23.713472305656385, 16.229033793565051, 29.651644778774692];[11.149521299734104, 23.713472305656385, 16.229033793565051, 29.651644778774692];91625200.9729;79876686.6207;29327027.5186;15898897.1458;0.000180194508122;0.0006505909995190001;0.000105260312438;0.0007431687696930001;0.000105334357468;3.56856043665e-05;0.00130541625172;0.0002963491645390001;1403.77101099;2.7;1.7;2.26300426415;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Petuniastraat_2_1590767;[48.270833272125003, 38.110961674893865, 46.333081528343911, 84.262836796146161];170.232265472;465.444006606;195.954730229;[12.067708318031251, 9.3412901995342867, 6.5790830509116134, 20.390796792492736];[12.067708318031251, 9.3412901995342867, 6.5790830509116134, 20.390796792492736];57829782.7949;45283812.1081;19556406.2592;9529088.54288;0.000285499222425;0.00103079292712;0.000185669991081;0.00131088475461;0.000151296635631;5.95399812747e-05;0.00217803398773;0.0004946026159;867.0748902239999;2.7;1.7;2.16617361099;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Petuniastraat_4_1590768;[68.336096931847209, 91.272940340004027, 60.965804772059471, 41.9367177640409];195.165260315;512.9141629569999;228.841524945;[16.02818586887896, 21.899758689967985, 10.813693168123187, 10.484179441010225];[16.02818586887896, 21.899758689967985, 10.813693168123187, 10.484179441010225];69965648.8031;51916285.9849;23004075.8145;11128341.4845;0.000235978059282;0.0008519971171830001;0.000161950047672;0.00114341497657;0.000131480200087;5.09834959863e-05;0.00186502892164;0.000404018398324;994.230671998;2.7;1.7;2.21180407711;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Petuniastraat_3_1589833;[39.751955899187948, 64.238492780967562, 38.185672437746888, 47.124394263476532];97.27953338620001;443.432107178;122.138243519;[5.3212045254066407, 15.761626781593829, 9.546418109436722, 11.70789734767621];[5.3212045254066407, 15.761626781593829, 9.546418109436722, 11.70789734767621];50453143.4239;25877515.6378;17550261.9889;5939464.363030001;0.000327241414518;0.001181502817;0.000324909280623;0.00229395509808;0.000164936974557;9.55240605432e-05;0.00349436875953;0.0005651849881380001;663.892058503;2.7;1.7;2.12689853152;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Petuniastraat_1_1590978;[35.975182681858868, 46.644362076930229, 37.896525202609645, 60.950836794178343];94.77716064450001;429.511630266;119.109555843;[5.0270650267801216, 11.657807758269708, 9.4741313006524113, 15.237709198544586];[5.0270650267801216, 11.657807758269708, 9.4741313006524113, 15.237709198544586];48365298.1862;25211854.6555;16881912.9485;5792182.21781;0.000341367853401;0.00123250622487;0.000333487762209;0.00235452170156;0.000171011595642;9.7953022207e-05;0.003583222685;0.000578024627882;627.979585067;2.7;1.7;2.12249590923;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Petuniastraat_9_1589575;[45.647446205470331, 29.387394447470896, 46.925078058943065, 71.007468373329601];159.008720398;471.683344727;187.36565392;[6.7202900430151464, 7.0465516738805434, 11.731269514735766, 16.402779729620665];[6.7202900430151464, 7.0465516738805434, 11.731269514735766, 16.402779729620665];51430452.987;42298215.3123;18147287.3671;9111410.08954;0.000321022994394;0.00115905125504;0.000198775407618;0.00140341285051;0.000157762314264;6.22693686084e-05;0.00227787779438;0.0005710694747230001;934.660452046;2.7;1.7;2.10910366932;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Petuniastraat_12_1589649;[39.289149332021964, 77.81966431821894, 39.396762515587476, 50.754007449065718];101.310054779;461.371369504;125.361889055;[9.822287333005491, 19.454916079554735, 5.7613480767400542, 12.42429437299033];[9.822287333005491, 19.454916079554735, 5.7613480767400542, 12.42429437299033];55239667.346;26949682.3798;18899798.3368;6096227.12;0.000298885905983;0.00107912545361;0.000311983082833;0.00220269233924;0.000155138100954;9.30676863313e-05;0.00340451205474;0.000504148441943;694.84415674;2.7;1.7;2.14922506535;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Petuniastraat_16_1590811;[37.0222995486914, 64.879919220561177, 39.509283457718446, 48.905655407268419];103.036743164;437.6956518969999;127.221456758;[9.25557488717285, 16.219979805140294, 5.8386950712604202, 12.226413851817105];[9.25557488717285, 16.219979805140294, 5.8386950712604202, 12.226413851817105];50724103.0528;27409002.0756;17538380.9968;6186656.09442;0.00032549334591;0.00117519142763;0.000306754874439;0.00216577965003;0.000165821633625;9.17073366854e-05;0.00335474906019;0.000549562588275;670.967076496;2.7;1.7;2.13481619433;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Petuniastraat_11_1589817;[40.596345761845072, 71.270420255731466, 38.733667451981361, 24.306958733310051];124.40014267;439.821668326;150.523510109;[5.3703267388966571, 17.817605063932866, 9.6834168629953403, 6.0767396833275127];[5.3703267388966571, 17.817605063932866, 9.6834168629953403, 6.0767396833275127];46617029.6839;33091921.0365;16609471.4009;7319812.356339999;0.000354170099058;0.00127872864244;0.000254075457902;0.00179384747285;0.000171083603715;7.75104231896e-05;0.00283541130676;0.0006143644221290001;762.164275727;2.7;1.7;2.09767797905;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Petuniastraat_14_1590810;[73.283521860139444, 46.258750102913638, 68.265225047641181, 56.920755869130858];189.084499359;503.526623241;214.903667727;[18.320880465034861, 11.516428831491741, 13.757649817569353, 11.268455961502401];[18.320880465034861, 11.516428831491741, 13.757649817569353, 11.268455961502401];65225969.4991;50298731.0765;21777223.0974;10450557.0015;0.0002531255288;0.000913907934829;0.000167158192866;0.00118018601369;0.000137230096763;5.429009700899999e-05;0.00198598780099;0.0004361434620630001;1009.69704668;2.7;1.7;2.18602842746;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
