BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Sportlaan_27_1586722;[141.67625107159719, 48.74250913809383, 104.77730260592926, 49.593534598935939];218.020557404;683.250779055;237.970094891;[26.957372569651145, 11.951141956491654, 25.896711263012957, 7.9306253873347501];[26.957372569651145, 11.951141956491654, 25.896711263012957, 7.9306253873347501];91894726.0887;57996067.4891;30339340.4437;11572254.9904;0.000179666001779;0.0006486828310970001;0.000144972674083;0.00102354972489;9.93692692466e-05;4.90277611305e-05;0.0017934861214;0.000328975593255;1214.9344373;2.7;1.7;2.20463110762;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Sportlaan_52_1586704;[32.865105895035072, 33.522632254338092, 9.7630956870673486, 33.41038168484733];160.046768188;109.561215521;180.599780967;[8.2149419773938597, 6.9262500454887652, 2.420344039343731, 8.3503970878754359];[8.2149419773938597, 6.9262500454887652, 2.420344039343731, 8.3503970878754359];29200700.8499;42574348.4001;10131420.0906;8782392.24769;0.0005654096490959999;0.00204140754663;0.000197486169634;0.0013943104511;0.000415072579775;6.46021878102e-05;0.00236321472933;0.000923447882219;596.26907717;2.7;1.7;2.7;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Sportlaan_11_1587149;[103.35356698338391, 31.693097056070783, 64.207575267762024, 30.803172541952414];99.99822235110001;571.721291244;135.433876808;[25.838391745845978, 7.9232742640176959, 15.841015032458234, 3.9430916833400862];[25.838391745845978, 7.9232742640176959, 15.841015032458234, 3.9430916833400862];61315837.2674;26600719.3144;21757947.3146;6586018.11912;0.000269267431658;0.0009721881611460001;0.000316075850838;0.00223158848531;0.000131010403284;8.61464003206e-05;0.00315132426651;0.0004468759824280001;795.143679325;2.7;1.7;2.10239434034;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Sportlaan_47_1587159;[59.747087257460933, 32.186749361768364, 46.551474249445477, 30.109164707416504];198.199604034;362.062233755;169.443935756;[14.877464126041897, 8.0466873404420909, 11.230649190280428, 3.7495706454512372];[14.877464126041897, 8.0466873404420909, 11.230649190280428, 3.7495706454512372];44934485.4639;52723457.5895;15200890.4417;8239894.31124;0.000367431780969;0.00132660985136;0.000159470667794;0.00112590982529;0.000194594735071;6.88554648855e-05;0.00251880399609;0.0006312812736259999;610.782323548;2.7;1.7;2.16565054253;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Sportlaan_44_1589051;[117.4930711570523, 31.066624516904653, 83.823053347427845, 33.493416849286895];267.253051758;603.595785622;196.899031024;[28.858835992160575, 4.4115308769965056, 20.91254487203447, 8.3733542123217237];[28.858835992160575, 4.4115308769965056, 20.91254487203447, 8.3733542123217237];70862397.29800001;71092497.9324;24398482.7573;9575008.97501;0.000232991807369;0.000841215275732;0.000118266276116;0.000834994699152;0.000119587347145;5.92544356761e-05;0.00216758843492;0.000382508761144;715.8363380119999;2.7;1.7;2.1404871144;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Sportlaan_43_1587125;[89.47676515267031, 40.949147273045718, 99.485579272907742, 30.689958778273937];201.206382751;457.185633216;172.980628852;[22.369191288167578, 10.237286818261429, 24.871394818226936, 2.896448095525967];[22.369191288167578, 10.237286818261429, 24.871394818226936, 2.896448095525967];69456558.69399999;53523296.5747;22156987.8315;8411880.2675;0.000237707688538;0.000858241931403;0.000157087577341;0.00110908450566;0.000139789871716;6.744767345300001e-05;0.002467305532;0.0003963327352980001;654.684716983;2.7;1.7;2.27001233535;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Sportlaan_21_1589187;[69.574250891792801, 36.68915394595745, 98.867756076688593, 31.619275849699619];122.69197464;460.780008297;145.111455347;[17.11639448876651, 9.1722884864893626, 24.716939019172148, 4.1667090397307849];[17.11639448876651, 9.1722884864893626, 24.716939019172148, 4.1667090397307849];63099689.4946;32637527.9759;20723076.8995;7056629.38055;0.000261655138927;0.000944704031978;0.000257612800712;0.00181882215365;0.000146082213981;8.04012401404e-05;0.00294116037547;0.000433701446779;757.0838263610001;2.7;1.7;2.21380362104;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Sportlaan_51_1588725;[88.441729206829876, 36.289781491334082, 57.419030070228118, 34.180478088678157];192.753852844;416.733499936;162.723524463;[22.08300644293184, 9.0724453728335206, 13.92952770557924, 4.7332522444979777];[22.08300644293184, 9.0724453728335206, 13.92952770557924, 4.7332522444979777];57657423.1689;51274822.8492;18879463.4262;7913087.225869999;0.000286352686498;0.00103387435313;0.000163976090467;0.00115771943469;0.000160722168596;7.16991658519e-05;0.00262282951345;0.000480312506958;638.396089877;2.7;1.7;2.2191111799;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Sportlaan_42_1586730;[75.637933672272951, 34.156484449882598, 31.303695147230609, 34.697887916305724];123.996341705;375.361919154;140.0460077;[18.585464990266122, 5.5910974909506574, 7.3380540685322391, 8.6744719790764311];[18.585464990266122, 5.5910974909506574, 7.3380540685322391, 8.6744719790764311];46853865.3648;32984505.1659;15821882.7757;6810301.5727;0.0003523798493969999;0.00127226495867;0.000254902868723;0.00179968923664;0.000187217680544;8.33093435513e-05;0.00304754180075;0.000595393443036;745.862776522;2.7;1.7;2.16833733582;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Sportlaan_34_4754418;[52.398087209247429, 16.632988349655484, 77.052763861571819, 30.078919037208397];215.478050232;454.471474278;164.152938215;[11.935095360744691, 3.2010946902776265, 18.619063834583709, 7.5197297593020993];[11.935095360744691, 3.2010946902776265, 18.619063834583709, 7.5197297593020993];46951615.0049;57319730.27;16878954.9596;7982598.23069;0.000351646221737;0.00126961620119;0.000146683261603;0.00103562697597;0.000167198879564;7.10748226344e-05;0.00259999039394;0.0005797293585269999;469.0121561719999;2.7;1.7;2.0876211565;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
