BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Staatstuinwijk_24_4753706;[72.504610143602889, 50.230586716002321, 41.144023210876327, 52.450853415763866];205.474140167;387.236445557;223.954838796;[13.007128960864017, 12.472888736511491, 9.7295003603285934, 10.517874337651541];[13.007128960864017, 12.472888736511491, 9.7295003603285934, 10.517874337651541];57657171.2048;54658570.9271;18493814.8815;10890706.675;0.00028635393787;0.0010338788712;0.000153824822852;0.00108604849919;0.000166757819189;5.20959539487e-05;0.00190572378248;0.0005232819659780001;741.711305352;2.7;1.7;2.25865111863;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Staatstuinwijk_4_1589532;[70.619351021211799, 72.781130730671151, 73.936788098934386, 73.047590081519559];287.668876648;647.158373726;232.926314537;[17.478740870708073, 12.595402145889153, 16.803091732723171, 18.085254433878603];[17.478740870708073, 12.595402145889153, 16.803091732723171, 18.085254433878603];77394554.1394;76523350.7486;26489657.5038;11326980.842;0.000213327128821;0.000770216092656;0.000109872933006;0.0007757352277739999;0.000110656046314;5.00894069941e-05;0.0018323222232;0.000368340562262;921.07877982;2.7;1.7;2.14870756792;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Staatstuinwijk_2_1589554;[34.246482301896734, 41.734626087882639, 56.831566861555515, 35.251385750718192];161.716896057;320.448559598;191.783669984;[8.2115042109956509, 7.7658609015232862, 11.874066624250101, 8.3111948287857036];[8.2115042109956509, 7.7658609015232862, 11.874066624250101, 8.3111948287857036];44793117.2139;43018622.3242;14623945.4437;9326253.92725;0.0003685914052840001;0.00133079666676;0.000195446635339;0.00137991073902;0.000207972736781;6.08349030419e-05;0.00222540356293;0.0006616864443819999;554.848979222;2.7;1.7;2.22446502244;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Staatstuinwijk_6_1589836;[81.418091999460572, 27.257568651390564, 76.46204139821748, 41.056537939199117];215.496391296;381.969622984;237.785919799;[20.007357817095325, 5.1173631984142656, 18.770449986491798, 10.264134484799779];[20.007357817095325, 5.1173631984142656, 18.770449986491798, 10.264134484799779];60286208.9878;57324609.2118;19037439.8272;11563298.7342;0.000273866250642;0.000988792164624;0.000146670777277;0.00103553883296;0.000164005921225;4.9065735172e-05;0.00179487525105;0.000441813638055;758.330669504;2.7;1.7;2.29217860892;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Staatstuinwijk_15_4752643;[93.781773644973683, 21.993582898669182, 100.11996069603398, 38.707132595517777];214.254081726;557.133577765;238.232427245;[23.071024497964604, 4.9812178460847649, 24.427850364073461, 9.6767831488794442];[23.071024497964604, 4.9812178460847649, 24.427850364073461, 9.6767831488794442];67857680.6393;56994140.0554;23091104.9902;11585011.9584;0.000243308610984;0.000878464022355;0.000147521218533;0.00104154319839;0.000127516292411;4.89737736523e-05;0.00179151120371;0.000384966577901;1102.39245548;2.7;1.7;2.15698636736;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Staatstuinwijk_28_4752966;[80.574893839344924, 55.456056564240001, 53.612240245393508, 47.853063241032075];341.822502136;587.494956893;282.6647597;[20.112673564093015, 13.86401414106, 13.25313708608773, 11.118070869369834];[20.112673564093015, 13.86401414106, 13.25313708608773, 11.118070869369834];63298467.7089;90928860.7427;22426015.4344;13745713.2063;0.000260833454877;0.000941737347517;9.246618644e-05;0.000652838476564;0.000127262459531;4.12755413193e-05;0.00150990191684;0.0004100973911869999;937.5648288460001;2.7;1.7;2.1042524129;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Staatstuinwijk_8_1590711;[97.191467669793767, 90.601352417743612, 109.71270917936582, 84.03828193541348];184.34589386;642.968097091;202.397368966;[23.211502577696137, 21.865204587923582, 23.471642273261221, 16.157633100865954];[23.211502577696137, 21.865204587923582, 23.471642273261221, 16.157633100865954];101690608.662;49038205.5205;32094821.3883;9842387.8182;0.000162358729466;0.000586195046589;0.000171454989043;0.00121052265867;9.73240415446e-05;5.76447264513e-05;0.00210870360952;0.000282486774537;954.222734312;2.7;1.7;2.29341017529;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Staatstuinwijk_11_4753674;[51.13771213470519, 24.680999649392941, 29.674399158785455, 32.908117626383458];121.818618774;282.253813408;144.603132798;[12.753795748979845, 4.4528519333098142, 6.8256202156653005, 8.2270294065958645];[12.753795748979845, 4.4528519333098142, 6.8256202156653005, 8.2270294065958645];36887258.4471;32405204.9037;12282920.9293;7031910.147810001;0.000447589729245;0.00161601955774;0.000259459707637;0.00183186185983;0.000243811429201;8.06838741511e-05;0.00295149941939;0.000741749566513;643.917777245;2.7;1.7;2.19034316631;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Staatstuinwijk_18_4753999;[19.056761884313918, 27.169556583343486, 42.322746410434576, 34.351692421403484];104.71654129;404.394669043;127.133129019;[4.533350510640318, 5.3445473306711042, 10.539526323672996, 8.5879231053508711];[4.533350510640318, 5.3445473306711042, 10.539526323672996, 8.5879231053508711];32756009.7892;27855848.4036;12917639.583;6182360.802130001;0.000504040575369;0.00181983493917;0.000301834102067;0.00213103754956;0.0002036470219;9.17710517983e-05;0.0033570798248;0.0008249623618930001;618.822715971;2.7;1.7;2.0039129017;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Staatstuinwijk_19_1590665;[40.911204629545942, 28.71705641955727, 16.957038526079174, 35.474836507348449];105.200431824;270.335427525;128.409230796;[10.227801157386486, 5.3869953362201226, 3.9221160481879851, 8.8687091268371123];[10.227801157386486, 5.3869953362201226, 3.9221160481879851, 8.8687091268371123];32531964.0029;27984569.0544;11112538.6281;6244416.39429;0.0005075118741519999;0.00183236803892;0.00030044575544;0.00212123541398;0.000264185300623;9.08590519246e-05;0.00332371792782;0.000842379725774;626.232085045;2.7;1.7;2.15151365176;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Staatstuinwijk_30_1590668;[65.267855184571516, 37.385570050817492, 14.546385608346773, 34.519692851099457];106.831916809;440.378698641;129.326773597;[15.111333889794667, 9.346392512704373, 3.6365964020866932, 6.0922153348517893];[15.111333889794667, 9.346392512704373, 3.6365964020866932, 6.0922153348517893];40436899.3116;28418563.5109;15177210.9908;6289035.61109;0.000408299308354;0.00147416177048;0.000295857494239;0.00208884094019;0.000179923758929;9.021442848999999e-05;0.00330013693703;0.0006999339826119999;647.8051752709999;2.7;1.7;2.04452053236;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Staatstuinwijk_1_1589668;[61.789580755727044, 37.952185988145239, 40.947584445023388, 38.667597831467539];93.53693771360001;333.738739181;124.951733649;[13.481968788989736, 7.829886882469121, 9.5862402910549314, 9.0865406320459332];[13.481968788989736, 7.829886882469121, 9.5862402910549314, 9.0865406320459332];47802943.6674;24881940.5701;15498844.1074;6076281.66026;0.000345383709752;0.00124700544587;0.0003379095358959999;0.00238574072452;0.000197303879081;9.33731820102e-05;0.00341568740209;0.0005984378458730001;605.477500816;2.7;1.7;2.2374172308;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Staatstuinwijk_10_1590667;[52.942621785443677, 44.748473267207217, 49.734504847021391, 36.052442893943748];190.851547241;318.298706246;206.516026379;[13.235655446360919, 4.4735705217960327, 10.188399041586411, 9.0131107234859371];[13.235655446360919, 4.4735705217960327, 10.188399041586411, 9.0131107234859371];48901314.3443;50768786.8797;15552892.721;10042674.1349;0.00033762605857;0.00121899650104;0.000165610515968;0.00116925895952;0.000199621302443;5.64950874424e-05;0.00206664862761;0.0006482753409359999;690.402554258;2.7;1.7;2.2764335173;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Staatstuinwijk_16_1590661;[36.894318637897683, 53.215758650578927, 60.270375883450541, 51.20353054320104];107.231369019;379.5890496330001;124.537594102;[9.2235796594744208, 13.303939662644732, 8.4963799103515605, 10.495494622461134];[9.2235796594744208, 13.303939662644732, 8.4963799103515605, 10.495494622461134];53726983.3727;28524822.5608;17478269.2756;6056142.455630001;0.000307301042875;0.00110950824595;0.000294755382694;0.00208105970848;0.000174496955956;9.36836868625e-05;0.00342704599017;0.000576316693718;661.797820787;2.7;1.7;2.23105847998;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Staatstuinwijk_14_1590663;[65.347241837040954, 28.747113105569195, 39.410633973192553, 34.43573284263551];75.5966186523;442.310808428;96.71901952420001;[16.336810459260239, 6.882380268634428, 9.8415742607442045, 8.6089332106588774];[16.336810459260239, 6.882380268634428, 9.8415742607442045, 8.6089332106588774];44760244.337;20109601.817;16209506.3513;4703352.14542;0.000368862106664;0.00133177403218;0.000418101017947;0.00295191617731;0.000173128192812;0.000120629231209;0.00441274182259;0.000574237895298;512.747736454;2.7;1.7;2.07968939162;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Staatstuinwijk_22_1589859;[65.577428461587374, 36.774913317146655, 44.922521925580035, 40.794542384040788];87.73135757450001;339.339791831;103.62138213;[16.394357115396843, 9.1937283292866638, 11.11071605730722, 7.7185361304900875];[16.394357115396843, 9.1937283292866638, 11.11071605730722, 7.7185361304900875];50125023.167;23337587.0395;16113014.275;5039007.34672;0.00032938354893;0.00118923697817;0.000360270535938;0.00254361596263;0.000191068044435;0.000112593952413;0.00411880302814;0.000538715759816;593.265717249;2.7;1.7;2.25422149308;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Staatstuinwijk_25_1589495;[16.072591179281826, 33.7337678468785, 68.031790288505348, 30.726709474632969];120.573272705;326.053780908;148.44534506;[3.7811067378509025, 8.433441961719625, 17.007947572126337, 6.2728329990334961];[3.7811067378509025, 8.433441961719625, 17.007947572126337, 6.2728329990334961];39596110.5185;32073928.0023;13486562.1172;7218753.20489;0.000416969187245;0.00150546430701;0.000262139548034;0.00185078232135;0.000218170336377;7.85955326778e-05;0.00287510573217;0.000674125871862;709.297856737;2.7;1.7;2.15564525697;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Staatstuinwijk_27_1589501;[34.978665064752008, 33.612763820991482, 65.203588287355998, 30.561214618718441];97.8195037842;514.047363384;126.754455392;[8.7442534998472627, 8.4031909552478705, 16.300897071839, 6.3111893080718247];[8.7442534998472627, 8.4031909552478705, 16.300897071839, 6.3111893080718247];43804891.4896;26021154.2012;16925016.8364;6163946.270769999;0.000376906721133;0.00136081905593;0.000323115759017;0.00228129230795;0.000157840239321;9.20452139724e-05;0.00336710896019;0.000601826009743;632.986475492;2.7;1.7;2.01972974379;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Staatstuinwijk_23_1589497;[36.669755790685166, 48.106738792947219, 69.712216465204762, 58.037637751191198];126.212425232;387.818005294;143.953310716;[9.1264887219169459, 12.026684698236805, 14.089995370151779, 10.718416457989523];[9.1264887219169459, 12.026684698236805, 14.089995370151779, 10.718416457989523];56643387.0281;33574009.8039;18265244.3361;7000309.929989999;0.000291479003767;0.00105238288545;0.000250427191727;0.00176808964046;0.000168140737219;8.10480905963e-05;0.002964822833;0.0005206156328680001;762.257984271;2.7;1.7;2.24800536824;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Staatstuinwijk_12_1591015;[4.4918731582426226, 28.891825808144265, 52.385095673221755, 34.151632635888333];75.49445724489999;270.909341765;99.0503751176;[1.1229682895606556, 7.2229564520360663, 13.096273918305439, 8.5379081589720833];[1.1229682895606556, 7.2229564520360663, 13.096273918305439, 8.5379081589720833];31961680.1074;20082425.6647;10987196.0534;4816723.70756;0.000516567275733;0.0018650625024;0.000418666805026;0.00295591080053;0.0002658864881359999;0.000117789972574;0.00430887881028;0.000798139911116;507.533561687;2.7;1.7;2.14265888542;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Staatstuinwijk_29_1590669;[5.2746003692205043, 37.41031998586643, 57.152600286981695, 30.076428501907195];77.3322792053;439.243065965;100.671064685;[1.2514614153133712, 9.3525799964666074, 14.288150071745424, 7.5191071254767987];[1.2514614153133712, 9.3525799964666074, 14.288150071745424, 7.5191071254767987];34625194.2089;20571308.2165;13808718.6883;4895536.269880001;0.000476830770142;0.00172159412948;0.000408717078259;0.00288566280269;0.000188911833205;0.000115893688072;0.00423951076539;0.000738270936945;548.226496366;2.7;1.7;1.99576778602;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Staatstuinwijk_9_1590888;[55.33920532358681, 32.11099567241687, 34.530363074307324, 36.528399740258635];73.26401519779999;451.565024602;94.2299945137;[13.834801330896703, 8.0277489181042174, 8.4564850029464171, 9.1320999350646588];[13.834801330896703, 8.0277489181042174, 8.4564850029464171, 9.1320999350646588];42246453.8408;19489101.489;15744975.2505;4582313.2724;0.0003908105064419999;0.00141101857464;0.000431412653628;0.00304590024103;0.000174368256494;0.000123815575165;0.004529301574270001;0.000606530577086;524.816157245;2.7;1.7;2.05102134837;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Staatstuinwijk_21_4754405;[33.054014289086261, 35.226939106548727, 55.198965843634177, 28.099038357065325];75.7371253967;303.05320839;99.1693391544;[8.2625749666486055, 8.8067347766371817, 13.799741460908544, 7.0247595892663313];[8.2625749666486055, 8.8067347766371817, 13.799741460908544, 7.0247595892663313];40399440.3937;20146978.2861;13373007.1845;4822508.81333;0.0004086778891;0.00147552863359;0.000417325361193;0.00294643981246;0.000224976957093;0.000117648671132;0.00430370985764;0.000631457203449;519.649778741;2.7;1.7;2.20017275317;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Staatstuinwijk_20_1590889;[6.7982325534315162, 31.842474568400807, 55.669565964426013, 37.53367347833715];73.7147750854;426.703046906;96.7579809444;[1.2236416429413328, 7.9606186421002016, 13.917391491106503, 9.3834183695842874];[1.2236416429413328, 7.9606186421002016, 13.917391491106503, 9.3834183695842874];35139584.9726;19609008.9931;13764535.1632;4705246.80151;0.000469850683604;0.00169639257631;0.000428774600143;0.00302727480741;0.00019208715088;0.000120580657581;0.00441096494913;0.000736594370408;534.511733611;2.7;1.7;2.00898290397;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
